Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Characteristics [treated with]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [organism]	Term Source REF	Term Accession Number	FactorValue [organism part]	Term Source REF	Term Accession Number	FactorValue [treated with]
GSM934611 1	2.At_shoot_N+	At_shoot_N+	At_shoot_WT_treatment N+, biological rep 2	13 days	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot	EFO	EFO_0000992	20 mM KNO3 and 20 mM NH4NO3 (final conc) for 2hr	P-GSE38102-2	ArrayExpress	P-GSE38102-3	ArrayExpress	P-GSE38102-4	ArrayExpress	GSM934611 extract 1	total RNA	P-GSE38102-5	ArrayExpress	GSM934611 LE 1	biotin	P-GSE38102-6	ArrayExpress	GSM934611	A-AFFY-2	ArrayExpress	array assay	P-GSE38102-7	ArrayExpress	GSM934611_2.At_shoot_N+.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38102/E-GEOD-38102.raw.1.zip	P-GSE38102-1	ArrayExpress	GSM934611_sample_table.txt norm	GSM934611_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38102/E-GEOD-38102.processed.1.zip	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot	EFO	EFO_0000992	20 mM KNO3 and 20 mM NH4NO3 (final conc) for 2hr
GSM934610 1	1.At_shoot_N+	At_shoot_N+	At_shoot_WT_treatment N+, biological rep 1	13 days	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot	EFO	EFO_0000992	20 mM KNO3 and 20 mM NH4NO3 (final conc) for 2hr	P-GSE38102-2	ArrayExpress	P-GSE38102-3	ArrayExpress	P-GSE38102-4	ArrayExpress	GSM934610 extract 1	total RNA	P-GSE38102-5	ArrayExpress	GSM934610 LE 1	biotin	P-GSE38102-6	ArrayExpress	GSM934610	A-AFFY-2	ArrayExpress	array assay	P-GSE38102-7	ArrayExpress	GSM934610_1.At_shoot_N+.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38102/E-GEOD-38102.raw.1.zip	P-GSE38102-1	ArrayExpress	GSM934610_sample_table.txt norm	GSM934610_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38102/E-GEOD-38102.processed.1.zip	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot	EFO	EFO_0000992	20 mM KNO3 and 20 mM NH4NO3 (final conc) for 2hr
GSM934609 1	2.At_shoot_control	At_shoot_control	At_shoot_WT_treatment N-, biological rep 2	13 days	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot	EFO	EFO_0000992	20mM KCl (final conc.) for 2hr	P-GSE38102-2	ArrayExpress	P-GSE38102-3	ArrayExpress	P-GSE38102-4	ArrayExpress	GSM934609 extract 1	total RNA	P-GSE38102-5	ArrayExpress	GSM934609 LE 1	biotin	P-GSE38102-6	ArrayExpress	GSM934609	A-AFFY-2	ArrayExpress	array assay	P-GSE38102-7	ArrayExpress	GSM934609_2.At_shoot_control.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38102/E-GEOD-38102.raw.1.zip	P-GSE38102-1	ArrayExpress	GSM934609_sample_table.txt norm	GSM934609_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38102/E-GEOD-38102.processed.1.zip	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot	EFO	EFO_0000992	20mM KCl (final conc.) for 2hr
GSM934608 1	1.At_shoot_control	At_shoot_control	At_shoot_WT_treatment N-, biological rep 1	13 days	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot	EFO	EFO_0000992	20mM KCl (final conc.) for 2hr	P-GSE38102-2	ArrayExpress	P-GSE38102-3	ArrayExpress	P-GSE38102-4	ArrayExpress	GSM934608 extract 1	total RNA	P-GSE38102-5	ArrayExpress	GSM934608 LE 1	biotin	P-GSE38102-6	ArrayExpress	GSM934608	A-AFFY-2	ArrayExpress	array assay	P-GSE38102-7	ArrayExpress	GSM934608_1.At_shoot_control.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38102/E-GEOD-38102.raw.1.zip	P-GSE38102-1	ArrayExpress	GSM934608_sample_table.txt norm	GSM934608_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38102/E-GEOD-38102.processed.1.zip	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot	EFO	EFO_0000992	20mM KCl (final conc.) for 2hr
GSM934607 1	2.At_root_N+	At_root_N+	At_root_WT_treatment N+, biological rep 2	13 days	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	20 mM KNO3 and 20 mM NH4NO3 (final conc) for 2hr	P-GSE38102-2	ArrayExpress	P-GSE38102-3	ArrayExpress	P-GSE38102-4	ArrayExpress	GSM934607 extract 1	total RNA	P-GSE38102-5	ArrayExpress	GSM934607 LE 1	biotin	P-GSE38102-6	ArrayExpress	GSM934607	A-AFFY-2	ArrayExpress	array assay	P-GSE38102-7	ArrayExpress	GSM934607_2.At_root_N+.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38102/E-GEOD-38102.raw.1.zip	P-GSE38102-1	ArrayExpress	GSM934607_sample_table.txt norm	GSM934607_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38102/E-GEOD-38102.processed.1.zip	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	20 mM KNO3 and 20 mM NH4NO3 (final conc) for 2hr
GSM934606 1	1.At_root_N+	At_root_N+	At_root_WT_treatment N+, biological rep 1	13 days	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	20 mM KNO3 and 20 mM NH4NO3 (final conc) for 2hr	P-GSE38102-2	ArrayExpress	P-GSE38102-3	ArrayExpress	P-GSE38102-4	ArrayExpress	GSM934606 extract 1	total RNA	P-GSE38102-5	ArrayExpress	GSM934606 LE 1	biotin	P-GSE38102-6	ArrayExpress	GSM934606	A-AFFY-2	ArrayExpress	array assay	P-GSE38102-7	ArrayExpress	GSM934606_1.At_root_N+.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38102/E-GEOD-38102.raw.1.zip	P-GSE38102-1	ArrayExpress	GSM934606_sample_table.txt norm	GSM934606_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38102/E-GEOD-38102.processed.1.zip	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	20 mM KNO3 and 20 mM NH4NO3 (final conc) for 2hr
GSM934605 1	2.At_root_control	At_root_control	At_root_WT_treatment N-, biological rep 2	13 days	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	20mM KCl (final conc.) for 2hr	P-GSE38102-2	ArrayExpress	P-GSE38102-3	ArrayExpress	P-GSE38102-4	ArrayExpress	GSM934605 extract 1	total RNA	P-GSE38102-5	ArrayExpress	GSM934605 LE 1	biotin	P-GSE38102-6	ArrayExpress	GSM934605	A-AFFY-2	ArrayExpress	array assay	P-GSE38102-7	ArrayExpress	GSM934605_2.At_root_control.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38102/E-GEOD-38102.raw.1.zip	P-GSE38102-1	ArrayExpress	GSM934605_sample_table.txt norm	GSM934605_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38102/E-GEOD-38102.processed.1.zip	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	20mM KCl (final conc.) for 2hr
GSM934604 1	1.At_root_control	At_root_control	At_root_WT_treatment N-, biological rep 1	13 days	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	20mM KCl (final conc.) for 2hr	P-GSE38102-2	ArrayExpress	P-GSE38102-3	ArrayExpress	P-GSE38102-4	ArrayExpress	GSM934604 extract 1	total RNA	P-GSE38102-5	ArrayExpress	GSM934604 LE 1	biotin	P-GSE38102-6	ArrayExpress	GSM934604	A-AFFY-2	ArrayExpress	array assay	P-GSE38102-7	ArrayExpress	GSM934604_1.At_root_control.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38102/E-GEOD-38102.raw.1.zip	P-GSE38102-1	ArrayExpress	GSM934604_sample_table.txt norm	GSM934604_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38102/E-GEOD-38102.processed.1.zip	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	20mM KCl (final conc.) for 2hr
GSM934603 1	2.Os_shoot_N+	Os_shoot_N+	Os_shoot_WT_treatment N+, biological rep 2	13 days	wild type	Oryza sativa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4530	shoot	EFO	EFO_0000992	20 mM KNO3 and 20 mM NH4NO3 (final conc) for 2hr	P-GSE38102-2	ArrayExpress	P-GSE38102-3	ArrayExpress	P-GSE38102-4	ArrayExpress	GSM934603 extract 1	total RNA	P-GSE38102-5	ArrayExpress	GSM934603 LE 1	biotin	P-GSE38102-6	ArrayExpress	GSM934603	A-AFFY-126	ArrayExpress	array assay	P-GSE38102-7	ArrayExpress	GSM934603_2.Os_shoot_N+.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38102/E-GEOD-38102.raw.1.zip	P-GSE38102-1	ArrayExpress	GSM934603_sample_table.txt norm	GSM934603_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38102/E-GEOD-38102.processed.1.zip	Oryza sativa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4530	shoot	EFO	EFO_0000992	20 mM KNO3 and 20 mM NH4NO3 (final conc) for 2hr
GSM934602 1	1.Os_shoot_N+	Os_shoot_N+	Os_shoot_WT_treatment N+, biological rep 1	13 days	wild type	Oryza sativa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4530	shoot	EFO	EFO_0000992	20 mM KNO3 and 20 mM NH4NO3 (final conc) for 2hr	P-GSE38102-2	ArrayExpress	P-GSE38102-3	ArrayExpress	P-GSE38102-4	ArrayExpress	GSM934602 extract 1	total RNA	P-GSE38102-5	ArrayExpress	GSM934602 LE 1	biotin	P-GSE38102-6	ArrayExpress	GSM934602	A-AFFY-126	ArrayExpress	array assay	P-GSE38102-7	ArrayExpress	GSM934602_1.Os_shoot_N+.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38102/E-GEOD-38102.raw.1.zip	P-GSE38102-1	ArrayExpress	GSM934602_sample_table.txt norm	GSM934602_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38102/E-GEOD-38102.processed.1.zip	Oryza sativa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4530	shoot	EFO	EFO_0000992	20 mM KNO3 and 20 mM NH4NO3 (final conc) for 2hr
GSM934601 1	2.Os_shoot_control	Os_shoot_control	Os_shoot_WT_treatment N-, biological rep 2	13 days	wild type	Oryza sativa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4530	shoot	EFO	EFO_0000992	20mM KCl (final conc.) for 2hr	P-GSE38102-2	ArrayExpress	P-GSE38102-3	ArrayExpress	P-GSE38102-4	ArrayExpress	GSM934601 extract 1	total RNA	P-GSE38102-5	ArrayExpress	GSM934601 LE 1	biotin	P-GSE38102-6	ArrayExpress	GSM934601	A-AFFY-126	ArrayExpress	array assay	P-GSE38102-7	ArrayExpress	GSM934601_2.Os_shoot_control.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38102/E-GEOD-38102.raw.1.zip	P-GSE38102-1	ArrayExpress	GSM934601_sample_table.txt norm	GSM934601_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38102/E-GEOD-38102.processed.1.zip	Oryza sativa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4530	shoot	EFO	EFO_0000992	20mM KCl (final conc.) for 2hr
GSM934600 1	1.Os_shoot_control	Os_shoot_control	Os_shoot_WT_treatment N-, biological rep 1	13 days	wild type	Oryza sativa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4530	shoot	EFO	EFO_0000992	20mM KCl (final conc.) for 2hr	P-GSE38102-2	ArrayExpress	P-GSE38102-3	ArrayExpress	P-GSE38102-4	ArrayExpress	GSM934600 extract 1	total RNA	P-GSE38102-5	ArrayExpress	GSM934600 LE 1	biotin	P-GSE38102-6	ArrayExpress	GSM934600	A-AFFY-126	ArrayExpress	array assay	P-GSE38102-7	ArrayExpress	GSM934600_1.Os_shoot_control.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38102/E-GEOD-38102.raw.1.zip	P-GSE38102-1	ArrayExpress	GSM934600_sample_table.txt norm	GSM934600_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38102/E-GEOD-38102.processed.1.zip	Oryza sativa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4530	shoot	EFO	EFO_0000992	20mM KCl (final conc.) for 2hr
GSM934599 1	2.Os_root_N+	Os_root_N+	Os_root_WT_treatment N+, biological rep 2	13 days	wild type	Oryza sativa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4530	root	EFO	EFO_0000989	20 mM KNO3 and 20 mM NH4NO3 (final conc) for 2hr	P-GSE38102-2	ArrayExpress	P-GSE38102-3	ArrayExpress	P-GSE38102-4	ArrayExpress	GSM934599 extract 1	total RNA	P-GSE38102-5	ArrayExpress	GSM934599 LE 1	biotin	P-GSE38102-6	ArrayExpress	GSM934599	A-AFFY-126	ArrayExpress	array assay	P-GSE38102-7	ArrayExpress	GSM934599_2.Os_root_N+.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38102/E-GEOD-38102.raw.1.zip	P-GSE38102-1	ArrayExpress	GSM934599_sample_table.txt norm	GSM934599_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38102/E-GEOD-38102.processed.1.zip	Oryza sativa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4530	root	EFO	EFO_0000989	20 mM KNO3 and 20 mM NH4NO3 (final conc) for 2hr
