Source Name	Characteristics [Age]	Characteristics [OrganismPart]	Characteristics [BioSourceType]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [Genotype]	Characteristics [DevelopmentalStage]	Term Source REF	Term Accession Number	Characteristics [GeneticModification]	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Factor Value [GENOTYPE]	FactorValue[TREATMENT]
Col_cytokinin and auxin	10 days	above ground tissue	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	seedling	EFO	EFO_0001992	  	P-MTAB-4868	P-MTAB-4866	P-MTAB-4865	P-MTAB-4871	E_Col_cytokinin and auxin_A	total_RNA	P-MTAB-4870	L_Col_cytokinin and auxin_A	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	Col_C_A_A	A-AFFY-2	P-AFFY-6	Col_C_A_A.CEL	Col_C_A_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2270/E-MEXP-2270.raw.1.zip	P-MTAB-4867	Lohmann_Auxin_cytokinin_ARR.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2270/E-MEXP-2270.processed.1.zip	wild_type	indole-3-acetic acid; benzyladenine
ARR15 OX cytokinin	10 days	above ground tissue	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	35S:ARR15	seedling	EFO	EFO_0001992	T-DNA insertion	P-MTAB-4868	P-MTAB-4864	P-MTAB-4865	P-MTAB-4871	E_ARR15 OX cytokinin_B	total_RNA	P-MTAB-4870	L_ARR15 OX cytokinin_B	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	ARR15OX_C_B	A-AFFY-2	P-AFFY-6	ARR15OX_C_B.CEL	ARR15OX_C_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2270/E-MEXP-2270.raw.1.zip	P-MTAB-4867	Lohmann_Auxin_cytokinin_ARR.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2270/E-MEXP-2270.processed.1.zip	35S:ARR15	benzyladenine
Col_cytokinin and auxin	10 days	above ground tissue	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	seedling	EFO	EFO_0001992	  	P-MTAB-4868	P-MTAB-4866	P-MTAB-4865	P-MTAB-4871	E_Col_cytokinin and auxin_B	total_RNA	P-MTAB-4870	L_Col_cytokinin and auxin_B	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	Col_C_A_B	A-AFFY-2	P-AFFY-6	Col_C_A_B.CEL	Col_C_A_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2270/E-MEXP-2270.raw.1.zip	P-MTAB-4867	Lohmann_Auxin_cytokinin_ARR.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2270/E-MEXP-2270.processed.1.zip	wild_type	indole-3-acetic acid; benzyladenine
ARR15 OX cytokinin and auxin	10 days	above ground tissue	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	35S:ARR15	seedling	EFO	EFO_0001992	T-DNA insertion	P-MTAB-4868	P-MTAB-4866	P-MTAB-4865	P-MTAB-4871	E_ARR15 OX cytokinin and auxin_B	total_RNA	P-MTAB-4870	L_ARR15 OX cytokinin and auxin_B	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	ARR15OX_C_A_B	A-AFFY-2	P-AFFY-6	ARR15OX_C_A_B.CEL	ARR15OX_C_A_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2270/E-MEXP-2270.raw.1.zip	P-MTAB-4867	Lohmann_Auxin_cytokinin_ARR.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2270/E-MEXP-2270.processed.1.zip	35S:ARR15	indole-3-acetic acid; benzyladenine
Col_cytokinin	10 days	above ground tissue	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	seedling	EFO	EFO_0001992	  	P-MTAB-4868	P-MTAB-4864	P-MTAB-4865	P-MTAB-4871	E_Col_cytokinin_B	total_RNA	P-MTAB-4870	L_Col_cytokinin_B	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	Col_C_B	A-AFFY-2	P-AFFY-6	Col_C_B.CEL	Col_C_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2270/E-MEXP-2270.raw.1.zip	P-MTAB-4867	Lohmann_Auxin_cytokinin_ARR.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2270/E-MEXP-2270.processed.1.zip	wild_type	benzyladenine
ARR15 OX mock	10 days	above ground tissue	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	35S:ARR15	seedling	EFO	EFO_0001992	T-DNA insertion	P-MTAB-4868	P-MTAB-4863	P-MTAB-4865	P-MTAB-4871	E_ARR15 OX mock_B	total_RNA	P-MTAB-4870	L_ARR15 OX mock_B	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	ARR15OX_M_B	A-AFFY-2	P-AFFY-6	ARR15OX_M_B.CEL	ARR15OX_M_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2270/E-MEXP-2270.raw.1.zip	P-MTAB-4867	Lohmann_Auxin_cytokinin_ARR.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2270/E-MEXP-2270.processed.1.zip	35S:ARR15	none
ARR15 OX mock	10 days	above ground tissue	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	35S:ARR15	seedling	EFO	EFO_0001992	T-DNA insertion	P-MTAB-4868	P-MTAB-4863	P-MTAB-4865	P-MTAB-4871	E_ARR15 OX mock_A	total_RNA	P-MTAB-4870	L_ARR15 OX mock_A	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	ARR15OX_M_A	A-AFFY-2	P-AFFY-6	ARR15OX_M_A.CEL	ARR15OX_M_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2270/E-MEXP-2270.raw.1.zip	P-MTAB-4867	Lohmann_Auxin_cytokinin_ARR.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2270/E-MEXP-2270.processed.1.zip	35S:ARR15	none
Col_mock	10 days	above ground tissue	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	seedling	EFO	EFO_0001992	  	P-MTAB-4868	P-MTAB-4863	P-MTAB-4865	P-MTAB-4871	E_Col_mock_A	total_RNA	P-MTAB-4870	L_Col_mock_A	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	Col_M_A	A-AFFY-2	P-AFFY-6	Col_M_A.CEL	Col_M_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2270/E-MEXP-2270.raw.1.zip	P-MTAB-4867	Lohmann_Auxin_cytokinin_ARR.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2270/E-MEXP-2270.processed.1.zip	wild_type	none
Col_mock	10 days	above ground tissue	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	seedling	EFO	EFO_0001992	  	P-MTAB-4868	P-MTAB-4863	P-MTAB-4865	P-MTAB-4871	E_Col_mock_B	total_RNA	P-MTAB-4870	L_Col_mock_B	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	Col_M_B	A-AFFY-2	P-AFFY-6	Col_M_B.CEL	Col_M_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2270/E-MEXP-2270.raw.1.zip	P-MTAB-4867	Lohmann_Auxin_cytokinin_ARR.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2270/E-MEXP-2270.processed.1.zip	wild_type	none
ARR7 OX auxin	10 days	above ground tissue	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	35S::ARR7	seedling	EFO	EFO_0001992	T-DNA insertion	P-MTAB-4868	P-MTAB-4869	P-MTAB-4865	P-MTAB-4871	E_ARR7 OX auxin_B	total_RNA	P-MTAB-4870	L_ARR7 OX auxin_B	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	ARR7OX_A_B	A-AFFY-2	P-AFFY-6	ARR7OX_A_B.CEL	ARR7OX_A_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2270/E-MEXP-2270.raw.1.zip	P-MTAB-4867	Lohmann_Auxin_cytokinin_ARR.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2270/E-MEXP-2270.processed.1.zip	35S::ARR7	indole-3-acetic acid
