Source Name	Characteristics [Age]	Characteristics [TimeUnit]	Term Source REF	Characteristics [Ecotype]	Characteristics [Organism]	Term Source REF	Characteristics [IndividualGeneticCharacteristics]	Characteristics [OrganismPart]	Characteristics [Genotype]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Parameter Value [Extracted product]	Parameter Value [Amplification]	Extract Name	Material Type	Protocol REF	Parameter Value [Amount of nucleic acid labeled]	Parameter Value [Label used]	Parameter Value [Amplification]	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Factor Value [genotype]
Arabidopsis thaliana__S:BioSource:MEXP:171904	3	weeks	mo	Columbia	Arabidopsis thaliana	ncbitax	  	leaf	wild_type	P-MEXP-5354	P-MEXP-5353	wildtype.2.SUB860	P-MEXP-5373	total RNA	none	EXTRACT.wt.2.SUB860	total_RNA	P-MEXP-5346	4	biotin	RNA polymerases	LE.wt.2.SUB860	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	HYB.wt.2.SUB860	A-AFFY-2	ArrayExpress	P-AFFY-6	col_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-173/E-MEXP-173.raw.1.zip	P-MEXP-5382	E-MEXP-173-processed-data-1342074304.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-173/E-MEXP-173.processed.1.zip	wild_type
Arabidopsis thaliana__S:BioSource:MEXP:171903	3	weeks	mo	Landsberg erecta	Arabidopsis thaliana	ncbitax	  	leaf	wild_type	P-MEXP-5354	P-MEXP-5353	wildtype.1.SUB860	P-MEXP-5373	total RNA	none	EXTRACT.wt.1.SUB860	total_RNA	P-MEXP-5346	4	biotin	RNA polymerases	LE.wt.1.SUB860	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	HYB.wt.1.SUB860	A-AFFY-2	ArrayExpress	P-AFFY-6	ler_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-173/E-MEXP-173.raw.1.zip	P-MEXP-5382	E-MEXP-173-processed-data-1342074304.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-173/E-MEXP-173.processed.1.zip	wild_type
Arabidopsis thaliana__S:BioSource:MEXP:171905	3	weeks	mo	Landsberg erecta	Arabidopsis thaliana	ncbitax	  	leaf	wild_type	P-MEXP-5354	P-MEXP-5353	wildtype.3.SUB860	P-MEXP-5373	total RNA	none	EXTRACT.wt.3.SUB860	total_RNA	P-MEXP-5346	4	biotin	RNA polymerases	LE.wt.3.SUB860	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	HYB.wt.3.SUB860	A-AFFY-2	ArrayExpress	P-AFFY-6	ler_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-173/E-MEXP-173.raw.1.zip	P-MEXP-5382	E-MEXP-173-processed-data-1342074304.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-173/E-MEXP-173.processed.1.zip	wild_type
Arabidopsis thaliana__S:BioSource:MEXP:171906	3	weeks	mo	Landsberg erecta	Arabidopsis thaliana	ncbitax	35S:mks1	leaf	  	P-MEXP-5354	P-MEXP-5353	35mks1.1.SUB860	P-MEXP-5373	total RNA	none	EXTRACT.mks1.1.SUB860	total_RNA	P-MEXP-5346	4	biotin	RNA polymerases	LE.mks1.1.SUB860	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	HYB.mks1.1.SUB860	A-AFFY-2	ArrayExpress	P-AFFY-6	mks1.1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-173/E-MEXP-173.raw.1.zip	P-MEXP-5382	E-MEXP-173-processed-data-1342074304.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-173/E-MEXP-173.processed.1.zip	35S:mks1
Arabidopsis thaliana__S:BioSource:MEXP:171907	3	weeks	mo	Landsberg erecta	Arabidopsis thaliana	ncbitax	35S:mks1	leaf	  	P-MEXP-5354	P-MEXP-5353	35Smks1.2.SUB860	P-MEXP-5373	total RNA	none	EXTRACT.mks1.2.SUB860	total_RNA	P-MEXP-5345	4	biotin	RNA polymerases	LE.mks1.2.SUB860	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	HYB.mks1.2.SUB860	A-AFFY-2	ArrayExpress	P-AFFY-6	mks1.2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-173/E-MEXP-173.raw.1.zip	P-MEXP-5382	E-MEXP-173-processed-data-1342074304.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-173/E-MEXP-173.processed.1.zip	35S:mks1
Arabidopsis thaliana__S:BioSource:MEXP:171908	3	weeks	mo	Landsberg erecta	Arabidopsis thaliana	ncbitax	35S:mks1	leaf	  	P-MEXP-5354	P-MEXP-5353	35Smks1.3.SUB860	P-MEXP-5373	total RNA	none	EXTRACT.mks1.3.SUB860	total_RNA	P-MEXP-5346	4	biotin	RNA polymerases	LE.mks1.3.SUB860	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	HYB.mks1.3.SUB860	A-AFFY-2	ArrayExpress	P-AFFY-6	mks1.3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-173/E-MEXP-173.raw.1.zip	P-MEXP-5382	E-MEXP-173-processed-data-1342074304.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-173/E-MEXP-173.processed.1.zip	35S:mks1
Arabidopsis thaliana__S:BioSource:MEXP:171909	3	weeks	mo	Landsberg erecta	Arabidopsis thaliana	ncbitax	mpk4 mutant	leaf	  	P-MEXP-5354	P-MEXP-5353	mpk4.1.SUB860	P-MEXP-5373	total RNA	none	EXTRACT.mpk4.1.SUB860	total_RNA	P-MEXP-5346	4	biotin	RNA polymerases	LE.mpk4.1.SUB860	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	HYB.mpk4.1.SUB860	A-AFFY-2	ArrayExpress	P-AFFY-6	mpk4_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-173/E-MEXP-173.raw.1.zip	P-MEXP-5382	E-MEXP-173-processed-data-1342074304.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-173/E-MEXP-173.processed.1.zip	mpk4 mutant
Arabidopsis thaliana__S:BioSource:MEXP:171910	3	weeks	mo	Landsberg erecta	Arabidopsis thaliana	ncbitax	mpk4 mutant	leaf	  	P-MEXP-5354	P-MEXP-5353	mpk4.2.SUB860	P-MEXP-5373	total RNA	none	EXTRACT.mpk4.2.SUB860	total_RNA	P-MEXP-5346	4	biotin	RNA polymerases	LE.mpk4.2.SUB860	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	HYB.mpk4.2.SUB860	A-AFFY-2	ArrayExpress	P-AFFY-6	mpk4_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-173/E-MEXP-173.raw.1.zip	P-MEXP-5382	E-MEXP-173-processed-data-1342074304.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-173/E-MEXP-173.processed.1.zip	mpk4 mutant
Arabidopsis thaliana	3	weeks	mo	Landsberg erecta	Arabidopsis thaliana	ncbitax	mpk4 mutant	leaf	  	P-MEXP-5354	P-MEXP-5353	mpk4.3.SUB860	P-MEXP-5373	total RNA	none	EXTRACT.mpk4.3.SUB860	total_RNA	P-MEXP-5346	4	biotin	RNA polymerases	LE.mpk4.3.SUB860	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	HYB.mpk4.3.SUB860	A-AFFY-2	ArrayExpress	P-AFFY-6	mpk4_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-173/E-MEXP-173.raw.1.zip	P-MEXP-5382	E-MEXP-173-processed-data-1342074304.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-173/E-MEXP-173.processed.1.zip	mpk4 mutant
Arabidopsis thaliana__S:BioSource:MEXP:171904	3	weeks	mo	Columbia	Arabidopsis thaliana	ncbitax	  	leaf	wild_type	P-MEXP-5354	P-MEXP-5353	wildtype.2.SUB860	P-MEXP-5373	total RNA	none	EXTRACT.wt.2.SUB860	total_RNA	P-MEXP-5346	4	biotin	RNA polymerases	LE.wt.2.SUB860	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	HYB.wt.2.SUB860	A-AFFY-2	ArrayExpress	P-AFFY-6	col_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-173/E-MEXP-173.raw.1.zip	P-MEXP-5382	E-MEXP-173-processed-data-1342074610.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-173/E-MEXP-173.processed.1.zip	wild_type
