Source Name	Characteristics [organism part]	Characteristics [developmental stage]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [ecotype]	Provider	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	FactorValue [ecotype]
Bla1_16_B	rosette	mid rosette growth stage	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Bla-1	NASC	P-CAGE-25828	Bla1_16_B	P-CAGE-25829	E_Bla1_16_B	total_RNA	P-CAGE-25830	L_Bla1_16_B	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_Bla1_16_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_Bla1_16_B	CHIP_413_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-27/E-ATMX-27.raw.1.zip	Bla-1
Bla1_16_A	rosette	mid rosette growth stage	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Bla-1	NASC	P-CAGE-25828	Bla1_16_A	P-CAGE-25829	E_Bla1_16_A	total_RNA	P-CAGE-25830	L_Bla1_16_A	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_Bla1_16_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_Bla1_16_A	CHIP_413_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-27/E-ATMX-27.raw.1.zip	Bla-1
Bla1_16_C	rosette	mid rosette growth stage	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Bla-1	NASC	P-CAGE-25828	Bla1_16_C	P-CAGE-25829	E_Bla1_16_C	total_RNA	P-CAGE-25830	L_Bla1_16_C	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_Bla1_16_C	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_Bla1_16_C	CHIP_413_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-27/E-ATMX-27.raw.1.zip	Bla-1
BH_16_C	rosette	mid rosette growth stage	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Bla-1 x Hh-0	NASC	P-CAGE-25828	BH_16_C	P-CAGE-25829	E_BH_16_C	total_RNA	P-CAGE-25830	L_BH_16_C	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_BH_16_C	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_BH_16_C	CHIP_415_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-27/E-ATMX-27.raw.1.zip	Bla-1 x Hh-0
BH_16_B	rosette	mid rosette growth stage	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Bla-1 x Hh-0	NASC	P-CAGE-25828	BH_16_B	P-CAGE-25829	E_BH_16_B	total_RNA	P-CAGE-25830	L_BH_16_B	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_BH_16_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_BH_16_B	CHIP_415_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-27/E-ATMX-27.raw.1.zip	Bla-1 x Hh-0
BH_16_A	rosette	mid rosette growth stage	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Bla-1 x Hh-0	NASC	P-CAGE-25828	BH_16_A	P-CAGE-25829	E_BH_16_A	total_RNA	P-CAGE-25830	L_BH_16_A	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_BH_16_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_BH_16_A	CHIP_415_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-27/E-ATMX-27.raw.1.zip	Bla-1 x Hh-0
Hh0_16_C	rosette	mid rosette growth stage	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Hh-0	NASC	P-CAGE-25828	Hh0_16_C	P-CAGE-25829	E_Hh0_16_C	total_RNA	P-CAGE-25830	L_Hh0_16_C	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_Hh0_16_C	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_Hh0_16_C	CHIP_414_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-27/E-ATMX-27.raw.1.zip	Hh-0
Hh0_16_B	rosette	mid rosette growth stage	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Hh-0	NASC	P-CAGE-25828	Hh0_16_B	P-CAGE-25829	E_Hh0_16_B	total_RNA	P-CAGE-25830	L_Hh0_16_B	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_Hh0_16_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_Hh0_16_B	CHIP_414_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-27/E-ATMX-27.raw.1.zip	Hh-0
Hh0_16_A	rosette	mid rosette growth stage	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Hh-0	NASC	P-CAGE-25828	Hh0_16_A	P-CAGE-25829	E_Hh0_16_A	total_RNA	P-CAGE-25830	L_Hh0_16_A	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_Hh0_16_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_Hh0_16_A	CHIP_414_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-27/E-ATMX-27.raw.1.zip	Hh-0
Mir0_16_C	rosette	mid rosette growth stage	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Mir-0	NASC	P-CAGE-25828	Mir0_16_C	P-CAGE-25829	E_Mir0_16_C	total_RNA	P-CAGE-25830	L_Mir0_16_C	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_Mir0_16_C	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_Mir0_16_C	CHIP_416_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-27/E-ATMX-27.raw.1.zip	Mir-0
