Source Name	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [genotype]	Characteristics [ecotype]	Term Source REF	Term Accession Number	Characteristics [organism]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [treatment]
GSM1375897 1	Col:LUC grown on B5 media supplemented with 4.5 �M Naphtalenacetic acid and treated with AA	Naphtalenacetic acid +AA 3	AOX1a:LUC	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE57140-2	ArrayExpress	P-GSE57140-3	ArrayExpress	P-GSE57140-4	ArrayExpress	GSM1375897 extract 1	total RNA	P-GSE57140-5	ArrayExpress	GSM1375897 LE 1	Biotin	P-GSE57140-6	ArrayExpress	GSM1375897	A-AFFY-2	ArrayExpress	array assay	P-GSE57140-7	ArrayExpress	GSM1375897_12_NAA_+AA_3_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57140/E-GEOD-57140.raw.1.zip	P-GSE57140-1	ArrayExpress	GSM1375897_sample_table.txt norm	GSM1375897_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57140/E-GEOD-57140.processed.1.zip	4.5 micromolar Naphtalenacetic acid and 50 micromolar antimycin A
GSM1375896 1	Col:LUC grown on B5 media supplemented with 4.5 �M Naphtalenacetic acid and treated with AA	Naphtalenacetic acid +AA 2	AOX1a:LUC	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE57140-2	ArrayExpress	P-GSE57140-3	ArrayExpress	P-GSE57140-4	ArrayExpress	GSM1375896 extract 1	total RNA	P-GSE57140-5	ArrayExpress	GSM1375896 LE 1	Biotin	P-GSE57140-6	ArrayExpress	GSM1375896	A-AFFY-2	ArrayExpress	array assay	P-GSE57140-7	ArrayExpress	GSM1375896_11_NAA_+AA_2_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57140/E-GEOD-57140.raw.1.zip	P-GSE57140-1	ArrayExpress	GSM1375896_sample_table.txt norm	GSM1375896_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57140/E-GEOD-57140.processed.1.zip	4.5 micromolar Naphtalenacetic acid and 50 micromolar antimycin A
GSM1375895 1	Col:LUC grown on B5 media supplemented with 4.5 �M Naphtalenacetic acid and treated with AA	Naphtalenacetic acid +AA 1	AOX1a:LUC	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE57140-2	ArrayExpress	P-GSE57140-3	ArrayExpress	P-GSE57140-4	ArrayExpress	GSM1375895 extract 1	total RNA	P-GSE57140-5	ArrayExpress	GSM1375895 LE 1	Biotin	P-GSE57140-6	ArrayExpress	GSM1375895	A-AFFY-2	ArrayExpress	array assay	P-GSE57140-7	ArrayExpress	GSM1375895_10_NAA_+AA_1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57140/E-GEOD-57140.raw.1.zip	P-GSE57140-1	ArrayExpress	GSM1375895_sample_table.txt norm	GSM1375895_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57140/E-GEOD-57140.processed.1.zip	4.5 micromolar Naphtalenacetic acid and 50 micromolar antimycin A
GSM1375894 1	Col:LUC grown on B5 media supplemented with 4.5 �M Naphtalenacetic acid and untreated	Naphtalenacetic acid -AA 3	AOX1a:LUC	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE57140-2	ArrayExpress	P-GSE57140-3	ArrayExpress	P-GSE57140-4	ArrayExpress	GSM1375894 extract 1	total RNA	P-GSE57140-5	ArrayExpress	GSM1375894 LE 1	Biotin	P-GSE57140-6	ArrayExpress	GSM1375894	A-AFFY-2	ArrayExpress	array assay	P-GSE57140-7	ArrayExpress	GSM1375894_9_NAA_-AA_3_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57140/E-GEOD-57140.raw.1.zip	P-GSE57140-1	ArrayExpress	GSM1375894_sample_table.txt norm	GSM1375894_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57140/E-GEOD-57140.processed.1.zip	4.5 micromolar Naphtalenacetic acid
GSM1375893 1	Col:LUC grown on B5 media supplemented with 4.5 �M Naphtalenacetic acid and untreated	Naphtalenacetic acid -AA 2	AOX1a:LUC	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE57140-2	ArrayExpress	P-GSE57140-3	ArrayExpress	P-GSE57140-4	ArrayExpress	GSM1375893 extract 1	total RNA	P-GSE57140-5	ArrayExpress	GSM1375893 LE 1	Biotin	P-GSE57140-6	ArrayExpress	GSM1375893	A-AFFY-2	ArrayExpress	array assay	P-GSE57140-7	ArrayExpress	GSM1375893_8_NAA_-AA_2_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57140/E-GEOD-57140.raw.1.zip	P-GSE57140-1	ArrayExpress	GSM1375893_sample_table.txt norm	GSM1375893_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57140/E-GEOD-57140.processed.1.zip	4.5 micromolar Naphtalenacetic acid
GSM1375892 1	Col:LUC grown on B5 media supplemented with 4.5 �M Naphtalenacetic acid and untreated	Naphtalenacetic acid -AA 1	AOX1a:LUC	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE57140-2	ArrayExpress	P-GSE57140-3	ArrayExpress	P-GSE57140-4	ArrayExpress	GSM1375892 extract 1	total RNA	P-GSE57140-5	ArrayExpress	GSM1375892 LE 1	Biotin	P-GSE57140-6	ArrayExpress	GSM1375892	A-AFFY-2	ArrayExpress	array assay	P-GSE57140-7	ArrayExpress	GSM1375892_7_NAA_-AA_1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57140/E-GEOD-57140.raw.1.zip	P-GSE57140-1	ArrayExpress	GSM1375892_sample_table.txt norm	GSM1375892_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57140/E-GEOD-57140.processed.1.zip	4.5 micromolar Naphtalenacetic acid
GSM1375891 1	Col:LUC grown on B5 media and treated with AA	B5 +AA 3	AOX1a:LUC	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE57140-2	ArrayExpress	P-GSE57140-3	ArrayExpress	P-GSE57140-4	ArrayExpress	GSM1375891 extract 1	total RNA	P-GSE57140-5	ArrayExpress	GSM1375891 LE 1	Biotin	P-GSE57140-6	ArrayExpress	GSM1375891	A-AFFY-2	ArrayExpress	array assay	P-GSE57140-7	ArrayExpress	GSM1375891_6_B5_+AA_3_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57140/E-GEOD-57140.raw.1.zip	P-GSE57140-1	ArrayExpress	GSM1375891_sample_table.txt norm	GSM1375891_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57140/E-GEOD-57140.processed.1.zip	50 micromolar antimycin A
GSM1375890 1	Col:LUC grown on B5 media and treated with AA	B5 +AA 2	AOX1a:LUC	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE57140-2	ArrayExpress	P-GSE57140-3	ArrayExpress	P-GSE57140-4	ArrayExpress	GSM1375890 extract 1	total RNA	P-GSE57140-5	ArrayExpress	GSM1375890 LE 1	Biotin	P-GSE57140-6	ArrayExpress	GSM1375890	A-AFFY-2	ArrayExpress	array assay	P-GSE57140-7	ArrayExpress	GSM1375890_5_B5_+AA_2_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57140/E-GEOD-57140.raw.1.zip	P-GSE57140-1	ArrayExpress	GSM1375890_sample_table.txt norm	GSM1375890_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57140/E-GEOD-57140.processed.1.zip	50 micromolar antimycin A
GSM1375889 1	Col:LUC grown on B5 media and treated with AA	B5 +AA 1	AOX1a:LUC	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE57140-2	ArrayExpress	P-GSE57140-3	ArrayExpress	P-GSE57140-4	ArrayExpress	GSM1375889 extract 1	total RNA	P-GSE57140-5	ArrayExpress	GSM1375889 LE 1	Biotin	P-GSE57140-6	ArrayExpress	GSM1375889	A-AFFY-2	ArrayExpress	array assay	P-GSE57140-7	ArrayExpress	GSM1375889_4_B5_+AA_1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57140/E-GEOD-57140.raw.1.zip	P-GSE57140-1	ArrayExpress	GSM1375889_sample_table.txt norm	GSM1375889_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57140/E-GEOD-57140.processed.1.zip	50 micromolar antimycin A
GSM1375888 1	Col:LUC grown on B5 media and untreated	B5 -AA 3	AOX1a:LUC	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE57140-2	ArrayExpress	P-GSE57140-3	ArrayExpress	P-GSE57140-4	ArrayExpress	GSM1375888 extract 1	total RNA	P-GSE57140-5	ArrayExpress	GSM1375888 LE 1	Biotin	P-GSE57140-6	ArrayExpress	GSM1375888	A-AFFY-2	ArrayExpress	array assay	P-GSE57140-7	ArrayExpress	GSM1375888_3_B5_-AA_3_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57140/E-GEOD-57140.raw.1.zip	P-GSE57140-1	ArrayExpress	GSM1375888_sample_table.txt norm	GSM1375888_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57140/E-GEOD-57140.processed.1.zip	none
