Source Name	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[CellLine]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [COMPOUND]	FactorValue [TREATMENT DURATION]	Unit[TimeUnit]
GSM707792 1	T87 cultured cell, ABA+JA, 24hr	ABA JA 24h-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T87	P-GSE28600-18	P-GSE28600-3	P-GSE28600-4	GSM707792 extract 1	total RNA	P-GSE28600-5	GSM707792 LE 1	biotin	P-GSE28600-6	GSM707792	A-AFFY-2	P-GSE28600-7	P-GSE28600-8	GSM707792.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.raw.1.zip	P-GSE28600-1	GSM707792_sample_table.txt norm	GSM707792_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.processed.1.zip	abscisic acid and jasmonic acid	24	hours
GSM707791 1	T87 cultured cell, ABA+JA, 24hr	ABA JA 24h-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T87	P-GSE28600-18	P-GSE28600-3	P-GSE28600-4	GSM707791 extract 1	total RNA	P-GSE28600-5	GSM707791 LE 1	biotin	P-GSE28600-6	GSM707791	A-AFFY-2	P-GSE28600-7	P-GSE28600-8	GSM707791.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.raw.1.zip	P-GSE28600-1	GSM707791_sample_table.txt norm	GSM707791_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.processed.1.zip	abscisic acid and jasmonic acid	24	hours
GSM707790 1	T87 cultured cell, ABA+JA, 3hr	ABA SA 3h-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T87	P-GSE28600-17	P-GSE28600-3	P-GSE28600-4	GSM707790 extract 1	total RNA	P-GSE28600-5	GSM707790 LE 1	biotin	P-GSE28600-6	GSM707790	A-AFFY-2	P-GSE28600-7	P-GSE28600-8	GSM707790.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.raw.1.zip	P-GSE28600-1	GSM707790_sample_table.txt norm	GSM707790_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.processed.1.zip	abscisic acid and jasmonic acid	3	hours
GSM707789 1	T87 cultured cell, ABA+JA, 3hr	ABA SA 3h-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T87	P-GSE28600-17	P-GSE28600-3	P-GSE28600-4	GSM707789 extract 1	total RNA	P-GSE28600-5	GSM707789 LE 1	biotin	P-GSE28600-6	GSM707789	A-AFFY-2	P-GSE28600-7	P-GSE28600-8	GSM707789.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.raw.1.zip	P-GSE28600-1	GSM707789_sample_table.txt norm	GSM707789_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.processed.1.zip	abscisic acid and jasmonic acid	3	hours
GSM707788 1	T87 cultured cell, JA, 24hr	JA 24h-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T87	P-GSE28600-16	P-GSE28600-3	P-GSE28600-4	GSM707788 extract 1	total RNA	P-GSE28600-5	GSM707788 LE 1	biotin	P-GSE28600-6	GSM707788	A-AFFY-2	P-GSE28600-7	P-GSE28600-8	GSM707788.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.raw.1.zip	P-GSE28600-1	GSM707788_sample_table.txt norm	GSM707788_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.processed.1.zip	jasmonic acid	24	hours
GSM707787 1	T87 cultured cell, JA, 24hr	JA 24h-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T87	P-GSE28600-16	P-GSE28600-3	P-GSE28600-4	GSM707787 extract 1	total RNA	P-GSE28600-5	GSM707787 LE 1	biotin	P-GSE28600-6	GSM707787	A-AFFY-2	P-GSE28600-7	P-GSE28600-8	GSM707787.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.raw.1.zip	P-GSE28600-1	GSM707787_sample_table.txt norm	GSM707787_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.processed.1.zip	jasmonic acid	24	hours
GSM707786 1	T87 cultured cell, JA, 3hr	JA 3h-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T87	P-GSE28600-15	P-GSE28600-3	P-GSE28600-4	GSM707786 extract 1	total RNA	P-GSE28600-5	GSM707786 LE 1	biotin	P-GSE28600-6	GSM707786	A-AFFY-2	P-GSE28600-7	P-GSE28600-8	GSM707786.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.raw.1.zip	P-GSE28600-1	GSM707786_sample_table.txt norm	GSM707786_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.processed.1.zip	jasmonic acid	3	hours
GSM707785 1	T87 cultured cell, JA, 3hr	JA 3h-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T87	P-GSE28600-15	P-GSE28600-3	P-GSE28600-4	GSM707785 extract 1	total RNA	P-GSE28600-5	GSM707785 LE 1	biotin	P-GSE28600-6	GSM707785	A-AFFY-2	P-GSE28600-7	P-GSE28600-8	GSM707785.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.raw.1.zip	P-GSE28600-1	GSM707785_sample_table.txt norm	GSM707785_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.processed.1.zip	jasmonic acid	3	hours
GSM707784 1	T87 cultured cell, ABA+SA, 24hr	ABA SA 24h-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T87	P-GSE28600-14	P-GSE28600-3	P-GSE28600-4	GSM707784 extract 1	total RNA	P-GSE28600-5	GSM707784 LE 1	biotin	P-GSE28600-6	GSM707784	A-AFFY-2	P-GSE28600-7	P-GSE28600-8	GSM707784.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.raw.1.zip	P-GSE28600-1	GSM707784_sample_table.txt norm	GSM707784_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.processed.1.zip	abscisic acid and salicylic acid	24	hours
GSM707783 1	T87 cultured cell, ABA+SA, 24hr	ABA SA 24h-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T87	P-GSE28600-14	P-GSE28600-3	P-GSE28600-4	GSM707783 extract 1	total RNA	P-GSE28600-5	GSM707783 LE 1	biotin	P-GSE28600-6	GSM707783	A-AFFY-2	P-GSE28600-7	P-GSE28600-8	GSM707783.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.raw.1.zip	P-GSE28600-1	GSM707783_sample_table.txt norm	GSM707783_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.processed.1.zip	abscisic acid and salicylic acid	24	hours
