Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Characteristics [background]	Characteristics [condition]	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [BACKGROUND]	FactorValue [CONDITION]	FactorValue [GENOTYPE]
GSM1088449 1	10h2 Gene expression at heat shock condition (37�C for 1 hr).	whole seedling of 7-day-old plants at 37�C for 1 hr, overexpression of HSFA2 in QK	A2QK HS-2	7 days	mixed (Col-0 and Ws)	heat shock (37�C)	overexpression of HSFA2 in QK (hsfa1 quadruple mutant)	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedling	P-GSE44655-2	ArrayExpress	P-GSE44655-3	ArrayExpress	P-GSE44655-4	ArrayExpress	GSM1088449 extract 1	total RNA	P-GSE44655-5	ArrayExpress	GSM1088449 LE 1	biotin	P-GSE44655-6	ArrayExpress	GSM1088449	A-AFFY-2	ArrayExpress	array assay	P-GSE44655-7	ArrayExpress	GSM1088449_10h2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44655/E-GEOD-44655.raw.1.zip	P-GSE44655-1	ArrayExpress	GSM1088449_sample_table.txt norm	GSM1088449_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44655/E-GEOD-44655.processed.1.zip	mixed (Col-0 and Ws)	heat shock (37�C)	overexpression of HSFA2 in QK (hsfa1 quadruple mutant)
GSM1088448 1	10h1 Gene expression at heat shock condition (37�C for 1 hr).	whole seedling of 7-day-old plants at 37�C for 1 hr, overexpression of HSFA2 in QK	A2QK HS-1	7 days	mixed (Col-0 and Ws)	heat shock (37�C)	overexpression of HSFA2 in QK (hsfa1 quadruple mutant)	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedling	P-GSE44655-2	ArrayExpress	P-GSE44655-3	ArrayExpress	P-GSE44655-4	ArrayExpress	GSM1088448 extract 1	total RNA	P-GSE44655-5	ArrayExpress	GSM1088448 LE 1	biotin	P-GSE44655-6	ArrayExpress	GSM1088448	A-AFFY-2	ArrayExpress	array assay	P-GSE44655-7	ArrayExpress	GSM1088448_10h1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44655/E-GEOD-44655.raw.1.zip	P-GSE44655-1	ArrayExpress	GSM1088448_sample_table.txt norm	GSM1088448_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44655/E-GEOD-44655.processed.1.zip	mixed (Col-0 and Ws)	heat shock (37�C)	overexpression of HSFA2 in QK (hsfa1 quadruple mutant)
GSM1088447 1	qh2 Gene expression at heat shock condition (37�C for 1 hr).	whole seedling of 7-day-old plants at 37�C for 1 hr, hsfa1 quadruple mutant (QK)	QK HS-2	7 days	mixed (Col-0 and Ws)	heat shock (37�C)	hsfa1 quadruple mutant (QK)	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedling	P-GSE44655-2	ArrayExpress	P-GSE44655-3	ArrayExpress	P-GSE44655-4	ArrayExpress	GSM1088447 extract 1	total RNA	P-GSE44655-5	ArrayExpress	GSM1088447 LE 1	biotin	P-GSE44655-6	ArrayExpress	GSM1088447	A-AFFY-2	ArrayExpress	array assay	P-GSE44655-7	ArrayExpress	GSM1088447_qh2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44655/E-GEOD-44655.raw.1.zip	P-GSE44655-1	ArrayExpress	GSM1088447_sample_table.txt norm	GSM1088447_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44655/E-GEOD-44655.processed.1.zip	mixed (Col-0 and Ws)	heat shock (37�C)	hsfa1 quadruple mutant (QK)
GSM1088446 1	qh1 Gene expression at heat shock condition (37�C for 1 hr).	whole seedling of 7-day-old plants at 37�C for 1 hr, hsfa1 quadruple mutant (QK)	QK HS-1	7 days	mixed (Col-0 and Ws)	heat shock (37�C)	hsfa1 quadruple mutant (QK)	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedling	P-GSE44655-2	ArrayExpress	P-GSE44655-3	ArrayExpress	P-GSE44655-4	ArrayExpress	GSM1088446 extract 1	total RNA	P-GSE44655-5	ArrayExpress	GSM1088446 LE 1	biotin	P-GSE44655-6	ArrayExpress	GSM1088446	A-AFFY-2	ArrayExpress	array assay	P-GSE44655-7	ArrayExpress	GSM1088446_qh1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44655/E-GEOD-44655.raw.1.zip	P-GSE44655-1	ArrayExpress	GSM1088446_sample_table.txt norm	GSM1088446_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44655/E-GEOD-44655.processed.1.zip	mixed (Col-0 and Ws)	heat shock (37�C)	hsfa1 quadruple mutant (QK)
GSM1088445 1	a2h2 Gene expression at heat shock condition (37�C for 1 hr).	whole seedling of 7-day-old plants at 37�C for 1 hr, hsfa2 KO mutant	hsfa2 KO HS-2	7 days	Col-0	heat shock (37�C)	hsfa2 KO mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedling	P-GSE44655-2	ArrayExpress	P-GSE44655-3	ArrayExpress	P-GSE44655-4	ArrayExpress	GSM1088445 extract 1	total RNA	P-GSE44655-5	ArrayExpress	GSM1088445 LE 1	biotin	P-GSE44655-6	ArrayExpress	GSM1088445	A-AFFY-2	ArrayExpress	array assay	P-GSE44655-7	ArrayExpress	GSM1088445_a2h2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44655/E-GEOD-44655.raw.1.zip	P-GSE44655-1	ArrayExpress	GSM1088445_sample_table.txt norm	GSM1088445_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44655/E-GEOD-44655.processed.1.zip	Col-0	heat shock (37�C)	hsfa2 KO mutant
GSM1088444 1	a2h1 Gene expression at heat shock condition (37�C for 1 hr).	whole seedling of 7-day-old plants at 37�C for 1 hr, hsfa2 KO mutant	hsfa2 KO HS-1	7 days	Col-0	heat shock (37�C)	hsfa2 KO mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedling	P-GSE44655-2	ArrayExpress	P-GSE44655-3	ArrayExpress	P-GSE44655-4	ArrayExpress	GSM1088444 extract 1	total RNA	P-GSE44655-5	ArrayExpress	GSM1088444 LE 1	biotin	P-GSE44655-6	ArrayExpress	GSM1088444	A-AFFY-2	ArrayExpress	array assay	P-GSE44655-7	ArrayExpress	GSM1088444_a2h1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44655/E-GEOD-44655.raw.1.zip	P-GSE44655-1	ArrayExpress	GSM1088444_sample_table.txt norm	GSM1088444_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44655/E-GEOD-44655.processed.1.zip	Col-0	heat shock (37�C)	hsfa2 KO mutant
GSM1088443 1	ch2 Gene expression at heat shock condition (37�C for 1 hr).	whole seedling of 7-day-old plants at 37�C for 1 hr, wild type	Wild type (Col-0) HS-2	7 days	Col-0	heat shock (37�C)	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedling	P-GSE44655-2	ArrayExpress	P-GSE44655-3	ArrayExpress	P-GSE44655-4	ArrayExpress	GSM1088443 extract 1	total RNA	P-GSE44655-5	ArrayExpress	GSM1088443 LE 1	biotin	P-GSE44655-6	ArrayExpress	GSM1088443	A-AFFY-2	ArrayExpress	array assay	P-GSE44655-7	ArrayExpress	GSM1088443_ch2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44655/E-GEOD-44655.raw.1.zip	P-GSE44655-1	ArrayExpress	GSM1088443_sample_table.txt norm	GSM1088443_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44655/E-GEOD-44655.processed.1.zip	Col-0	heat shock (37�C)	wild type
GSM1088442 1	ch1 Gene expression at heat shock condition (37�C for 1 hr).	whole seedling of 7-day-old plants at 37�C for 1 hr, wild type	Wild type (Col-0) HS-1	7 days	Col-0	heat shock (37�C)	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedling	P-GSE44655-2	ArrayExpress	P-GSE44655-3	ArrayExpress	P-GSE44655-4	ArrayExpress	GSM1088442 extract 1	total RNA	P-GSE44655-5	ArrayExpress	GSM1088442 LE 1	biotin	P-GSE44655-6	ArrayExpress	GSM1088442	A-AFFY-2	ArrayExpress	array assay	P-GSE44655-7	ArrayExpress	GSM1088442_ch1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44655/E-GEOD-44655.raw.1.zip	P-GSE44655-1	ArrayExpress	GSM1088442_sample_table.txt norm	GSM1088442_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44655/E-GEOD-44655.processed.1.zip	Col-0	heat shock (37�C)	wild type
GSM1088441 1	10c2 Gene expression at control condition (22�C).	whole seedling of 7-day-old plants at control condition, overexpression of HSFA2 in QK	A2QK control-2	7 days	mixed (Col-0 and Ws)	control (22�C)	overexpression of HSFA2 in QK (hsfa1 quadruple mutant)	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedling	P-GSE44655-2	ArrayExpress	P-GSE44655-3	ArrayExpress	P-GSE44655-4	ArrayExpress	GSM1088441 extract 1	total RNA	P-GSE44655-5	ArrayExpress	GSM1088441 LE 1	biotin	P-GSE44655-6	ArrayExpress	GSM1088441	A-AFFY-2	ArrayExpress	array assay	P-GSE44655-7	ArrayExpress	GSM1088441_10c2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44655/E-GEOD-44655.raw.1.zip	P-GSE44655-1	ArrayExpress	GSM1088441_sample_table.txt norm	GSM1088441_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44655/E-GEOD-44655.processed.1.zip	mixed (Col-0 and Ws)	control (22�C)	overexpression of HSFA2 in QK (hsfa1 quadruple mutant)
GSM1088440 1	10c1 Gene expression at control condition (22�C).	whole seedling of 7-day-old plants at control condition, overexpression of HSFA2 in QK	A2QK control-1	7 days	mixed (Col-0 and Ws)	control (22�C)	overexpression of HSFA2 in QK (hsfa1 quadruple mutant)	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedling	P-GSE44655-2	ArrayExpress	P-GSE44655-3	ArrayExpress	P-GSE44655-4	ArrayExpress	GSM1088440 extract 1	total RNA	P-GSE44655-5	ArrayExpress	GSM1088440 LE 1	biotin	P-GSE44655-6	ArrayExpress	GSM1088440	A-AFFY-2	ArrayExpress	array assay	P-GSE44655-7	ArrayExpress	GSM1088440_10c1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44655/E-GEOD-44655.raw.1.zip	P-GSE44655-1	ArrayExpress	GSM1088440_sample_table.txt norm	GSM1088440_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44655/E-GEOD-44655.processed.1.zip	mixed (Col-0 and Ws)	control (22�C)	overexpression of HSFA2 in QK (hsfa1 quadruple mutant)
