Source Name	Comment[time]	Characteristics [BioSourceProvider]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [CellType]	Comment [sample size]	Characteristics [Ecotype]	Comment [Sample_description]	Comment [Sample_source_name]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Factor Value [CELL TYPE]	Factor Value [PROTOCOL TYPE]
GSM546575 1	21 days post challenge with M. incognita	Valentina Carballo	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	laser captured giant cells	~ 80 cells	Columbia ecotype	cDNA amplified from total RNA isolated from giant cells	LCM of Arabidopsis giant cells	P-GSE21981-10	P-GSE21981-9	P-GSE21981-3	GSM546575 extract 1	total_RNA	P-GSE21981-5	GSM546575 LE 1	biotin	unknown	P-GSE21981-6	P-GSE21981-7	GSM546575	A-AFFY-2	P-GSE21981-8	GSM546575.CEL	GSM546575.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21981/E-GEOD-21981.raw.1.zip	P-GSE21981-1	E-GEOD-21981-processed-data-2495369723.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21981/E-GEOD-21981.processed.1.zip	laser captured giant cells	NuGEN WT-Ovation Pico
GSM546563 1	21 days post challenge with M. incognita	Valentina Carballo	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	laser captured giant cells	~ 80 cells	Columbia ecotype	cDNA amplified from total RNA isolated from giant cells	LCM of Arabidopsis giant cells	P-GSE21981-4	P-GSE21981-9	P-GSE21981-3	GSM546563 extract 1	total_RNA	P-GSE21981-5	GSM546563 LE 1	biotin	unknown	P-GSE21981-6	P-GSE21981-7	GSM546563	A-AFFY-2	P-GSE21981-8	GSM546563.CEL	GSM546563.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21981/E-GEOD-21981.raw.1.zip	P-GSE21981-1	E-GEOD-21981-processed-data-2495369723.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21981/E-GEOD-21981.processed.1.zip	laser captured giant cells	NuGEN WT-Ovation One-Direct
GSM546559 1	21 days post challenge with M. incognita	Valentina Carballo	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	laser captured control root cells	~ 150 cells	Columbia ecotype	cDNA amplified from total RNA isolated from control root cells	LCM of Arabidopsis control root cells	P-GSE21981-4	P-GSE21981-2	P-GSE21981-3	GSM546559 extract 1	total_RNA	P-GSE21981-5	GSM546559 LE 1	biotin	unknown	P-GSE21981-6	P-GSE21981-7	GSM546559	A-AFFY-2	P-GSE21981-8	GSM546559.CEL	GSM546559.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21981/E-GEOD-21981.raw.1.zip	P-GSE21981-1	E-GEOD-21981-processed-data-2495369723.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21981/E-GEOD-21981.processed.1.zip	laser captured control root cells	NuGEN WT-Ovation One-Direct
GSM546576 1	21 days post challenge with M. incognita	Valentina Carballo	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	laser captured giant cells	~ 80 cells	Columbia ecotype	cDNA amplified from total RNA isolated from giant cells	LCM of Arabidopsis giant cells	P-GSE21981-10	P-GSE21981-9	P-GSE21981-3	GSM546576 extract 1	total_RNA	P-GSE21981-5	GSM546576 LE 1	biotin	unknown	P-GSE21981-6	P-GSE21981-7	GSM546576	A-AFFY-2	P-GSE21981-8	GSM546576.CEL	GSM546576.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21981/E-GEOD-21981.raw.1.zip	P-GSE21981-1	E-GEOD-21981-processed-data-2495369723.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21981/E-GEOD-21981.processed.1.zip	laser captured giant cells	NuGEN WT-Ovation Pico
GSM546564 1	21 days post challenge with M. incognita	Valentina Carballo	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	laser captured giant cells	~ 80 cells	Columbia ecotype	cDNA amplified from total RNA isolated from giant cells	LCM of Arabidopsis giant cells	P-GSE21981-4	P-GSE21981-9	P-GSE21981-3	GSM546564 extract 1	total_RNA	P-GSE21981-5	GSM546564 LE 1	biotin	unknown	P-GSE21981-6	P-GSE21981-7	GSM546564	A-AFFY-2	P-GSE21981-8	GSM546564.CEL	GSM546564.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21981/E-GEOD-21981.raw.1.zip	P-GSE21981-1	E-GEOD-21981-processed-data-2495369723.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21981/E-GEOD-21981.processed.1.zip	laser captured giant cells	NuGEN WT-Ovation One-Direct
GSM546562 1	21 days post challenge with M. incognita	Valentina Carballo	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	laser captured control root cells	~ 150 cells	Columbia ecotype	cDNA amplified from total RNA isolated from control root cells	LCM of Arabidopsis control root cells	P-GSE21981-4	P-GSE21981-2	P-GSE21981-3	GSM546562 extract 1	total_RNA	P-GSE21981-5	GSM546562 LE 1	biotin	unknown	P-GSE21981-6	P-GSE21981-7	GSM546562	A-AFFY-2	P-GSE21981-8	GSM546562.CEL	GSM546562.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21981/E-GEOD-21981.raw.1.zip	P-GSE21981-1	E-GEOD-21981-processed-data-2495369723.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21981/E-GEOD-21981.processed.1.zip	laser captured control root cells	NuGEN WT-Ovation One-Direct
GSM546572 1	21 days post challenge with M. incognita	Valentina Carballo	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	laser captured control root cells	~ 150 cells	Columbia ecotype	cDNA amplified from total RNA isolated from control root cells	LCM of Arabidopsis control root cells	P-GSE21981-10	P-GSE21981-2	P-GSE21981-3	GSM546572 extract 1	total_RNA	P-GSE21981-5	GSM546572 LE 1	biotin	unknown	P-GSE21981-6	P-GSE21981-7	GSM546572	A-AFFY-2	P-GSE21981-8	GSM546572.CEL	GSM546572.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21981/E-GEOD-21981.raw.1.zip	P-GSE21981-1	E-GEOD-21981-processed-data-2495369723.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21981/E-GEOD-21981.processed.1.zip	laser captured control root cells	NuGEN WT-Ovation Pico
GSM546567 1	21 days post challenge with M. incognita	Valentina Carballo	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	laser captured giant cells	~ 80 cells	Columbia ecotype	cDNA amplified from total RNA isolated from giant cells	LCM of Arabidopsis giant cells	P-GSE21981-4	P-GSE21981-9	P-GSE21981-3	GSM546567 extract 1	total_RNA	P-GSE21981-5	GSM546567 LE 1	biotin	unknown	P-GSE21981-6	P-GSE21981-7	GSM546567	A-AFFY-2	P-GSE21981-8	GSM546567.CEL	GSM546567.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21981/E-GEOD-21981.raw.1.zip	P-GSE21981-1	E-GEOD-21981-processed-data-2495369723.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21981/E-GEOD-21981.processed.1.zip	laser captured giant cells	NuGEN WT-Ovation One-Direct
GSM546566 1	21 days post challenge with M. incognita	Valentina Carballo	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	laser captured giant cells	~ 80 cells	Columbia ecotype	cDNA amplified from total RNA isolated from giant cells	LCM of Arabidopsis giant cells	P-GSE21981-4	P-GSE21981-9	P-GSE21981-3	GSM546566 extract 1	total_RNA	P-GSE21981-5	GSM546566 LE 1	biotin	unknown	P-GSE21981-6	P-GSE21981-7	GSM546566	A-AFFY-2	P-GSE21981-8	GSM546566.CEL	GSM546566.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21981/E-GEOD-21981.raw.1.zip	P-GSE21981-1	E-GEOD-21981-processed-data-2495369723.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21981/E-GEOD-21981.processed.1.zip	laser captured giant cells	NuGEN WT-Ovation One-Direct
GSM546561 1	21 days post challenge with M. incognita	Valentina Carballo	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	laser captured control root cells	~ 150 cells	Columbia ecotype	cDNA amplified from total RNA isolated from control root cells	LCM of Arabidopsis control root cells	P-GSE21981-4	P-GSE21981-2	P-GSE21981-3	GSM546561 extract 1	total_RNA	P-GSE21981-5	GSM546561 LE 1	biotin	unknown	P-GSE21981-6	P-GSE21981-7	GSM546561	A-AFFY-2	P-GSE21981-8	GSM546561.CEL	GSM546561.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21981/E-GEOD-21981.raw.1.zip	P-GSE21981-1	E-GEOD-21981-processed-data-2495369723.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21981/E-GEOD-21981.processed.1.zip	laser captured control root cells	NuGEN WT-Ovation One-Direct
GSM546574 1	21 days post challenge with M. incognita	Valentina Carballo	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	laser captured giant cells	~ 80 cells	Columbia ecotype	cDNA amplified from total RNA isolated from giant cells	LCM of Arabidopsis giant cells	P-GSE21981-10	P-GSE21981-9	P-GSE21981-3	GSM546574 extract 1	total_RNA	P-GSE21981-5	GSM546574 LE 1	biotin	unknown	P-GSE21981-6	P-GSE21981-7	GSM546574	A-AFFY-2	P-GSE21981-8	GSM546574.CEL	GSM546574.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21981/E-GEOD-21981.raw.1.zip	P-GSE21981-1	E-GEOD-21981-processed-data-2495369723.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21981/E-GEOD-21981.processed.1.zip	laser captured giant cells	NuGEN WT-Ovation Pico
