Source Name	Characteristics [Age]	Characteristics [InitialTimePoint]	Characteristics [DevelopmentalStage]	Term Source REF	Term Accession Number	Characteristics [GeneticModification]	Term Source REF	Term Accession Number	Characteristics [Genotype]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [OrganismPart]	Characteristics [BioSourceType]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [GROWTH CONDITION]	Factor Value [TIME]	Unit [TimeUnit]	Factor Value [GENOTYPE]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
smz-D flc-3_day5_A	30 days	sowing	floral transition	EFO	EFO_0002683	gene_knock_out	EFO	EFO_0000506	smz-D flc-3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	apex	frozen_sample	P-MTAB-3214	P-MTAB-3213	P-MTAB-3212	smz-D flc-3_day5_A	total_RNA	P-AFFY-2	smz-D flc-3_day5_A	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	smz-D flc-3_day5_A	A-AFFY-2	P-AFFY-6	photoperiod induction	5	day	smz-D flc-3	CHIP_379_A.CEL	CHIP_379_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2041/E-MEXP-2041.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-2041-processed-data-1725077995.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2041/E-MEXP-2041.processed.1.zip
flc-3_day5_A	30 days	sowing	floral transition	EFO	EFO_0002683	gene_knock_out	EFO	EFO_0000506	flc-3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	apex	frozen_sample	P-MTAB-3214	P-MTAB-3213	P-MTAB-3212	flc-3_day5_A	total_RNA	P-AFFY-2	flc-3_day5_A	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	flc-3_day5_A	A-AFFY-2	P-AFFY-6	photoperiod induction	5	day	flc-3	CHIP_375_A.CEL	CHIP_375_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2041/E-MEXP-2041.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-2041-processed-data-1725077995.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2041/E-MEXP-2041.processed.1.zip
flc-3_day0_A	25 days	sowing	floral transition	EFO	EFO_0002683	gene_knock_out	EFO	EFO_0000506	flc-3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	apex	frozen_sample	P-MTAB-3214	P-MTAB-3213	P-MTAB-3212	flc-3_day0_A	total_RNA	P-AFFY-2	flc-3_day0_A	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	flc-3_day0_A	A-AFFY-2	P-AFFY-6	no change	0	day	flc-3	CHIP_373_A.CEL	CHIP_373_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2041/E-MEXP-2041.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-2041-processed-data-1725077995.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2041/E-MEXP-2041.processed.1.zip
smz-D flc-3_day0_A	25 days	sowing	floral transition	EFO	EFO_0002683	gene_knock_out	EFO	EFO_0000506	smz-D flc-3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	apex	frozen_sample	P-MTAB-3214	P-MTAB-3213	P-MTAB-3212	smz-D flc-3_day0_A	total_RNA	P-AFFY-2	smz-D flc-3_day0_A	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	smz-D flc-3_day0_A	A-AFFY-2	P-AFFY-6	no change	0	day	smz-D flc-3	CHIP_377_A.CEL	CHIP_377_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2041/E-MEXP-2041.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-2041-processed-data-1725077995.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2041/E-MEXP-2041.processed.1.zip
smz-D flc-3_day7_B	32 days	sowing	floral transition	EFO	EFO_0002683	gene_knock_out	EFO	EFO_0000506	smz-D flc-3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	apex	frozen_sample	P-MTAB-3214	P-MTAB-3213	P-MTAB-3212	smz-D flc-3_day7_B	total_RNA	P-AFFY-2	smz-D flc-3_day7_B	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	smz-D flc-3_day7_B	A-AFFY-2	P-AFFY-6	photoperiod induction	7	day	smz-D flc-3	CHIP_380_B.CEL	CHIP_380_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2041/E-MEXP-2041.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-2041-processed-data-1725077995.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2041/E-MEXP-2041.processed.1.zip
flc-3_day7_B	32 days	sowing	floral transition	EFO	EFO_0002683	gene_knock_out	EFO	EFO_0000506	flc-3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	apex	frozen_sample	P-MTAB-3214	P-MTAB-3213	P-MTAB-3212	flc-3_day7_B	total_RNA	P-AFFY-2	flc-3_day7_B	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	flc-3_day7_B	A-AFFY-2	P-AFFY-6	photoperiod induction	7	day	flc-3	CHIP_376_B.CEL	CHIP_376_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2041/E-MEXP-2041.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-2041-processed-data-1725077995.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2041/E-MEXP-2041.processed.1.zip
smz-D flc-3_day7_A	32 days	sowing	floral transition	EFO	EFO_0002683	gene_knock_out	EFO	EFO_0000506	smz-D flc-3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	apex	frozen_sample	P-MTAB-3214	P-MTAB-3213	P-MTAB-3212	smz-D flc-3_day7_A	total_RNA	P-AFFY-2	smz-D flc-3_day7_A	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	smz-D flc-3_day7_A	A-AFFY-2	P-AFFY-6	photoperiod induction	7	day	smz-D flc-3	CHIP_380_A.CEL	CHIP_380_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2041/E-MEXP-2041.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-2041-processed-data-1725077995.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2041/E-MEXP-2041.processed.1.zip
flc-3_day3_B	28 days	sowing	floral transition	EFO	EFO_0002683	gene_knock_out	EFO	EFO_0000506	flc-3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	apex	frozen_sample	P-MTAB-3214	P-MTAB-3213	P-MTAB-3212	flc-3_day3_B	total_RNA	P-AFFY-2	flc-3_day3_B	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	flc-3_day3_B	A-AFFY-2	P-AFFY-6	photoperiod induction	3	day	flc-3	CHIP_374_B.CEL	CHIP_374_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2041/E-MEXP-2041.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-2041-processed-data-1725077995.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2041/E-MEXP-2041.processed.1.zip
flc-3_day0_B	25 days	sowing	floral transition	EFO	EFO_0002683	gene_knock_out	EFO	EFO_0000506	flc-3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	apex	frozen_sample	P-MTAB-3214	P-MTAB-3213	P-MTAB-3212	flc-3_day0_B	total_RNA	P-AFFY-2	flc-3_day0_B	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	flc-3_day0_B	A-AFFY-2	P-AFFY-6	no change	0	day	flc-3	CHIP_373_B.CEL	CHIP_373_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2041/E-MEXP-2041.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-2041-processed-data-1725077995.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2041/E-MEXP-2041.processed.1.zip
smz-D flc-3_day3_B	28 days	sowing	floral transition	EFO	EFO_0002683	gene_knock_out	EFO	EFO_0000506	smz-D flc-3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	apex	frozen_sample	P-MTAB-3214	P-MTAB-3213	P-MTAB-3212	smz-D flc-3_day3_B	total_RNA	P-AFFY-2	smz-D flc-3_day3_B	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	smz-D flc-3_day3_B	A-AFFY-2	P-AFFY-6	photoperiod induction	3	day	smz-D flc-3	CHIP_378_B.CEL	CHIP_378_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2041/E-MEXP-2041.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-2041-processed-data-1725077995.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2041/E-MEXP-2041.processed.1.zip
