Source Name	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[genotype]	Characteristics[ecotype]	Characteristics[organism part]	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]
GSM851702 1	WT explant	WT_root induction.12h.28C_rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	Landsberg erecta	cultured explant	P-GSE34595-2	P-GSE34595-3	GSM851702 extract 1	total RNA	P-GSE34595-4	GSM851702 LE 1	Biotin	P-GSE34595-5	GSM851702	A-AFFY-2	  	P-GSE34595-6	P-GSE34595-7	GSM851702.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34595/E-GEOD-34595.raw.1.zip	P-GSE34595-1	GSM851702_sample_table.txt norm	GSM851702_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34595/E-GEOD-34595.processed.1.zip	wild type
GSM851701 1	WT explant	WT_root induction.12h.28C_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	Landsberg erecta	cultured explant	P-GSE34595-2	P-GSE34595-3	GSM851701 extract 1	total RNA	P-GSE34595-4	GSM851701 LE 1	Biotin	P-GSE34595-5	GSM851701	A-AFFY-2	  	P-GSE34595-6	P-GSE34595-7	GSM851701.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34595/E-GEOD-34595.raw.1.zip	P-GSE34595-1	GSM851701_sample_table.txt norm	GSM851701_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34595/E-GEOD-34595.processed.1.zip	wild type
GSM851700 1	rrd1 explant	rrd1_root induction.12h.28C_rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rrd1 mutant	Landsberg erecta	cultured explant	P-GSE34595-2	P-GSE34595-3	GSM851700 extract 1	total RNA	P-GSE34595-4	GSM851700 LE 1	Biotin	P-GSE34595-5	GSM851700	A-AFFY-2	  	P-GSE34595-6	P-GSE34595-7	GSM851700.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34595/E-GEOD-34595.raw.1.zip	P-GSE34595-1	GSM851700_sample_table.txt norm	GSM851700_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34595/E-GEOD-34595.processed.1.zip	rrd1 mutant
GSM851699 1	rrd1 explant	rrd1_root induction.12h.28C_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rrd1 mutant	Landsberg erecta	cultured explant	P-GSE34595-2	P-GSE34595-3	GSM851699 extract 1	total RNA	P-GSE34595-4	GSM851699 LE 1	Biotin	P-GSE34595-5	GSM851699	A-AFFY-2	  	P-GSE34595-6	P-GSE34595-7	GSM851699.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34595/E-GEOD-34595.raw.1.zip	P-GSE34595-1	GSM851699_sample_table.txt norm	GSM851699_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34595/E-GEOD-34595.processed.1.zip	rrd1 mutant
GSM851698 1	rrd2 explant	rrd2_root induction.12h.28C_rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rrd2 mutant	Landsberg erecta	cultured explant	P-GSE34595-2	P-GSE34595-3	GSM851698 extract 1	total RNA	P-GSE34595-4	GSM851698 LE 1	Biotin	P-GSE34595-5	GSM851698	A-AFFY-2	  	P-GSE34595-6	P-GSE34595-7	GSM851698.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34595/E-GEOD-34595.raw.1.zip	P-GSE34595-1	GSM851698_sample_table.txt norm	GSM851698_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34595/E-GEOD-34595.processed.1.zip	rrd2 mutant
GSM851697 1	rrd2 explant	rrd2_root induction.12h.28C_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rrd2 mutant	Landsberg erecta	cultured explant	P-GSE34595-2	P-GSE34595-3	GSM851697 extract 1	total RNA	P-GSE34595-4	GSM851697 LE 1	Biotin	P-GSE34595-5	GSM851697	A-AFFY-2	  	P-GSE34595-6	P-GSE34595-7	GSM851697.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34595/E-GEOD-34595.raw.1.zip	P-GSE34595-1	GSM851697_sample_table.txt norm	GSM851697_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34595/E-GEOD-34595.processed.1.zip	rrd2 mutant
GSM851696 1	rrd2 explant	rrd2_root induction.12h.28C_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rrd2 mutant	Landsberg erecta	cultured explant	P-GSE34595-2	P-GSE34595-3	GSM851696 extract 1	total RNA	P-GSE34595-4	GSM851696 LE 1	Biotin	P-GSE34595-5	GSM851696	A-AFFY-2	  	P-GSE34595-6	P-GSE34595-7	GSM851696.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34595/E-GEOD-34595.raw.1.zip	P-GSE34595-1	GSM851696_sample_table.txt norm	GSM851696_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34595/E-GEOD-34595.processed.1.zip	rrd2 mutant
GSM851690 1	rid4 explant	rid4_root induction.12h.28C_rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rid4 mutant	Landsberg erecta	cultured explant	P-GSE34595-2	P-GSE34595-3	GSM851690 extract 1	total RNA	P-GSE34595-4	GSM851690 LE 1	Biotin	P-GSE34595-5	GSM851690	A-AFFY-2	  	P-GSE34595-6	P-GSE34595-7	GSM851690.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34595/E-GEOD-34595.raw.1.zip	P-GSE34595-1	GSM851690_sample_table.txt norm	GSM851690_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34595/E-GEOD-34595.processed.1.zip	rid4 mutant
GSM851689 1	rid4 explant	rid4_root induction.12h.28C_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rid4 mutant	Landsberg erecta	cultured explant	P-GSE34595-2	P-GSE34595-3	GSM851689 extract 1	total RNA	P-GSE34595-4	GSM851689 LE 1	Biotin	P-GSE34595-5	GSM851689	A-AFFY-2	  	P-GSE34595-6	P-GSE34595-7	GSM851689.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34595/E-GEOD-34595.raw.1.zip	P-GSE34595-1	GSM851689_sample_table.txt norm	GSM851689_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34595/E-GEOD-34595.processed.1.zip	rid4 mutant
GSM851688 1	rid4 explant	rid4_root induction.12h.28C_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rid4 mutant	Landsberg erecta	cultured explant	P-GSE34595-2	P-GSE34595-3	GSM851688 extract 1	total RNA	P-GSE34595-4	GSM851688 LE 1	Biotin	P-GSE34595-5	GSM851688	A-AFFY-2	  	P-GSE34595-6	P-GSE34595-7	GSM851688.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34595/E-GEOD-34595.raw.1.zip	P-GSE34595-1	GSM851688_sample_table.txt norm	GSM851688_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34595/E-GEOD-34595.processed.1.zip	rid4 mutant
