Source Name	Material Type	Characteristics[Organism]	Characteristics[Ecotype]	Characteristics[BioSourceType]	Characteristics[OrganismPart]	Characteristics[Sex]	Characteristics[GeneticModification]	Characteristics[Genotype]	Characteristics[DevelopmentalStage]	Characteristics[InitialTimePoint]	Characteristics[Age]	Unit[TimeUnit]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Sample Name	Material Type	Characteristics[OrganismPart]	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	LabeledExtract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[SamplingTimePoint]	Unit[TimeUnit]	Factor Value[Compound]	Factor Value[Dose]	Unit[ConcentrationUnit]
MFG_Day5_bot0087	organism_part	Arabidopsis thaliana	Columbia	fresh_sample	shoot	hermaphrodite	transfection	wt; ML1:FUS3-GR	seedling	germination	5	day	P-MTAB-24228	MGED Ontology	P-MTAB-24229	MGED Ontology	MFG_Day5_bot0087	organism_part	shoot	P-MTAB-24230	MGED Ontology	MFG_Day5_bot0087	total_RNA	P-AFFY-2	ArrayExpress	MFG_Day5_bot0087	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	MFG_Day5_bot0087	A-AFFY-2	P-AFFY-6	ArrayExpress	bot0087.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3465/E-MEXP-3465.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	bot0087.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3465/E-MEXP-3465.processed.1.zip	0	day	none	  	        
MFG_Day5_bot0090	organism_part	Arabidopsis thaliana	Columbia	fresh_sample	shoot	hermaphrodite	transfection	wt; ML1:FUS3-GR	seedling	germination	5	day	P-MTAB-24228	MGED Ontology	P-MTAB-24229	MGED Ontology	MFG_Day5_bot0090	organism_part	shoot	P-MTAB-24230	MGED Ontology	MFG_Day5_bot0090	total_RNA	P-AFFY-2	ArrayExpress	MFG_Day5_bot0090	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	MFG_Day5_bot0090	A-AFFY-2	P-AFFY-6	ArrayExpress	bot0090.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3465/E-MEXP-3465.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	bot0090.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3465/E-MEXP-3465.processed.1.zip	0	day	none	  	        
MFG_Day7_bot0113	organism_part	Arabidopsis thaliana	Columbia	fresh_sample	shoot	hermaphrodite	transfection	wt; ML1:FUS3-GR	seedling	germination	5	day	P-MTAB-24228	MGED Ontology	P-MTAB-24229	MGED Ontology	MFG_Day7_bot0113	organism_part	shoot	P-MTAB-24230	MGED Ontology	MFG_Day7_bot0113	total_RNA	P-AFFY-2	ArrayExpress	MFG_Day7_bot0113	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	MFG_Day7_bot0113	A-AFFY-2	P-AFFY-6	ArrayExpress	bot0113.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3465/E-MEXP-3465.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	bot0113.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3465/E-MEXP-3465.processed.1.zip	2	day	none	  	        
MFG_Day7_bot0115	organism_part	Arabidopsis thaliana	Columbia	fresh_sample	shoot	hermaphrodite	transfection	wt; ML1:FUS3-GR	seedling	germination	5	day	P-MTAB-24228	MGED Ontology	P-MTAB-24229	MGED Ontology	MFG_Day7_bot0115	organism_part	shoot	P-MTAB-24230	MGED Ontology	MFG_Day7_bot0115	total_RNA	P-AFFY-2	ArrayExpress	MFG_Day7_bot0115	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	MFG_Day7_bot0115	A-AFFY-2	P-AFFY-6	ArrayExpress	bot0115.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3465/E-MEXP-3465.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	bot0115.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3465/E-MEXP-3465.processed.1.zip	2	day	none	  	        
MFG_Day7_DEX_bot0114	organism_part	Arabidopsis thaliana	Columbia	fresh_sample	shoot	hermaphrodite	transfection	wt; ML1:FUS3-GR	seedling	germination	5	day	P-MTAB-24228	MGED Ontology	P-MTAB-24229	MGED Ontology	MFG_Day7_DEX_bot0114	organism_part	shoot	P-MTAB-24230	MGED Ontology	MFG_Day7_DEX_bot0114	total_RNA	P-AFFY-2	ArrayExpress	MFG_Day7_DEX_bot0114	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	MFG_Day7_DEX_bot0114	A-AFFY-2	P-AFFY-6	ArrayExpress	bot0114.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3465/E-MEXP-3465.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	bot0114.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3465/E-MEXP-3465.processed.1.zip	2	day	dexamethasone	1	micromolar
MFG_Day7_DEX_bot0116	organism_part	Arabidopsis thaliana	Columbia	fresh_sample	shoot	hermaphrodite	transfection	wt; ML1:FUS3-GR	seedling	germination	5	day	P-MTAB-24228	MGED Ontology	P-MTAB-24229	MGED Ontology	MFG_Day7_DEX_bot0116	organism_part	shoot	P-MTAB-24230	MGED Ontology	MFG_Day7_DEX_bot0116	total_RNA	P-AFFY-2	ArrayExpress	MFG_Day7_DEX_bot0116	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	MFG_Day7_DEX_bot0116	A-AFFY-2	P-AFFY-6	ArrayExpress	bot0116.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3465/E-MEXP-3465.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	bot0116.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3465/E-MEXP-3465.processed.1.zip	2	day	dexamethasone	1	micromolar
MFG_Day9_bot0088a	organism_part	Arabidopsis thaliana	Columbia	fresh_sample	shoot	hermaphrodite	transfection	wt; ML1:FUS3-GR	seedling	germination	5	day	P-MTAB-24228	MGED Ontology	P-MTAB-24229	MGED Ontology	MFG_Day9_bot0088a	organism_part	shoot	P-MTAB-24230	MGED Ontology	MFG_Day9_bot0088a	total_RNA	P-AFFY-2	ArrayExpress	MFG_Day9_bot0088a	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	MFG_Day9_bot0088a	A-AFFY-2	P-AFFY-6	ArrayExpress	bot0088a.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3465/E-MEXP-3465.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	bot0088a.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3465/E-MEXP-3465.processed.1.zip	4	day	none	  	        
MFG_Day9_bot0091	organism_part	Arabidopsis thaliana	Columbia	fresh_sample	shoot	hermaphrodite	transfection	wt; ML1:FUS3-GR	seedling	germination	5	day	P-MTAB-24228	MGED Ontology	P-MTAB-24229	MGED Ontology	MFG_Day9_bot0091	organism_part	shoot	P-MTAB-24230	MGED Ontology	MFG_Day9_bot0091	total_RNA	P-AFFY-2	ArrayExpress	MFG_Day9_bot0091	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	MFG_Day9_bot0091	A-AFFY-2	P-AFFY-6	ArrayExpress	bot0091.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3465/E-MEXP-3465.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	bot0091.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3465/E-MEXP-3465.processed.1.zip	4	day	none	  	        
MFG_Day9_DEX_bot0092	organism_part	Arabidopsis thaliana	Columbia	fresh_sample	shoot	hermaphrodite	transfection	wt; ML1:FUS3-GR	seedling	germination	5	day	P-MTAB-24228	MGED Ontology	P-MTAB-24229	MGED Ontology	MFG_Day9_DEX_bot0092	organism_part	shoot	P-MTAB-24230	MGED Ontology	MFG_Day9_DEX_bot0092	total_RNA	P-AFFY-2	ArrayExpress	MFG_Day9_DEX_bot0092	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	MFG_Day9_DEX_bot0092	A-AFFY-2	P-AFFY-6	ArrayExpress	bot0092.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3465/E-MEXP-3465.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	bot0092.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3465/E-MEXP-3465.processed.1.zip	4	day	dexamethasone	1	micromolar
MFG_Day9_DEX_bot089a	organism_part	Arabidopsis thaliana	Columbia	fresh_sample	shoot	hermaphrodite	transfection	wt; ML1:FUS3-GR	seedling	germination	5	day	P-MTAB-24228	MGED Ontology	P-MTAB-24229	MGED Ontology	MFG_Day9_DEX_bot089a	organism_part	shoot	P-MTAB-24230	MGED Ontology	MFG_Day9_DEX_bot089a	total_RNA	P-AFFY-2	ArrayExpress	MFG_Day9_DEX_bot089a	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	MFG_Day9_DEX_bot0089a	A-AFFY-2	P-AFFY-6	ArrayExpress	bot0089a.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3465/E-MEXP-3465.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	bot0089a.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3465/E-MEXP-3465.processed.1.zip	4	day	dexamethasone	1	micromolar
