Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [ecotype background]	Characteristics [organism part]	Term Source REF	Term Accession Number	Characteristics [variation]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [VARIATION]
GSM991305 1	10-day-old soil grown plants	cpr5 sim smr1_seedling	cpr5 sim smr1_rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	cpr5 sim smr1	P-GSE40322-2	ArrayExpress	P-GSE40322-3	ArrayExpress	P-GSE40322-4	ArrayExpress	GSM991305 extract 1	total RNA	P-GSE40322-5	ArrayExpress	GSM991305 LE 1	biotin	P-GSE40322-6	ArrayExpress	GSM991305	A-AFFY-2	ArrayExpress	array assay	P-GSE40322-7	ArrayExpress	P-GSE40322-8	ArrayExpress	GSM991305_12-cpr5_sim_smr1_rep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40322/E-GEOD-40322.raw.1.zip	P-GSE40322-1	ArrayExpress	GSM991305_sample_table.txt norm	GSM991305_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40322/E-GEOD-40322.processed.1.zip	cpr5 sim smr1
GSM991304 1	10-day-old soil grown plants	cpr5 sim smr1_seedling	cpr5 sim smr1_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	cpr5 sim smr1	P-GSE40322-2	ArrayExpress	P-GSE40322-3	ArrayExpress	P-GSE40322-4	ArrayExpress	GSM991304 extract 1	total RNA	P-GSE40322-5	ArrayExpress	GSM991304 LE 1	biotin	P-GSE40322-6	ArrayExpress	GSM991304	A-AFFY-2	ArrayExpress	array assay	P-GSE40322-7	ArrayExpress	P-GSE40322-8	ArrayExpress	GSM991304_11-cpr5_sim_smr1_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40322/E-GEOD-40322.raw.1.zip	P-GSE40322-1	ArrayExpress	GSM991304_sample_table.txt norm	GSM991304_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40322/E-GEOD-40322.processed.1.zip	cpr5 sim smr1
GSM991303 1	10-day-old soil grown plants	cpr5 sim smr1_seedling	cpr5 sim smr1_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	cpr5 sim smr1	P-GSE40322-2	ArrayExpress	P-GSE40322-3	ArrayExpress	P-GSE40322-4	ArrayExpress	GSM991303 extract 1	total RNA	P-GSE40322-5	ArrayExpress	GSM991303 LE 1	biotin	P-GSE40322-6	ArrayExpress	GSM991303	A-AFFY-2	ArrayExpress	array assay	P-GSE40322-7	ArrayExpress	P-GSE40322-8	ArrayExpress	GSM991303_10-cpr5_sim_smr1_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40322/E-GEOD-40322.raw.1.zip	P-GSE40322-1	ArrayExpress	GSM991303_sample_table.txt norm	GSM991303_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40322/E-GEOD-40322.processed.1.zip	cpr5 sim smr1
GSM991302 1	10-day-old soil grown plants	sim smr1_seedling	sim smr1_rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	sim smr1	P-GSE40322-2	ArrayExpress	P-GSE40322-3	ArrayExpress	P-GSE40322-4	ArrayExpress	GSM991302 extract 1	total RNA	P-GSE40322-5	ArrayExpress	GSM991302 LE 1	biotin	P-GSE40322-6	ArrayExpress	GSM991302	A-AFFY-2	ArrayExpress	array assay	P-GSE40322-7	ArrayExpress	P-GSE40322-8	ArrayExpress	GSM991302_9-sim_smr1_rep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40322/E-GEOD-40322.raw.1.zip	P-GSE40322-1	ArrayExpress	GSM991302_sample_table.txt norm	GSM991302_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40322/E-GEOD-40322.processed.1.zip	sim smr1
GSM991301 1	10-day-old soil grown plants	sim smr1_seedling	sim smr1_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	sim smr1	P-GSE40322-2	ArrayExpress	P-GSE40322-3	ArrayExpress	P-GSE40322-4	ArrayExpress	GSM991301 extract 1	total RNA	P-GSE40322-5	ArrayExpress	GSM991301 LE 1	biotin	P-GSE40322-6	ArrayExpress	GSM991301	A-AFFY-2	ArrayExpress	array assay	P-GSE40322-7	ArrayExpress	P-GSE40322-8	ArrayExpress	GSM991301_8-sim_smr1_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40322/E-GEOD-40322.raw.1.zip	P-GSE40322-1	ArrayExpress	GSM991301_sample_table.txt norm	GSM991301_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40322/E-GEOD-40322.processed.1.zip	sim smr1
GSM991300 1	10-day-old soil grown plants	sim smr1_seedling	sim smr1_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	sim smr1	P-GSE40322-2	ArrayExpress	P-GSE40322-3	ArrayExpress	P-GSE40322-4	ArrayExpress	GSM991300 extract 1	total RNA	P-GSE40322-5	ArrayExpress	GSM991300 LE 1	biotin	P-GSE40322-6	ArrayExpress	GSM991300	A-AFFY-2	ArrayExpress	array assay	P-GSE40322-7	ArrayExpress	P-GSE40322-8	ArrayExpress	GSM991300_7-sim_smr1_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40322/E-GEOD-40322.raw.1.zip	P-GSE40322-1	ArrayExpress	GSM991300_sample_table.txt norm	GSM991300_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40322/E-GEOD-40322.processed.1.zip	sim smr1
GSM991299 1	10-day-old soil grown plants	cpr5_seedling	cpr5_rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	cpr5	P-GSE40322-2	ArrayExpress	P-GSE40322-3	ArrayExpress	P-GSE40322-4	ArrayExpress	GSM991299 extract 1	total RNA	P-GSE40322-5	ArrayExpress	GSM991299 LE 1	biotin	P-GSE40322-6	ArrayExpress	GSM991299	A-AFFY-2	ArrayExpress	array assay	P-GSE40322-7	ArrayExpress	P-GSE40322-8	ArrayExpress	GSM991299_6-cpr5_rep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40322/E-GEOD-40322.raw.1.zip	P-GSE40322-1	ArrayExpress	GSM991299_sample_table.txt norm	GSM991299_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40322/E-GEOD-40322.processed.1.zip	cpr5
GSM991298 1	10-day-old soil grown plants	cpr5_seedling	cpr5_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	cpr5	P-GSE40322-2	ArrayExpress	P-GSE40322-3	ArrayExpress	P-GSE40322-4	ArrayExpress	GSM991298 extract 1	total RNA	P-GSE40322-5	ArrayExpress	GSM991298 LE 1	biotin	P-GSE40322-6	ArrayExpress	GSM991298	A-AFFY-2	ArrayExpress	array assay	P-GSE40322-7	ArrayExpress	P-GSE40322-8	ArrayExpress	GSM991298_5-cpr5_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40322/E-GEOD-40322.raw.1.zip	P-GSE40322-1	ArrayExpress	GSM991298_sample_table.txt norm	GSM991298_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40322/E-GEOD-40322.processed.1.zip	cpr5
GSM991297 1	10-day-old soil grown plants	cpr5_seedling	cpr5_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	cpr5	P-GSE40322-2	ArrayExpress	P-GSE40322-3	ArrayExpress	P-GSE40322-4	ArrayExpress	GSM991297 extract 1	total RNA	P-GSE40322-5	ArrayExpress	GSM991297 LE 1	biotin	P-GSE40322-6	ArrayExpress	GSM991297	A-AFFY-2	ArrayExpress	array assay	P-GSE40322-7	ArrayExpress	P-GSE40322-8	ArrayExpress	GSM991297_4-cpr5_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40322/E-GEOD-40322.raw.1.zip	P-GSE40322-1	ArrayExpress	GSM991297_sample_table.txt norm	GSM991297_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40322/E-GEOD-40322.processed.1.zip	cpr5
GSM991296 1	10-day-old soil grown plants	WT_seedling	WT_rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	WT	P-GSE40322-2	ArrayExpress	P-GSE40322-3	ArrayExpress	P-GSE40322-4	ArrayExpress	GSM991296 extract 1	total RNA	P-GSE40322-5	ArrayExpress	GSM991296 LE 1	biotin	P-GSE40322-6	ArrayExpress	GSM991296	A-AFFY-2	ArrayExpress	array assay	P-GSE40322-7	ArrayExpress	P-GSE40322-8	ArrayExpress	GSM991296_3-WT_rep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40322/E-GEOD-40322.raw.1.zip	P-GSE40322-1	ArrayExpress	GSM991296_sample_table.txt norm	GSM991296_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40322/E-GEOD-40322.processed.1.zip	WT
