Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [sample source]	Characteristics [gsh localization]	Comment [Sample_description]	Comment [Sample_source_name]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Factor Value [GSH LOCALIZATION]	Factor Value [TREATMENT PROTOCOL]	Term Source REF	Term Accession Number	Factor Value [TIME POST-INOCULATION]	Unit[TimeUnit]
GSM513072 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Cell suspensions	Nucleus	Gene expression data when GSH is localized into the nucleus.	GSHn3, 78 h after inoculation	P-GSE20454-4	P-GSE20454-2	P-GSE20454-3	GSM513072 extract 1	total_RNA	P-GSE20454-5	GSM513072 LE 1	Biotin	unknown	P-GSE20454-6	P-GSE20454-7	GSM513072	A-AFFY-2	P-GSE20454-8	GSM513072.CEL	GSM513072.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20454/E-GEOD-20454.raw.1.zip	P-GSE20454-1	E-GEOD-20454-processed-data-2198248477.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20454/E-GEOD-20454.processed.1.zip	Nuclear GSH	Media change	  	  	78	hours
GSM513077 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Cell suspensions	Cytoplasm	Gene expression data when GSH is localized in the cytoplasm.	GSHc2, 102 h after inoculation	P-GSE20454-4	P-GSE20454-2	P-GSE20454-3	GSM513077 extract 1	total_RNA	P-GSE20454-5	GSM513077 LE 1	Biotin	unknown	P-GSE20454-6	P-GSE20454-7	GSM513077	A-AFFY-2	P-GSE20454-8	GSM513077.CEL	GSM513077.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20454/E-GEOD-20454.raw.1.zip	P-GSE20454-1	E-GEOD-20454-processed-data-2198248477.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20454/E-GEOD-20454.processed.1.zip	Cytoplasmic GSH	Control	EFO	EFO_0001461	102	hours
GSM513076 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Cell suspensions	Cytoplasm	Gene expression data when GSH is localized in the cytoplasm.	GSHc2, 102 h after inoculation	P-GSE20454-4	P-GSE20454-2	P-GSE20454-3	GSM513076 extract 1	total_RNA	P-GSE20454-5	GSM513076 LE 1	Biotin	unknown	P-GSE20454-6	P-GSE20454-7	GSM513076	A-AFFY-2	P-GSE20454-8	GSM513076.CEL	GSM513076.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20454/E-GEOD-20454.raw.1.zip	P-GSE20454-1	E-GEOD-20454-processed-data-2198248477.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20454/E-GEOD-20454.processed.1.zip	Cytoplasmic GSH	Control	EFO	EFO_0001461	102	hours
GSM513080 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Cell suspensions	Cytoplasm	Gene expression data when GSH is localized in the cytoplasm.	GSHc3, 174 h after inoculation	P-GSE20454-4	P-GSE20454-2	P-GSE20454-3	GSM513080 extract 1	total_RNA	P-GSE20454-5	GSM513080 LE 1	Biotin	unknown	P-GSE20454-6	P-GSE20454-7	GSM513080	A-AFFY-2	P-GSE20454-8	GSM513080.CEL	GSM513080.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20454/E-GEOD-20454.raw.1.zip	P-GSE20454-1	E-GEOD-20454-processed-data-2198248477.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20454/E-GEOD-20454.processed.1.zip	Cytoplasmic GSH	Media change	  	  	174	hours
GSM513070 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Cell suspensions	Nucleus	Gene expression data when GSH is localized into the nucleus.	GSHn3, 78 h after inoculation	P-GSE20454-4	P-GSE20454-2	P-GSE20454-3	GSM513070 extract 1	total_RNA	P-GSE20454-5	GSM513070 LE 1	Biotin	unknown	P-GSE20454-6	P-GSE20454-7	GSM513070	A-AFFY-2	P-GSE20454-9	GSM513070.CEL	GSM513070.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20454/E-GEOD-20454.raw.1.zip	P-GSE20454-1	E-GEOD-20454-processed-data-2198248477.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20454/E-GEOD-20454.processed.1.zip	Nuclear GSH	Media change	  	  	78	hours
GSM513074 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Cell suspensions	Cytoplasm	Gene expression data when GSH is localized in the cytoplasm.	GSHc1, 78 h after inoculation	P-GSE20454-4	P-GSE20454-2	P-GSE20454-3	GSM513074 extract 1	total_RNA	P-GSE20454-5	GSM513074 LE 1	Biotin	unknown	P-GSE20454-6	P-GSE20454-7	GSM513074	A-AFFY-2	P-GSE20454-9	GSM513074.CEL	GSM513074.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20454/E-GEOD-20454.raw.1.zip	P-GSE20454-1	E-GEOD-20454-processed-data-2198248477.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20454/E-GEOD-20454.processed.1.zip	Cytoplasmic GSH	Control	EFO	EFO_0001461	78	hours
GSM513067 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Cell suspensions	Nucleus	Gene expression data when GSH is localized into the nucleus.	GSHn2, 198 h after inoculation	P-GSE20454-4	P-GSE20454-2	P-GSE20454-3	GSM513067 extract 1	total_RNA	P-GSE20454-5	GSM513067 LE 1	Biotin	unknown	P-GSE20454-6	P-GSE20454-7	GSM513067	A-AFFY-2	P-GSE20454-8	GSM513067.CEL	GSM513067.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20454/E-GEOD-20454.raw.1.zip	P-GSE20454-1	E-GEOD-20454-processed-data-2198248477.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20454/E-GEOD-20454.processed.1.zip	Nuclear GSH	Control	EFO	EFO_0001461	198	hours
GSM513068 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Cell suspensions	Nucleus	Gene expression data when GSH is localized into the nucleus.	GSHn2, 198 h after inoculation	P-GSE20454-4	P-GSE20454-2	P-GSE20454-3	GSM513068 extract 1	total_RNA	P-GSE20454-5	GSM513068 LE 1	Biotin	unknown	P-GSE20454-6	P-GSE20454-7	GSM513068	A-AFFY-2	P-GSE20454-8	GSM513068.CEL	GSM513068.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20454/E-GEOD-20454.raw.1.zip	P-GSE20454-1	E-GEOD-20454-processed-data-2198248477.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20454/E-GEOD-20454.processed.1.zip	Nuclear GSH	Control	EFO	EFO_0001461	198	hours
GSM513064 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Cell suspensions	Nucleus	Gene expression data when GSH is localized into the nucleus.	GSHn1, 6 h after inoculation	P-GSE20454-4	P-GSE20454-2	P-GSE20454-3	GSM513064 extract 1	total_RNA	P-GSE20454-5	GSM513064 LE 1	Biotin	unknown	P-GSE20454-6	P-GSE20454-7	GSM513064	A-AFFY-2	P-GSE20454-9	GSM513064.CEL	GSM513064.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20454/E-GEOD-20454.raw.1.zip	P-GSE20454-1	E-GEOD-20454-processed-data-2198248477.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20454/E-GEOD-20454.processed.1.zip	Nuclear GSH	Control	EFO	EFO_0001461	6	hours
GSM513081 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Cell suspensions	Cytoplasm	Gene expression data when GSH is localized in the cytoplasm.	GSHc3, 174 h after inoculation	P-GSE20454-4	P-GSE20454-2	P-GSE20454-3	GSM513081 extract 1	total_RNA	P-GSE20454-5	GSM513081 LE 1	Biotin	unknown	P-GSE20454-6	P-GSE20454-7	GSM513081	A-AFFY-2	P-GSE20454-8	GSM513081.CEL	GSM513081.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20454/E-GEOD-20454.raw.1.zip	P-GSE20454-1	E-GEOD-20454-processed-data-2198248477.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20454/E-GEOD-20454.processed.1.zip	Cytoplasmic GSH	Media change	  	  	174	hours
