Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Description	Comment [Sample_source_name]	Comment [Sample_characteristics]	Characteristics[genotype]	Characteristics[age]	Unit[time unit]	Characteristics[developmental stage]	Characteristics[organism part]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Assay Name	Technology Type	Array Design REF	Protocol REF	Term Source REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	Factor Value[genotype]	Factor Value[growth condition]	Factor Value [RNA]
GSE14493GSM361980	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roottips, 2hr Control, p35S-enriched polysomal mRNA, Root tip polysomal RNA under control conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: 1 cm root tip; Treatment: control	7 day old Arabidopsis Seedling roottips, 2hr Control, p35S-enriched polysomal mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: 1 cm root tip; Treatment: control	p35S:His6FLAG-RPL18B	7	day	seedling	root tip	P-G14493-1	P-G14493-2	GSE14493GSM361980 sample	P-G14493-5	GSE14493GSM361980 extract	total RNA	P-G14493-3	GSE14493GSM361980 LE biotin	biotin	synthetic RNA	roottip_control_p35S_rep1	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	GSM361980.cel	GSM361980.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14493/E-GEOD-14493.raw.1.zip	P-G14493-4	E-GEOD-14493-processed-data-1824885341.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14493/E-GEOD-14493.processed.1.zip	p35S:His6FLAG-RPL18B	control	polysomal RNA
GSE14493GSM361976	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling root tips, 2hr Control, total mRNA, Root tip total RNA under control conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: 1 cm root tip; Treatment: control	7 day old Arabidopsis Seedling root tips, 2hr Control, total mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: 1 cm root tip; Treatment: control	p35S:His6FLAG-RPL18B	7	day	seedling	root tip	P-G14493-1	P-G14493-2	GSE14493GSM361976 sample	P-G14493-5	GSE14493GSM361976 extract	total RNA	P-G14493-3	GSE14493GSM361976 LE biotin	biotin	synthetic RNA	roottip_control_total_rep1	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	GSM361976.cel	GSM361976.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14493/E-GEOD-14493.raw.1.zip	P-G14493-4	E-GEOD-14493-processed-data-1824885341.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14493/E-GEOD-14493.processed.1.zip	p35S:His6FLAG-RPL18B	control	total RNA
GSE14493GSM361981	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roottips, 2hr Control, p35S-enriched polysomal mRNA, Root tip polysomal RNA under control conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: 1 cm root tip; Treatment: control	7 day old Arabidopsis Seedling roottips, 2hr Control, p35S-enriched polysomal mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: 1 cm root tip; Treatment: control	p35S:His6FLAG-RPL18B	7	day	seedling	root tip	P-G14493-1	P-G14493-2	GSE14493GSM361981 sample	P-G14493-5	GSE14493GSM361981 extract	total RNA	P-G14493-3	GSE14493GSM361981 LE biotin	biotin	synthetic RNA	roottip_control_p35S_rep2	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	GSM361981.cel	GSM361981.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14493/E-GEOD-14493.raw.1.zip	P-G14493-4	E-GEOD-14493-processed-data-1824885341.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14493/E-GEOD-14493.processed.1.zip	p35S:His6FLAG-RPL18B	control	polysomal RNA
GSE14493GSM361977	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling root tips, 2hr Control, total mRNA, Root tip total RNA under control conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: 1 cm root tip; Treatment: control	7 day old Arabidopsis Seedling root tips, 2hr Control, total mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: 1 cm root tip; Treatment: control	p35S:His6FLAG-RPL18B	7	day	seedling	root tip	P-G14493-1	P-G14493-2	GSE14493GSM361977 sample	P-G14493-5	GSE14493GSM361977 extract	total RNA	P-G14493-3	GSE14493GSM361977 LE biotin	biotin	synthetic RNA	roottip_control_total_rep2	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	GSM361977.cel	GSM361977.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14493/E-GEOD-14493.raw.1.zip	P-G14493-4	E-GEOD-14493-processed-data-1824885341.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14493/E-GEOD-14493.processed.1.zip	p35S:His6FLAG-RPL18B	control	total RNA
GSE14493GSM361982	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roottips, 2hr hypoxia, p35S-enriched polysomal mRNA, Root tip polysomal RNA under hypoxic conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: 1 cm root tip; Treatment: hypoxia	7 day old Arabidopsis Seedling roottips, 2hr hypoxia, p35S-enriched polysomal mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: 1 cm root tip; Treatment: hypoxia	p35S:His6FLAG-RPL18B	7	day	seedling	root tip	P-G14493-1	P-G14493-2	GSE14493GSM361982 sample	P-G14493-5	GSE14493GSM361982 extract	total RNA	P-G14493-3	GSE14493GSM361982 LE biotin	biotin	synthetic RNA	roottip_hypoxia_p35S_rep1	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	GSM361982.cel	GSM361982.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14493/E-GEOD-14493.raw.1.zip	P-G14493-4	E-GEOD-14493-processed-data-1824885341.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14493/E-GEOD-14493.processed.1.zip	p35S:His6FLAG-RPL18B	hypoxia	polysomal RNA
GSE14493GSM361978	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling root tips, 2hr hypoxia, total mRNA, Root tip total RNA under hypoxic conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: 1 cm root tip; Treatment: hypoxia	7 day old Arabidopsis Seedling root tips, 2hr hypoxia, total mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: 1 cm root tip; Treatment: hypoxia	p35S:His6FLAG-RPL18B	7	day	seedling	root tip	P-G14493-1	P-G14493-2	GSE14493GSM361978 sample	P-G14493-5	GSE14493GSM361978 extract	total RNA	P-G14493-3	GSE14493GSM361978 LE biotin	biotin	synthetic RNA	roottip_hypoxia_total_rep1	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	GSM361978.cel	GSM361978.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14493/E-GEOD-14493.raw.1.zip	P-G14493-4	E-GEOD-14493-processed-data-1824885341.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14493/E-GEOD-14493.processed.1.zip	p35S:His6FLAG-RPL18B	hypoxia	total RNA
GSE14493GSM361979	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling root tips, 2hr hypoxia, total mRNA, Root tip total RNA under hypoxic conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: 1 cm root tip; Treatment: hypoxia	7 day old Arabidopsis Seedling root tips, 2hr hypoxia, total mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: 1 cm root tip; Treatment: hypoxia	p35S:His6FLAG-RPL18B	7	day	seedling	root tip	P-G14493-1	P-G14493-2	GSE14493GSM361979 sample	P-G14493-5	GSE14493GSM361979 extract	total RNA	P-G14493-3	GSE14493GSM361979 LE biotin	biotin	synthetic RNA	roottip_hypoxia_total_rep2	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	GSM361979.cel	GSM361979.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14493/E-GEOD-14493.raw.1.zip	P-G14493-4	E-GEOD-14493-processed-data-1824885341.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14493/E-GEOD-14493.processed.1.zip	p35S:His6FLAG-RPL18B	hypoxia	total RNA
GSE14493GSM361983	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roottips, 2hr hypoxia, p35S-enriched polysomal mRNA, Root tip polysomal RNA under hypoxic conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: 1 cm root tip; Treatment: hypoxia	7 day old Arabidopsis Seedling roottips, 2hr hypoxia, p35S-enriched polysomal mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: 1 cm root tip; Treatment: hypoxia	p35S:His6FLAG-RPL18B	7	day	seedling	root tip	P-G14493-1	P-G14493-2	GSE14493GSM361983 sample	P-G14493-5	GSE14493GSM361983 extract	total RNA	P-G14493-3	GSE14493GSM361983 LE biotin	biotin	synthetic RNA	roottip_hypoxia_p35S_rep2	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	GSM361983.cel	GSM361983.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14493/E-GEOD-14493.raw.1.zip	P-G14493-4	E-GEOD-14493-processed-data-1824885341.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14493/E-GEOD-14493.processed.1.zip	p35S:His6FLAG-RPL18B	hypoxia	polysomal RNA
GSE14493GSM361985	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roottips, 2hr Control, pSCR-enriched polysomal mRNA, Root tip endodermis RNA under control conditions. Age: 7 day old seedlings; Genotype: pSCR:His6FLAG-RPL18B (Col-0); Tissue: 1 cm root tip; Treatment: control	7 day old Arabidopsis Seedling roottips, 2hr Control, pSCR-enriched polysomal mRNA	Age: 7 day old seedlings; Genotype: pSCR:His6FLAG-RPL18B (Col-0); Tissue: 1 cm root tip; Treatment: control	pSCR:His6FLAG-RPL18B	7	day	seedling	root tip	P-G14493-1	P-G14493-2	GSE14493GSM361985 sample	P-G14493-5	GSE14493GSM361985 extract	total RNA	P-G14493-3	GSE14493GSM361985 LE biotin	biotin	synthetic RNA	roottip_control_pSCR_rep2	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	GSM361985.cel	GSM361985.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14493/E-GEOD-14493.raw.1.zip	P-G14493-4	E-GEOD-14493-processed-data-1824885341.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14493/E-GEOD-14493.processed.1.zip	pSCR:His6FLAG-RPL18B	control	polysomal RNA
GSE14493GSM361984	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roottips, 2hr Control, pSCR-enriched polysomal mRNA, Root tip endodermis RNA under control conditions. Age: 7 day old seedlings; Genotype: pSCR:His6FLAG-RPL18B (Col-0); Tissue: 1 cm root tip; Treatment: control	7 day old Arabidopsis Seedling roottips, 2hr Control, pSCR-enriched polysomal mRNA	Age: 7 day old seedlings; Genotype: pSCR:His6FLAG-RPL18B (Col-0); Tissue: 1 cm root tip; Treatment: control	pSCR:His6FLAG-RPL18B	7	day	seedling	root tip	P-G14493-1	P-G14493-2	GSE14493GSM361984 sample	P-G14493-5	GSE14493GSM361984 extract	total RNA	P-G14493-3	GSE14493GSM361984 LE biotin	biotin	synthetic RNA	roottip_control_pSCR_rep1	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	GSM361984.cel	GSM361984.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14493/E-GEOD-14493.raw.1.zip	P-G14493-4	E-GEOD-14493-processed-data-1824885341.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14493/E-GEOD-14493.processed.1.zip	pSCR:His6FLAG-RPL18B	control	polysomal RNA
