Source Name	Characteristics [Age]	Characteristics [TimeUnit]	Characteristics [InitialTimePoint]	Characteristics [TargetedCellType]	Term Source REF	Term Accession Number	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [OrganismPart]	Term Source REF	Term Accession Number	Characteristics [BioSourceType]	Characteristics [DevelopmentalStage]	Term Source REF	Term Accession Number	Provider	Protocol REF	Protocol REF	Parameter Value [start time]	Parameter Value [media]	Parameter Value [min temperature]	Parameter Value [stop time]	Sample Name	Protocol REF	Parameter Value [Amplification]	Parameter Value [Extracted product]	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [plant viral treatments]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
HCRSV-TCVCP-1	3-4	weeks	sowing	protoplast	EFO	EFO_0002445	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	fresh_sample	seedling	EFO	EFO_0001992	NUS	P-MEXP-82990	P-MEXP-82989	3	soil for growing of plants	25	4	HCRSV-TCVCP-1	P-MEXP-82994	none	total RNA	HCRSV-TCVCP-1	total_RNA	P-AFFY-2	HCRSV-TCVCP-1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HCRSV-TCVCP-1	A-AFFY-2	P-AFFY-6	HCRSV-TCVCP mutant	HCRSV-TCVCP-1	WSM-LuoQ-Hcp-180205.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1218/E-MEXP-1218.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1218-processed-data-1486680155.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1218/E-MEXP-1218.processed.1.zip
HCRSV-3	3-4	weeks	sowing	protoplast	EFO	EFO_0002445	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	fresh_sample	seedling	EFO	EFO_0001992	NUS	P-MEXP-82990	P-MEXP-82989	3	soil for growing of plants	25	4	HCRSV-3	P-MEXP-82994	none	total RNA	HCRSV-3	total_RNA	P-AFFY-2	HCRSV-3	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HCRSV-3	A-AFFY-2	P-AFFY-6	Hibiscus Chlorotic Ringspot Virus	HCRSV-3	WSM-Vincent-H-221106.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1218/E-MEXP-1218.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1218-processed-data-1486680155.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1218/E-MEXP-1218.processed.1.zip
TCV-1	3-4	weeks	sowing	protoplast	EFO	EFO_0002445	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	fresh_sample	seedling	EFO	EFO_0001992	NUS	P-MEXP-82990	P-MEXP-82989	3	soil for growing of plants	25	4	TCV-1	P-MEXP-82994	none	total RNA	TCV-1	total_RNA	P-AFFY-2	TCV-1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	TCV-1	A-AFFY-2	P-AFFY-6	Turnip Crinkle Virus	TCV-1	WSM-LuoQ-T-180205.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1218/E-MEXP-1218.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1218-processed-data-1486680155.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1218/E-MEXP-1218.processed.1.zip
TCV-2	3-4	weeks	sowing	protoplast	EFO	EFO_0002445	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	fresh_sample	seedling	EFO	EFO_0001992	NUS	P-MEXP-82990	P-MEXP-82989	3	soil for growing of plants	25	4	TCV-2	P-MEXP-82994	none	total RNA	TCV-2	total_RNA	P-AFFY-2	TCV-2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	TCV-2	A-AFFY-2	P-AFFY-6	Turnip Crinkle Virus	TCV-2	WSM-LuoQ-5-T-220405.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1218/E-MEXP-1218.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1218-processed-data-1486680155.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1218/E-MEXP-1218.processed.1.zip
Control-2	3-4	weeks	sowing	protoplast	EFO	EFO_0002445	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	fresh_sample	seedling	EFO	EFO_0001992	NUS	P-MEXP-82990	P-MEXP-82989	3	soil for growing of plants	25	4	Control-2	P-MEXP-82994	none	total RNA	Control-2	total_RNA	P-AFFY-2	Control-2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	Control-2	A-AFFY-2	P-AFFY-6	none	Control-2	WSM-LuoQ-1-ck-220405.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1218/E-MEXP-1218.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1218-processed-data-1486680155.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1218/E-MEXP-1218.processed.1.zip
TCV-3	3-4	weeks	sowing	protoplast	EFO	EFO_0002445	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	fresh_sample	seedling	EFO	EFO_0001992	NUS	P-MEXP-82990	P-MEXP-82989	3	soil for growing of plants	25	4	TCV-3	P-MEXP-82994	none	total RNA	TCV-3	total_RNA	P-AFFY-2	TCV-3	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	TCV-3	A-AFFY-2	P-AFFY-6	Turnip Crinkle Virus	TCV-3	WSM-Vincent-T-221106.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1218/E-MEXP-1218.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1218-processed-data-1486680155.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1218/E-MEXP-1218.processed.1.zip
TCV-HCRSVCP-2	3-4	weeks	sowing	protoplast	EFO	EFO_0002445	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	fresh_sample	seedling	EFO	EFO_0001992	NUS	P-MEXP-82990	P-MEXP-82989	3	soil for growing of plants	25	4	TCV-HCRSVCP-2	P-MEXP-82994	none	total RNA	TCV-HCRSVCP-2	total_RNA	P-AFFY-2	TCV-HCRSVCP-2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	TCV-HCRSVCP-2	A-AFFY-2	P-AFFY-6	TCV-HCRSVCP mutant	TCV-HCRSVCP-2	WSM-Vincent-A2-221106.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1218/E-MEXP-1218.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1218-processed-data-1486680155.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1218/E-MEXP-1218.processed.1.zip
HCRSV-1	3-4	weeks	sowing	protoplast	EFO	EFO_0002445	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	fresh_sample	seedling	EFO	EFO_0001992	NUS	P-MEXP-82990	P-MEXP-82989	3	soil for growing of plants	25	4	HCRSV-1	P-MEXP-82994	none	total RNA	HCRSV-1	total_RNA	P-AFFY-2	HCRSV-1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HCRSV-1	A-AFFY-2	P-AFFY-6	Hibiscus Chlorotic Ringspot Virus	HCRSV-1	WSM-LuoQ-H-180205.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1218/E-MEXP-1218.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1218-processed-data-1486680155.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1218/E-MEXP-1218.processed.1.zip
Control-1	3-4	weeks	sowing	protoplast	EFO	EFO_0002445	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	fresh_sample	seedling	EFO	EFO_0001992	NUS	P-MEXP-82990	P-MEXP-82989	3	soil for growing of plants	25	4	Control-1	P-MEXP-82994	none	total RNA	Control-1	total_RNA	P-AFFY-2	Control-1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	Control-1	A-AFFY-2	P-AFFY-6	none	Control-1	WSM-LuoQ-ck-180205.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1218/E-MEXP-1218.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1218-processed-data-1486680155.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1218/E-MEXP-1218.processed.1.zip
TCV-HCRSVCP-1	3-4	weeks	sowing	protoplast	EFO	EFO_0002445	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	fresh_sample	seedling	EFO	EFO_0001992	NUS	P-MEXP-82990	P-MEXP-82989	3	soil for growing of plants	25	4	TCV-HCRSVCP-1	P-MEXP-82994	none	total RNA	TCV-HCRSVCP-1	total_RNA	P-AFFY-2	TCV-HCRSVCP-1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	TCV-HCRSVCP-1	A-AFFY-2	P-AFFY-6	TCV-HCRSVCP mutant	TCV-HCRSVCP-1	WSM-Vincent-A1-221106.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1218/E-MEXP-1218.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1218-processed-data-1486680155.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1218/E-MEXP-1218.processed.1.zip
