Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Characteristics[Ecotype]	Characteristics[Age]	Unit[TimeUnit]	Characteristics[OrganismPart]	Protocol REF	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[GROWTH CONDITION]	FactorValue[TREATMENT TIME]	Unit[TimeUnit]
GSE5688GSM133122	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 10-day-old plant; Tissue: root	Col-0	10	days	root	P-G5688-1	GSE5688GSM133122 sample	GSE5688GSM133122 extract	total_RNA	GSE5688GSM133122 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	S0_12H_B	A-AFFY-2	P-AFFY-6	S0_12H_B	GSM133122.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5688/E-GEOD-5688.raw.1.zip	E-GEOD-5688-processed-data-1628539268.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5688/E-GEOD-5688.processed.1.zip	transfer to MGRL medium without sulphate	12	hours
GSE5688GSM133121	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 10-day-old plant; Tissue: root	Col-0	10	days	root	P-G5688-1	GSE5688GSM133121 sample	GSE5688GSM133121 extract	total_RNA	GSE5688GSM133121 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	S0_12H_A	A-AFFY-2	P-AFFY-6	S0_12H_A	GSM133121.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5688/E-GEOD-5688.raw.1.zip	E-GEOD-5688-processed-data-1628539268.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5688/E-GEOD-5688.processed.1.zip	transfer to MGRL medium without sulphate	12	hours
GSE5688GSM133140	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 10-day-old plant; Tissue: root	Col-0	10	days	root	P-G5688-10	GSE5688GSM133140 sample	GSE5688GSM133140 extract	total_RNA	GSE5688GSM133140 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	S1500_4H_B	A-AFFY-2	P-AFFY-6	S1500_4H_B	GSM133140.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5688/E-GEOD-5688.raw.1.zip	E-GEOD-5688-processed-data-1628539268.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5688/E-GEOD-5688.processed.1.zip	transfer to MGRL medium with sulphate	4	hours
GSE5688GSM133139	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 10-day-old plant; Tissue: root	Col-0	10	days	root	P-G5688-10	GSE5688GSM133139 sample	GSE5688GSM133139 extract	total_RNA	GSE5688GSM133139 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	S1500_4H_A	A-AFFY-2	P-AFFY-6	S1500_4H_A	GSM133139.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5688/E-GEOD-5688.raw.1.zip	E-GEOD-5688-processed-data-1628539268.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5688/E-GEOD-5688.processed.1.zip	transfer to MGRL medium with sulphate	4	hours
GSE5688GSM133141	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 10-day-old plant; Tissue: root	Col-0	10	days	root	P-G5688-11	GSE5688GSM133141 sample	GSE5688GSM133141 extract	total_RNA	GSE5688GSM133141 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	S1500_8H_A	A-AFFY-2	P-AFFY-6	S1500_8H_A	GSM133141.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5688/E-GEOD-5688.raw.1.zip	E-GEOD-5688-processed-data-1628539268.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5688/E-GEOD-5688.processed.1.zip	transfer to MGRL medium with sulphate	8	hours
GSE5688GSM133142	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 10-day-old plant; Tissue: root	Col-0	10	days	root	P-G5688-11	GSE5688GSM133142 sample	GSE5688GSM133142 extract	total_RNA	GSE5688GSM133142 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	S1500_8H_B	A-AFFY-2	P-AFFY-6	S1500_8H_B	GSM133142.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5688/E-GEOD-5688.raw.1.zip	E-GEOD-5688-processed-data-1628539268.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5688/E-GEOD-5688.processed.1.zip	transfer to MGRL medium with sulphate	8	hours
GSE5688GSM133123	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 10-day-old plant; Tissue: root	Col-0	10	days	root	P-G5688-2	GSE5688GSM133123 sample	GSE5688GSM133123 extract	total_RNA	GSE5688GSM133123 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	S0_24H_A	A-AFFY-2	P-AFFY-6	S0_24H_A	GSM133123.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5688/E-GEOD-5688.raw.1.zip	E-GEOD-5688-processed-data-1628539268.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5688/E-GEOD-5688.processed.1.zip	transfer to MGRL medium without sulphate	24	hours
GSE5688GSM133124	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 10-day-old plant; Tissue: root	Col-0	10	days	root	P-G5688-2	GSE5688GSM133124 sample	GSE5688GSM133124 extract	total_RNA	GSE5688GSM133124 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	S0_24H_B	A-AFFY-2	P-AFFY-6	S0_24H_B	GSM133124.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5688/E-GEOD-5688.raw.1.zip	E-GEOD-5688-processed-data-1628539268.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5688/E-GEOD-5688.processed.1.zip	transfer to MGRL medium without sulphate	24	hours
GSE5688GSM133126	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 10-day-old plant; Tissue: root	Col-0	10	days	root	P-G5688-3	GSE5688GSM133126 sample	GSE5688GSM133126 extract	total_RNA	GSE5688GSM133126 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	S0_2H_B	A-AFFY-2	P-AFFY-6	S0_2H_B	GSM133126.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5688/E-GEOD-5688.raw.1.zip	E-GEOD-5688-processed-data-1628539268.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5688/E-GEOD-5688.processed.1.zip	transfer to MGRL medium without sulphate	2	hours
GSE5688GSM133125	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 10-day-old plant; Tissue: root	Col-0	10	days	root	P-G5688-3	GSE5688GSM133125 sample	GSE5688GSM133125 extract	total_RNA	GSE5688GSM133125 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	S0_2H_A	A-AFFY-2	P-AFFY-6	S0_2H_A	GSM133125.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5688/E-GEOD-5688.raw.1.zip	E-GEOD-5688-processed-data-1628539268.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5688/E-GEOD-5688.processed.1.zip	transfer to MGRL medium without sulphate	2	hours
