Source Name	Characteristics [Organism]	Characteristics [Ecotype]	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Comment [Array Design URI]	Scan Name	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Factor Value [Time]	Unit [TimeUnit]	Factor Value [Dose]	Unit [ConcentrationUnit]	Factor Value [Compound]
GSE1111GSM18327	Arabidopsis thaliana	Col-0	GSE1111GSM18327 sample	GSE1111GSM18327 extract	total_RNA	GSE1111GSM18327 LE.biotin	biotin	synthetic_RNA	0.1uM_IAA_1h_1.1 AG	A-AFFY-16	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-16	0.1uM_IAA_1h_1.1 AG	E-GEOD-1111-processed-data-1506202749.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1111/E-GEOD-1111.processed.1.zip	1	hour	0.1	micromolar	indole-3-acetic acid
GSE1111GSM18290	Arabidopsis thaliana	Col-0	GSE1111GSM18290 sample	GSE1111GSM18290 extract	total_RNA	GSE1111GSM18290 LE.biotin	biotin	synthetic_RNA	0.1uM_IAA_1h_1.1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	0.1uM_IAA_1h_1.1	E-GEOD-1111-processed-data-1506202750.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1111/E-GEOD-1111.processed.1.zip	1	hour	0.1	micromolar	indole-3-acetic acid
GSE1111GSM18326	Arabidopsis thaliana	Col-0	GSE1111GSM18326 sample	GSE1111GSM18326 extract	total_RNA	GSE1111GSM18326 LE.biotin	biotin	synthetic_RNA	Control_1.2 (a) AG	A-AFFY-16	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-16	Control_1.2 (a) AG	E-GEOD-1111-processed-data-1506202749.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1111/E-GEOD-1111.processed.1.zip	0	hour	0	micromolar	none
GSE1111GSM18325	Arabidopsis thaliana	Col-0	GSE1111GSM18325 sample	GSE1111GSM18325 extract	total_RNA	GSE1111GSM18325 LE.biotin	biotin	synthetic_RNA	Control_1.1 (a) AG	A-AFFY-16	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-16	Control_1.1 (a) AG	E-GEOD-1111-processed-data-1506202749.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1111/E-GEOD-1111.processed.1.zip	0	hour	0	micromolar	none
GSE1111GSM18294	Arabidopsis thaliana	Col-0	GSE1111GSM18294 sample	GSE1111GSM18294 extract	total_RNA	GSE1111GSM18294 LE.biotin	biotin	synthetic_RNA	0.1uM_IAA_3h_1.1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	0.1uM_IAA_3h_1.1	E-GEOD-1111-processed-data-1506202750.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1111/E-GEOD-1111.processed.1.zip	3	hour	0.1	micromolar	indole-3-acetic acid
GSE1111GSM18291	Arabidopsis thaliana	Col-0	GSE1111GSM18291 sample	GSE1111GSM18291 extract	total_RNA	GSE1111GSM18291 LE.biotin	biotin	synthetic_RNA	0.1uM_IAA_1h_1.2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	0.1uM_IAA_1h_1.2	E-GEOD-1111-processed-data-1506202750.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1111/E-GEOD-1111.processed.1.zip	1	hour	0.1	micromolar	indole-3-acetic acid
GSE1111GSM18328	Arabidopsis thaliana	Col-0	GSE1111GSM18328 sample	GSE1111GSM18328 extract	total_RNA	GSE1111GSM18328 LE.biotin	biotin	synthetic_RNA	0.1uM_IAA_1h_1.2 AG	A-AFFY-16	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-16	0.1uM_IAA_1h_1.2 AG	E-GEOD-1111-processed-data-1506202749.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1111/E-GEOD-1111.processed.1.zip	1	hour	0.1	micromolar	indole-3-acetic acid
GSE1111GSM18330	Arabidopsis thaliana	Col-0	GSE1111GSM18330 sample	GSE1111GSM18330 extract	total_RNA	GSE1111GSM18330 LE.biotin	biotin	synthetic_RNA	0.1uM_IAA_3h_1.2 AG	A-AFFY-16	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-16	0.1uM_IAA_3h_1.2 AG	E-GEOD-1111-processed-data-1506202749.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1111/E-GEOD-1111.processed.1.zip	3	hour	0.1	micromolar	indole-3-acetic acid
GSE1111GSM18228	Arabidopsis thaliana	Col-0	GSE1111GSM18228 sample	GSE1111GSM18228 extract	total_RNA	GSE1111GSM18228 LE.biotin	biotin	synthetic_RNA	Control_1.1 (a)	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Control_1.1 (a)	E-GEOD-1111-processed-data-1506202750.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1111/E-GEOD-1111.processed.1.zip	0	hour	0	micromolar	none
GSE1111GSM18329	Arabidopsis thaliana	Col-0	GSE1111GSM18329 sample	GSE1111GSM18329 extract	total_RNA	GSE1111GSM18329 LE.biotin	biotin	synthetic_RNA	0.1uM_IAA_3h_1.1 AG	A-AFFY-16	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-16	0.1uM_IAA_3h_1.1 AG	E-GEOD-1111-processed-data-1506202749.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1111/E-GEOD-1111.processed.1.zip	3	hour	0.1	micromolar	indole-3-acetic acid
