Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]
GSM1687458 1	Gene expression data from Arabidopsis rosette after 3000Hz treatment at 80 db	Arabidopsis rosette after 3000Hz treatment at 80 db	3000Hz, biological rep3	20 days	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rossette	P-GSE68944-2	ArrayExpress	P-GSE68944-3	ArrayExpress	P-GSE68944-4	ArrayExpress	GSM1687458 extract 1	total RNA	P-GSE68944-5	ArrayExpress	GSM1687458 LE 1	biotin	P-GSE68944-6	ArrayExpress	GSM1687458	A-AFFY-2	ArrayExpress	array assay	P-GSE68944-7	ArrayExpress	GSM1687458_3000Hz-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68944/E-GEOD-68944.raw.1.zip	P-GSE68944-1	ArrayExpress	GSM1687458_sample_table.txt norm	GSM1687458_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68944/E-GEOD-68944.processed.1.zip
GSM1687457 1	Gene expression data from Arabidopsis rosette after 3000Hz treatment at 80 db	Arabidopsis rosette after 3000Hz treatment at 80 db	3000Hz, biological rep2	20 days	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rossette	P-GSE68944-2	ArrayExpress	P-GSE68944-3	ArrayExpress	P-GSE68944-4	ArrayExpress	GSM1687457 extract 1	total RNA	P-GSE68944-5	ArrayExpress	GSM1687457 LE 1	biotin	P-GSE68944-6	ArrayExpress	GSM1687457	A-AFFY-2	ArrayExpress	array assay	P-GSE68944-7	ArrayExpress	GSM1687457_3000Hz-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68944/E-GEOD-68944.raw.1.zip	P-GSE68944-1	ArrayExpress	GSM1687457_sample_table.txt norm	GSM1687457_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68944/E-GEOD-68944.processed.1.zip
GSM1687456 1	Gene expression data from Arabidopsis rosette after 3000Hz treatment at 80 db	Arabidopsis rosette after 3000Hz treatment at 80 db	3000Hz, biological rep1	20 days	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rossette	P-GSE68944-2	ArrayExpress	P-GSE68944-3	ArrayExpress	P-GSE68944-4	ArrayExpress	GSM1687456 extract 1	total RNA	P-GSE68944-5	ArrayExpress	GSM1687456 LE 1	biotin	P-GSE68944-6	ArrayExpress	GSM1687456	A-AFFY-2	ArrayExpress	array assay	P-GSE68944-7	ArrayExpress	GSM1687456_3000Hz-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68944/E-GEOD-68944.raw.1.zip	P-GSE68944-1	ArrayExpress	GSM1687456_sample_table.txt norm	GSM1687456_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68944/E-GEOD-68944.processed.1.zip
GSM1687455 1	Gene expression data from Arabidopsis rosette after 2000Hz treatment at 80 db	Arabidopsis rosette after 2000Hz treatment at 80 db	2000Hz, biological rep3	20 days	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rossette	P-GSE68944-2	ArrayExpress	P-GSE68944-3	ArrayExpress	P-GSE68944-4	ArrayExpress	GSM1687455 extract 1	total RNA	P-GSE68944-5	ArrayExpress	GSM1687455 LE 1	biotin	P-GSE68944-6	ArrayExpress	GSM1687455	A-AFFY-2	ArrayExpress	array assay	P-GSE68944-7	ArrayExpress	GSM1687455_2000Hz-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68944/E-GEOD-68944.raw.1.zip	P-GSE68944-1	ArrayExpress	GSM1687455_sample_table.txt norm	GSM1687455_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68944/E-GEOD-68944.processed.1.zip
GSM1687454 1	Gene expression data from Arabidopsis rosette after 2000Hz treatment at 80 db	Arabidopsis rosette after 2000Hz treatment at 80 db	2000Hz, biological rep2	20 days	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rossette	P-GSE68944-2	ArrayExpress	P-GSE68944-3	ArrayExpress	P-GSE68944-4	ArrayExpress	GSM1687454 extract 1	total RNA	P-GSE68944-5	ArrayExpress	GSM1687454 LE 1	biotin	P-GSE68944-6	ArrayExpress	GSM1687454	A-AFFY-2	ArrayExpress	array assay	P-GSE68944-7	ArrayExpress	GSM1687454_2000Hz-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68944/E-GEOD-68944.raw.1.zip	P-GSE68944-1	ArrayExpress	GSM1687454_sample_table.txt norm	GSM1687454_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68944/E-GEOD-68944.processed.1.zip
GSM1687453 1	Gene expression data from Arabidopsis rosette after 2000Hz treatment at 80 db	Arabidopsis rosette after 2000Hz treatment at 80 db	2000Hz, biological rep1	20 days	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rossette	P-GSE68944-2	ArrayExpress	P-GSE68944-3	ArrayExpress	P-GSE68944-4	ArrayExpress	GSM1687453 extract 1	total RNA	P-GSE68944-5	ArrayExpress	GSM1687453 LE 1	biotin	P-GSE68944-6	ArrayExpress	GSM1687453	A-AFFY-2	ArrayExpress	array assay	P-GSE68944-7	ArrayExpress	GSM1687453_2000Hz-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68944/E-GEOD-68944.raw.1.zip	P-GSE68944-1	ArrayExpress	GSM1687453_sample_table.txt norm	GSM1687453_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68944/E-GEOD-68944.processed.1.zip
GSM1687452 1	Gene expression data from Arabidopsis rosette after 1000Hz treatment at 80 db	Arabidopsis rosette after 1000Hz treatment at 80 db	1000Hz, biological rep3	20 days	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rossette	P-GSE68944-2	ArrayExpress	P-GSE68944-3	ArrayExpress	P-GSE68944-4	ArrayExpress	GSM1687452 extract 1	total RNA	P-GSE68944-5	ArrayExpress	GSM1687452 LE 1	biotin	P-GSE68944-6	ArrayExpress	GSM1687452	A-AFFY-2	ArrayExpress	array assay	P-GSE68944-7	ArrayExpress	GSM1687452_1000Hz-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68944/E-GEOD-68944.raw.1.zip	P-GSE68944-1	ArrayExpress	GSM1687452_sample_table.txt norm	GSM1687452_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68944/E-GEOD-68944.processed.1.zip
GSM1687451 1	Gene expression data from Arabidopsis rosette after 1000Hz treatment at 80 db	Arabidopsis rosette after 1000Hz treatment at 80 db	1000Hz, biological rep2	20 days	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rossette	P-GSE68944-2	ArrayExpress	P-GSE68944-3	ArrayExpress	P-GSE68944-4	ArrayExpress	GSM1687451 extract 1	total RNA	P-GSE68944-5	ArrayExpress	GSM1687451 LE 1	biotin	P-GSE68944-6	ArrayExpress	GSM1687451	A-AFFY-2	ArrayExpress	array assay	P-GSE68944-7	ArrayExpress	GSM1687451_1000Hz-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68944/E-GEOD-68944.raw.1.zip	P-GSE68944-1	ArrayExpress	GSM1687451_sample_table.txt norm	GSM1687451_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68944/E-GEOD-68944.processed.1.zip
GSM1687450 1	Gene expression data from Arabidopsis rosette after 1000Hz treatment at 80 db	Arabidopsis rosette after 1000Hz treatment at 80 db	1000Hz, biological rep1	20 days	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rossette	P-GSE68944-2	ArrayExpress	P-GSE68944-3	ArrayExpress	P-GSE68944-4	ArrayExpress	GSM1687450 extract 1	total RNA	P-GSE68944-5	ArrayExpress	GSM1687450 LE 1	biotin	P-GSE68944-6	ArrayExpress	GSM1687450	A-AFFY-2	ArrayExpress	array assay	P-GSE68944-7	ArrayExpress	GSM1687450_1000Hz-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68944/E-GEOD-68944.raw.1.zip	P-GSE68944-1	ArrayExpress	GSM1687450_sample_table.txt norm	GSM1687450_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68944/E-GEOD-68944.processed.1.zip
GSM1687449 1	Gene expression data from Arabidopsis rosette after 500Hz treatment at 80 db	Arabidopsis rosette after 500Hz treatment at 80 db	500Hz, biological rep3	20 days	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rossette	P-GSE68944-2	ArrayExpress	P-GSE68944-3	ArrayExpress	P-GSE68944-4	ArrayExpress	GSM1687449 extract 1	total RNA	P-GSE68944-5	ArrayExpress	GSM1687449 LE 1	biotin	P-GSE68944-6	ArrayExpress	GSM1687449	A-AFFY-2	ArrayExpress	array assay	P-GSE68944-7	ArrayExpress	GSM1687449_500Hz-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68944/E-GEOD-68944.raw.1.zip	P-GSE68944-1	ArrayExpress	GSM1687449_sample_table.txt norm	GSM1687449_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68944/E-GEOD-68944.processed.1.zip
