Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[genotype]	Characteristics[developmental stage]	Characteristics[organism part]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [compound]	Term Source REF	Term Accession Number
GSM566484 1	Gene expression data from dsr1 seedlings that contain the GSTF8::LUC reporter treated with salicylic acid	"whole seedlings, SA treated, 10 hr"	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	sdh1 mutant	seedling	whole organism	P-GSE22942-2	P-GSE22942-3	P-GSE22942-4	GSM566484 extract 1	total RNA	P-GSE22942-5	GSM566484 LE 1	Biotin	P-GSE22942-6	GSM566484	A-AFFY-2	P-GSE22942-7	P-GSE22942-8	GSM566484_dsr1_SA_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22942/E-GEOD-22942.raw.1.zip	P-GSE22942-1	GSM566484_sample_table.txt norm	GSM566484_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22942/E-GEOD-22942.processed.1.zip	sdh1 mutant	salicylic acid	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16914
GSM566483 1	Gene expression data from dsr1 seedlings that contain the GSTF8::LUC reporter treated with salicylic acid	"whole seedlings, SA treated, 10 hr"	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	sdh1 mutant	seedling	whole organism	P-GSE22942-2	P-GSE22942-3	P-GSE22942-4	GSM566483 extract 1	total RNA	P-GSE22942-5	GSM566483 LE 1	Biotin	P-GSE22942-6	GSM566483	A-AFFY-2	P-GSE22942-7	P-GSE22942-8	GSM566483_dsr1_SA_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22942/E-GEOD-22942.raw.1.zip	P-GSE22942-1	GSM566483_sample_table.txt norm	GSM566483_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22942/E-GEOD-22942.processed.1.zip	sdh1 mutant	salicylic acid	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16914
GSM566482 1	Gene expression data from dsr1 seedlings that contain the GSTF8::LUC reporter treated with salicylic acid	"whole seedlings, SA treated, 10 hr"	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	sdh1 mutant	seedling	whole organism	P-GSE22942-2	P-GSE22942-3	P-GSE22942-4	GSM566482 extract 1	total RNA	P-GSE22942-5	GSM566482 LE 1	Biotin	P-GSE22942-6	GSM566482	A-AFFY-2	P-GSE22942-7	P-GSE22942-8	GSM566482_dsr1_SA_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22942/E-GEOD-22942.raw.1.zip	P-GSE22942-1	GSM566482_sample_table.txt norm	GSM566482_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22942/E-GEOD-22942.processed.1.zip	sdh1 mutant	salicylic acid	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16914
GSM566481 1	Gene expression data from dsr1 seedlings that contain the GSTF8::LUC reporter treated with water (mock)	"whole seedlings, mock treated, 10 hr"	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	sdh1 mutant	seedling	whole organism	P-GSE22942-2	P-GSE22942-3	P-GSE22942-4	GSM566481 extract 1	total RNA	P-GSE22942-5	GSM566481 LE 1	Biotin	P-GSE22942-6	GSM566481	A-AFFY-2	P-GSE22942-7	P-GSE22942-8	GSM566481_dsr1_mock_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22942/E-GEOD-22942.raw.1.zip	P-GSE22942-1	GSM566481_sample_table.txt norm	GSM566481_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22942/E-GEOD-22942.processed.1.zip	sdh1 mutant	none	 	 
GSM566480 1	Gene expression data from WT seedlings that contain the GSTF8::LUC reporter treated with water (mock)	"whole seedlings, mock treated, 10 hr"	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	sdh1 mutant	seedling	whole organism	P-GSE22942-2	P-GSE22942-3	P-GSE22942-4	GSM566480 extract 1	total RNA	P-GSE22942-5	GSM566480 LE 1	Biotin	P-GSE22942-6	GSM566480	A-AFFY-2	P-GSE22942-7	P-GSE22942-8	GSM566480_dsr1_mock_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22942/E-GEOD-22942.raw.1.zip	P-GSE22942-1	GSM566480_sample_table.txt norm	GSM566480_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22942/E-GEOD-22942.processed.1.zip	sdh1 mutant	none	 	 
GSM566479 1	Gene expression data from dsr1 seedlings that contain the GSTF8::LUC reporter treated with water (mock)	"whole seedlings, mock treated, 10 hr"	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	sdh1 mutant	seedling	whole organism	P-GSE22942-2	P-GSE22942-3	P-GSE22942-4	GSM566479 extract 1	total RNA	P-GSE22942-5	GSM566479 LE 1	Biotin	P-GSE22942-6	GSM566479	A-AFFY-2	P-GSE22942-7	P-GSE22942-8	GSM566479_dsr1_mock_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22942/E-GEOD-22942.raw.1.zip	P-GSE22942-1	GSM566479_sample_table.txt norm	GSM566479_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22942/E-GEOD-22942.processed.1.zip	sdh1 mutant	none	 	 
GSM566478 1	Gene expression data from WT seedlings that contain the GSTF8::LUC reporter treated with salicylic acid	"whole seedlings, SA treated, 10 hr"	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	seedling	whole organism	P-GSE22942-2	P-GSE22942-3	P-GSE22942-4	GSM566478 extract 1	total RNA	P-GSE22942-5	GSM566478 LE 1	Biotin	P-GSE22942-6	GSM566478	A-AFFY-2	P-GSE22942-7	P-GSE22942-8	GSM566478_WT_SA_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22942/E-GEOD-22942.raw.1.zip	P-GSE22942-1	GSM566478_sample_table.txt norm	GSM566478_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22942/E-GEOD-22942.processed.1.zip	wild type	salicylic acid	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16914
GSM566477 1	Gene expression data from WT seedlings that contain the GSTF8::LUC reporter treated with salicylic acid	"whole seedlings, SA treated, 10 hr"	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	seedling	whole organism	P-GSE22942-2	P-GSE22942-3	P-GSE22942-4	GSM566477 extract 1	total RNA	P-GSE22942-5	GSM566477 LE 1	Biotin	P-GSE22942-6	GSM566477	A-AFFY-2	P-GSE22942-7	P-GSE22942-8	GSM566477_WT_SA_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22942/E-GEOD-22942.raw.1.zip	P-GSE22942-1	GSM566477_sample_table.txt norm	GSM566477_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22942/E-GEOD-22942.processed.1.zip	wild type	salicylic acid	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16914
GSM566476 1	Gene expression data from WT seedlings that contain the GSTF8::LUC reporter treated with salicylic acid	"whole seedlings, SA treated, 10 hr"	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	seedling	whole organism	P-GSE22942-2	P-GSE22942-3	P-GSE22942-4	GSM566476 extract 1	total RNA	P-GSE22942-5	GSM566476 LE 1	Biotin	P-GSE22942-6	GSM566476	A-AFFY-2	P-GSE22942-7	P-GSE22942-8	GSM566476_WT_SA_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22942/E-GEOD-22942.raw.1.zip	P-GSE22942-1	GSM566476_sample_table.txt norm	GSM566476_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22942/E-GEOD-22942.processed.1.zip	wild type	salicylic acid	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16914
GSM566475 1	Gene expression data from WT seedlings that contain the GSTF8::LUC reporter treated with water (mock)	"whole seedlings, mock treated, 10 hr"	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	seedling	whole organism	P-GSE22942-2	P-GSE22942-3	P-GSE22942-4	GSM566475 extract 1	total RNA	P-GSE22942-5	GSM566475 LE 1	Biotin	P-GSE22942-6	GSM566475	A-AFFY-2	P-GSE22942-7	P-GSE22942-8	GSM566475_WT_mock_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22942/E-GEOD-22942.raw.1.zip	P-GSE22942-1	GSM566475_sample_table.txt norm	GSM566475_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22942/E-GEOD-22942.processed.1.zip	wild type	none	 	 
