Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]
GSM1348293 1	Gene expression data from ZF(AT4G29190)-overexpressing plants at 22�C	ZF(AT4G29190)-overexpressing plants at 22�C	ZF overexpression, biological rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	entire aerial part	P-GSE55907-2	ArrayExpress	P-GSE55907-3	ArrayExpress	P-GSE55907-4	ArrayExpress	GSM1348293 extract 1	total RNA	P-GSE55907-5	ArrayExpress	GSM1348293 LE 1	biotin	P-GSE55907-6	ArrayExpress	GSM1348293	A-AFFY-2	ArrayExpress	array assay	P-GSE55907-7	ArrayExpress	GSM1348293_ZF_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55907/E-GEOD-55907.raw.1.zip	P-GSE55907-1	ArrayExpress	GSM1348293_sample_table.txt norm	GSM1348293_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55907/E-GEOD-55907.processed.1.zip
GSM1348292 1	Gene expression data from ZF(AT4G29190)-overexpressing plants at 22�C	ZF(AT4G29190)-overexpressing plants at 22�C	ZF overexpression, biological rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	entire aerial part	P-GSE55907-2	ArrayExpress	P-GSE55907-3	ArrayExpress	P-GSE55907-4	ArrayExpress	GSM1348292 extract 1	total RNA	P-GSE55907-5	ArrayExpress	GSM1348292 LE 1	biotin	P-GSE55907-6	ArrayExpress	GSM1348292	A-AFFY-2	ArrayExpress	array assay	P-GSE55907-7	ArrayExpress	GSM1348292_ZF_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55907/E-GEOD-55907.raw.1.zip	P-GSE55907-1	ArrayExpress	GSM1348292_sample_table.txt norm	GSM1348292_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55907/E-GEOD-55907.processed.1.zip
GSM1348291 1	Gene expression data from ZAT10 (AT1G27730)-overexpressing plants at 22�C	ZAT10 (AT1G27730)-overexpressing plants at 22�C	ZAT10 overexpression, biological rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	entire aerial part	P-GSE55907-2	ArrayExpress	P-GSE55907-3	ArrayExpress	P-GSE55907-4	ArrayExpress	GSM1348291 extract 1	total RNA	P-GSE55907-5	ArrayExpress	GSM1348291 LE 1	biotin	P-GSE55907-6	ArrayExpress	GSM1348291	A-AFFY-2	ArrayExpress	array assay	P-GSE55907-7	ArrayExpress	GSM1348291_ZAT10_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55907/E-GEOD-55907.raw.1.zip	P-GSE55907-1	ArrayExpress	GSM1348291_sample_table.txt norm	GSM1348291_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55907/E-GEOD-55907.processed.1.zip
GSM1348290 1	Gene expression data from ZAT10 (AT1G27730)-overexpressing plants at 22�C	ZAT10 (AT1G27730)-overexpressing plants at 22�C	ZAT10 overexpression, biological rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	entire aerial part	P-GSE55907-2	ArrayExpress	P-GSE55907-3	ArrayExpress	P-GSE55907-4	ArrayExpress	GSM1348290 extract 1	total RNA	P-GSE55907-5	ArrayExpress	GSM1348290 LE 1	biotin	P-GSE55907-6	ArrayExpress	GSM1348290	A-AFFY-2	ArrayExpress	array assay	P-GSE55907-7	ArrayExpress	GSM1348290_ZAT10_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55907/E-GEOD-55907.raw.1.zip	P-GSE55907-1	ArrayExpress	GSM1348290_sample_table.txt norm	GSM1348290_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55907/E-GEOD-55907.processed.1.zip
GSM1348289 1	Gene expression data from RAV1 (AT1G13260)-overexpressing plants at 22�C	RAV1 (AT1G13260)-overexpressing plants at 22�C	RAV1 overexpression, biological rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	entire aerial part	P-GSE55907-2	ArrayExpress	P-GSE55907-3	ArrayExpress	P-GSE55907-4	ArrayExpress	GSM1348289 extract 1	total RNA	P-GSE55907-5	ArrayExpress	GSM1348289 LE 1	biotin	P-GSE55907-6	ArrayExpress	GSM1348289	A-AFFY-2	ArrayExpress	array assay	P-GSE55907-7	ArrayExpress	GSM1348289_RAV1_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55907/E-GEOD-55907.raw.1.zip	P-GSE55907-1	ArrayExpress	GSM1348289_sample_table.txt norm	GSM1348289_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55907/E-GEOD-55907.processed.1.zip
GSM1348288 1	Gene expression data from RAV1 (AT1G13260)-overexpressing plants at 22�C	RAV1 (AT1G13260)-overexpressing plants at 22�C	RAV1 overexpression, biological rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	entire aerial part	P-GSE55907-2	ArrayExpress	P-GSE55907-3	ArrayExpress	P-GSE55907-4	ArrayExpress	GSM1348288 extract 1	total RNA	P-GSE55907-5	ArrayExpress	GSM1348288 LE 1	biotin	P-GSE55907-6	ArrayExpress	GSM1348288	A-AFFY-2	ArrayExpress	array assay	P-GSE55907-7	ArrayExpress	GSM1348288_RAV1_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55907/E-GEOD-55907.raw.1.zip	P-GSE55907-1	ArrayExpress	GSM1348288_sample_table.txt norm	GSM1348288_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55907/E-GEOD-55907.processed.1.zip
GSM1348287 1	Gene expression data from MYB73 (AT4G37260)-overexpressing plants at 22�C	MYB73 (AT4G37260)-overexpressing plants at 22�C	MYB7 overexpression, biological rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	entire aerial part	P-GSE55907-2	ArrayExpress	P-GSE55907-3	ArrayExpress	P-GSE55907-4	ArrayExpress	GSM1348287 extract 1	total RNA	P-GSE55907-5	ArrayExpress	GSM1348287 LE 1	biotin	P-GSE55907-6	ArrayExpress	GSM1348287	A-AFFY-2	ArrayExpress	array assay	P-GSE55907-7	ArrayExpress	GSM1348287_MYB73_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55907/E-GEOD-55907.raw.1.zip	P-GSE55907-1	ArrayExpress	GSM1348287_sample_table.txt norm	GSM1348287_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55907/E-GEOD-55907.processed.1.zip
GSM1348286 1	Gene expression data from MYB73 (AT4G37260)-overexpressing plants at 22�C	MYB73 (AT4G37260)-overexpressing plants at 22�C	MYB7 overexpression, biological rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	entire aerial part	P-GSE55907-2	ArrayExpress	P-GSE55907-3	ArrayExpress	P-GSE55907-4	ArrayExpress	GSM1348286 extract 1	total RNA	P-GSE55907-5	ArrayExpress	GSM1348286 LE 1	biotin	P-GSE55907-6	ArrayExpress	GSM1348286	A-AFFY-2	ArrayExpress	array assay	P-GSE55907-7	ArrayExpress	GSM1348286_MYB73_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55907/E-GEOD-55907.raw.1.zip	P-GSE55907-1	ArrayExpress	GSM1348286_sample_table.txt norm	GSM1348286_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55907/E-GEOD-55907.processed.1.zip
GSM1348285 1	Gene expression data from MYB44 (AT5G67300)-overexpressing plants at 22�C	MYB44 (AT5G67300)-overexpressing plants at 22�C	MYB4 overexpression, biological rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	entire aerial part	P-GSE55907-2	ArrayExpress	P-GSE55907-3	ArrayExpress	P-GSE55907-4	ArrayExpress	GSM1348285 extract 1	total RNA	P-GSE55907-5	ArrayExpress	GSM1348285 LE 1	biotin	P-GSE55907-6	ArrayExpress	GSM1348285	A-AFFY-2	ArrayExpress	array assay	P-GSE55907-7	ArrayExpress	GSM1348285_MYB44_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55907/E-GEOD-55907.raw.1.zip	P-GSE55907-1	ArrayExpress	GSM1348285_sample_table.txt norm	GSM1348285_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55907/E-GEOD-55907.processed.1.zip
GSM1348284 1	Gene expression data from MYB44 (AT5G67300)-overexpressing plants at 22�C	MYB44 (AT5G67300)-overexpressing plants at 22�C	MYB4 overexpression, biological rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	entire aerial part	P-GSE55907-2	ArrayExpress	P-GSE55907-3	ArrayExpress	P-GSE55907-4	ArrayExpress	GSM1348284 extract 1	total RNA	P-GSE55907-5	ArrayExpress	GSM1348284 LE 1	biotin	P-GSE55907-6	ArrayExpress	GSM1348284	A-AFFY-2	ArrayExpress	array assay	P-GSE55907-7	ArrayExpress	GSM1348284_MYB44_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55907/E-GEOD-55907.raw.1.zip	P-GSE55907-1	ArrayExpress	GSM1348284_sample_table.txt norm	GSM1348284_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55907/E-GEOD-55907.processed.1.zip
