Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics [age]	Unit [time unit]	Characteristics [organism part]	Characteristics [genotype]	Comment [Sample_description]	Comment [Sample_source_name]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	Factor Value [genotype]	FactorValue[environmental stress]
GSM489011 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	8	week	aerial part	msh1 recA3 double mutant	Gene expression from double mutant plants, after heat shock	Arabidopsis, double mutant plants after heat shock for two hours	P-GSE19603-2	P-GSE19603-3	P-GSE19603-4	GSM489011 extract 1	total_RNA	P-GSE19603-5	GSM489011 LE 1	biotin	unknown	P-GSE19603-6	P-GSE19603-7	GSM489011	A-AFFY-2	P-GSE19603-8	GSM489011.CEL	GSM489011.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19603/E-GEOD-19603.raw.1.zip	P-GSE19603-1	E-GEOD-19603-processed-data-2453810012.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19603/E-GEOD-19603.processed.1.zip	msh1 recA3 double mutant	2 hour at 37 degree celsius
GSM489012 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	8	week	aerial part	msh1 recA3 double mutant	Gene expression from double mutant plants, after heat shock	Arabidopsis, double mutant plants after heat shock for two hours	P-GSE19603-2	P-GSE19603-3	P-GSE19603-4	GSM489012 extract 1	total_RNA	P-GSE19603-5	GSM489012 LE 1	biotin	unknown	P-GSE19603-6	P-GSE19603-7	GSM489012	A-AFFY-2	P-GSE19603-8	GSM489012.CEL	GSM489012.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19603/E-GEOD-19603.raw.1.zip	P-GSE19603-1	E-GEOD-19603-processed-data-2453810012.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19603/E-GEOD-19603.processed.1.zip	msh1 recA3 double mutant	2 hour at 37 degree celsius
GSM489013 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	8	week	aerial part	msh1 recA3 double mutant	Gene expression from double mutant plants, after heat shock	Arabidopsis, double mutant plants after heat shock for two hours	P-GSE19603-2	P-GSE19603-3	P-GSE19603-4	GSM489013 extract 1	total_RNA	P-GSE19603-5	GSM489013 LE 1	biotin	unknown	P-GSE19603-6	P-GSE19603-7	GSM489013	A-AFFY-2	P-GSE19603-8	GSM489013.CEL	GSM489013.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19603/E-GEOD-19603.raw.1.zip	P-GSE19603-1	E-GEOD-19603-processed-data-2453810012.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19603/E-GEOD-19603.processed.1.zip	msh1 recA3 double mutant	2 hour at 37 degree celsius
GSM489004 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	8	week	aerial part	msh1 recA3 double mutant	Gene expression from double mutant plants, under normal conditions	Arabidposis, double mutant plants under normal conditions	P-GSE19603-2	P-GSE19603-3	P-GSE19603-4	GSM489004 extract 1	total_RNA	P-GSE19603-5	GSM489004 LE 1	biotin	unknown	P-GSE19603-6	P-GSE19603-7	GSM489004	A-AFFY-2	P-GSE19603-8	GSM489004.CEL	GSM489004.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19603/E-GEOD-19603.raw.1.zip	P-GSE19603-1	E-GEOD-19603-processed-data-2453810012.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19603/E-GEOD-19603.processed.1.zip	msh1 recA3 double mutant	constant 24 degree celsius
GSM489007 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	8	week	aerial part	msh1 recA3 double mutant	Gene expression from double mutant plants, under normal conditions	Arabidposis, double mutant plants under normal conditions	P-GSE19603-2	P-GSE19603-3	P-GSE19603-4	GSM489007 extract 1	total_RNA	P-GSE19603-5	GSM489007 LE 1	biotin	unknown	P-GSE19603-6	P-GSE19603-7	GSM489007	A-AFFY-2	P-GSE19603-8	GSM489007.CEL	GSM489007.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19603/E-GEOD-19603.raw.1.zip	P-GSE19603-1	E-GEOD-19603-processed-data-2453810012.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19603/E-GEOD-19603.processed.1.zip	msh1 recA3 double mutant	constant 24 degree celsius
GSM489006 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	8	week	aerial part	msh1 recA3 double mutant	Gene expression from double mutant plants, under normal conditions	Arabidposis, double mutant plants under normal conditions	P-GSE19603-2	P-GSE19603-3	P-GSE19603-4	GSM489006 extract 1	total_RNA	P-GSE19603-5	GSM489006 LE 1	biotin	unknown	P-GSE19603-6	P-GSE19603-7	GSM489006	A-AFFY-2	P-GSE19603-8	GSM489006.CEL	GSM489006.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19603/E-GEOD-19603.raw.1.zip	P-GSE19603-1	E-GEOD-19603-processed-data-2453810012.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19603/E-GEOD-19603.processed.1.zip	msh1 recA3 double mutant	constant 24 degree celsius
GSM489005 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	8	week	aerial part	msh1 recA3 double mutant	Gene expression from double mutant plants, under normal conditions	Arabidposis, double mutant plants under normal conditions	P-GSE19603-2	P-GSE19603-3	P-GSE19603-4	GSM489005 extract 1	total_RNA	P-GSE19603-5	GSM489005 LE 1	biotin	unknown	P-GSE19603-6	P-GSE19603-7	GSM489005	A-AFFY-2	P-GSE19603-8	GSM489005.CEL	GSM489005.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19603/E-GEOD-19603.raw.1.zip	P-GSE19603-1	E-GEOD-19603-processed-data-2453810012.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19603/E-GEOD-19603.processed.1.zip	msh1 recA3 double mutant	constant 24 degree celsius
GSM489010 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	8	week	aerial part	wild type	Gene expression from wild type plants, after heat shock	Arabidopsis, col-0 plants after heat shock for two hours	P-GSE19603-2	P-GSE19603-3	P-GSE19603-4	GSM489010 extract 1	total_RNA	P-GSE19603-5	GSM489010 LE 1	biotin	unknown	P-GSE19603-6	P-GSE19603-7	GSM489010	A-AFFY-2	P-GSE19603-8	GSM489010.CEL	GSM489010.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19603/E-GEOD-19603.raw.1.zip	P-GSE19603-1	E-GEOD-19603-processed-data-2453810012.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19603/E-GEOD-19603.processed.1.zip	wild type	2 hour at 37 degree celsius
GSM489008 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	8	week	aerial part	wild type	Gene expression from wild type plants, after heat shock	Arabidopsis, col-0 plants after heat shock for two hours	P-GSE19603-2	P-GSE19603-3	P-GSE19603-4	GSM489008 extract 1	total_RNA	P-GSE19603-5	GSM489008 LE 1	biotin	unknown	P-GSE19603-6	P-GSE19603-7	GSM489008	A-AFFY-2	P-GSE19603-8	GSM489008.CEL	GSM489008.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19603/E-GEOD-19603.raw.1.zip	P-GSE19603-1	E-GEOD-19603-processed-data-2453810012.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19603/E-GEOD-19603.processed.1.zip	wild type	2 hour at 37 degree celsius
GSM489009 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	8	week	aerial part	wild type	Gene expression from wild type plants, after heat shock	Arabidopsis, col-0 plants after heat shock for two hours	P-GSE19603-2	P-GSE19603-3	P-GSE19603-4	GSM489009 extract 1	total_RNA	P-GSE19603-5	GSM489009 LE 1	biotin	unknown	P-GSE19603-6	P-GSE19603-7	GSM489009	A-AFFY-2	P-GSE19603-8	GSM489009.CEL	GSM489009.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19603/E-GEOD-19603.raw.1.zip	P-GSE19603-1	E-GEOD-19603-processed-data-2453810012.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19603/E-GEOD-19603.processed.1.zip	wild type	2 hour at 37 degree celsius
