Source Name	Material Type	Provider	Characteristics[organism]	Characteristics[developmental stage]	Characteristics[specimen with known storage state]	Characteristics[organism part]	Characteristics[temperature]	Unit[temperature unit]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Factor Value[temperature]	Unit[temperature unit]	Factor Value [organism part]
Sample1	organism part	Juliwa, Heidelberg, Germany	Lepidium sativum	seed	fresh_sample	micropylar endosperm	11	degree celsius	P-MTAB-34006	P-MTAB-34007	P-MTAB-34008	Sample1 RNA	P-MTAB-34009	Sample1 labeled_extract	biotin	P-AFFY-3	ArrayExpress	Assay 1	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	101650-072_49-11degreesCAP.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1811/E-MTAB-1811.raw.1.zip	11	degree celsius	micropylar endosperm
Sample2	organism part	Juliwa, Heidelberg, Germany	Lepidium sativum	seed	fresh_sample	micropylar endosperm	11	degree celsius	P-MTAB-34006	P-MTAB-34007	P-MTAB-34008	Sample2 RNA	P-MTAB-34009	Sample2 labeled_extract	biotin	P-AFFY-3	ArrayExpress	Assay 2	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	101650-073_51-11degreesCAP.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1811/E-MTAB-1811.raw.1.zip	11	degree celsius	micropylar endosperm
Sample3	organism part	Juliwa, Heidelberg, Germany	Lepidium sativum	seed	fresh_sample	micropylar endosperm	11	degree celsius	P-MTAB-34006	P-MTAB-34007	P-MTAB-34008	Sample3 RNA	P-MTAB-34009	Sample3 labeled_extract	biotin	P-AFFY-3	ArrayExpress	Assay 3	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	101650-074_52-11degreesCAP.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1811/E-MTAB-1811.raw.1.zip	11	degree celsius	micropylar endosperm
Sample4	organism part	Juliwa, Heidelberg, Germany	Lepidium sativum	seed	fresh_sample	micropylar endosperm	11	degree celsius	P-MTAB-34006	P-MTAB-34007	P-MTAB-34008	Sample4 RNA	P-MTAB-34009	Sample4 labeled_extract	biotin	P-AFFY-3	ArrayExpress	Assay 4	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	101650-075_53-11degreesCAP.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1811/E-MTAB-1811.raw.1.zip	11	degree celsius	micropylar endosperm
Sample5	organism part	Juliwa, Heidelberg, Germany	Lepidium sativum	seed	fresh_sample	radicle	11	degree celsius	P-MTAB-34006	P-MTAB-34007	P-MTAB-34008	Sample5 RNA	P-MTAB-34009	Sample5 labeled_extract	biotin	P-AFFY-3	ArrayExpress	Assay 5	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	101650-076_55-11degreesRAD.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1811/E-MTAB-1811.raw.1.zip	11	degree celsius	radicle
Sample6	organism part	Juliwa, Heidelberg, Germany	Lepidium sativum	seed	fresh_sample	radicle	11	degree celsius	P-MTAB-34006	P-MTAB-34007	P-MTAB-34008	Sample6 RNA	P-MTAB-34009	Sample6 labeled_extract	biotin	P-AFFY-3	ArrayExpress	Assay 6	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	101650-077_56-11degreesRAD.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1811/E-MTAB-1811.raw.1.zip	11	degree celsius	radicle
Sample7	organism part	Juliwa, Heidelberg, Germany	Lepidium sativum	seed	fresh_sample	radicle	11	degree celsius	P-MTAB-34006	P-MTAB-34007	P-MTAB-34008	Sample7 RNA	P-MTAB-34009	Sample7 labeled_extract	biotin	P-AFFY-3	ArrayExpress	Assay 7	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	101650-079_58-11degreesRAD.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1811/E-MTAB-1811.raw.1.zip	11	degree celsius	radicle
Sample8	organism part	Juliwa, Heidelberg, Germany	Lepidium sativum	seed	fresh_sample	radicle	11	degree celsius	P-MTAB-34006	P-MTAB-34007	P-MTAB-34008	Sample8 RNA	P-MTAB-34009	Sample8 labeled_extract	biotin	P-AFFY-3	ArrayExpress	Assay 8	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	101650-105_Repl-11degreesRAD.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1811/E-MTAB-1811.raw.1.zip	11	degree celsius	radicle
Sample9	organism part	Juliwa, Heidelberg, Germany	Lepidium sativum	seed	fresh_sample	micropylar endosperm	18	degree celsius	P-MTAB-34006	P-MTAB-34007	P-MTAB-34008	Sample9 RNA	P-MTAB-34009	Sample9 labeled_extract	biotin	P-AFFY-3	ArrayExpress	Assay 9	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	101650-080_59-18degreesCAP.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1811/E-MTAB-1811.raw.1.zip	18	degree celsius	micropylar endosperm
Sample10	organism part	Juliwa, Heidelberg, Germany	Lepidium sativum	seed	fresh_sample	micropylar endosperm	18	degree celsius	P-MTAB-34006	P-MTAB-34007	P-MTAB-34008	Sample10 RNA	P-MTAB-34009	Sample10 labeled_extract	biotin	P-AFFY-3	ArrayExpress	Assay 10	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	101650-081_60-18degreesCAP.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1811/E-MTAB-1811.raw.1.zip	18	degree celsius	micropylar endosperm
Sample11	organism part	Juliwa, Heidelberg, Germany	Lepidium sativum	seed	fresh_sample	micropylar endosperm	18	degree celsius	P-MTAB-34006	P-MTAB-34007	P-MTAB-34008	Sample11 RNA	P-MTAB-34009	Sample11 labeled_extract	biotin	P-AFFY-3	ArrayExpress	Assay 11	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	101650-082_61-18degreesCAP.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1811/E-MTAB-1811.raw.1.zip	18	degree celsius	micropylar endosperm
