Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Unit [time unit]	Characteristics [ecotype]	Term Source REF	Term Accession Number	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [compound]
GSM1516371 1	Expression data from jaz7-1D leaves harvested 6 hours after the MeJA treatment.	Leaf tissue from 4 week old Arabidopsis thaliana plants	jaz7-1D leaves, MeJA treatment, replicate 4	4	week	Col-0	EFO	EFO_0005148	jaz7-1D	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	P-GSE61884-2	ArrayExpress	P-GSE61884-3	ArrayExpress	P-GSE61884-4	ArrayExpress	GSM1516371 extract 1	total RNA	P-GSE61884-5	ArrayExpress	GSM1516371 LE 1	biotin	P-GSE61884-6	ArrayExpress	GSM1516371	A-AFFY-2	ArrayExpress	array assay	P-GSE61884-7	ArrayExpress	GSM1516371_jaz7-1D_leaf_MeJA_rep4_10-16.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61884/E-GEOD-61884.raw.1.zip	P-GSE61884-1	ArrayExpress	GSM1516371_sample_table.txt norm	GSM1516371_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61884/E-GEOD-61884.processed.1.zip	jaz7-1D	methyl jasmonate
GSM1516370 1	Expression data from jaz7-1D leaves harvested 6 hours after the MeJA treatment.	Leaf tissue from 4 week old Arabidopsis thaliana plants	jaz7-1D leaves, MeJA treatment, replicate 3	4	week	Col-0	EFO	EFO_0005148	jaz7-1D	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	P-GSE61884-2	ArrayExpress	P-GSE61884-3	ArrayExpress	P-GSE61884-4	ArrayExpress	GSM1516370 extract 1	total RNA	P-GSE61884-5	ArrayExpress	GSM1516370 LE 1	biotin	P-GSE61884-6	ArrayExpress	GSM1516370	A-AFFY-2	ArrayExpress	array assay	P-GSE61884-7	ArrayExpress	GSM1516370_jaz7-1D_leaf_MeJA_rep3_10-15.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61884/E-GEOD-61884.raw.1.zip	P-GSE61884-1	ArrayExpress	GSM1516370_sample_table.txt norm	GSM1516370_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61884/E-GEOD-61884.processed.1.zip	jaz7-1D	methyl jasmonate
GSM1516369 1	Expression data from jaz7-1D leaves harvested 6 hours after the MeJA treatment.	Leaf tissue from 4 week old Arabidopsis thaliana plants	jaz7-1D leaves, MeJA treatment, replicate 2	4	week	Col-0	EFO	EFO_0005148	jaz7-1D	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	P-GSE61884-2	ArrayExpress	P-GSE61884-3	ArrayExpress	P-GSE61884-4	ArrayExpress	GSM1516369 extract 1	total RNA	P-GSE61884-5	ArrayExpress	GSM1516369 LE 1	biotin	P-GSE61884-6	ArrayExpress	GSM1516369	A-AFFY-2	ArrayExpress	array assay	P-GSE61884-7	ArrayExpress	GSM1516369_jaz7-1D_leaf_MeJA_rep2_10-14.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61884/E-GEOD-61884.raw.1.zip	P-GSE61884-1	ArrayExpress	GSM1516369_sample_table.txt norm	GSM1516369_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61884/E-GEOD-61884.processed.1.zip	jaz7-1D	methyl jasmonate
GSM1516368 1	Expression data from jaz7-1D leaves harvested 6 hours after the MeJA treatment.	Leaf tissue from 4 week old Arabidopsis thaliana plants	jaz7-1D leaves, MeJA treatment, replicate 1	4	week	Col-0	EFO	EFO_0005148	jaz7-1D	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	P-GSE61884-2	ArrayExpress	P-GSE61884-3	ArrayExpress	P-GSE61884-4	ArrayExpress	GSM1516368 extract 1	total RNA	P-GSE61884-5	ArrayExpress	GSM1516368 LE 1	biotin	P-GSE61884-6	ArrayExpress	GSM1516368	A-AFFY-2	ArrayExpress	array assay	P-GSE61884-7	ArrayExpress	GSM1516368_jaz7-1D_leaf_MeJA_rep1_10-13.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61884/E-GEOD-61884.raw.1.zip	P-GSE61884-1	ArrayExpress	GSM1516368_sample_table.txt norm	GSM1516368_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61884/E-GEOD-61884.processed.1.zip	jaz7-1D	methyl jasmonate
GSM1516367 1	Expression data from Col-0 leaves harvested 6 hours after the MeJA treatment.	Leaf tissue from 4 week old Arabidopsis thaliana plants	Col-0 leaves, MeJA treatment, replicate 4	4	week	Col-0	EFO	EFO_0005148	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	P-GSE61884-2	ArrayExpress	P-GSE61884-3	ArrayExpress	P-GSE61884-4	ArrayExpress	GSM1516367 extract 1	total RNA	P-GSE61884-5	ArrayExpress	GSM1516367 LE 1	biotin	P-GSE61884-6	ArrayExpress	GSM1516367	A-AFFY-2	ArrayExpress	array assay	P-GSE61884-7	ArrayExpress	GSM1516367_Col-0_leaf_MeJA_rep4_10-12.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61884/E-GEOD-61884.raw.1.zip	P-GSE61884-1	ArrayExpress	GSM1516367_sample_table.txt norm	GSM1516367_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61884/E-GEOD-61884.processed.1.zip	wild type	methyl jasmonate
GSM1516366 1	Expression data from Col-0 leaves harvested 6 hours after the MeJA treatment.	Leaf tissue from 4 week old Arabidopsis thaliana plants	Col-0 leaves, MeJA treatment, replicate 3	4	week	Col-0	EFO	EFO_0005148	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	P-GSE61884-2	ArrayExpress	P-GSE61884-3	ArrayExpress	P-GSE61884-4	ArrayExpress	GSM1516366 extract 1	total RNA	P-GSE61884-5	ArrayExpress	GSM1516366 LE 1	biotin	P-GSE61884-6	ArrayExpress	GSM1516366	A-AFFY-2	ArrayExpress	array assay	P-GSE61884-7	ArrayExpress	GSM1516366_Col-0_leaf_MeJA_rep3_10-11.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61884/E-GEOD-61884.raw.1.zip	P-GSE61884-1	ArrayExpress	GSM1516366_sample_table.txt norm	GSM1516366_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61884/E-GEOD-61884.processed.1.zip	wild type	methyl jasmonate
GSM1516365 1	Expression data from Col-0 leaves harvested 6 hours after the MeJA treatment.	Leaf tissue from 4 week old Arabidopsis thaliana plants	Col-0 leaves, MeJA treatment, replicate 2	4	week	Col-0	EFO	EFO_0005148	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	P-GSE61884-2	ArrayExpress	P-GSE61884-3	ArrayExpress	P-GSE61884-4	ArrayExpress	GSM1516365 extract 1	total RNA	P-GSE61884-5	ArrayExpress	GSM1516365 LE 1	biotin	P-GSE61884-6	ArrayExpress	GSM1516365	A-AFFY-2	ArrayExpress	array assay	P-GSE61884-7	ArrayExpress	GSM1516365_Col-0_leaf_MeJA_rep2_10-10.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61884/E-GEOD-61884.raw.1.zip	P-GSE61884-1	ArrayExpress	GSM1516365_sample_table.txt norm	GSM1516365_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61884/E-GEOD-61884.processed.1.zip	wild type	methyl jasmonate
GSM1516364 1	Expression data from Col-0 leaves harvested 6 hours after the MeJA treatment.	Leaf tissue from 4 week old Arabidopsis thaliana plants	Col-0 leaves, MeJA treatment, replicate 1	4	week	Col-0	EFO	EFO_0005148	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	P-GSE61884-2	ArrayExpress	P-GSE61884-3	ArrayExpress	P-GSE61884-4	ArrayExpress	GSM1516364 extract 1	total RNA	P-GSE61884-5	ArrayExpress	GSM1516364 LE 1	biotin	P-GSE61884-6	ArrayExpress	GSM1516364	A-AFFY-2	ArrayExpress	array assay	P-GSE61884-7	ArrayExpress	GSM1516364_Col-0_leaf_MeJA_rep1_10-9.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61884/E-GEOD-61884.raw.1.zip	P-GSE61884-1	ArrayExpress	GSM1516364_sample_table.txt norm	GSM1516364_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61884/E-GEOD-61884.processed.1.zip	wild type	methyl jasmonate
GSM1516363 1	Expression data from jaz7-1D leaves harvested 6 hours after the Mock treatment.	Leaf tissue from 4 week old Arabidopsis thaliana plants	jaz7-1D leaves, Mock treatment, replicate 4	4	week	Col-0	EFO	EFO_0005148	jaz7-1D	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	P-GSE61884-2	ArrayExpress	P-GSE61884-3	ArrayExpress	P-GSE61884-4	ArrayExpress	GSM1516363 extract 1	total RNA	P-GSE61884-5	ArrayExpress	GSM1516363 LE 1	biotin	P-GSE61884-6	ArrayExpress	GSM1516363	A-AFFY-2	ArrayExpress	array assay	P-GSE61884-7	ArrayExpress	GSM1516363_jaz7-1D_leaf_mock_rep4_10-8.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61884/E-GEOD-61884.raw.1.zip	P-GSE61884-1	ArrayExpress	GSM1516363_sample_table.txt norm	GSM1516363_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61884/E-GEOD-61884.processed.1.zip	jaz7-1D	mock
GSM1516362 1	Expression data from jaz7-1D leaves harvested 6 hours after the Mock treatment.	Leaf tissue from 4 week old Arabidopsis thaliana plants	jaz7-1D leaves, Mock treatment, replicate 3	4	week	Col-0	EFO	EFO_0005148	jaz7-1D	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	P-GSE61884-2	ArrayExpress	P-GSE61884-3	ArrayExpress	P-GSE61884-4	ArrayExpress	GSM1516362 extract 1	total RNA	P-GSE61884-5	ArrayExpress	GSM1516362 LE 1	biotin	P-GSE61884-6	ArrayExpress	GSM1516362	A-AFFY-2	ArrayExpress	array assay	P-GSE61884-7	ArrayExpress	GSM1516362_jaz7-1D_leaf_mock_rep3_10-7.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61884/E-GEOD-61884.raw.1.zip	P-GSE61884-1	ArrayExpress	GSM1516362_sample_table.txt norm	GSM1516362_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61884/E-GEOD-61884.processed.1.zip	jaz7-1D	mock
