Source Name	Characteristics [organism]	Characteristics [age]	Unit[time unit]	Characteristics [organism part]	Characteristics [genotype]	Comment [Sample_source_name]	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue [organism part]	FactorValue [genotype]	FactorValue[compound]	FactorValue[dose]	Unit [concentration unit]
GSM402185 1	Arabidopsis thaliana	33	day	flower	gir1 mutant	gir mutant, 33-day-old, excised flower	P-GSE16056-14	P-GSE16056-11	GSM402185 extract 1	total RNA	P-GSE16056-12	GSM402185 LE 1	biotin	unknown	P-GSE16056-13	P-GSE16056-9	GSM402185	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-GSE16056-10	GSM402185.CEL	GSM402185.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16056/E-GEOD-16056.raw.1.zip	P-GSE16056-1	E-GEOD-16056-processed-data-2509310466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16056/E-GEOD-16056.processed.1.zip	flower	gir1 mutant	none	  	        
GSM402191 1	Arabidopsis thaliana	33	day	flower	gir1 mutant	gir mutant, 33-day-old, excised flower	P-GSE16056-14	P-GSE16056-11	GSM402191 extract 1	total RNA	P-GSE16056-12	GSM402191 LE 1	biotin	unknown	P-GSE16056-13	P-GSE16056-9	GSM402191	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-GSE16056-10	GSM402191.CEL	GSM402191.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16056/E-GEOD-16056.raw.1.zip	P-GSE16056-1	E-GEOD-16056-processed-data-2509310466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16056/E-GEOD-16056.processed.1.zip	flower	gir1 mutant	none	  	        
GSM402187 1	Arabidopsis thaliana	33	day	flower	gir1 mutant	gir mutant, 33-day-oid, excised flower	P-GSE16056-14	P-GSE16056-11	GSM402187 extract 1	total RNA	P-GSE16056-12	GSM402187 LE 1	biotin	unknown	P-GSE16056-13	P-GSE16056-9	GSM402187	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-GSE16056-10	GSM402187.CEL	GSM402187.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16056/E-GEOD-16056.raw.1.zip	P-GSE16056-1	E-GEOD-16056-processed-data-2509310466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16056/E-GEOD-16056.processed.1.zip	flower	gir1 mutant	none	  	        
GSM402189 1	Arabidopsis thaliana	33	day	flower	gir1 mutant	gir mutant, 33-day-old, excised flower	P-GSE16056-14	P-GSE16056-11	GSM402189 extract 1	total RNA	P-GSE16056-12	GSM402189 LE 1	biotin	unknown	P-GSE16056-13	P-GSE16056-9	GSM402189	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-GSE16056-10	GSM402189.CEL	GSM402189.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16056/E-GEOD-16056.raw.1.zip	P-GSE16056-1	E-GEOD-16056-processed-data-2509310466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16056/E-GEOD-16056.processed.1.zip	flower	gir1 mutant	none	  	        
GSM402188 1	Arabidopsis thaliana	33	day	flower	wild type	Col-7, 33-day-old, excised flower	P-GSE16056-14	P-GSE16056-11	GSM402188 extract 1	total RNA	P-GSE16056-12	GSM402188 LE 1	biotin	unknown	P-GSE16056-13	P-GSE16056-9	GSM402188	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-GSE16056-10	GSM402188.CEL	GSM402188.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16056/E-GEOD-16056.raw.1.zip	P-GSE16056-1	E-GEOD-16056-processed-data-2509310466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16056/E-GEOD-16056.processed.1.zip	flower	wild type	none	  	        
GSM402190 1	Arabidopsis thaliana	33	day	flower	wild type	Col-7, 33-day-old, excised flower	P-GSE16056-14	P-GSE16056-11	GSM402190 extract 1	total RNA	P-GSE16056-12	GSM402190 LE 1	biotin	unknown	P-GSE16056-13	P-GSE16056-9	GSM402190	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-GSE16056-10	GSM402190.CEL	GSM402190.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16056/E-GEOD-16056.raw.1.zip	P-GSE16056-1	E-GEOD-16056-processed-data-2509310466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16056/E-GEOD-16056.processed.1.zip	flower	wild type	none	  	        
GSM402184 1	Arabidopsis thaliana	33	day	flower	wild type	Col-7, 33-day-old, excised flower	P-GSE16056-14	P-GSE16056-11	GSM402184 extract 1	total RNA	P-GSE16056-12	GSM402184 LE 1	biotin	unknown	P-GSE16056-13	P-GSE16056-9	GSM402184	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-GSE16056-10	GSM402184.CEL	GSM402184.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16056/E-GEOD-16056.raw.1.zip	P-GSE16056-1	E-GEOD-16056-processed-data-2509310466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16056/E-GEOD-16056.processed.1.zip	flower	wild type	none	  	        
GSM402186 1	Arabidopsis thaliana	33	day	flower	wild type	Col-7, 33-day-old, excised flower	P-GSE16056-14	P-GSE16056-11	GSM402186 extract 1	total RNA	P-GSE16056-12	GSM402186 LE 1	biotin	unknown	P-GSE16056-13	P-GSE16056-9	GSM402186	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-GSE16056-10	GSM402186.CEL	GSM402186.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16056/E-GEOD-16056.raw.1.zip	P-GSE16056-1	E-GEOD-16056-processed-data-2509310466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16056/E-GEOD-16056.processed.1.zip	flower	wild type	none	  	        
GSM402180 1	Arabidopsis thaliana	21	day	root	gir1 mutant	gir mutant, 4% glucose treatment, excised root	P-GSE16056-3	P-GSE16056-6	GSM402180 extract 1	total RNA	P-GSE16056-7	GSM402180 LE 1	biotin	unknown	P-GSE16056-8	P-GSE16056-9	GSM402180	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-GSE16056-10	GSM402180.CEL	GSM402180.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16056/E-GEOD-16056.raw.1.zip	P-GSE16056-1	E-GEOD-16056-processed-data-2509310466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16056/E-GEOD-16056.processed.1.zip	root	gir1 mutant	glucose	4	percent
GSM402178 1	Arabidopsis thaliana	21	day	root	gir1 mutant	gir mutant, 4% glucose treatment, excised root	P-GSE16056-2	P-GSE16056-6	GSM402178 extract 1	total RNA	P-GSE16056-7	GSM402178 LE 1	biotin	unknown	P-GSE16056-8	P-GSE16056-9	GSM402178	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-GSE16056-10	GSM402178.CEL	GSM402178.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16056/E-GEOD-16056.raw.1.zip	P-GSE16056-1	E-GEOD-16056-processed-data-2509310466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16056/E-GEOD-16056.processed.1.zip	root	gir1 mutant	glucose	4	percent
