Source Name	Characteristics [Genotype]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [Ecotype]	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Factor Value [Time]	Unit [TimeUnit]	Factor Value [Genotype]	Factor Value [Ecotype]	Scan Name	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
GSE576GSM8860	ft-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	GSE576GSM8860 sample	GSE576GSM8860 extract	total_RNA	GSE576GSM8860 LE.biotin	biotin	synthetic_RNA	ft-2_0_2	A-AFFY-2	0	d	ft-2	Landsberg erecta	ft-2_0_2	E-GEOD-576-processed-data-1442077265.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-576/E-GEOD-576.processed.1.zip
GSE576GSM8843	wild_type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	GSE576GSM8843 sample	GSE576GSM8843 extract	total_RNA	GSE576GSM8843 LE.biotin	biotin	synthetic_RNA	Ler_0_1	A-AFFY-2	0	d	wild_type	Landsberg erecta	Ler_0_1	E-GEOD-576-processed-data-1442077265.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-576/E-GEOD-576.processed.1.zip
GSE576GSM8847	wild_type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	GSE576GSM8847 sample	GSE576GSM8847 extract	total_RNA	GSE576GSM8847 LE.biotin	biotin	synthetic_RNA	Ler_5_1	A-AFFY-2	5	d	wild_type	Landsberg erecta	Ler_5_1	E-GEOD-576-processed-data-1442077265.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-576/E-GEOD-576.processed.1.zip
GSE576GSM8851	co-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	GSE576GSM8851 sample	GSE576GSM8851 extract	total_RNA	GSE576GSM8851 LE.biotin	biotin	synthetic_RNA	co-2_0_1	A-AFFY-2	0	d	co-2	Landsberg erecta	co-2_0_1	E-GEOD-576-processed-data-1442077265.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-576/E-GEOD-576.processed.1.zip
GSE576GSM8864	ft-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	GSE576GSM8864 sample	GSE576GSM8864 extract	total_RNA	GSE576GSM8864 LE.biotin	biotin	synthetic_RNA	ft-2_5_2	A-AFFY-2	5	d	ft-2	Landsberg erecta	ft-2_5_2	E-GEOD-576-processed-data-1442077265.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-576/E-GEOD-576.processed.1.zip
GSE576GSM8863	ft-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	GSE576GSM8863 sample	GSE576GSM8863 extract	total_RNA	GSE576GSM8863 LE.biotin	biotin	synthetic_RNA	ft-2_5_1	A-AFFY-2	5	d	ft-2	Landsberg erecta	ft-2_5_1	E-GEOD-576-processed-data-1442077265.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-576/E-GEOD-576.processed.1.zip
GSE576GSM8848	wild_type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	GSE576GSM8848 sample	GSE576GSM8848 extract	total_RNA	GSE576GSM8848 LE.biotin	biotin	synthetic_RNA	Ler_5_2	A-AFFY-2	5	d	wild_type	Landsberg erecta	Ler_5_2	E-GEOD-576-processed-data-1442077265.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-576/E-GEOD-576.processed.1.zip
GSE576GSM8835	lfy-12	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	GSE576GSM8835 sample	GSE576GSM8835 extract	total_RNA	GSE576GSM8835 LE.biotin	biotin	synthetic_RNA	lfy-12_0_1	A-AFFY-2	0	d	lfy-12	Columbia-0	lfy-12_0_1	E-GEOD-576-processed-data-1442077265.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-576/E-GEOD-576.processed.1.zip
GSE576GSM8840	lfy-12	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	GSE576GSM8840 sample	GSE576GSM8840 extract	total_RNA	GSE576GSM8840 LE.biotin	biotin	synthetic_RNA	lfy-12_5_2	A-AFFY-2	5	d	lfy-12	Columbia-0	lfy-12_5_2	E-GEOD-576-processed-data-1442077265.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-576/E-GEOD-576.processed.1.zip
GSE576GSM8829	wild_type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	GSE576GSM8829 sample	GSE576GSM8829 extract	total_RNA	GSE576GSM8829 LE.biotin	biotin	synthetic_RNA	Col_3_1	A-AFFY-2	3	d	wild_type	Columbia-0	Col_3_1	E-GEOD-576-processed-data-1442077265.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-576/E-GEOD-576.processed.1.zip
