Source Name	Comment [Sample_characteristics]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[age]	Characteristics[antibody]	Characteristics[antibody manufacturer]	Characteristics[cell type]	Characteristics[developmental stage]	Characteristics[ecotype]	Characteristics[genotype]	Characteristics[longitudinal zone]	Characteristics[marker line]	Characteristics[media]	Characteristics[teatment]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [AGE]	FactorValue [CELL TYPE]	FactorValue [DEVELOPMENTAL STAGE]	FactorValue [GENOTYPE]	FactorValue [LONGITUDINAL ZONE]	FactorValue [MARKER LINE]	FactorValue [MEDIA]	FactorValue [TEATMENT]	FactorValue [TREATMENT]
GSM745472 1	antibody cat#: ab290	SCR:GFP transcription factor ChIP sample v wildtype control (no GFP) ChIP sample, gProcessedSignal and rProcessedSignal were used to calculate the probewise ratio and subsequent analysis	wild type	Root_SCR-GFP_replicate2_dye-swap	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old roots	anti-GFP	ABCAM	  	  	Columbia	wild type	  	  	  	  	P-GSE30166-31	P-GSE30166-30	P-GSE30166-32	GSM745472 extract 1	genomic DNA	P-GSE30166-33	GSM745472 LE 1	Cy3	P-GSE30166-34	GSM745472	A-GEOD-10326	  	P-GSE30166-35	P-GSE30166-36	GSM745472.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.1.zip	P-GSE30166-3	GSM745472_sample_table.txt norm	GSM745472_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	7 day old roots	not specified	not specified	wild type	not specified	not specified	not specified	not specified	not specified
GSM745472 2	antibody cat#: ab290	SCR:GFP transcription factor ChIP sample v wildtype control (no GFP) ChIP sample, gProcessedSignal and rProcessedSignal were used to calculate the probewise ratio and subsequent analysis	pSCR:SCR:GFP	Root_SCR-GFP_replicate2_dye-swap	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old roots	anti-GFP	ABCAM	  	  	Columbia	scr-4/pSCR:SCR:GFP	  	  	  	  	P-GSE30166-31	P-GSE30166-30	P-GSE30166-32	GSM745472 extract 2	genomic DNA	P-GSE30166-33	GSM745472 LE 2	Cy5	P-GSE30166-34	GSM745472	A-GEOD-10326	  	P-GSE30166-35	P-GSE30166-36	GSM745472.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.1.zip	P-GSE30166-3	GSM745472_sample_table.txt norm	GSM745472_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	7 day old roots	not specified	not specified	scr-4/pSCR:SCR:GFP	not specified	not specified	not specified	not specified	not specified
GSM745471 2	antibody cat#: ab290	Wildtype control (no GFP) ChIP sample v SCR:GFP transcription factor ChIP sample, gProcessedSignal and rProcessedSignal were used to calculate the probewise ratio and subsequent analysis	wild type	Root_SCR-GFP_replicate2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old roots	anti-GFP	ABCAM	  	  	Columbia	wild type	  	  	  	  	P-GSE30166-31	P-GSE30166-30	P-GSE30166-32	GSM745471 extract 2	genomic DNA	P-GSE30166-33	GSM745471 LE 2	Cy5	P-GSE30166-34	GSM745471	A-GEOD-10326	  	P-GSE30166-35	P-GSE30166-36	GSM745471.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.1.zip	P-GSE30166-2	GSM745471_sample_table.txt norm	GSM745471_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	7 day old roots	not specified	not specified	wild type	not specified	not specified	not specified	not specified	not specified
GSM745471 1	antibody cat#: ab290	Wildtype control (no GFP) ChIP sample v SCR:GFP transcription factor ChIP sample, gProcessedSignal and rProcessedSignal were used to calculate the probewise ratio and subsequent analysis	pSCR:SCR::GFP 7 day old roots	Root_SCR-GFP_replicate2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old roots	anti-GFP	ABCAM	  	  	Columbia	scr-4 / pSCR:SCR:GFP	  	  	  	  	P-GSE30166-31	P-GSE30166-30	P-GSE30166-32	GSM745471 extract 1	genomic DNA	P-GSE30166-33	GSM745471 LE 1	Cy3	P-GSE30166-34	GSM745471	A-GEOD-10326	  	P-GSE30166-35	P-GSE30166-36	GSM745471.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.1.zip	P-GSE30166-2	GSM745471_sample_table.txt norm	GSM745471_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	7 day old roots	not specified	not specified	scr-4 / pSCR:SCR:GFP	not specified	not specified	not specified	not specified	not specified
GSM745470 1	antibody cat#: ab290	SCR:GFP transcription factor ChIP sample v wildtype control (no GFP) ChIP sample, gProcessedSignal and rProcessedSignal were used to calculate the probewise ratio and subsequent analysis	wild type	Root_SCR-GFP_replicate1_dye-swap	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old roots	anti-GFP	ABCAM	  	  	Columbia	wild type	  	  	  	  	P-GSE30166-31	P-GSE30166-30	P-GSE30166-32	GSM745470 extract 1	genomic DNA	P-GSE30166-33	GSM745470 LE 1	Cy3	P-GSE30166-34	GSM745470	A-GEOD-10326	  	P-GSE30166-35	P-GSE30166-36	GSM745470.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.2.zip	P-GSE30166-3	GSM745470_sample_table.txt norm	GSM745470_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	7 day old roots	not specified	not specified	wild type	not specified	not specified	not specified	not specified	not specified
GSM745470 2	antibody cat#: ab290	SCR:GFP transcription factor ChIP sample v wildtype control (no GFP) ChIP sample, gProcessedSignal and rProcessedSignal were used to calculate the probewise ratio and subsequent analysis	pSCR:SCR:GFP	Root_SCR-GFP_replicate1_dye-swap	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old roots	anti-GFP	ABCAM	  	  	Columbia	scr-4/pSCR:SCR:GFP	  	  	  	  	P-GSE30166-31	P-GSE30166-30	P-GSE30166-32	GSM745470 extract 2	genomic DNA	P-GSE30166-33	GSM745470 LE 2	Cy5	P-GSE30166-34	GSM745470	A-GEOD-10326	  	P-GSE30166-35	P-GSE30166-36	GSM745470.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.2.zip	P-GSE30166-3	GSM745470_sample_table.txt norm	GSM745470_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	7 day old roots	not specified	not specified	scr-4/pSCR:SCR:GFP	not specified	not specified	not specified	not specified	not specified
GSM745469 1	antibody cat#: ab290	Wildtype control (no GFP) ChIP sample v SCR:GFP transcription factor ChIP sample, gProcessedSignal and rProcessedSignal were used to calculate the probewise ratio and subsequent analysis	pSCR:SCR::GFP 7 day old roots	Root_SCR-GFP_replicate1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old roots	anti-GFP	ABCAM	  	  	Columbia	scr-4 / pSCR:SCR:GFP	  	  	  	  	P-GSE30166-31	P-GSE30166-30	P-GSE30166-32	GSM745469 extract 1	genomic DNA	P-GSE30166-33	GSM745469 LE 1	Cy3	P-GSE30166-34	GSM745469	A-GEOD-10326	  	P-GSE30166-35	P-GSE30166-36	GSM745469.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.2.zip	P-GSE30166-2	GSM745469_sample_table.txt norm	GSM745469_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	7 day old roots	not specified	not specified	scr-4 / pSCR:SCR:GFP	not specified	not specified	not specified	not specified	not specified
GSM745469 2	antibody cat#: ab290	Wildtype control (no GFP) ChIP sample v SCR:GFP transcription factor ChIP sample, gProcessedSignal and rProcessedSignal were used to calculate the probewise ratio and subsequent analysis	wild type	Root_SCR-GFP_replicate1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old roots	anti-GFP	ABCAM	  	  	Columbia	wild type	  	  	  	  	P-GSE30166-31	P-GSE30166-30	P-GSE30166-32	GSM745469 extract 2	genomic DNA	P-GSE30166-33	GSM745469 LE 2	Cy5	P-GSE30166-34	GSM745469	A-GEOD-10326	  	P-GSE30166-35	P-GSE30166-36	GSM745469.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.2.zip	P-GSE30166-2	GSM745469_sample_table.txt norm	GSM745469_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	7 day old roots	not specified	not specified	wild type	not specified	not specified	not specified	not specified	not specified
GSM744834 1	  	Gene expression data from root developmental stage zone 4	root tissue	Arabidopsis root section, longitudinal zone 4, low sulfur, replicate 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	  	  	  	  	Columbia	  	4	  	  	  	P-GSE30166-29	P-GSE30166-28	P-GSE30166-19	GSM744834 extract 1	total RNA	P-GSE30166-20	GSM744834 LE 1	biotin	P-GSE30166-15	GSM744834	A-AFFY-2	  	P-GSE30166-16	P-GSE30166-10	GSM744834.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.2.zip	P-GSE30166-1	GSM744834_sample_table.txt norm	GSM744834_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	not specified	not specified	not specified	not specified	4	not specified	not specified	not specified	not specified
GSM744833 1	  	Gene expression data from root developmental stage zone 4	root tissue	Arabidopsis root section, longitudinal zone 4, low sulfur, replicate 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	  	  	  	  	Columbia	  	4	  	  	  	P-GSE30166-29	P-GSE30166-28	P-GSE30166-19	GSM744833 extract 1	total RNA	P-GSE30166-20	GSM744833 LE 1	biotin	P-GSE30166-15	GSM744833	A-AFFY-2	  	P-GSE30166-16	P-GSE30166-10	GSM744833.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.2.zip	P-GSE30166-1	GSM744833_sample_table.txt norm	GSM744833_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	not specified	not specified	not specified	not specified	4	not specified	not specified	not specified	not specified
