Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[organism]	Characteristics[organism part]	Characteristics[ecotype]	Characteristics[genotype]	Characteristics[developmental stage]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]
GSM703134 1	"Gene expression data from Arabidopsis nearly ripe siliques (18-19 DAP) of mutant rdo4, rep3"	mutant_rdo4_mature_siliques	Arabidopsis thaliana	silique	Ler	rdo4 mutant	18-19 days after pollination	P-GSE28446-2	P-GSE28446-3	P-GSE28446-4	GSM703134 extract 1	total RNA	P-GSE28446-5	GSM703134 LE 1	biotin	P-GSE28446-6	GSM703134	A-AFFY-2	P-GSE28446-7	P-GSE28446-8	GSM703134.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28446/E-GEOD-28446.raw.1.zip	P-GSE28446-1	GSM703134_sample_table.txt norm	GSM703134_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28446/E-GEOD-28446.processed.1.zip	rdo4 mutant
GSM703133 1	"Gene expression data from Arabidopsis nearly ripe siliques (18-19 DAP) of mutant rdo3, rep3"	mutant_rdo3_mature_siliques	Arabidopsis thaliana	silique	Ler	rdo3 mutant	18-19 days after pollination	P-GSE28446-2	P-GSE28446-3	P-GSE28446-4	GSM703133 extract 1	total RNA	P-GSE28446-5	GSM703133 LE 1	biotin	P-GSE28446-6	GSM703133	A-AFFY-2	P-GSE28446-7	P-GSE28446-8	GSM703133.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28446/E-GEOD-28446.raw.1.zip	P-GSE28446-1	GSM703133_sample_table.txt norm	GSM703133_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28446/E-GEOD-28446.processed.1.zip	rdo3 mutant
GSM703132 1	"Gene expression data from Arabidopsis nearly ripe siliques (18-19 DAP) of mutant rdo2, rep3"	mutant_rdo2_mature_siliques	Arabidopsis thaliana	silique	Ler	rdo2 mutant	18-19 days after pollination	P-GSE28446-2	P-GSE28446-3	P-GSE28446-4	GSM703132 extract 1	total RNA	P-GSE28446-5	GSM703132 LE 1	biotin	P-GSE28446-6	GSM703132	A-AFFY-2	P-GSE28446-7	P-GSE28446-8	GSM703132.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28446/E-GEOD-28446.raw.1.zip	P-GSE28446-1	GSM703132_sample_table.txt norm	GSM703132_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28446/E-GEOD-28446.processed.1.zip	rdo2 mutant
GSM703131 1	"Gene expression data from Arabidopsis nearly ripe siliques (18-19 DAP) of wild type Ler, rep3"	wildtype_Ler_mature_siliques	Arabidopsis thaliana	silique	Ler	wild type	18-19 days after pollination	P-GSE28446-2	P-GSE28446-3	P-GSE28446-4	GSM703131 extract 1	total RNA	P-GSE28446-5	GSM703131 LE 1	biotin	P-GSE28446-6	GSM703131	A-AFFY-2	P-GSE28446-7	P-GSE28446-8	GSM703131.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28446/E-GEOD-28446.raw.1.zip	P-GSE28446-1	GSM703131_sample_table.txt norm	GSM703131_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28446/E-GEOD-28446.processed.1.zip	wild type
GSM703130 1	"Gene expression data from Arabidopsis nearly ripe siliques (18-19 DAP) of mutant rdo4, rep2"	mutant_rdo4_mature_siliques	Arabidopsis thaliana	silique	Ler	rdo4 mutant	18-19 days after pollination	P-GSE28446-2	P-GSE28446-3	P-GSE28446-4	GSM703130 extract 1	total RNA	P-GSE28446-5	GSM703130 LE 1	biotin	P-GSE28446-6	GSM703130	A-AFFY-2	P-GSE28446-7	P-GSE28446-8	GSM703130.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28446/E-GEOD-28446.raw.1.zip	P-GSE28446-1	GSM703130_sample_table.txt norm	GSM703130_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28446/E-GEOD-28446.processed.1.zip	rdo4 mutant
GSM703129 1	"Gene expression data from Arabidopsis nearly ripe siliques (18-19 DAP) of mutant rdo3, rep2"	mutant_rdo3_mature_siliques	Arabidopsis thaliana	silique	Ler	rdo3 mutant	18-19 days after pollination	P-GSE28446-2	P-GSE28446-3	P-GSE28446-4	GSM703129 extract 1	total RNA	P-GSE28446-5	GSM703129 LE 1	biotin	P-GSE28446-6	GSM703129	A-AFFY-2	P-GSE28446-7	P-GSE28446-8	GSM703129.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28446/E-GEOD-28446.raw.1.zip	P-GSE28446-1	GSM703129_sample_table.txt norm	GSM703129_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28446/E-GEOD-28446.processed.1.zip	rdo3 mutant
GSM703128 1	"Gene expression data from Arabidopsis nearly ripe siliques (18-19 DAP) of mutant rdo2, rep2"	mutant_rdo2_mature_siliques	Arabidopsis thaliana	silique	Ler	rdo2 mutant	18-19 days after pollination	P-GSE28446-2	P-GSE28446-3	P-GSE28446-4	GSM703128 extract 1	total RNA	P-GSE28446-5	GSM703128 LE 1	biotin	P-GSE28446-6	GSM703128	A-AFFY-2	P-GSE28446-7	P-GSE28446-8	GSM703128.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28446/E-GEOD-28446.raw.1.zip	P-GSE28446-1	GSM703128_sample_table.txt norm	GSM703128_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28446/E-GEOD-28446.processed.1.zip	rdo2 mutant
GSM703127 1	"Gene expression data from Arabidopsis nearly ripe siliques (18-19 DAP) of wild type Ler, rep2"	wildtype_Ler_mature_siliques	Arabidopsis thaliana	silique	Ler	wild type	18-19 days after pollination	P-GSE28446-2	P-GSE28446-3	P-GSE28446-4	GSM703127 extract 1	total RNA	P-GSE28446-5	GSM703127 LE 1	biotin	P-GSE28446-6	GSM703127	A-AFFY-2	P-GSE28446-7	P-GSE28446-8	GSM703127.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28446/E-GEOD-28446.raw.1.zip	P-GSE28446-1	GSM703127_sample_table.txt norm	GSM703127_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28446/E-GEOD-28446.processed.1.zip	wild type
GSM703126 1	"Gene expression data from Arabidopsis nearly ripe siliques (18-19 DAP) of mutant rdo4, rep1"	mutant_rdo4_mature_siliques	Arabidopsis thaliana	silique	Ler	rdo4 mutant	18-19 days after pollination	P-GSE28446-2	P-GSE28446-3	P-GSE28446-4	GSM703126 extract 1	total RNA	P-GSE28446-5	GSM703126 LE 1	biotin	P-GSE28446-6	GSM703126	A-AFFY-2	P-GSE28446-7	P-GSE28446-8	GSM703126.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28446/E-GEOD-28446.raw.1.zip	P-GSE28446-1	GSM703126_sample_table.txt norm	GSM703126_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28446/E-GEOD-28446.processed.1.zip	rdo4 mutant
GSM703125 1	"Gene expression data from Arabidopsis nearly ripe siliques (18-19 DAP) of mutant rdo3, rep1"	mutant_rdo3_mature_siliques	Arabidopsis thaliana	silique	Ler	rdo3 mutant	18-19 days after pollination	P-GSE28446-2	P-GSE28446-3	P-GSE28446-4	GSM703125 extract 1	total RNA	P-GSE28446-5	GSM703125 LE 1	biotin	P-GSE28446-6	GSM703125	A-AFFY-2	P-GSE28446-7	P-GSE28446-8	GSM703125.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28446/E-GEOD-28446.raw.1.zip	P-GSE28446-1	GSM703125_sample_table.txt norm	GSM703125_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28446/E-GEOD-28446.processed.1.zip	rdo3 mutant
