Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Characteristics[Ecotype]	Characteristics[DevelopmentalStage]	Characteristics[OrganismPart]	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[SAMPLING TIME POINT]	Unit[TimeUnit]
GSE5612GSM131070	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  location: Growth Room Temperature: 22 C Lighting: 12 hour photoperiod Medium:  MS agar plates with 3% sucrose. Stock Code: N1093; Developmental stage: 1.0; Tissue: whole seedlings	Col-0	Boyes key 1.0	whole organism	GSE5612GSM131070 sample	GSE5612GSM131070 extract	total_RNA	GSE5612GSM131070 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Edwards_1-5_42hr_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Edwards_1-5_42hr_Rep1_ATH1	GSM131070.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5612/E-GEOD-5612.raw.1.zip	E-GEOD-5612-processed-data-1628449757.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5612/E-GEOD-5612.processed.1.zip	42	hours
GSE5612GSM131073	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  location: Growth Room Temperature: 22 C Lighting: 12 hour photoperiod Medium:  MS agar plates with 3% sucrose. Stock Code: N1093; Developmental stage: 1.0; Tissue: whole seedlings	Col-0	Boyes key 1.0	whole organism	GSE5612GSM131073 sample	GSE5612GSM131073 extract	total_RNA	GSE5612GSM131073 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Edwards_1-8_54hr_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Edwards_1-8_54hr_Rep1_ATH1	GSM131073.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5612/E-GEOD-5612.raw.1.zip	E-GEOD-5612-processed-data-1628449757.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5612/E-GEOD-5612.processed.1.zip	54	hours
GSE5612GSM131075	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  location: Growth Room Temperature: 22 C Lighting: 12 hour photoperiod Medium:  MS agar plates with 3% sucrose. Stock Code: N1093; Developmental stage: 1.0; Tissue: whole seedlings	Col-0	Boyes key 1.0	whole organism	GSE5612GSM131075 sample	GSE5612GSM131075 extract	total_RNA	GSE5612GSM131075 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Edwards_1-10_62hr_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Edwards_1-10_62hr_Rep1_ATH1	GSM131075.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5612/E-GEOD-5612.raw.1.zip	E-GEOD-5612-processed-data-1628449757.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5612/E-GEOD-5612.processed.1.zip	62	hours
GSE5612GSM131071	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  location: Growth Room Temperature: 22 C Lighting: 12 hour photoperiod Medium:  MS agar plates with 3% sucrose. Stock Code: N1093; Developmental stage: 1.0; Tissue: whole seedlings	Col-0	Boyes key 1.0	whole organism	GSE5612GSM131071 sample	GSE5612GSM131071 extract	total_RNA	GSE5612GSM131071 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Edwards_1-6_46hr_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Edwards_1-6_46hr_Rep1_ATH1	GSM131071.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5612/E-GEOD-5612.raw.1.zip	E-GEOD-5612-processed-data-1628449757.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5612/E-GEOD-5612.processed.1.zip	46	hours
GSE5612GSM131066	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  location: Growth Room Temperature: 22 C Lighting: 12 hour photoperiod Medium:  MS agar plates with 3% sucrose. Stock Code: N1093; Developmental stage: 1.0; Tissue: whole seedlings	Col-0	Boyes key 1.0	whole organism	GSE5612GSM131066 sample	GSE5612GSM131066 extract	total_RNA	GSE5612GSM131066 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Edwards_1-1_26hr_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Edwards_1-1_26hr_Rep1_ATH1	GSM131066.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5612/E-GEOD-5612.raw.1.zip	E-GEOD-5612-processed-data-1628449757.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5612/E-GEOD-5612.processed.1.zip	26	hours
GSE5612GSM131068	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  location: Growth Room Temperature: 22 C Lighting: 12 hour photoperiod Medium:  MS agar plates with 3% sucrose. Stock Code: N1093; Developmental stage: 1.0; Tissue: whole seedlings	Col-0	Boyes key 1.0	whole organism	GSE5612GSM131068 sample	GSE5612GSM131068 extract	total_RNA	GSE5612GSM131068 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Edwards_1-3_34hr_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Edwards_1-3_34hr_Rep1_ATH1	GSM131068.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5612/E-GEOD-5612.raw.1.zip	E-GEOD-5612-processed-data-1628449757.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5612/E-GEOD-5612.processed.1.zip	34	hours
GSE5612GSM131074	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  location: Growth Room Temperature: 22 C Lighting: 12 hour photoperiod Medium:  MS agar plates with 3% sucrose. Stock Code: N1093; Developmental stage: 1.0; Tissue: whole seedlings	Col-0	Boyes key 1.0	whole organism	GSE5612GSM131074 sample	GSE5612GSM131074 extract	total_RNA	GSE5612GSM131074 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Edwards_1-9_58hr_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Edwards_1-9_58hr_Rep1_ATH1	GSM131074.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5612/E-GEOD-5612.raw.1.zip	E-GEOD-5612-processed-data-1628449757.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5612/E-GEOD-5612.processed.1.zip	58	hours
GSE5612GSM131072	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  location: Growth Room Temperature: 22 C Lighting: 12 hour photoperiod Medium:  MS agar plates with 3% sucrose. Stock Code: N1093; Developmental stage: 1.0; Tissue: whole seedlings	Col-0	Boyes key 1.0	whole organism	GSE5612GSM131072 sample	GSE5612GSM131072 extract	total_RNA	GSE5612GSM131072 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Edwards_1-7_50hr_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Edwards_1-7_50hr_Rep1_ATH1	GSM131072.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5612/E-GEOD-5612.raw.1.zip	E-GEOD-5612-processed-data-1628449757.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5612/E-GEOD-5612.processed.1.zip	50	hours
GSE5612GSM131069	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  location: Growth Room Temperature: 22 C Lighting: 12 hour photoperiod Medium:  MS agar plates with 3% sucrose. Stock Code: N1093; Developmental stage: 1.0; Tissue: whole seedlings	Col-0	Boyes key 1.0	whole organism	GSE5612GSM131069 sample	GSE5612GSM131069 extract	total_RNA	GSE5612GSM131069 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Edwards_1-4_38hr_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Edwards_1-4_38hr_Rep1_ATH1	GSM131069.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5612/E-GEOD-5612.raw.1.zip	E-GEOD-5612-processed-data-1628449757.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5612/E-GEOD-5612.processed.1.zip	38	hours
GSE5612GSM131078	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  location: Growth Room Temperature: 22 C Lighting: 12 hour photoperiod Medium:  MS agar plates with 3% sucrose. Stock Code: N1093; Developmental stage: 1.0; Tissue: whole seedlings	Col-0	Boyes key 1.0	whole organism	GSE5612GSM131078 sample	GSE5612GSM131078 extract	total_RNA	GSE5612GSM131078 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Edwards_1-13_74hr_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Edwards_1-13_74hr_Rep1_ATH1	GSM131078.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5612/E-GEOD-5612.raw.1.zip	E-GEOD-5612-processed-data-1628449757.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5612/E-GEOD-5612.processed.1.zip	74	hours
