Source Name	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [ecotype]	Term Source REF	Term Accession Number	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [organism part]
GSM1509569 1	Rootstock Leaf	RootstockLeaf3	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Rootstock Leaf	P-GSE61631-2	ArrayExpress	P-GSE61631-3	ArrayExpress	GSM1509569 extract 1	total RNA	P-GSE61631-4	ArrayExpress	GSM1509569 LE 1	Biotin	P-GSE61631-5	ArrayExpress	GSM1509569	A-AFFY-2	ArrayExpress	array assay	P-GSE61631-6	ArrayExpress	GSM1509569_RootstockLeaf3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61631/E-GEOD-61631.raw.1.zip	P-GSE61631-1	ArrayExpress	GSM1509569_sample_table.txt norm	GSM1509569_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61631/E-GEOD-61631.processed.1.zip	Rootstock Leaf
GSM1509568 1	Rootstock Leaf	RootstockLeaf2	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Rootstock Leaf	P-GSE61631-2	ArrayExpress	P-GSE61631-3	ArrayExpress	GSM1509568 extract 1	total RNA	P-GSE61631-4	ArrayExpress	GSM1509568 LE 1	Biotin	P-GSE61631-5	ArrayExpress	GSM1509568	A-AFFY-2	ArrayExpress	array assay	P-GSE61631-6	ArrayExpress	GSM1509568_RootstockLeaf2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61631/E-GEOD-61631.raw.1.zip	P-GSE61631-1	ArrayExpress	GSM1509568_sample_table.txt norm	GSM1509568_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61631/E-GEOD-61631.processed.1.zip	Rootstock Leaf
GSM1509567 1	Rootstock Leaf	RootstockLeaf1	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Rootstock Leaf	P-GSE61631-2	ArrayExpress	P-GSE61631-3	ArrayExpress	GSM1509567 extract 1	total RNA	P-GSE61631-4	ArrayExpress	GSM1509567 LE 1	Biotin	P-GSE61631-5	ArrayExpress	GSM1509567	A-AFFY-2	ArrayExpress	array assay	P-GSE61631-6	ArrayExpress	GSM1509567_RootstockLeaf1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61631/E-GEOD-61631.raw.1.zip	P-GSE61631-1	ArrayExpress	GSM1509567_sample_table.txt norm	GSM1509567_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61631/E-GEOD-61631.processed.1.zip	Rootstock Leaf
GSM1509566 1	Scion Leaf	ScionLeaf3	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Scion Leaf	P-GSE61631-2	ArrayExpress	P-GSE61631-3	ArrayExpress	GSM1509566 extract 1	total RNA	P-GSE61631-4	ArrayExpress	GSM1509566 LE 1	Biotin	P-GSE61631-5	ArrayExpress	GSM1509566	A-AFFY-2	ArrayExpress	array assay	P-GSE61631-6	ArrayExpress	GSM1509566_ScionLeaf3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61631/E-GEOD-61631.raw.1.zip	P-GSE61631-1	ArrayExpress	GSM1509566_sample_table.txt norm	GSM1509566_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61631/E-GEOD-61631.processed.1.zip	Scion Leaf
GSM1509565 1	Scion Leaf	ScionLeaf2	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Scion Leaf	P-GSE61631-2	ArrayExpress	P-GSE61631-3	ArrayExpress	GSM1509565 extract 1	total RNA	P-GSE61631-4	ArrayExpress	GSM1509565 LE 1	Biotin	P-GSE61631-5	ArrayExpress	GSM1509565	A-AFFY-2	ArrayExpress	array assay	P-GSE61631-6	ArrayExpress	GSM1509565_ScionLeaf2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61631/E-GEOD-61631.raw.1.zip	P-GSE61631-1	ArrayExpress	GSM1509565_sample_table.txt norm	GSM1509565_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61631/E-GEOD-61631.processed.1.zip	Scion Leaf
GSM1509564 1	Scion Leaf	ScionLeaf1	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Scion Leaf	P-GSE61631-2	ArrayExpress	P-GSE61631-3	ArrayExpress	GSM1509564 extract 1	total RNA	P-GSE61631-4	ArrayExpress	GSM1509564 LE 1	Biotin	P-GSE61631-5	ArrayExpress	GSM1509564	A-AFFY-2	ArrayExpress	array assay	P-GSE61631-6	ArrayExpress	GSM1509564_ScionLeaf1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61631/E-GEOD-61631.raw.1.zip	P-GSE61631-1	ArrayExpress	GSM1509564_sample_table.txt norm	GSM1509564_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61631/E-GEOD-61631.processed.1.zip	Scion Leaf
GSM1509563 1	Rootstock Flower Bud	RootstockFlowerBud3	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Rootstock Flower Bud	P-GSE61631-2	ArrayExpress	P-GSE61631-3	ArrayExpress	GSM1509563 extract 1	total RNA	P-GSE61631-4	ArrayExpress	GSM1509563 LE 1	Biotin	P-GSE61631-5	ArrayExpress	GSM1509563	A-AFFY-2	ArrayExpress	array assay	P-GSE61631-6	ArrayExpress	GSM1509563_RootstockFlowerBud3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61631/E-GEOD-61631.raw.1.zip	P-GSE61631-1	ArrayExpress	GSM1509563_sample_table.txt norm	GSM1509563_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61631/E-GEOD-61631.processed.1.zip	Rootstock Flower Bud
GSM1509562 1	Rootstock Flower Bud	RootstockFlowerBud2	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Rootstock Flower Bud	P-GSE61631-2	ArrayExpress	P-GSE61631-3	ArrayExpress	GSM1509562 extract 1	total RNA	P-GSE61631-4	ArrayExpress	GSM1509562 LE 1	Biotin	P-GSE61631-5	ArrayExpress	GSM1509562	A-AFFY-2	ArrayExpress	array assay	P-GSE61631-6	ArrayExpress	GSM1509562_RootstockFlowerBud2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61631/E-GEOD-61631.raw.1.zip	P-GSE61631-1	ArrayExpress	GSM1509562_sample_table.txt norm	GSM1509562_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61631/E-GEOD-61631.processed.1.zip	Rootstock Flower Bud
GSM1509561 1	Rootstock Flower Bud	RootstockFlowerBud1	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Rootstock Flower Bud	P-GSE61631-2	ArrayExpress	P-GSE61631-3	ArrayExpress	GSM1509561 extract 1	total RNA	P-GSE61631-4	ArrayExpress	GSM1509561 LE 1	Biotin	P-GSE61631-5	ArrayExpress	GSM1509561	A-AFFY-2	ArrayExpress	array assay	P-GSE61631-6	ArrayExpress	GSM1509561_RootstockFlowerBud1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61631/E-GEOD-61631.raw.1.zip	P-GSE61631-1	ArrayExpress	GSM1509561_sample_table.txt norm	GSM1509561_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61631/E-GEOD-61631.processed.1.zip	Rootstock Flower Bud
GSM1509560 1	Scion Flower Bud	ScionFlowerBud3	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Scion Flower Bud	P-GSE61631-2	ArrayExpress	P-GSE61631-3	ArrayExpress	GSM1509560 extract 1	total RNA	P-GSE61631-4	ArrayExpress	GSM1509560 LE 1	Biotin	P-GSE61631-5	ArrayExpress	GSM1509560	A-AFFY-2	ArrayExpress	array assay	P-GSE61631-6	ArrayExpress	GSM1509560_ScionFlowerBud3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61631/E-GEOD-61631.raw.1.zip	P-GSE61631-1	ArrayExpress	GSM1509560_sample_table.txt norm	GSM1509560_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61631/E-GEOD-61631.processed.1.zip	Scion Flower Bud
