Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [ecotype]	Characteristics[age]	Unit [time unit]	Characteristics [organism part]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [ecotype]	FactorValue [environmental stress]	FactorValue [time]	Unit[time unit]
GSM1346948 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Te-0	42	day	leaf	Gene expression data from detached leaves of cold acclimation Arabidopsis Tenela sub-zero acclimated for 3d at -3 C	Tenela sub-zero acclimated at -3  for 3 days, replicate 3	Te_3d_rep 3	P-GSE55835-2	ArrayExpress	P-GSE55835-3	ArrayExpress	P-GSE55835-4	ArrayExpress	GSM1346948 extract 1	total RNA	P-GSE55835-5	ArrayExpress	GSM1346948 LE 1	biotin	P-GSE55835-6	ArrayExpress	GSM1346948	A-AFFY-2	ArrayExpress	array assay	P-GSE55835-7	ArrayExpress	GSM1346948_T3_3d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.raw.1.zip	P-GSE55835-1	ArrayExpress	GSM1346948_sample_table.txt norm	GSM1346948_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.processed.1.zip	Te-0	sub-zero acclimation	72	hour
GSM1346947 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Te-0	42	day	leaf	Gene expression data from detached leaves of cold acclimation Arabidopsis Tenela sub-zero acclimated for 3d at -3 C	Tenela sub-zero acclimated at -3  for 3 days, replicate 2	Te_3d_rep 2	P-GSE55835-2	ArrayExpress	P-GSE55835-3	ArrayExpress	P-GSE55835-4	ArrayExpress	GSM1346947 extract 1	total RNA	P-GSE55835-5	ArrayExpress	GSM1346947 LE 1	biotin	P-GSE55835-6	ArrayExpress	GSM1346947	A-AFFY-2	ArrayExpress	array assay	P-GSE55835-7	ArrayExpress	GSM1346947_T2_3d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.raw.1.zip	P-GSE55835-1	ArrayExpress	GSM1346947_sample_table.txt norm	GSM1346947_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.processed.1.zip	Te-0	sub-zero acclimation	72	hour
GSM1346946 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Te-0	42	day	leaf	Gene expression data from detached leaves of cold acclimation Arabidopsis Tenela sub-zero acclimated for 3d at -3 C	Tenela sub-zero acclimated at -3  for 3 days, replicate 1	Te_3d_rep 1	P-GSE55835-2	ArrayExpress	P-GSE55835-3	ArrayExpress	P-GSE55835-4	ArrayExpress	GSM1346946 extract 1	total RNA	P-GSE55835-5	ArrayExpress	GSM1346946 LE 1	biotin	P-GSE55835-6	ArrayExpress	GSM1346946	A-AFFY-2	ArrayExpress	array assay	P-GSE55835-7	ArrayExpress	GSM1346946_T_3d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.raw.1.zip	P-GSE55835-1	ArrayExpress	GSM1346946_sample_table.txt norm	GSM1346946_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.processed.1.zip	Te-0	sub-zero acclimation	72	hour
GSM1346945 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Te-0	42	day	leaf	Gene expression data from detached leaves of cold acclimation Arabidopsis Tenela sub-zero acclimated for 1d at -3 C	Tenela sub-zero acclimated at -3  for 1 day, replicate 3	Te_1d_rep 3	P-GSE55835-2	ArrayExpress	P-GSE55835-3	ArrayExpress	P-GSE55835-4	ArrayExpress	GSM1346945 extract 1	total RNA	P-GSE55835-5	ArrayExpress	GSM1346945 LE 1	biotin	P-GSE55835-6	ArrayExpress	GSM1346945	A-AFFY-2	ArrayExpress	array assay	P-GSE55835-7	ArrayExpress	GSM1346945_T3_1d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.raw.1.zip	P-GSE55835-1	ArrayExpress	GSM1346945_sample_table.txt norm	GSM1346945_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.processed.1.zip	Te-0	sub-zero acclimation	24	hour
GSM1346944 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Te-0	42	day	leaf	Gene expression data from detached leaves of cold acclimation Arabidopsis Tenela sub-zero acclimated for 1d at -3 C	Tenela sub-zero acclimated at -3  for 1 day, replicate 2	Te_1d_rep 2	P-GSE55835-2	ArrayExpress	P-GSE55835-3	ArrayExpress	P-GSE55835-4	ArrayExpress	GSM1346944 extract 1	total RNA	P-GSE55835-5	ArrayExpress	GSM1346944 LE 1	biotin	P-GSE55835-6	ArrayExpress	GSM1346944	A-AFFY-2	ArrayExpress	array assay	P-GSE55835-7	ArrayExpress	GSM1346944_T2_1d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.raw.1.zip	P-GSE55835-1	ArrayExpress	GSM1346944_sample_table.txt norm	GSM1346944_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.processed.1.zip	Te-0	sub-zero acclimation	24	hour
GSM1346943 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Te-0	42	day	leaf	Gene expression data from detached leaves of cold acclimation Arabidopsis Tenela sub-zero acclimated for 1d at -3 C	Tenela sub-zero acclimated at -3  for 1 day, replicate 1	Te_1d_rep 1	P-GSE55835-2	ArrayExpress	P-GSE55835-3	ArrayExpress	P-GSE55835-4	ArrayExpress	GSM1346943 extract 1	total RNA	P-GSE55835-5	ArrayExpress	GSM1346943 LE 1	biotin	P-GSE55835-6	ArrayExpress	GSM1346943	A-AFFY-2	ArrayExpress	array assay	P-GSE55835-7	ArrayExpress	GSM1346943_T_1d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.raw.1.zip	P-GSE55835-1	ArrayExpress	GSM1346943_sample_table.txt norm	GSM1346943_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.processed.1.zip	Te-0	sub-zero acclimation	24	hour
GSM1346942 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Te-0	42	day	leaf	Gene expression data from detached leaves of cold acclimation Arabidopsis Tenela sub-zero acclimated for 8h at -3 C	Tenela sub-zero acclimated at -3  for 8 hours, replicate 3	Te_8h_rep 3	P-GSE55835-2	ArrayExpress	P-GSE55835-3	ArrayExpress	P-GSE55835-4	ArrayExpress	GSM1346942 extract 1	total RNA	P-GSE55835-5	ArrayExpress	GSM1346942 LE 1	biotin	P-GSE55835-6	ArrayExpress	GSM1346942	A-AFFY-2	ArrayExpress	array assay	P-GSE55835-7	ArrayExpress	GSM1346942_T3_8h.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.raw.1.zip	P-GSE55835-1	ArrayExpress	GSM1346942_sample_table.txt norm	GSM1346942_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.processed.1.zip	Te-0	sub-zero acclimation	8	hour
GSM1346941 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Te-0	42	day	leaf	Gene expression data from detached leaves of cold acclimation Arabidopsis Tenela sub-zero acclimated for 8h at -3 C	Tenela sub-zero acclimated at -3  for 8 hours, replicate 2	Te_8h_rep 2	P-GSE55835-2	ArrayExpress	P-GSE55835-3	ArrayExpress	P-GSE55835-4	ArrayExpress	GSM1346941 extract 1	total RNA	P-GSE55835-5	ArrayExpress	GSM1346941 LE 1	biotin	P-GSE55835-6	ArrayExpress	GSM1346941	A-AFFY-2	ArrayExpress	array assay	P-GSE55835-7	ArrayExpress	GSM1346941_T2_8h.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.raw.1.zip	P-GSE55835-1	ArrayExpress	GSM1346941_sample_table.txt norm	GSM1346941_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.processed.1.zip	Te-0	sub-zero acclimation	8	hour
GSM1346940 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Te-0	42	day	leaf	Gene expression data from detached leaves of cold acclimation Arabidopsis Tenela sub-zero acclimated for 8h at -3 C	Tenela sub-zero acclimated at -3  for 8 hours, replicate 1	Te_8h_rep 1	P-GSE55835-2	ArrayExpress	P-GSE55835-3	ArrayExpress	P-GSE55835-4	ArrayExpress	GSM1346940 extract 1	total RNA	P-GSE55835-5	ArrayExpress	GSM1346940 LE 1	biotin	P-GSE55835-6	ArrayExpress	GSM1346940	A-AFFY-2	ArrayExpress	array assay	P-GSE55835-7	ArrayExpress	GSM1346940_T1_8h.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.raw.1.zip	P-GSE55835-1	ArrayExpress	GSM1346940_sample_table.txt norm	GSM1346940_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.processed.1.zip	Te-0	sub-zero acclimation	8	hour
GSM1346939 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Te-0	42	day	leaf	Gene expression data from leaves of intact Arabidopsis Tenela cold acclimation at 4 C for two weeks	Tenela cold acclimated at 4  for two weeks, replicate 2	Te_CA_rep 3	P-GSE55835-2	ArrayExpress	P-GSE55835-3	ArrayExpress	P-GSE55835-4	ArrayExpress	GSM1346939 extract 1	total RNA	P-GSE55835-5	ArrayExpress	GSM1346939 LE 1	biotin	P-GSE55835-6	ArrayExpress	GSM1346939	A-AFFY-2	ArrayExpress	array assay	P-GSE55835-7	ArrayExpress	GSM1346939_T3_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.raw.1.zip	P-GSE55835-1	ArrayExpress	GSM1346939_sample_table.txt norm	GSM1346939_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.processed.1.zip	Te-0	cold acclimation	0	hour
