Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Description	Characteristics[organism part]	Characteristics[ecotype]	Characteristics[age]	Unit[time unit]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[organism part]	FactorValue[compound]
GSE7631GSM184482	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	FACS-sorted 12 day old Arabidopsis Lateral Root Cap root cells, 2 hr KNO3 continuous treated:  KNO3 was maintained in the protoplast-generating solution at 5mM. Genotype: Col-0; Cell type: lateral root cap root cells	lateral root cap	Col-0	12	day	P-G7631-2	P-G7631-1	GSE7631GSM184482 sample	P-G7631-4	GSE7631GSM184482 extract	total_RNA	P-G7631-3	GSE7631GSM184482 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Lateral Root Cap root cells 2hr continuous KNO3 treated, biological rep1	A-AFFY-2	P-AFFY-6	Lateral Root Cap root cells 2hr continuous KNO3 treated, biological rep1	GSM184482.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7631/E-GEOD-7631.raw.1.zip	E-GEOD-7631-processed-data-1630450762.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7631/E-GEOD-7631.processed.1.zip	lateral root cap	2hr continuous KNO3
GSE7631GSM184483	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	FACS-sorted 12 day old Arabidopsis Lateral Root Cap root cells, 2 hr KNO3 continuous treated:  KNO3 was maintained in the protoplast-generating solution at 5mM. Genotype: Col-0; Cell type: lateral root cap root cells	lateral root cap	Col-0	12	day	P-G7631-2	P-G7631-1	GSE7631GSM184483 sample	P-G7631-4	GSE7631GSM184483 extract	total_RNA	P-G7631-3	GSE7631GSM184483 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Lateral Root Cap root cells 2hr continuous KNO3 treated, biological rep2	A-AFFY-2	P-AFFY-6	Lateral Root Cap root cells 2hr continuous KNO3 treated, biological rep2	GSM184483.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7631/E-GEOD-7631.raw.1.zip	E-GEOD-7631-processed-data-1630450762.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7631/E-GEOD-7631.processed.1.zip	lateral root cap	2hr continuous KNO3
GSE7631GSM184484	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	FACS-sorted 12 day old Arabidopsis Lateral Root Cap root cells, 2 hr KNO3 continuous treated:  KNO3 was maintained in the protoplast-generating solution at 5mM. Genotype: Col-0; Cell type: lateral root cap root cells	lateral root cap	Col-0	12	day	P-G7631-2	P-G7631-1	GSE7631GSM184484 sample	P-G7631-4	GSE7631GSM184484 extract	total_RNA	P-G7631-3	GSE7631GSM184484 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Lateral Root Cap root cells 2hr continuous KNO3 treated, biological rep3	A-AFFY-2	P-AFFY-6	Lateral Root Cap root cells 2hr continuous KNO3 treated, biological rep3	GSM184484.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7631/E-GEOD-7631.raw.1.zip	E-GEOD-7631-processed-data-1630450762.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7631/E-GEOD-7631.processed.1.zip	lateral root cap	2hr continuous KNO3
GSE7631GSM184477	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	FACS-sorted 12 day old Arabidopsis Lateral Root Cap root cells, 2 hr KCl control treated:  n/a. Genotype: Col-0; Cell type: lateral root cap root cells	lateral root cap	Col-0	12	day	P-G7631-2	P-G7631-1	GSE7631GSM184477 sample	P-G7631-4	GSE7631GSM184477 extract	total_RNA	P-G7631-3	GSE7631GSM184477 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Lateral Root Cap root cells 2hr KCl control treated, biological rep2	A-AFFY-2	P-AFFY-6	Lateral Root Cap root cells 2hr KCl control treated, biological rep2	GSM184477.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7631/E-GEOD-7631.raw.1.zip	E-GEOD-7631-processed-data-1630450762.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7631/E-GEOD-7631.processed.1.zip	lateral root cap	control
GSE7631GSM184478	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	FACS-sorted 12 day old Arabidopsis Lateral Root Cap root cells, 2 hr KCl control treated:  n/a. Genotype: Col-0; Cell type: lateral root cap root cells	lateral root cap	Col-0	12	day	P-G7631-2	P-G7631-1	GSE7631GSM184478 sample	P-G7631-4	GSE7631GSM184478 extract	total_RNA	P-G7631-3	GSE7631GSM184478 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Lateral Root Cap root cells 2hr KCl control treated, biological rep3	A-AFFY-2	P-AFFY-6	Lateral Root Cap root cells 2hr KCl control treated, biological rep3	GSM184478.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7631/E-GEOD-7631.raw.1.zip	E-GEOD-7631-processed-data-1630450762.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7631/E-GEOD-7631.processed.1.zip	lateral root cap	control
GSE7631GSM184476	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	FACS-sorted 12 day old Arabidopsis Lateral Root Cap root cells, 2 hr KCl control treated:  n/a. Genotype: Col-0; Cell type: lateral root cap root cells	lateral root cap	Col-0	12	day	P-G7631-2	P-G7631-1	GSE7631GSM184476 sample	P-G7631-4	GSE7631GSM184476 extract	total_RNA	P-G7631-3	GSE7631GSM184476 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Lateral Root Cap root cells 2hr KCl control treated, biological rep1	A-AFFY-2	P-AFFY-6	Lateral Root Cap root cells 2hr KCl control treated, biological rep1	GSM184476.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7631/E-GEOD-7631.raw.1.zip	E-GEOD-7631-processed-data-1630450762.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7631/E-GEOD-7631.processed.1.zip	lateral root cap	control
GSE7631GSM184481	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	FACS-sorted 12 day old Arabidopsis Lateral Root Cap root cells, 2 hr KNO3 transitory treated:  KNO3 was not maintained in the protoplast-generating solution. Genotype: Col-0; Cell type: lateral root cap root cells	lateral root cap	Col-0	12	day	P-G7631-2	P-G7631-1	GSE7631GSM184481 sample	P-G7631-4	GSE7631GSM184481 extract	total_RNA	P-G7631-3	GSE7631GSM184481 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Lateral Root Cap root cells 2hr transitory KNO3 treated, biological rep3	A-AFFY-2	P-AFFY-6	Lateral Root Cap root cells 2hr transitory KNO3 treated, biological rep3	GSM184481.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7631/E-GEOD-7631.raw.1.zip	E-GEOD-7631-processed-data-1630450762.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7631/E-GEOD-7631.processed.1.zip	lateral root cap	2hr transitory KNO3
GSE7631GSM184479	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	FACS-sorted 12 day old Arabidopsis Lateral Root Cap root cells, 2 hr KNO3 transitory treated:  KNO3 was not maintained in the protoplast-generating solution. Genotype: Col-0; Cell type: lateral root cap root cells	lateral root cap	Col-0	12	day	P-G7631-2	P-G7631-1	GSE7631GSM184479 sample	P-G7631-4	GSE7631GSM184479 extract	total_RNA	P-G7631-3	GSE7631GSM184479 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Lateral Root Cap root cells 2hr transitory KNO3 treated, biological rep1	A-AFFY-2	P-AFFY-6	Lateral Root Cap root cells 2hr transitory KNO3 treated, biological rep1	GSM184479.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7631/E-GEOD-7631.raw.1.zip	E-GEOD-7631-processed-data-1630450762.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7631/E-GEOD-7631.processed.1.zip	lateral root cap	2hr transitory KNO3
GSE7631GSM184480	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	FACS-sorted 12 day old Arabidopsis Lateral Root Cap root cells, 2 hr KNO3 transitory treated:  KNO3 was not maintained in the protoplast-generating solution. Genotype: Col-0; Cell type: lateral root cap root cells	lateral root cap	Col-0	12	day	P-G7631-2	P-G7631-1	GSE7631GSM184480 sample	P-G7631-4	GSE7631GSM184480 extract	total_RNA	P-G7631-3	GSE7631GSM184480 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Lateral Root Cap root cells 2hr transitory KNO3 treated, biological rep2	A-AFFY-2	P-AFFY-6	Lateral Root Cap root cells 2hr transitory KNO3 treated, biological rep2	GSM184480.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7631/E-GEOD-7631.raw.1.zip	E-GEOD-7631-processed-data-1630450762.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7631/E-GEOD-7631.processed.1.zip	lateral root cap	2hr transitory KNO3
GSE7631GSM184492	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	FACS-sorted 12 day old Arabidopsis Epidermis&Cortex root cells, 2 hr KNO3 continuous treated:  KNO3 was maintained in the protoplast-generating solution at 5mM. Genotype: Col-0; Cell type: epidermal and cortical root cells	epidermis and cortex	Col-0	12	day	P-G7631-2	P-G7631-1	GSE7631GSM184492 sample	P-G7631-4	GSE7631GSM184492 extract	total_RNA	P-G7631-3	GSE7631GSM184492 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Epidermis&Cortex root cells 2hr continuous KNO3 treated, biological rep2	A-AFFY-2	P-AFFY-6	Epidermis&Cortex root cells 2hr continuous KNO3 treated, biological rep2	GSM184492.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7631/E-GEOD-7631.raw.1.zip	E-GEOD-7631-processed-data-1630450762.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7631/E-GEOD-7631.processed.1.zip	epidermis and cortex	2hr continuous KNO3
