Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[genotype]	Characteristics[organism part]	Characteristics[age]	Unit[time unit]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [growth condition]
GSM864606 1	Gene expression data of Col-0 at low water potential condition.	Columbia at stress condition	Col-0 at -1.2 MPa condition, biological rep 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	whole seedling	7	day	P-GSE35258-2	P-GSE35258-3	P-GSE35258-4	GSM864606 extract 1	total RNA	P-GSE35258-5	GSM864606 LE 1	biotin	P-GSE35258-6	GSM864606	A-AFFY-2	P-GSE35258-7	P-GSE35258-8	GSM864606.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35258/E-GEOD-35258.raw.1.zip	P-GSE35258-1	GSM864606_sample_table.txt norm	GSM864606_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35258/E-GEOD-35258.processed.1.zip	wild type	low water potential stress
GSM864604 1	Gene expression data of Col-0 at control condition.	Columbia at control condition	Col-0 at -0.25 MPa, biological rep 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	whole seedling	7	day	P-GSE35258-2	P-GSE35258-3	P-GSE35258-4	GSM864604 extract 1	total RNA	P-GSE35258-5	GSM864604 LE 1	biotin	P-GSE35258-6	GSM864604	A-AFFY-2	P-GSE35258-7	P-GSE35258-8	GSM864604.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35258/E-GEOD-35258.raw.1.zip	P-GSE35258-1	GSM864604_sample_table.txt norm	GSM864604_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35258/E-GEOD-35258.processed.1.zip	wild type	control
GSM864602 1	Gene expression data of Col-0 at low water potential condition.	Columbia at stress condition	Col-0 at -1.2 MPa condition, biological rep 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	whole seedling	7	day	P-GSE35258-2	P-GSE35258-3	P-GSE35258-4	GSM864602 extract 1	total RNA	P-GSE35258-5	GSM864602 LE 1	biotin	P-GSE35258-6	GSM864602	A-AFFY-2	P-GSE35258-7	P-GSE35258-8	GSM864602.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35258/E-GEOD-35258.raw.1.zip	P-GSE35258-1	GSM864602_sample_table.txt norm	GSM864602_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35258/E-GEOD-35258.processed.1.zip	wild type	low water potential stress
GSM864600 1	Gene expression data of Col-0 at control condition.	Columbia at control condition	Col-0 at -0.25 MPa, biological rep 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	whole seedling	7	day	P-GSE35258-2	P-GSE35258-3	P-GSE35258-4	GSM864600 extract 1	total RNA	P-GSE35258-5	GSM864600 LE 1	biotin	P-GSE35258-6	GSM864600	A-AFFY-2	P-GSE35258-7	P-GSE35258-8	GSM864600.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35258/E-GEOD-35258.raw.1.zip	P-GSE35258-1	GSM864600_sample_table.txt norm	GSM864600_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35258/E-GEOD-35258.processed.1.zip	wild type	control
GSM864598 1	Gene expression data of Col-0 at low water potential condition.	Columbia at stress condition	Col-0 at -1.2 MPa condition, biological rep 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	whole seedling	7	day	P-GSE35258-2	P-GSE35258-3	P-GSE35258-4	GSM864598 extract 1	total RNA	P-GSE35258-5	GSM864598 LE 1	biotin	P-GSE35258-6	GSM864598	A-AFFY-2	P-GSE35258-7	P-GSE35258-8	GSM864598.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35258/E-GEOD-35258.raw.1.zip	P-GSE35258-1	GSM864598_sample_table.txt norm	GSM864598_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35258/E-GEOD-35258.processed.1.zip	wild type	low water potential stress
GSM864596 1	Gene expression data of Col-0 at control condition.	Columbia at control condition	Col-0 at -0.25 MPa, biological rep 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	whole seedling	7	day	P-GSE35258-2	P-GSE35258-3	P-GSE35258-4	GSM864596 extract 1	total RNA	P-GSE35258-5	GSM864596 LE 1	biotin	P-GSE35258-6	GSM864596	A-AFFY-2	P-GSE35258-7	P-GSE35258-8	GSM864596.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35258/E-GEOD-35258.raw.1.zip	P-GSE35258-1	GSM864596_sample_table.txt norm	GSM864596_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35258/E-GEOD-35258.processed.1.zip	wild type	control
GSM864607 1	Gene expression data of hai1-2 at low water potential condition.	hai1 at stress condition	hai1-2 at -1.2 MPa condition, biological rep 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	hai1-2 mutant	whole seedling	7	day	P-GSE35258-2	P-GSE35258-3	P-GSE35258-4	GSM864607 extract 1	total RNA	P-GSE35258-5	GSM864607 LE 1	biotin	P-GSE35258-6	GSM864607	A-AFFY-2	P-GSE35258-7	P-GSE35258-8	GSM864607.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35258/E-GEOD-35258.raw.1.zip	P-GSE35258-1	GSM864607_sample_table.txt norm	GSM864607_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35258/E-GEOD-35258.processed.1.zip	hai1-2 mutant	low water potential stress
GSM864605 1	Gene expression data of hai1-2 at control condition.	hai1 at control condition	hai1-2 at -0.25 MPa, biological rep 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	hai1-2 mutant	whole seedling	7	day	P-GSE35258-2	P-GSE35258-3	P-GSE35258-4	GSM864605 extract 1	total RNA	P-GSE35258-5	GSM864605 LE 1	biotin	P-GSE35258-6	GSM864605	A-AFFY-2	P-GSE35258-7	P-GSE35258-8	GSM864605.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35258/E-GEOD-35258.raw.1.zip	P-GSE35258-1	GSM864605_sample_table.txt norm	GSM864605_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35258/E-GEOD-35258.processed.1.zip	hai1-2 mutant	control
GSM864603 1	Gene expression data of hai1-2 at low water potential condition.	hai1 at stress condition	hai1-2 at -1.2 MPa condition, biological rep 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	hai1-2 mutant	whole seedling	7	day	P-GSE35258-2	P-GSE35258-3	P-GSE35258-4	GSM864603 extract 1	total RNA	P-GSE35258-5	GSM864603 LE 1	biotin	P-GSE35258-6	GSM864603	A-AFFY-2	P-GSE35258-7	P-GSE35258-8	GSM864603.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35258/E-GEOD-35258.raw.1.zip	P-GSE35258-1	GSM864603_sample_table.txt norm	GSM864603_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35258/E-GEOD-35258.processed.1.zip	hai1-2 mutant	low water potential stress
GSM864601 1	Gene expression data of hai1-2 at control condition.	hai1 at control condition	hai1-2 at -0.25 MPa, biological rep 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	hai1-2 mutant	whole seedling	7	day	P-GSE35258-2	P-GSE35258-3	P-GSE35258-4	GSM864601 extract 1	total RNA	P-GSE35258-5	GSM864601 LE 1	biotin	P-GSE35258-6	GSM864601	A-AFFY-2	P-GSE35258-7	P-GSE35258-8	GSM864601.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35258/E-GEOD-35258.raw.1.zip	P-GSE35258-1	GSM864601_sample_table.txt norm	GSM864601_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35258/E-GEOD-35258.processed.1.zip	hai1-2 mutant	control
