Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[age]	Unit[timeunit]	Characteristics[genotype]	Characteristics[ecotype]	Characteristics[organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]
GSM570987 1	Gene expression data from Arabidopsis rosette leaf RNA hybridized to Affymetrix Arabidopsis Genome Array	"double knockout of AtNHX5-1 (WiscDsLox345-348M8/ AtNHX6-1 (SALK_113129), biological rep3"	arabidopsis nhx5-1/nhx6-1 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	week	nhx5-1/nhx6-1 double knock out	Colombia	rosette leaf	P-GSE23210-2	  	P-GSE23210-3	  	GSM570987 extract 1	total RNA	P-GSE23210-4	  	GSM570987 LE 1	biotin	P-GSE23210-5	  	GSM570987	A-AFFY-2	  	P-GSE23210-6	  	P-GSE23210-7	  	GSM570987.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23210/E-GEOD-23210.raw.1.zip	P-GSE23210-1	  	GSM570987_sample_table.txt norm	GSM570987_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23210/E-GEOD-23210.processed.1.zip	nhx5-1/nhx6-1 double knock out
GSM570986 1	Gene expression data from Arabidopsis rosette leaf RNA hybridized to Affymetrix Arabidopsis Genome Array	"double knockout of AtNHX5-1 (WiscDsLox345-348M8/ AtNHX6-1 (SALK_113129), biological rep2"	arabidopsis nhx5-1/nhx6-1 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	week	nhx5-1/nhx6-1 double knock out	Colombia	rosette leaf	P-GSE23210-2	  	P-GSE23210-3	  	GSM570986 extract 1	total RNA	P-GSE23210-4	  	GSM570986 LE 1	biotin	P-GSE23210-5	  	GSM570986	A-AFFY-2	  	P-GSE23210-6	  	P-GSE23210-7	  	GSM570986.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23210/E-GEOD-23210.raw.1.zip	P-GSE23210-1	  	GSM570986_sample_table.txt norm	GSM570986_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23210/E-GEOD-23210.processed.1.zip	nhx5-1/nhx6-1 double knock out
GSM570985 1	Gene expression data from Arabidopsis rosette leaf RNA hybridized to Affymetrix Arabidopsis Genome Array	"double knockout of AtNHX5-1 (WiscDsLox345-348M8/ AtNHX6-1 (SALK_113129), biological rep1"	arabidopsis nhx5-1/nhx6-1 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	week	nhx5-1/nhx6-1 double knock out	Colombia	rosette leaf	P-GSE23210-2	  	P-GSE23210-3	  	GSM570985 extract 1	total RNA	P-GSE23210-4	  	GSM570985 LE 1	biotin	P-GSE23210-5	  	GSM570985	A-AFFY-2	  	P-GSE23210-6	  	P-GSE23210-7	  	GSM570985.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23210/E-GEOD-23210.raw.1.zip	P-GSE23210-1	  	GSM570985_sample_table.txt norm	GSM570985_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23210/E-GEOD-23210.processed.1.zip	nhx5-1/nhx6-1 double knock out
GSM570984 1	Gene expression data from Arabidopsis rosette leaf RNA hybridized to Affymetrix Arabidopsis Genome Array	"double knockout of AtNHX5-2 / AtNHX6-2, biological rep3"	arabidopsis nhx5-2/nhx6-2 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	week	nhx5-2/nhx6-2 double knock out	Colombia	rosette leaf	P-GSE23210-2	  	P-GSE23210-3	  	GSM570984 extract 1	total RNA	P-GSE23210-4	  	GSM570984 LE 1	biotin	P-GSE23210-5	  	GSM570984	A-AFFY-2	  	P-GSE23210-6	  	P-GSE23210-7	  	GSM570984.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23210/E-GEOD-23210.raw.1.zip	P-GSE23210-1	  	GSM570984_sample_table.txt norm	GSM570984_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23210/E-GEOD-23210.processed.1.zip	nhx5-2/nhx6-2 double knock out
GSM570983 1	Gene expression data from Arabidopsis rosette leaf RNA hybridized to Affymetrix Arabidopsis Genome Array	"double knockout of AtNHX5-2 / AtNHX6-2, biological rep2"	arabidopsis nhx5-2/nhx6-2 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	week	nhx5-2/nhx6-2 double knock out	Colombia	rosette leaf	P-GSE23210-2	  	P-GSE23210-3	  	GSM570983 extract 1	total RNA	P-GSE23210-4	  	GSM570983 LE 1	biotin	P-GSE23210-5	  	GSM570983	A-AFFY-2	  	P-GSE23210-6	  	P-GSE23210-7	  	GSM570983.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23210/E-GEOD-23210.raw.1.zip	P-GSE23210-1	  	GSM570983_sample_table.txt norm	GSM570983_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23210/E-GEOD-23210.processed.1.zip	nhx5-2/nhx6-2 double knock out
GSM570982 1	Gene expression data from Arabidopsis rosette leaf RNA hybridized to Affymetrix Arabidopsis Genome Array	"double knockout of AtNHX5-2 / AtNHX6-2, biological rep1"	arabidopsis nhx5-2/nhx6-2 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	week	nhx5-2/nhx6-2 double knock out	Colombia	rosette leaf	P-GSE23210-2	  	P-GSE23210-3	  	GSM570982 extract 1	total RNA	P-GSE23210-4	  	GSM570982 LE 1	biotin	P-GSE23210-5	  	GSM570982	A-AFFY-2	  	P-GSE23210-6	  	P-GSE23210-7	  	GSM570982.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23210/E-GEOD-23210.raw.1.zip	P-GSE23210-1	  	GSM570982_sample_table.txt norm	GSM570982_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23210/E-GEOD-23210.processed.1.zip	nhx5-2/nhx6-2 double knock out
GSM570981 1	Gene expression data from Arabidopsis rosette leaf RNA hybridized to Affymetrix Arabidopsis Genome Array	"single knockout of AtNHX6, T-DNA line SALK_100042, biological rep3"	arabidopsis nhx6-2 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	week	nhx6-2 knock out	Colombia	rosette leaf	P-GSE23210-2	  	P-GSE23210-3	  	GSM570981 extract 1	total RNA	P-GSE23210-4	  	GSM570981 LE 1	biotin	P-GSE23210-5	  	GSM570981	A-AFFY-2	  	P-GSE23210-6	  	P-GSE23210-7	  	GSM570981.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23210/E-GEOD-23210.raw.1.zip	P-GSE23210-1	  	GSM570981_sample_table.txt norm	GSM570981_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23210/E-GEOD-23210.processed.1.zip	nhx6-2 knock out
GSM570980 1	Gene expression data from Arabidopsis rosette leaf RNA hybridized to Affymetrix Arabidopsis Genome Array	"single knockout of AtNHX6, T-DNA line SALK_100042, biological rep2"	arabidopsis nhx6-2 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	week	nhx6-2 knock out	Colombia	rosette leaf	P-GSE23210-2	  	P-GSE23210-3	  	GSM570980 extract 1	total RNA	P-GSE23210-4	  	GSM570980 LE 1	biotin	P-GSE23210-5	  	GSM570980	A-AFFY-2	  	P-GSE23210-6	  	P-GSE23210-7	  	GSM570980.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23210/E-GEOD-23210.raw.1.zip	P-GSE23210-1	  	GSM570980_sample_table.txt norm	GSM570980_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23210/E-GEOD-23210.processed.1.zip	nhx6-2 knock out
GSM570979 1	Gene expression data from Arabidopsis rosette leaf RNA hybridized to Affymetrix Arabidopsis Genome Array	"single knockout of AtNHX6, T-DNA line SALK_100042, biological rep1"	arabidopsis nhx6-2 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	week	nhx6-2 knock out	Colombia	rosette leaf	P-GSE23210-2	  	P-GSE23210-3	  	GSM570979 extract 1	total RNA	P-GSE23210-4	  	GSM570979 LE 1	biotin	P-GSE23210-5	  	GSM570979	A-AFFY-2	  	P-GSE23210-6	  	P-GSE23210-7	  	GSM570979.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23210/E-GEOD-23210.raw.1.zip	P-GSE23210-1	  	GSM570979_sample_table.txt norm	GSM570979_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23210/E-GEOD-23210.processed.1.zip	nhx6-2 knock out
GSM570978 1	Gene expression data from Arabidopsis rosette leaf RNA hybridized to Affymetrix Arabidopsis Genome Array	"single knockout of AtNHX5, T-DNA line GABI-09H405, biological rep3"	arabidopsis nhx5-2 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	week	nhx5-2 knock out	Colombia	rosette leaf	P-GSE23210-2	  	P-GSE23210-3	  	GSM570978 extract 1	total RNA	P-GSE23210-4	  	GSM570978 LE 1	biotin	P-GSE23210-5	  	GSM570978	A-AFFY-2	  	P-GSE23210-6	  	P-GSE23210-7	  	GSM570978.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23210/E-GEOD-23210.raw.1.zip	P-GSE23210-1	  	GSM570978_sample_table.txt norm	GSM570978_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23210/E-GEOD-23210.processed.1.zip	nhx5-2 knock out
