Source Name	Characteristics [Age]	Unit [TimeUnit]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [Ecotype]	Characteristics [DevelopmentalStage]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value [min temperature]	Parameter Value [stop time]	Parameter Value [max temperature]	Protocol REF	Sample Name	Protocol REF	Parameter Value [Extracted product]	Parameter Value [Amplification]	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [dose]	Unit [ConcentrationUnit]	Factor Value [sampling time point]	Unit [TimeUnit]	Factor Value [compound]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
Col 12h	6	day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	P-MEXP-24223	23	36	C	P-MEXP-24224	Col 12h	P-MEXP-24225	total RNA	none	E_Col 12h	total_RNA	P-AFFY-2	L_Col 12h_1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-[]	H_Col 12h_1	A-AFFY-2	P-AFFY-6	  	  	12	hour	none	H_Col 12h_1	WT-12h_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-711/E-MEXP-711.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-711-processed-data-1563005043.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-711/E-MEXP-711.processed.1.zip
Col 4h	6	day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	P-MEXP-24223	23	36	C	P-MEXP-24224	Col 4h	P-MEXP-24225	total RNA	none	E_Col 4h	total_RNA	P-AFFY-2	L_Col 4h_1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-[]	H_Col 4h_1	A-AFFY-2	P-AFFY-6	  	  	4	hour	none	H_Col 4h_1	WT-4h_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-711/E-MEXP-711.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-711-processed-data-1563005043.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-711/E-MEXP-711.processed.1.zip
Col 36h	6	day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	P-MEXP-24223	23	36	C	P-MEXP-24224	Col 36h	P-MEXP-24225	total RNA	none	E_Col 36h	total_RNA	P-AFFY-2	L_Col 36h_1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_Col 36h_1	A-AFFY-2	P-AFFY-6	  	  	36	hour	none	H_Col 36h_1	WT-36h_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-711/E-MEXP-711.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-711-processed-data-1563005043.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-711/E-MEXP-711.processed.1.zip
Col 20h	6	day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	P-MEXP-24223	23	36	C	P-MEXP-24224	Col 20h	P-MEXP-24225	total RNA	none	E_Col 20h	total_RNA	P-AFFY-2	L_Col 20h_1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-[]	H_Col 20h_1	A-AFFY-2	P-AFFY-6	  	  	20	hour	none	H_Col 20h_1	WT-20h_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-711/E-MEXP-711.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-711-processed-data-1563005043.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-711/E-MEXP-711.processed.1.zip
Col 8h	6	day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	P-MEXP-24223	23	36	C	P-MEXP-24224	Col 8h	P-MEXP-24225	total RNA	none	E_Col 8h	total_RNA	P-AFFY-2	L_Col 8h_1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-[]	H_Col 8h_1	A-AFFY-2	P-AFFY-6	  	  	8	hour	none	H_Col 8h_1	WT-8h_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-711/E-MEXP-711.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-711-processed-data-1563005043.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-711/E-MEXP-711.processed.1.zip
Col 0h	6	day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	P-MEXP-24223	23	36	C	P-MEXP-24224	Col 0h	P-MEXP-24225	total RNA	none	E_Col 0h	total_RNA	P-AFFY-2	L_Col 0h	biotin	total_RNA	Affymetrix:Protocol:Hybridization-[]	H_Col 0h	A-AFFY-2	P-AFFY-6	  	  	0	hour	none	H_Col 0h	WT-0h_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-711/E-MEXP-711.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-711-processed-data-1563005043.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-711/E-MEXP-711.processed.1.zip
Col 18h	6	day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	P-MEXP-24223	23	36	C	P-MEXP-24224	Col 18h	P-MEXP-24225	total RNA	none	E_Col 18h	total_RNA	P-AFFY-2	L_Col 18h_1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-[]	H_Col 18h_1	A-AFFY-2	P-AFFY-6	  	  	18	hour	none	H_Col 18h_1	WT-18h_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-711/E-MEXP-711.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-711-processed-data-1563005043.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-711/E-MEXP-711.processed.1.zip
Col 24h	6	day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	P-MEXP-24223	23	36	C	P-MEXP-24224	Col 24h	P-MEXP-24225	total RNA	none	E_Col 24h	total_RNA	P-AFFY-2	L_Col 24h_1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-[]	H_Col 24h_1	A-AFFY-2	P-AFFY-6	  	  	24	hour	none	H_Col 24h_1	WT-24h_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-711/E-MEXP-711.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-711-processed-data-1563005043.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-711/E-MEXP-711.processed.1.zip
Col 18h Isoxaben	6	day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	P-MEXP-24223	23	36	C	P-MEXP-24224	Col 18h Isoxaben	P-MEXP-24225	total RNA	none	E_Col 18h Isoxaben	total_RNA	P-AFFY-2	L_Col 18h Isoxaben	biotin	total_RNA	Affymetrix:Protocol:Hybridization-[]	H_Col 18h Isoxaben	A-AFFY-2	P-AFFY-6	600	nanomolar	18	hour	isoxaben	H_Col 18h Isoxaben	WT-ISO-18h_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-711/E-MEXP-711.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-711-processed-data-1563005043.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-711/E-MEXP-711.processed.1.zip
Col 24h Isoxaben	6	day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	P-MEXP-24223	23	36	C	P-MEXP-24224	Col 24h Isoxaben	P-MEXP-24225	total RNA	none	E_Col 24h Isoxaben	total_RNA	P-AFFY-2	L_Col 24h Isoxaben	biotin	total_RNA	Affymetrix:Protocol:Hybridization-[]	H_Col 24h Isoxaben	A-AFFY-2	P-AFFY-6	600	nanomolar	24	hour	isoxaben	H_Col 24h Isoxaben	WT-ISO-24h_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-711/E-MEXP-711.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-711-processed-data-1563005043.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-711/E-MEXP-711.processed.1.zip
