Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[developmental stage]	Characteristics[age]	Unit[time unit]	Characteristics [organism part]	Provider	Comment[method]	Comment[organism part]	Comment[sample size]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Comment[technical replicate group]	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [sampling site]	FactorValue [time]	Unit [time unit]
GSM921523 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia ecotype	seedling	3	week	root	Valentina Carballo	  	laser-captured giant cells	~5,000,000 um2 area	cDNA amplified from total RNA isolated from giant cells.	LCM of Arabidopsis giant cells, 14 days	Arab_GiantCell_Root_14d_BioRep3	P-GSE37553-4	P-GSE37553-16	P-GSE37553-12	GSM921523 extract 1	total RNA	P-GSE37553-13	GSM921523 LE 1	biotin	P-GSE37553-14	GSM921523	  	A-AFFY-2	P-GSE37553-8	P-GSE37553-15	GSM921523_3130_12506_14A3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37553/E-GEOD-37553.raw.1.zip	P-GSE37553-2	GSM921523_sample_table.txt norm	GSM921523_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37553/E-GEOD-37553.processed.1.zip	Meloidogyne incognita infested region	14	day
GSM921522 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia ecotype	seedling	3	week	root	Valentina Carballo	  	laser-captured giant cells	~5,000,000 um2 area	cDNA amplified from total RNA isolated from giant cells.	LCM of Arabidopsis giant cells, 14 days	Arab_GiantCell_Root_14d_BioRep2	P-GSE37553-4	P-GSE37553-16	P-GSE37553-12	GSM921522 extract 1	total RNA	P-GSE37553-13	GSM921522 LE 1	biotin	P-GSE37553-14	GSM921522	  	A-AFFY-2	P-GSE37553-8	P-GSE37553-15	GSM921522_3130_12504_14A2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37553/E-GEOD-37553.raw.1.zip	P-GSE37553-2	GSM921522_sample_table.txt norm	GSM921522_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37553/E-GEOD-37553.processed.1.zip	Meloidogyne incognita infested region	14	day
GSM921521 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia ecotype	seedling	3	week	root	Valentina Carballo	  	laser-captured giant cells	~5,000,000 um2 area	cDNA amplified from total RNA isolated from giant cells.	LCM of Arabidopsis giant cells, 14 days	Arab_GiantCell_Root_14d_BioRep1	P-GSE37553-4	P-GSE37553-16	P-GSE37553-12	GSM921521 extract 1	total RNA	P-GSE37553-13	GSM921521 LE 1	biotin	P-GSE37553-14	GSM921521	  	A-AFFY-2	P-GSE37553-8	P-GSE37553-15	GSM921521_3130_12502_14A1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37553/E-GEOD-37553.raw.1.zip	P-GSE37553-2	GSM921521_sample_table.txt norm	GSM921521_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37553/E-GEOD-37553.processed.1.zip	Meloidogyne incognita infested region	14	day
GSM921520 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia ecotype	seedling	3	week	root	Valentina Carballo	  	laser-captured control root cells	~13,000,000 um2 area	cDNA amplified from total RNA isolated from control root cells.	LCM of Arabidopsis control root cells, 14 days	Arab_Control_Root_14d_BioRep3	P-GSE37553-4	P-GSE37553-11	P-GSE37553-12	GSM921520 extract 1	total RNA	P-GSE37553-13	GSM921520 LE 1	biotin	P-GSE37553-14	GSM921520	  	A-AFFY-2	P-GSE37553-8	P-GSE37553-15	GSM921520_3402_17789_14A3Crepl_ATH1_121501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37553/E-GEOD-37553.raw.1.zip	P-GSE37553-2	GSM921520_sample_table.txt norm	GSM921520_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37553/E-GEOD-37553.processed.1.zip	Meloidogyne incognita non-infested region	14	day
GSM921519 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia ecotype	seedling	3	week	root	Valentina Carballo	  	laser-captured control root cells	~13,000,000 um2 area	cDNA amplified from total RNA isolated from control root cells.	LCM of Arabidopsis control root cells, 14 days	Arab_Control_Root_14d_BioRep2	P-GSE37553-4	P-GSE37553-11	P-GSE37553-12	GSM921519 extract 1	total RNA	P-GSE37553-13	GSM921519 LE 1	biotin	P-GSE37553-14	GSM921519	  	A-AFFY-2	P-GSE37553-8	P-GSE37553-15	GSM921519_3130_12505_14A2C_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37553/E-GEOD-37553.raw.1.zip	P-GSE37553-2	GSM921519_sample_table.txt norm	GSM921519_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37553/E-GEOD-37553.processed.1.zip	Meloidogyne incognita non-infested region	14	day
GSM921518 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia ecotype	seedling	3	week	root	Valentina Carballo	  	laser-captured control root cells	~13,000,000 um2 area	cDNA amplified from total RNA isolated from control root cells.	LCM of Arabidopsis control root cells, 14 days	Arab_Control_Root_14d_BioRep1	P-GSE37553-4	P-GSE37553-11	P-GSE37553-12	GSM921518 extract 1	total RNA	P-GSE37553-13	GSM921518 LE 1	biotin	P-GSE37553-14	GSM921518	  	A-AFFY-2	P-GSE37553-8	P-GSE37553-15	GSM921518_3130_12503_14A1C_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37553/E-GEOD-37553.raw.1.zip	P-GSE37553-2	GSM921518_sample_table.txt norm	GSM921518_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37553/E-GEOD-37553.processed.1.zip	Meloidogyne incognita non-infested region	14	day
GSM546577 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia ecotype	seedling	3	week	root	Valentina Carballo	NuGEN WT-Ovation Pico	laser captured giant cells	~ 80 cells	cDNA amplified from total RNA isolated from giant cells	LCM of Arabidopsis giant cells	Arab_GiantCell_Root_Pico_BioRep3	P-GSE37553-4	P-GSE37553-10	P-GSE37553-5	GSM546577 extract 1	total RNA	P-GSE37553-6	GSM546577 LE 1	biotin	P-GSE37553-7	GSM546577	  	A-AFFY-2	P-GSE37553-8	P-GSE37553-9	GSM546577.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37553/E-GEOD-37553.raw.1.zip	P-GSE37553-1	GSM546577_sample_table.txt norm	GSM546577_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37553/E-GEOD-37553.processed.1.zip	Meloidogyne incognita infested region	21	day
GSM546576 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia ecotype	seedling	3	week	root	Valentina Carballo	NuGEN WT-Ovation Pico	laser captured giant cells	~ 80 cells	cDNA amplified from total RNA isolated from giant cells	LCM of Arabidopsis giant cells	Arab_GiantCell_Root_Pico_BioRep2	P-GSE37553-4	P-GSE37553-10	P-GSE37553-5	GSM546576 extract 1	total RNA	P-GSE37553-6	GSM546576 LE 1	biotin	P-GSE37553-7	GSM546576	  	A-AFFY-2	P-GSE37553-8	P-GSE37553-9	GSM546576.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37553/E-GEOD-37553.raw.1.zip	P-GSE37553-1	GSM546576_sample_table.txt norm	GSM546576_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37553/E-GEOD-37553.processed.1.zip	Meloidogyne incognita infested region	21	day
GSM546575 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia ecotype	seedling	3	week	root	Valentina Carballo	NuGEN WT-Ovation Pico	laser captured giant cells	~ 80 cells	cDNA amplified from total RNA isolated from giant cells	LCM of Arabidopsis giant cells	Arab_GiantCell_Root_Pico_BioRep1_TechRep3	P-GSE37553-4	P-GSE37553-10	P-GSE37553-5	GSM546575 extract 1	total RNA	P-GSE37553-6	GSM546575 LE 1	biotin	P-GSE37553-7	GSM546575	group1	A-AFFY-2	P-GSE37553-8	P-GSE37553-9	GSM546575.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37553/E-GEOD-37553.raw.1.zip	P-GSE37553-1	GSM546575_sample_table.txt norm	GSM546575_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37553/E-GEOD-37553.processed.1.zip	Meloidogyne incognita infested region	21	day
GSM546574 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia ecotype	seedling	3	week	root	Valentina Carballo	NuGEN WT-Ovation Pico	laser captured giant cells	~ 80 cells	cDNA amplified from total RNA isolated from giant cells	LCM of Arabidopsis giant cells	Arab_GiantCell_Root_Pico_BioRep1_TechRep2	P-GSE37553-4	P-GSE37553-10	P-GSE37553-5	GSM546574 extract 1	total RNA	P-GSE37553-6	GSM546574 LE 1	biotin	P-GSE37553-7	GSM546574	group1	A-AFFY-2	P-GSE37553-8	P-GSE37553-9	GSM546574.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37553/E-GEOD-37553.raw.1.zip	P-GSE37553-1	GSM546574_sample_table.txt norm	GSM546574_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37553/E-GEOD-37553.processed.1.zip	Meloidogyne incognita infested region	21	day
