Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[Ecotype]	Characteristics[Genotype]	Characteristics[DevelopmentalStage]	Characteristics[OrganismPart]	Description	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[GENOTYPE]	FactorValue[DEVELOPMENTAL STAGE]	FactorValue[ORGANISM PART]
GSE5632GSM131594	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	12	carpels	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: flowers stage 12, carpels	GSE5632GSM131594 sample	GSE5632GSM131594 extract	total_RNA	GSE5632GSM131594 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_37_A	A-AFFY-2	P-AFFY-6	ATGE_37_A	GSM131594.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.raw.1.zip	E-GEOD-5632-processed-data-1628538984.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.processed.1.zip	wild_type	12	carpels
GSE5632GSM131625	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	ap2-6	12	flower	ap2-6:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC Tissue comments: size similar to wildtype flowers stage12. Tissue: flower stage 12 equivalent; flowers without sepals, petals; carpeloid structures on sepals; Genetic background: Col-0	GSE5632GSM131625 sample	GSE5632GSM131625 extract	total_RNA	GSE5632GSM131625 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_56_B	A-AFFY-2	P-AFFY-6	ATGE_56_B	GSM131625.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.raw.1.zip	E-GEOD-5632-processed-data-1628538984.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.processed.1.zip	ap2-6	12	flower
GSE5632GSM131589	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	12	petals	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: flowers stage 12, petals	GSE5632GSM131589 sample	GSE5632GSM131589 extract	total_RNA	GSE5632GSM131589 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_35_B	A-AFFY-2	P-AFFY-6	ATGE_35_B	GSM131589.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.raw.1.zip	E-GEOD-5632-processed-data-1628538984.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.processed.1.zip	wild_type	12	petals
GSE5632GSM131627	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	ap3-6	12	flower	ap3-6:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: flower stage 12 equivalent; flowers without petals, stamens; Genetic background: Col-0	GSE5632GSM131627 sample	GSE5632GSM131627 extract	total_RNA	GSE5632GSM131627 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_57_A	A-AFFY-2	P-AFFY-6	ATGE_57_A	GSM131627.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.raw.1.zip	E-GEOD-5632-processed-data-1628538984.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.processed.1.zip	ap3-6	12	flower
GSE5632GSM131599	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	15	flower	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: flowers stage 15	GSE5632GSM131599 sample	GSE5632GSM131599 extract	total_RNA	GSE5632GSM131599 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_39_C	A-AFFY-2	P-AFFY-6	ATGE_39_C	GSM131599.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.raw.1.zip	E-GEOD-5632-processed-data-1628538984.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.processed.1.zip	wild_type	15	flower
GSE5632GSM131632	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	ag-12	12	flower	ag-12:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC Tissue comments: size similar to wildtype flowers stage12. Tissue: flower stage 12 equivalent; flowers without stamens, carpels; replaced by sepals and petals; indeterminate; Genetic background: Col-0	GSE5632GSM131632 sample	GSE5632GSM131632 extract	total_RNA	GSE5632GSM131632 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_58_C	A-AFFY-2	P-AFFY-6	ATGE_58_C	GSM131632.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.raw.1.zip	E-GEOD-5632-processed-data-1628538984.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.processed.1.zip	ag-12	12	flower
GSE5632GSM131587	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	12	sepals	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: flowers stage 12, sepals	GSE5632GSM131587 sample	GSE5632GSM131587 extract	total_RNA	GSE5632GSM131587 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_34_C	A-AFFY-2	P-AFFY-6	ATGE_34_C	GSM131587.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.raw.1.zip	E-GEOD-5632-processed-data-1628538984.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.processed.1.zip	wild_type	12	sepals
GSE5632GSM131615	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	clv3-7	12	flower	clv3-7:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: flower stage 12 equivalent; multi-carpel gyneoceum; enlarged meristem; increased organ number; Genetic background: Col-0	GSE5632GSM131615 sample	GSE5632GSM131615 extract	total_RNA	GSE5632GSM131615 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_53_A	A-AFFY-2	P-AFFY-6	ATGE_53_A	GSM131615.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.raw.1.zip	E-GEOD-5632-processed-data-1628538984.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.processed.1.zip	clv3-7	12	flower
GSE5632GSM131588	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	12	petals	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: flowers stage 12, petals	GSE5632GSM131588 sample	GSE5632GSM131588 extract	total_RNA	GSE5632GSM131588 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_35_A	A-AFFY-2	P-AFFY-6	ATGE_35_A	GSM131588.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.raw.1.zip	E-GEOD-5632-processed-data-1628538984.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.processed.1.zip	wild_type	12	petals
GSE5632GSM131578	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	9	flower	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: flowers stage 9	GSE5632GSM131578 sample	GSE5632GSM131578 extract	total_RNA	GSE5632GSM131578 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_31_C2	A-AFFY-2	P-AFFY-6	ATGE_31_C2	GSM131578.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.raw.1.zip	E-GEOD-5632-processed-data-1628538984.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.processed.1.zip	wild_type	9	flower
