Source Name	Characteristics [NASC:StockCode]	Characteristics [OrganismPart]	Characteristics [NASC:Growth Stage]	Characteristics [StrainOrLine]	Characteristics [Organism]	Term Source REF	Characteristics [Ecotype]	Characteristics [GeneticModification]	Protocol REF	Parameter Value [Stratification]	Parameter Value [Medium]	Parameter Value [Lighting]	Parameter Value [Temperature]	Parameter Value [Atmosphere]	Parameter Value [Location]	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Factor Value [StrainOrLine]
Cornah_A4-cornah-wsx_SRC_REP2	N5390	seedling	0.7	ws-4	Arabidopsis thaliana	ncbitax	  	  	NASCGrowProt:236	72 h at 4 C	1/2 strength Murashige and Skoog	continuous light	22-25 C	Normal	Growth Room	Cornah_A4-cornah-wsx_SRC_REP2	NASCExtractProtocol:3	39335687	total_RNA	NASCLabelProtocol:1	Cornah_A4-cornah-wsx_EXT_REP2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	JC001_ATH1_A4.2-cornah-wsx	A-AFFY-2	ArrayExpress	Affymetrix:Protocol:Percentile	JC001_ATH1_A4.2-cornah-wsx	E-NASC-1-raw-data-39335919.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-1/E-NASC-1.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-1-processed-data-1341883838.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-1/E-NASC-1.processed.1.zip	ws-4
Cornah_A3-cornah-msx_SRC_REP1	  	seedling	0.7	icl-2	Arabidopsis thaliana	ncbitax	Wassilewskija	  	NASCGrowProt:216	72 h at 4 C	1/2 strength Murashige and Skoog	continuous light	22-25 C	Normal	Growth Room	Cornah_A3-cornah-msx_SRC_REP1	NASCExtractProtocol:3	39335647	total_RNA	NASCLabelProtocol:1	Cornah_A3-cornah-msx_EXT_REP1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	JC001_ATH1_A3.1-cornah-msx	A-AFFY-2	ArrayExpress	Affymetrix:Protocol:Percentile	JC001_ATH1_A3.1-cornah-msx	E-NASC-1-raw-data-39335847.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-1/E-NASC-1.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-1-processed-data-1341883838.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-1/E-NASC-1.processed.1.zip	icl-2
Cornah_A2-cornah-irv_SRC_REP1	  	seedling	0.7	icl-2 revertant	Arabidopsis thaliana	ncbitax	Columbia-0	  	NASCGrowProt:215	72 h at 4 C	1/2 strength Murashige and Skoog	continuous light	22-25 C	Normal	Growth Room	Cornah_A2-cornah-irv_SRC_REP1	NASCExtractProtocol:3	39335639	total_RNA	NASCLabelProtocol:1	Cornah_A2-cornah-col_EXT_REP1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	JC001_ATH1_A2.1-cornah-irv	A-AFFY-2	ArrayExpress	Affymetrix:Protocol:Percentile	JC001_ATH1_A2.1-cornah-irv	E-NASC-1-raw-data-39335793.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-1/E-NASC-1.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-1-processed-data-1341883838.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-1/E-NASC-1.processed.1.zip	icl-2 revertant
Cornah_A1-cornah-icl_SRC_REP2	  	seedling	0.7	icl-2	Arabidopsis thaliana	ncbitax	Columbia-0	  	NASCGrowProt:233	72 h at 4 C	1/2 strength Murashige and Skoog	continuous light	22-25 C	Normal	Growth Room	Cornah_A1-cornah-icl_SRC_REP2	NASCExtractProtocol:3	39335663	total_RNA	NASCLabelProtocol:1	Cornah_A1-cornah-icl_EXT_REP2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	JC001_ATH1_A1-2-cornah-icl	A-AFFY-2	ArrayExpress	Affymetrix:Protocol:Percentile	JC001_ATH1_A1-2-cornah-icl	E-NASC-1-raw-data-39335757.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-1/E-NASC-1.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-1-processed-data-1341883838.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-1/E-NASC-1.processed.1.zip	icl-2
Cornah_A3-cornah-msx_SRC_REP3	  	seedling	0.7	icl-2	Arabidopsis thaliana	ncbitax	Wassilewskija	none	NASCGrowProt:239	72 h at 4 C	1/2 strength Murashige and Skoog	continuous light	22-25 C	Normal	Growth Room	Cornah_A3-cornah-msx_SRC_REP3	NASCExtractProtocol:3	39335711	total_RNA	NASCLabelProtocol:1	Cornah_A3-cornah-msx_EXT_REP3	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	JC001_ATH1_A3.3-cornah-msx	A-AFFY-2	ArrayExpress	Affymetrix:Protocol:Percentile	JC001_ATH1_A3.3-cornah-msx	E-NASC-1-raw-data-39335883.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-1/E-NASC-1.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-1-processed-data-1341883838.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-1/E-NASC-1.processed.1.zip	icl-2
Cornah_A3-cornah-msx_SRC_REP2	  	seedling	0.7	icl-2	Arabidopsis thaliana	ncbitax	Wassilewskija	  	NASCGrowProt:235	72 h at 4 C	1/2 strength Murashige and Skoog	continuous light	22-25 C	Normal	Growth Room	Cornah_A3-cornah-msx_SRC_REP2	NASCExtractProtocol:3	39335679	total_RNA	NASCLabelProtocol:1	Cornah_A3-cornah-msx_EXT_REP2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	JC001_ATH1_A3.2-cornah-msx	A-AFFY-2	ArrayExpress	Affymetrix:Protocol:Percentile	JC001_ATH1_A3.2-cornah-msx	E-NASC-1-raw-data-39335865.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-1/E-NASC-1.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-1-processed-data-1341883838.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-1/E-NASC-1.processed.1.zip	icl-2
Cornah_A2-cornah-irv_SRC_REP3	  	seedling	0.7	icl-2 revertant	Arabidopsis thaliana	ncbitax	Columbia-0	  	NASCGrowProt:238	72 h at 4 C	1/2 strength Murashige and Skoog	continuous light	22-25 C	Normal	Growth Room	Cornah_A2-cornah-irv_SRC_REP3	NASCExtractProtocol:3	39335703	total_RNA	NASCLabelProtocol:1	Cornah_A2-cornah-col_EXT_REP3	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	JC001_ATH1_A2.3-cornah-irv	A-AFFY-2	ArrayExpress	Affymetrix:Protocol:Percentile	JC001_ATH1_A2.3-cornah-irv	E-NASC-1-raw-data-39335829.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-1/E-NASC-1.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-1-processed-data-1341883838.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-1/E-NASC-1.processed.1.zip	icl-2 revertant
Cornah_A1-cornah-icl_SRC_REP3	  	seedling	0.7	icl-2	Arabidopsis thaliana	ncbitax	Columbia-0	  	NASCGrowProt:237	72 h at 4 C	1/2 strength Murashige and Skoog	continuous light	22-25 C	Normal	Growth Room	Cornah_A1-cornah-icl_SRC_REP3	NASCExtractProtocol:3	39335695	total_RNA	NASCLabelProtocol:1	Cornah_A1-cornah-icl_EXT_REP3	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	JC001_ATH1_A1-3-cornah-icl	A-AFFY-2	ArrayExpress	Affymetrix:Protocol:Percentile	JC001_ATH1_A1-3-cornah-icl	E-NASC-1-raw-data-39335775.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-1/E-NASC-1.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-1-processed-data-1341883838.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-1/E-NASC-1.processed.1.zip	icl-2
Cornah_A4-cornah-wsx_SRC_REP3	N5390	seedling	0.7	ws-4	Arabidopsis thaliana	ncbitax	  	  	NASCGrowProt:240	72 h at 4 C	1/2 strength Murashige and Skoog	continuous light	22-25 C	Normal	Growth Room	Cornah_A4-cornah-wsx_SRC_REP3	NASCExtractProtocol:3	39335719	total_RNA	NASCLabelProtocol:1	Cornah_A4-cornah-wsx_EXT_REP3	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	JC001_ATH1_A4.3-cornah-wsx	A-AFFY-2	ArrayExpress	Affymetrix:Protocol:Percentile	JC001_ATH1_A4.3-cornah-wsx	E-NASC-1-raw-data-39335937.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-1/E-NASC-1.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-1-processed-data-1341883838.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-1/E-NASC-1.processed.1.zip	ws-4
Cornah_A4-cornah-wsx_SRC_REP1	N5390	seedling	0.7	ws-4	Arabidopsis thaliana	ncbitax	  	  	NASCGrowProt:217	72 h at 4 C	1/2 strength Murashige and Skoog	continuous light	22-25 C	Normal	Growth Room	Cornah_A4-cornah-wsx_SRC_REP1	NASCExtractProtocol:3	39335655	total_RNA	NASCLabelProtocol:1	Cornah_A4-cornah-wsx_EXT_REP1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	JC001_ATH1_A4.1-cornah-wsx	A-AFFY-2	ArrayExpress	Affymetrix:Protocol:Percentile	JC001_ATH1_A4.1-cornah-wsx	E-NASC-1-raw-data-39335901.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-1/E-NASC-1.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-1-processed-data-1341883838.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-1/E-NASC-1.processed.1.zip	ws-4
