Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[developmental stage]	Characteristics[ecotype]	Characteristics[genotype]	Characteristics[age]	Unit[time unit]	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[compound]	FactorValue[genotype]
GSM9571 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Replicate 1	liquid culture seedlings	seedling	Columbia	wild type	7	day	GSM9571 extract 1	total_RNA	GSM9571 LE 1	1	unknown	GSM9571	A-AFFY-2	P-AFFY-6	GSM9571.cel	GSM9571.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-627/E-GEOD-627.raw.1.zip	P-GSE627-1	E-GEOD-627-processed-data-2495535978.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-627/E-GEOD-627.processed.1.zip	none	wild type
GSM9572 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Line: Columbia wild-type	liquid culture seedlings	seedling	Columbia	wild type	7	day	GSM9572 extract 1	total_RNA	GSM9572 LE 1	1	unknown	GSM9572	A-AFFY-2	P-AFFY-6	GSM9572.cel	GSM9572.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-627/E-GEOD-627.raw.1.zip	P-GSE627-1	E-GEOD-627-processed-data-2495535978.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-627/E-GEOD-627.processed.1.zip	none	wild type
GSM9573 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Surface-sterile seeds were germinated in liquid Murashige and Skoog medium containing 1.5% sucrose and cultured in a 16 h light/ 8 h dark cycle with gentle shaking. After 7 days culture period, seedlings were treated with 5ï¿½M IAA (IAA treated) or EtOH (control) for 2 h at 24 ï¿½C.	liquid culture seedlings	seedling	Columbia	wild type	7	day	GSM9573 extract 1	total_RNA	GSM9573 LE 1	1	unknown	GSM9573	A-AFFY-2	P-AFFY-6	GSM9573.cel	GSM9573.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-627/E-GEOD-627.raw.1.zip	P-GSE627-1	E-GEOD-627-processed-data-2495535978.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-627/E-GEOD-627.processed.1.zip	none	wild type
GSM9574 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Surface-sterile seeds were germinated in liquid Murashige and Skoog medium containing 1.5% sucrose and cultured in a 16 h light/ 8 h dark cycle with gentle shaking. After 7 days culture period, seedlings were treated with 5ÂµM IAA (IAA treated) or EtOH (control) for 2 h at 24 Â°C.	liquid culture seedlings	seedling	Columbia	wild type	7	day	GSM9574 extract 1	total_RNA	GSM9574 LE 1	1	unknown	GSM9574	A-AFFY-2	P-AFFY-6	GSM9574.cel	GSM9574.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-627/E-GEOD-627.raw.1.zip	P-GSE627-1	E-GEOD-627-processed-data-2495535978.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-627/E-GEOD-627.processed.1.zip	indole-3-acetic acid	wild type
GSM9575 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Replicate 2	Light grown liquid cultured seedlings (7-day old)	seedling	Columbia	wild type	7	day	GSM9575 extract 1	total_RNA	GSM9575 LE 1	1	unknown	GSM9575	A-AFFY-2	P-AFFY-6	GSM9575.cel	GSM9575.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-627/E-GEOD-627.raw.1.zip	P-GSE627-1	E-GEOD-627-processed-data-2495535978.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-627/E-GEOD-627.processed.1.zip	indole-3-acetic acid	wild type
GSM9576 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Treatment: IAA treated	Light grown liquid cultured seedlings (7-day old)	seedling	Columbia	wild type	7	day	GSM9576 extract 1	total_RNA	GSM9576 LE 1	1	unknown	GSM9576	A-AFFY-2	P-AFFY-6	GSM9576.cel	GSM9576.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-627/E-GEOD-627.raw.1.zip	P-GSE627-1	E-GEOD-627-processed-data-2495535978.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-627/E-GEOD-627.processed.1.zip	indole-3-acetic acid	wild type
GSM9577 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Surface-sterile seeds were germinated in liquid Murashige and Skoog medium containing 1.5% sucrose and cultured in a 16 h light/ 8 h dark cycle with gentle shaking. After 7 days culture period, seedlings were treated with 5ÂµM IAA (IAA treated) or EtOH (control) for 2 h at 24 Â°C.	Light grown liquid cultured seedlings (7-day old)	seedling	Columbia	nph4-1	7	day	GSM9577 extract 1	total_RNA	GSM9577 LE 1	1	unknown	GSM9577	A-AFFY-2	P-AFFY-6	GSM9577.cel	GSM9577.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-627/E-GEOD-627.raw.1.zip	P-GSE627-1	E-GEOD-627-processed-data-2495535978.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-627/E-GEOD-627.processed.1.zip	none	nph4-1
GSM9578 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Replicate 2	Light grown liquid cultured seedlings (7-day old)	seedling	Columbia	nph4-1	7	day	GSM9578 extract 1	total_RNA	GSM9578 LE 1	1	unknown	GSM9578	A-AFFY-2	P-AFFY-6	GSM9578.cel	GSM9578.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-627/E-GEOD-627.raw.1.zip	P-GSE627-1	E-GEOD-627-processed-data-2495535978.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-627/E-GEOD-627.processed.1.zip	none	nph4-1
GSM9579 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Treatment: Control	Light grown liquid cultured seedlings (7-day old)	seedling	Columbia	nph4-1	7	day	GSM9579 extract 1	total_RNA	GSM9579 LE 1	1	unknown	GSM9579	A-AFFY-2	P-AFFY-6	GSM9579.CEL	GSM9579.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-627/E-GEOD-627.raw.1.zip	P-GSE627-1	E-GEOD-627-processed-data-2495535978.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-627/E-GEOD-627.processed.1.zip	none	nph4-1
GSM9580 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Line: nph4-1 (ecotype Columbia)	Light grown liquid cultured seedlings (7-day old)	seedling	Columbia	nph4-1	7	day	GSM9580 extract 1	total_RNA	GSM9580 LE 1	1	unknown	GSM9580	A-AFFY-2	P-AFFY-6	GSM9580.cel	GSM9580.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-627/E-GEOD-627.raw.1.zip	P-GSE627-1	E-GEOD-627-processed-data-2495535978.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-627/E-GEOD-627.processed.1.zip	indole-3-acetic acid	nph4-1
