Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[Ecotype]	Characteristics[DevelopmentalStage]	Characteristics[OrganismPart]	Description	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[ORGANISM PART]
GSE11262GSM284397	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ws-0	globular embryo stage	general seed coat	Arabidopsis globular stage general seed coat captured by LCM:  Laser capture microdissected (LCM) general seed coat at the globular stage, biological replicate 1 General seed coat collected from seeds containing globular embryos 24 to 32 um in diameter as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G11262-1	P-G11262-2	GSE11262GSM284397 sample	P-G11262-4	GSE11262GSM284397 extract	total_RNA	P-G11262-3	GSE11262GSM284397 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis GGSc1	A-AFFY-2	P-AFFY-6	Arabidopsis GGSc1	GSM284397.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11262/E-GEOD-11262.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11262-processed-data-1626185256.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11262/E-GEOD-11262.processed.1.zip	general seed coat
GSE11262GSM284388	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ws-0	globular embryo stage	micropylar endosperm	Arabidopsis globular stage micropylar endosperm captured by LCM:  Laser capture microdissected (LCM) micropylar endosperm at the globular stage, biological replicate 1 Micropylar endosperm collected from seeds containing globular embryos 24 to 32 um in diameter as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G11262-1	P-G11262-2	GSE11262GSM284388 sample	P-G11262-4	GSE11262GSM284388 extract	total_RNA	P-G11262-3	GSE11262GSM284388 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis GMPE1	A-AFFY-2	P-AFFY-6	Arabidopsis GMPE1	GSM284388.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11262/E-GEOD-11262.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11262-processed-data-1626185256.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11262/E-GEOD-11262.processed.1.zip	micropylar endosperm
GSE11262GSM284398	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ws-0	globular embryo stage	general seed coat	Arabidopsis globular stage general seed coat captured by LCM:  Laser capture microdissected (LCM) general seed coat at the globular stage, biological replicate 2 General seed coat collected from seeds containing globular embryos 24 to 32 um in diameter as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G11262-1	P-G11262-2	GSE11262GSM284398 sample	P-G11262-4	GSE11262GSM284398 extract	total_RNA	P-G11262-3	GSE11262GSM284398 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis GGSc2	A-AFFY-2	P-AFFY-6	Arabidopsis GGSc2	GSM284398.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11262/E-GEOD-11262.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11262-processed-data-1626185256.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11262/E-GEOD-11262.processed.1.zip	general seed coat
GSE11262GSM284394	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ws-0	globular embryo stage	chalazal endosperm	Arabidopsis globular stage chalazal endosperm captured by LCM:  Laser capture microdissected (LCM) chalazal endosperm at the globular stage, biological replicate 3 Chalazal endosperm collected from seeds containing globular embryos 24 to 32 um in diameter as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G11262-1	P-G11262-2	GSE11262GSM284394 sample	P-G11262-4	GSE11262GSM284394 extract	total_RNA	P-G11262-3	GSE11262GSM284394 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis GCE3	A-AFFY-2	P-AFFY-6	Arabidopsis GCE3	GSM284394.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11262/E-GEOD-11262.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11262-processed-data-1626185256.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11262/E-GEOD-11262.processed.1.zip	chalazal endosperm
GSE11262GSM284391	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ws-0	globular embryo stage	peripheral endosperm	Arabidopsis globular stage peripherial endosperm captured by LCM:  Laser capture microdissected (LCM) peripheral endosperm at the globular stage, biological replicate 2 Peripheral endosperm collected from seeds containing globular embryos 24 to 32 um in diameter as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G11262-1	P-G11262-2	GSE11262GSM284391 sample	P-G11262-4	GSE11262GSM284391 extract	total_RNA	P-G11262-3	GSE11262GSM284391 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis GPE3	A-AFFY-2	P-AFFY-6	Arabidopsis GPE3	GSM284391.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11262/E-GEOD-11262.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11262-processed-data-1626185256.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11262/E-GEOD-11262.processed.1.zip	peripheral endosperm
GSE11262GSM284385	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ws-0	globular embryo stage	embryo proper	Arabidopsis globular stage embryo proper captured by LCM:  Laser capture microdissected (LCM) embryo proper at the globular stage, biological replicate 2 Embryo proper collected from seeds containing globular embryos 24 to 32 um in diameter as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G11262-1	P-G11262-2	GSE11262GSM284385 sample	P-G11262-4	GSE11262GSM284385 extract	total_RNA	P-G11262-3	GSE11262GSM284385 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis GEP6	A-AFFY-2	P-AFFY-6	Arabidopsis GEP6	GSM284385.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11262/E-GEOD-11262.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11262-processed-data-1626185256.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11262/E-GEOD-11262.processed.1.zip	embryo proper
GSE11262GSM284393	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ws-0	globular embryo stage	chalazal endosperm	Arabidopsis globular stage chalazal endosperm captured by LCM:  Laser capture microdissected (LCM) chalazal endosperm at the globular stage, biological replicate 2 Chalazal endosperm collected from seeds containing globular embryos 24 to 32 um in diameter as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G11262-1	P-G11262-2	GSE11262GSM284393 sample	P-G11262-4	GSE11262GSM284393 extract	total_RNA	P-G11262-3	GSE11262GSM284393 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis GCE2	A-AFFY-2	P-AFFY-6	Arabidopsis GCE2	GSM284393.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11262/E-GEOD-11262.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11262-processed-data-1626185256.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11262/E-GEOD-11262.processed.1.zip	chalazal endosperm
GSE11262GSM284390	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ws-0	globular embryo stage	peripheral endosperm	Arabidopsis globular stage peripheral endosperm captured by LCM:  Laser capture microdissected (LCM) peripheral endosperm at the globular stage, biological replicate 1 Peripheral endosperm collected from seeds containing globular embryos 24 to 32 um in diameter as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G11262-1	P-G11262-2	GSE11262GSM284390 sample	P-G11262-4	GSE11262GSM284390 extract	total_RNA	P-G11262-3	GSE11262GSM284390 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis GPE2	A-AFFY-2	P-AFFY-6	Arabidopsis GPE2	GSM284390.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11262/E-GEOD-11262.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11262-processed-data-1626185256.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11262/E-GEOD-11262.processed.1.zip	peripheral endosperm
GSE11262GSM284392	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ws-0	globular embryo stage	chalazal endosperm	Arabidopsis globular stage chalazal endosperm captured by LCM:  Laser capture microdissected (LCM) chalazal endosperm at the globular stage, biological replicate 1 Chalazal endosperm collected from seeds containing globular embryos 24 to 32 um in diameter as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G11262-1	P-G11262-2	GSE11262GSM284392 sample	P-G11262-4	GSE11262GSM284392 extract	total_RNA	P-G11262-3	GSE11262GSM284392 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis GCE1	A-AFFY-2	P-AFFY-6	Arabidopsis GCE1	GSM284392.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11262/E-GEOD-11262.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11262-processed-data-1626185256.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11262/E-GEOD-11262.processed.1.zip	chalazal endosperm
GSE11262GSM284387	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ws-0	globular embryo stage	suspensor	Arabidopsis globular stage suspensor captured by LCM:  Laser capture microdissected (LCM) suspensor at the globular stage, biological replicate 2 Suspensors collected from seeds containing globular embryos 24 to 32 um in diameter as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G11262-1	P-G11262-2	GSE11262GSM284387 sample	P-G11262-4	GSE11262GSM284387 extract	total_RNA	P-G11262-3	GSE11262GSM284387 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis GSUS4b	A-AFFY-2	P-AFFY-6	Arabidopsis GSUS4b	GSM284387.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11262/E-GEOD-11262.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11262-processed-data-1626185256.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11262/E-GEOD-11262.processed.1.zip	suspensor
