Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[age]	Unit[time unit]	Characteristics[genotype]	Characteristics[organism part]	Characteristics[organism]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[treatment]	FactorValue[genotype]
GSM435963 1	Genes expression on leaf tissue	5weeks old arabidopsis leaves	5	week	wild type	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE17479-2	P-GSE17479-3	P-GSE17479-4	GSM435963 extract 1	total RNA	P-GSE17479-5	GSM435963 LE 1	biotin	P-GSE17479-6	GSM435963	A-AFFY-2	P-GSE17479-7	P-GSE17479-8	GSM435963.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.raw.1.zip	P-GSE17479-1	GSM435963_sample_table.txt norm	GSM435963_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.processed.1.zip	none	wild type
GSM435948 1	Genes expression on leaf tissue	5weeks old arabidopsis leaves	5	week	wild type	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE17479-2	P-GSE17479-3	P-GSE17479-4	GSM435948 extract 1	total RNA	P-GSE17479-5	GSM435948 LE 1	biotin	P-GSE17479-6	GSM435948	A-AFFY-2	P-GSE17479-7	P-GSE17479-8	GSM435948.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.raw.1.zip	P-GSE17479-1	GSM435948_sample_table.txt norm	GSM435948_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.processed.1.zip	none	wild type
GSM435933 1	Genes expression on leaf tissue	5weeks old arabidopsis leaves	5	week	wild type	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE17479-2	P-GSE17479-3	P-GSE17479-4	GSM435933 extract 1	total RNA	P-GSE17479-5	GSM435933 LE 1	biotin	P-GSE17479-6	GSM435933	A-AFFY-2	P-GSE17479-7	P-GSE17479-8	GSM435933.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.raw.1.zip	P-GSE17479-1	GSM435933_sample_table.txt norm	GSM435933_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.processed.1.zip	none	wild type
GSM435967 1	Genes expression on leaf tissue after treatment with inactive flg22(100nM) from Agrobacterium tumefasciens	5weeks old arabidopsis leaves	5	week	wild type	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE17479-2	P-GSE17479-3	P-GSE17479-4	GSM435967 extract 1	total RNA	P-GSE17479-5	GSM435967 LE 1	biotin	P-GSE17479-6	GSM435967	A-AFFY-2	P-GSE17479-7	P-GSE17479-8	GSM435967.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.raw.1.zip	P-GSE17479-1	GSM435967_sample_table.txt norm	GSM435967_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.processed.1.zip	inactive flg22	wild type
GSM435966 1	Genes expression on leaf tissue after treatment with inactive flg22 (100nM) from Agrobacterium tumefasciens	5weeks old arabidopsis leaves	5	week	wild type	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE17479-2	P-GSE17479-3	P-GSE17479-4	GSM435966 extract 1	total RNA	P-GSE17479-5	GSM435966 LE 1	biotin	P-GSE17479-6	GSM435966	A-AFFY-2	P-GSE17479-7	P-GSE17479-8	GSM435966.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.raw.1.zip	P-GSE17479-1	GSM435966_sample_table.txt norm	GSM435966_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.processed.1.zip	inactive flg22	wild type
GSM435952 1	Genes expression on leaf tissue after treatment with inactive flg22(100nM) from Agrobacterium tumefasciens	5weeks old arabidopsis leaves	5	week	wild type	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE17479-2	P-GSE17479-3	P-GSE17479-4	GSM435952 extract 1	total RNA	P-GSE17479-5	GSM435952 LE 1	biotin	P-GSE17479-6	GSM435952	A-AFFY-2	P-GSE17479-7	P-GSE17479-8	GSM435952.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.raw.1.zip	P-GSE17479-1	GSM435952_sample_table.txt norm	GSM435952_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.processed.1.zip	inactive flg22	wild type
GSM435951 1	Genes expression on leaf tissue after treatment with inactive flg22 (100nM) from Agrobacterium tumefasciens	5weeks old arabidopsis leaves	5	week	wild type	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE17479-2	P-GSE17479-3	P-GSE17479-4	GSM435951 extract 1	total RNA	P-GSE17479-5	GSM435951 LE 1	biotin	P-GSE17479-6	GSM435951	A-AFFY-2	P-GSE17479-7	P-GSE17479-8	GSM435951.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.raw.1.zip	P-GSE17479-1	GSM435951_sample_table.txt norm	GSM435951_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.processed.1.zip	inactive flg22	wild type
GSM435937 1	Genes expression on leaf tissue after treatment with inactive flg22(100nM) from Agrobacterium tumefasciens	5weeks old arabidopsis leaves	5	week	wild type	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE17479-2	P-GSE17479-3	P-GSE17479-4	GSM435937 extract 1	total RNA	P-GSE17479-5	GSM435937 LE 1	biotin	P-GSE17479-6	GSM435937	A-AFFY-2	P-GSE17479-7	P-GSE17479-8	GSM435937.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.raw.1.zip	P-GSE17479-1	GSM435937_sample_table.txt norm	GSM435937_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.processed.1.zip	inactive flg22	wild type
GSM435936 1	Genes expression on leaf tissue after treatment with inactive flg22 (100nM) from Agrobacterium tumefasciens	5weeks old arabidopsis leaves	5	week	wild type	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE17479-2	P-GSE17479-3	P-GSE17479-4	GSM435936 extract 1	total RNA	P-GSE17479-5	GSM435936 LE 1	biotin	P-GSE17479-6	GSM435936	A-AFFY-2	P-GSE17479-7	P-GSE17479-8	GSM435936.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.raw.1.zip	P-GSE17479-1	GSM435936_sample_table.txt norm	GSM435936_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.processed.1.zip	inactive flg22	wild type
GSM435965 1	Genes expression on leaf tissue after flg22 (100nM) treatment	5weeks old arabidopsis leaves	5	week	wild type	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE17479-2	P-GSE17479-3	P-GSE17479-4	GSM435965 extract 1	total RNA	P-GSE17479-5	GSM435965 LE 1	biotin	P-GSE17479-6	GSM435965	A-AFFY-2	P-GSE17479-7	P-GSE17479-8	GSM435965.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.raw.1.zip	P-GSE17479-1	GSM435965_sample_table.txt norm	GSM435965_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.processed.1.zip	flg22	wild type
