Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [cell type]	Term Source REF	Term Accession Number	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [sample type]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [CELL TYPE]	Term Source REF	Term Accession Number
GSM706488 1	Gene expression data from ~28 days old plant	Phloem cell type	S17_3	phloem	EFO	EFO_0001044	ap1-1;cal1-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	sorted cells	P-GSE28109-2	ArrayExpress	P-GSE28109-3	ArrayExpress	P-GSE28109-4	ArrayExpress	GSM706488 extract 1	total RNA	P-GSE28109-5	ArrayExpress	GSM706488 LE 1	Biotin	P-GSE28109-6	ArrayExpress	GSM706488	A-AFFY-2	ArrayExpress	array assay	P-GSE28109-7	ArrayExpress	GSM706488.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28109/E-GEOD-28109.raw.1.zip	P-GSE28109-1	ArrayExpress	GSM706488_sample_table.txt norm	GSM706488_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28109/E-GEOD-28109.processed.1.zip	phloem	EFO	EFO_0001044
GSM706487 1	Gene expression data from ~28 days old plant	Phloem cell type	S17_2	phloem	EFO	EFO_0001044	ap1-1;cal1-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	sorted cells	P-GSE28109-2	ArrayExpress	P-GSE28109-3	ArrayExpress	P-GSE28109-4	ArrayExpress	GSM706487 extract 1	total RNA	P-GSE28109-5	ArrayExpress	GSM706487 LE 1	Biotin	P-GSE28109-6	ArrayExpress	GSM706487	A-AFFY-2	ArrayExpress	array assay	P-GSE28109-7	ArrayExpress	GSM706487.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28109/E-GEOD-28109.raw.1.zip	P-GSE28109-1	ArrayExpress	GSM706487_sample_table.txt norm	GSM706487_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28109/E-GEOD-28109.processed.1.zip	phloem	EFO	EFO_0001044
GSM706486 1	Gene expression data from ~28 days old plant	Phloem cell type	S17_1	phloem	EFO	EFO_0001044	ap1-1;cal1-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	sorted cells	P-GSE28109-2	ArrayExpress	P-GSE28109-3	ArrayExpress	P-GSE28109-4	ArrayExpress	GSM706486 extract 1	total RNA	P-GSE28109-5	ArrayExpress	GSM706486 LE 1	Biotin	P-GSE28109-6	ArrayExpress	GSM706486	A-AFFY-2	ArrayExpress	array assay	P-GSE28109-7	ArrayExpress	GSM706486.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28109/E-GEOD-28109.raw.1.zip	P-GSE28109-1	ArrayExpress	GSM706486_sample_table.txt norm	GSM706486_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28109/E-GEOD-28109.processed.1.zip	phloem	EFO	EFO_0001044
GSM706485 1	Gene expression data from ~28 days old plant	Adaxial cell type	LAS_2	Adaxial	  	  	ap1-1;cal1-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	sorted cells	P-GSE28109-2	ArrayExpress	P-GSE28109-3	ArrayExpress	P-GSE28109-4	ArrayExpress	GSM706485 extract 1	total RNA	P-GSE28109-5	ArrayExpress	GSM706485 LE 1	Biotin	P-GSE28109-6	ArrayExpress	GSM706485	A-AFFY-2	ArrayExpress	array assay	P-GSE28109-7	ArrayExpress	GSM706485.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28109/E-GEOD-28109.raw.1.zip	P-GSE28109-1	ArrayExpress	GSM706485_sample_table.txt norm	GSM706485_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28109/E-GEOD-28109.processed.1.zip	Adaxial	  	        
GSM706484 1	Gene expression data from ~28 days old plant	Adaxial cell type	LAS_1	Adaxial	  	  	ap1-1;cal1-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	sorted cells	P-GSE28109-2	ArrayExpress	P-GSE28109-3	ArrayExpress	P-GSE28109-4	ArrayExpress	GSM706484 extract 1	total RNA	P-GSE28109-5	ArrayExpress	GSM706484 LE 1	Biotin	P-GSE28109-6	ArrayExpress	GSM706484	A-AFFY-2	ArrayExpress	array assay	P-GSE28109-7	ArrayExpress	GSM706484.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28109/E-GEOD-28109.raw.1.zip	P-GSE28109-1	ArrayExpress	GSM706484_sample_table.txt norm	GSM706484_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28109/E-GEOD-28109.processed.1.zip	Adaxial	  	        
GSM706483 1	Gene expression data from ~28 days old plant	Organ circumference	KAN1_3	Organ circumference	  	  	ap1-1;cal1-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	sorted cells	P-GSE28109-2	ArrayExpress	P-GSE28109-3	ArrayExpress	P-GSE28109-4	ArrayExpress	GSM706483 extract 1	total RNA	P-GSE28109-5	ArrayExpress	GSM706483 LE 1	Biotin	P-GSE28109-6	ArrayExpress	GSM706483	A-AFFY-2	ArrayExpress	array assay	P-GSE28109-7	ArrayExpress	GSM706483.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28109/E-GEOD-28109.raw.1.zip	P-GSE28109-1	ArrayExpress	GSM706483_sample_table.txt norm	GSM706483_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28109/E-GEOD-28109.processed.1.zip	Organ circumference	  	        
GSM706482 1	Gene expression data from ~28 days old plant	Organ circumference	KAN1_2	Organ circumference	  	  	ap1-1;cal1-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	sorted cells	P-GSE28109-2	ArrayExpress	P-GSE28109-3	ArrayExpress	P-GSE28109-4	ArrayExpress	GSM706482 extract 1	total RNA	P-GSE28109-5	ArrayExpress	GSM706482 LE 1	Biotin	P-GSE28109-6	ArrayExpress	GSM706482	A-AFFY-2	ArrayExpress	array assay	P-GSE28109-7	ArrayExpress	GSM706482.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28109/E-GEOD-28109.raw.1.zip	P-GSE28109-1	ArrayExpress	GSM706482_sample_table.txt norm	GSM706482_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28109/E-GEOD-28109.processed.1.zip	Organ circumference	  	        
GSM706481 1	Gene expression data from ~28 days old plant	Organ circumference	KAN1_1	Organ circumference	  	  	ap1-1;cal1-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	sorted cells	P-GSE28109-2	ArrayExpress	P-GSE28109-3	ArrayExpress	P-GSE28109-4	ArrayExpress	GSM706481 extract 1	total RNA	P-GSE28109-5	ArrayExpress	GSM706481 LE 1	Biotin	P-GSE28109-6	ArrayExpress	GSM706481	A-AFFY-2	ArrayExpress	array assay	P-GSE28109-7	ArrayExpress	GSM706481.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28109/E-GEOD-28109.raw.1.zip	P-GSE28109-1	ArrayExpress	GSM706481_sample_table.txt norm	GSM706481_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28109/E-GEOD-28109.processed.1.zip	Organ circumference	  	        
GSM706480 1	Gene expression data from ~28 days old plant	Epidermal cell type	HMG_3	Epidermal	  	  	ap1-1;cal1-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	sorted cells	P-GSE28109-2	ArrayExpress	P-GSE28109-3	ArrayExpress	P-GSE28109-4	ArrayExpress	GSM706480 extract 1	total RNA	P-GSE28109-5	ArrayExpress	GSM706480 LE 1	Biotin	P-GSE28109-6	ArrayExpress	GSM706480	A-AFFY-2	ArrayExpress	array assay	P-GSE28109-7	ArrayExpress	GSM706480.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28109/E-GEOD-28109.raw.1.zip	P-GSE28109-1	ArrayExpress	GSM706480_sample_table.txt norm	GSM706480_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28109/E-GEOD-28109.processed.1.zip	Epidermal	  	        
GSM706479 1	Gene expression data from ~28 days old plant	Epidermal cell type	HMG_2	Epidermal	  	  	ap1-1;cal1-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	sorted cells	P-GSE28109-2	ArrayExpress	P-GSE28109-3	ArrayExpress	P-GSE28109-4	ArrayExpress	GSM706479 extract 1	total RNA	P-GSE28109-5	ArrayExpress	GSM706479 LE 1	Biotin	P-GSE28109-6	ArrayExpress	GSM706479	A-AFFY-2	ArrayExpress	array assay	P-GSE28109-7	ArrayExpress	GSM706479.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28109/E-GEOD-28109.raw.1.zip	P-GSE28109-1	ArrayExpress	GSM706479_sample_table.txt norm	GSM706479_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28109/E-GEOD-28109.processed.1.zip	Epidermal	  	        
