Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[Organism]	Characteristics[Ecotype]	Characteristics[OrganismPart]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [ECOTYPE]	FactorValue [ORGANISM]	FactorValue[GROWTH CONDITION]
GSM643126 1	Gene expression data from the first fully expanded leaf of Glycine max 'Williams 82' at 30% inhibition from optimum	Glycine max leaf, 30% inhibition	Glycine max	Williams 82	leaf, first fully expanded	P-GSE26199-17	P-GSE26199-18	P-GSE26199-12	GSM643126 extract 1	total RNA	P-GSE26199-13	GSM643126 LE 1	biotin	P-GSE26199-19	GSM643126	A-AFFY-59	P-GSE26199-20	P-GSE26199-21	GSM643126.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.raw.1.zip	P-GSE26199-3	GSM643126_sample_table.txt norm	GSM643126_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.processed.1.zip	Williams 82	Glycine max	30% inhibition from optimum photosynthesis temperature
GSM643125 1	Gene expression data from the first fully expanded leaf of Glycine max 'Williams 82' at 30% inhibition from optimum	Glycine max leaf, 30% inhibition	Glycine max	Williams 82	leaf, first fully expanded	P-GSE26199-17	P-GSE26199-18	P-GSE26199-12	GSM643125 extract 1	total RNA	P-GSE26199-13	GSM643125 LE 1	biotin	P-GSE26199-19	GSM643125	A-AFFY-59	P-GSE26199-20	P-GSE26199-21	GSM643125.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.raw.1.zip	P-GSE26199-3	GSM643125_sample_table.txt norm	GSM643125_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.processed.1.zip	Williams 82	Glycine max	30% inhibition from optimum photosynthesis temperature
GSM643124 1	Gene expression data from the first fully expanded leaf of Glycine max 'Williams 82' at 30% inhibition from optimum	Glycine max leaf, 30% inhibition	Glycine max	Williams 82	leaf, first fully expanded	P-GSE26199-17	P-GSE26199-18	P-GSE26199-12	GSM643124 extract 1	total RNA	P-GSE26199-13	GSM643124 LE 1	biotin	P-GSE26199-19	GSM643124	A-AFFY-59	P-GSE26199-20	P-GSE26199-21	GSM643124.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.raw.1.zip	P-GSE26199-3	GSM643124_sample_table.txt norm	GSM643124_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.processed.1.zip	Williams 82	Glycine max	30% inhibition from optimum photosynthesis temperature
GSM643123 1	Gene expression data from the first fully expanded leaf of Glycine max 'Williams 82' at 30% inhibition from optimum	Glycine max leaf, 30% inhibition	Glycine max	Williams 82	leaf, first fully expanded	P-GSE26199-17	P-GSE26199-18	P-GSE26199-12	GSM643123 extract 1	total RNA	P-GSE26199-13	GSM643123 LE 1	biotin	P-GSE26199-19	GSM643123	A-AFFY-59	P-GSE26199-20	P-GSE26199-21	GSM643123.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.raw.1.zip	P-GSE26199-3	GSM643123_sample_table.txt norm	GSM643123_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.processed.1.zip	Williams 82	Glycine max	30% inhibition from optimum photosynthesis temperature
GSM643122 1	Gene expression data from the first fully expanded leaf of Glycine max 'Williams 82' at 20% inhibition from optimum	Glycine max leaf, 20% inhibition	Glycine max	Williams 82	leaf, first fully expanded	P-GSE26199-17	P-GSE26199-18	P-GSE26199-12	GSM643122 extract 1	total RNA	P-GSE26199-13	GSM643122 LE 1	biotin	P-GSE26199-19	GSM643122	A-AFFY-59	P-GSE26199-20	P-GSE26199-21	GSM643122.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.raw.1.zip	P-GSE26199-3	GSM643122_sample_table.txt norm	GSM643122_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.processed.1.zip	Williams 82	Glycine max	20% inhibition from optimum photosynthesis temperature
GSM643121 1	Gene expression data from the first fully expanded leaf of Glycine max 'Williams 82' at 20% inhibition from optimum	Glycine max leaf, 20% inhibition	Glycine max	Williams 82	leaf, first fully expanded	P-GSE26199-17	P-GSE26199-18	P-GSE26199-12	GSM643121 extract 1	total RNA	P-GSE26199-13	GSM643121 LE 1	biotin	P-GSE26199-19	GSM643121	A-AFFY-59	P-GSE26199-20	P-GSE26199-21	GSM643121.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.raw.1.zip	P-GSE26199-3	GSM643121_sample_table.txt norm	GSM643121_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.processed.1.zip	Williams 82	Glycine max	20% inhibition from optimum photosynthesis temperature
GSM643120 1	Gene expression data from the first fully expanded leaf of Glycine max 'Williams 82' at 20% inhibition from optimum	Glycine max leaf, 20% inhibition	Glycine max	Williams 82	leaf, first fully expanded	P-GSE26199-17	P-GSE26199-18	P-GSE26199-12	GSM643120 extract 1	total RNA	P-GSE26199-13	GSM643120 LE 1	biotin	P-GSE26199-19	GSM643120	A-AFFY-59	P-GSE26199-20	P-GSE26199-21	GSM643120.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.raw.1.zip	P-GSE26199-3	GSM643120_sample_table.txt norm	GSM643120_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.processed.1.zip	Williams 82	Glycine max	20% inhibition from optimum photosynthesis temperature
GSM643119 1	Gene expression data from the first fully expanded leaf of Glycine max 'Williams 82' at 20% inhibition from optimum	Glycine max leaf, 20% inhibition	Glycine max	Williams 82	leaf, first fully expanded	P-GSE26199-17	P-GSE26199-18	P-GSE26199-12	GSM643119 extract 1	total RNA	P-GSE26199-13	GSM643119 LE 1	biotin	P-GSE26199-19	GSM643119	A-AFFY-59	P-GSE26199-20	P-GSE26199-21	GSM643119.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.raw.1.zip	P-GSE26199-3	GSM643119_sample_table.txt norm	GSM643119_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.processed.1.zip	Williams 82	Glycine max	20% inhibition from optimum photosynthesis temperature
GSM643118 1	Gene expression data from the first fully expanded leaf of Glycine max 'Williams 82' at optimum temperature	Glycine max leaf, optimum	Glycine max	Williams 82	leaf, first fully expanded	P-GSE26199-17	P-GSE26199-18	P-GSE26199-12	GSM643118 extract 1	total RNA	P-GSE26199-13	GSM643118 LE 1	biotin	P-GSE26199-19	GSM643118	A-AFFY-59	P-GSE26199-20	P-GSE26199-21	GSM643118.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.raw.1.zip	P-GSE26199-3	GSM643118_sample_table.txt norm	GSM643118_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.processed.1.zip	Williams 82	Glycine max	optimum photosynthesis temperature
GSM643117 1	Gene expression data from the first fully expanded leaf of Glycine max 'Williams 82' at optimum temperature	Glycine max leaf, optimum	Glycine max	Williams 82	leaf, first fully expanded	P-GSE26199-17	P-GSE26199-18	P-GSE26199-12	GSM643117 extract 1	total RNA	P-GSE26199-13	GSM643117 LE 1	biotin	P-GSE26199-19	GSM643117	A-AFFY-59	P-GSE26199-20	P-GSE26199-21	GSM643117.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.raw.1.zip	P-GSE26199-3	GSM643117_sample_table.txt norm	GSM643117_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.processed.1.zip	Williams 82	Glycine max	optimum photosynthesis temperature
