Source Name	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[organism part]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [growth condition]	Factor Value[compound]	Factor Value[dose]	Unit[concentration]	FactorValue [time]	Unit[time unit]
GSM566866 1	Control KCl roots - 2hours - repeat 3	Control KCl roots - 2hours - repeat 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	root	P-GSE22966-3	P-GSE22966-2	P-GSE22966-4	GSM566866 extract 1	total RNA	P-GSE22966-5	GSM566866 LE 1	biotin	P-GSE22966-6	GSM566866	A-AFFY-2	P-GSE22966-7	P-GSE22966-8	GSM566866.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.raw.1.zip	P-GSE22966-1	GSM566866_sample_table.txt norm	GSM566866_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.processed.1.zip	control root system, one side	potassium chloride	5	millimolar	2	hour
GSM566865 1	Control KCl roots - 2hours - repeat 2	Control KCl roots - 2hours - repeat 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	root	P-GSE22966-3	P-GSE22966-2	P-GSE22966-4	GSM566865 extract 1	total RNA	P-GSE22966-5	GSM566865 LE 1	biotin	P-GSE22966-6	GSM566865	A-AFFY-2	P-GSE22966-7	P-GSE22966-8	GSM566865.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.raw.1.zip	P-GSE22966-1	GSM566865_sample_table.txt norm	GSM566865_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.processed.1.zip	control root system, one side	potassium chloride	5	millimolar	2	hour
GSM566864 1	Control KCl roots - 2hours - repeat 1	Control KCl roots - 2hours - repeat 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	root	P-GSE22966-3	P-GSE22966-2	P-GSE22966-4	GSM566864 extract 1	total RNA	P-GSE22966-5	GSM566864 LE 1	biotin	P-GSE22966-6	GSM566864	A-AFFY-2	P-GSE22966-7	P-GSE22966-8	GSM566864.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.raw.1.zip	P-GSE22966-1	GSM566864_sample_table.txt norm	GSM566864_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.processed.1.zip	control root system, one side	potassium chloride	5	millimolar	2	hour
GSM566869 1	Split KCl roots - 2hours - repeat 3	Split KCl roots - 2hours - repeat 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	root	P-GSE22966-3	P-GSE22966-2	P-GSE22966-4	GSM566869 extract 1	total RNA	P-GSE22966-5	GSM566869 LE 1	biotin	P-GSE22966-6	GSM566869	A-AFFY-2	P-GSE22966-7	P-GSE22966-8	GSM566869.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.raw.1.zip	P-GSE22966-1	GSM566869_sample_table.txt norm	GSM566869_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.processed.1.zip	split root system, both sides	potassium chloride	5	millimolar	2	hour
GSM566868 1	Split KCl roots - 2hours - repeat 2	Split KCl roots - 2hours - repeat 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	root	P-GSE22966-3	P-GSE22966-2	P-GSE22966-4	GSM566868 extract 1	total RNA	P-GSE22966-5	GSM566868 LE 1	biotin	P-GSE22966-6	GSM566868	A-AFFY-2	P-GSE22966-7	P-GSE22966-8	GSM566868.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.raw.1.zip	P-GSE22966-1	GSM566868_sample_table.txt norm	GSM566868_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.processed.1.zip	split root system, both sides	potassium chloride	5	millimolar	2	hour
GSM566867 1	Split KCl roots - 2hours - repeat 1	Split KCl roots - 2hours - repeat 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	root	P-GSE22966-3	P-GSE22966-2	P-GSE22966-4	GSM566867 extract 1	total RNA	P-GSE22966-5	GSM566867 LE 1	biotin	P-GSE22966-6	GSM566867	A-AFFY-2	P-GSE22966-7	P-GSE22966-8	GSM566867.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.raw.1.zip	P-GSE22966-1	GSM566867_sample_table.txt norm	GSM566867_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.processed.1.zip	split root system, both sides	potassium chloride	5	millimolar	2	hour
GSM566860 1	Control KNO3 roots - 2hours - repeat 3	Control KNO3 roots - 2hours - repeat 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	root	P-GSE22966-3	P-GSE22966-2	P-GSE22966-4	GSM566860 extract 1	total RNA	P-GSE22966-5	GSM566860 LE 1	biotin	P-GSE22966-6	GSM566860	A-AFFY-2	P-GSE22966-7	P-GSE22966-8	GSM566860.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.raw.1.zip	P-GSE22966-1	GSM566860_sample_table.txt norm	GSM566860_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.processed.1.zip	control root system, both sides	potassium nitrate	5	millimolar	2	hour
GSM566859 1	Control KNO3 roots - 2hours - repeat 2	Control KNO3 roots - 2hours - repeat 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	root	P-GSE22966-3	P-GSE22966-2	P-GSE22966-4	GSM566859 extract 1	total RNA	P-GSE22966-5	GSM566859 LE 1	biotin	P-GSE22966-6	GSM566859	A-AFFY-2	P-GSE22966-7	P-GSE22966-8	GSM566859.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.raw.1.zip	P-GSE22966-1	GSM566859_sample_table.txt norm	GSM566859_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.processed.1.zip	control root system, both sides	potassium nitrate	5	millimolar	2	hour
GSM566858 1	Control KNO3 roots - 2hours - repeat 1	Control KNO3 roots - 2hours - repeat 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	root	P-GSE22966-3	P-GSE22966-2	P-GSE22966-4	GSM566858 extract 1	total RNA	P-GSE22966-5	GSM566858 LE 1	biotin	P-GSE22966-6	GSM566858	A-AFFY-2	P-GSE22966-7	P-GSE22966-8	GSM566858.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.raw.1.zip	P-GSE22966-1	GSM566858_sample_table.txt norm	GSM566858_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.processed.1.zip	control root system, both sides	potassium nitrate	5	millimolar	2	hour
GSM566863 1	Split KNO3 roots - 2hours - repeat 3	Split KNO3 roots - 2hours - repeat 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	root	P-GSE22966-3	P-GSE22966-2	P-GSE22966-4	GSM566863 extract 1	total RNA	P-GSE22966-5	GSM566863 LE 1	biotin	P-GSE22966-6	GSM566863	A-AFFY-2	P-GSE22966-7	P-GSE22966-8	GSM566863.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.raw.1.zip	P-GSE22966-1	GSM566863_sample_table.txt norm	GSM566863_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.processed.1.zip	split root system, one side	potassium nitrate	5	millimolar	2	hour
