Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Age]	Unit[TimeUnit]	Characteristics[Genotype]	Characteristics[DevelopmentalStage]	Characteristics[OrganismPart]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [GENOTYPE]	FactorValue[TEMPERATURE]	Unit[TemperatureUnit]	FactorValue[TREATMENT TIME]	Unit[TimeUnit]
GSM462901 1	Gene expression data from arp6-10 seedlings at 27 ºC for 24 h	arp6-10 seedlings at 27 ºC for 24 h	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	8	days	arp6-10	seedling	whole organism	P-GSE18624-2	P-GSE18624-3	P-GSE18624-4	GSM462901 extract 1	total RNA	P-GSE18624-5	GSM462901 LE 1	biotin	P-GSE18624-6	GSM462901	A-AFFY-2	P-GSE18624-7	P-GSE18624-8	GSM462901_entr1_24h_rep4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18624/E-GEOD-18624.raw.1.zip	P-GSE18624-1	GSM462901_sample_table.txt norm	GSM462901_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18624/E-GEOD-18624.processed.1.zip	arp6-10	27	degree_C	24	hours
GSM462900 1	Gene expression data from arp6-10 seedlings at 27 ºC for 24 h	arp6-10 seedlings at 27 ºC for 24 h	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	8	days	arp6-10	seedling	whole organism	P-GSE18624-2	P-GSE18624-3	P-GSE18624-4	GSM462900 extract 1	total RNA	P-GSE18624-5	GSM462900 LE 1	biotin	P-GSE18624-6	GSM462900	A-AFFY-2	P-GSE18624-7	P-GSE18624-8	GSM462900_entr1_24h_rep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18624/E-GEOD-18624.raw.1.zip	P-GSE18624-1	GSM462900_sample_table.txt norm	GSM462900_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18624/E-GEOD-18624.processed.1.zip	arp6-10	27	degree_C	24	hours
GSM462899 1	Gene expression data from arp6-10 seedlings at 27 ºC for 24 h	arp6-10 seedlings at 27 ºC for 24 h	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	8	days	arp6-10	seedling	whole organism	P-GSE18624-2	P-GSE18624-3	P-GSE18624-4	GSM462899 extract 1	total RNA	P-GSE18624-5	GSM462899 LE 1	biotin	P-GSE18624-6	GSM462899	A-AFFY-2	P-GSE18624-7	P-GSE18624-8	GSM462899_entr1_24h_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18624/E-GEOD-18624.raw.1.zip	P-GSE18624-1	GSM462899_sample_table.txt norm	GSM462899_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18624/E-GEOD-18624.processed.1.zip	arp6-10	27	degree_C	24	hours
GSM462898 1	Gene expression data from arp6-10 seedlings at 27 ºC for 24 h	arp6-10 seedlings at 27 ºC for 24 h	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	8	days	arp6-10	seedling	whole organism	P-GSE18624-2	P-GSE18624-3	P-GSE18624-4	GSM462898 extract 1	total RNA	P-GSE18624-5	GSM462898 LE 1	biotin	P-GSE18624-6	GSM462898	A-AFFY-2	P-GSE18624-7	P-GSE18624-8	GSM462898_entr1_24h_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18624/E-GEOD-18624.raw.1.zip	P-GSE18624-1	GSM462898_sample_table.txt norm	GSM462898_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18624/E-GEOD-18624.processed.1.zip	arp6-10	27	degree_C	24	hours
GSM462897 1	Gene expression data from arp6-10 seedlings at 27 ºC for 2 h	arp6-10 seedlings at 27 ºC for 2 h	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	8	days	arp6-10	seedling	whole organism	P-GSE18624-2	P-GSE18624-3	P-GSE18624-4	GSM462897 extract 1	total RNA	P-GSE18624-5	GSM462897 LE 1	biotin	P-GSE18624-6	GSM462897	A-AFFY-2	P-GSE18624-7	P-GSE18624-8	GSM462897_entr1_2h_rep4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18624/E-GEOD-18624.raw.1.zip	P-GSE18624-1	GSM462897_sample_table.txt norm	GSM462897_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18624/E-GEOD-18624.processed.1.zip	arp6-10	27	degree_C	2	hours
GSM462896 1	Gene expression data from arp6-10 seedlings at 27 ºC for 2 h	arp6-10 seedlings at 27 ºC for 2 h	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	8	days	arp6-10	seedling	whole organism	P-GSE18624-2	P-GSE18624-3	P-GSE18624-4	GSM462896 extract 1	total RNA	P-GSE18624-5	GSM462896 LE 1	biotin	P-GSE18624-6	GSM462896	A-AFFY-2	P-GSE18624-7	P-GSE18624-8	GSM462896_entr1_2h_rep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18624/E-GEOD-18624.raw.1.zip	P-GSE18624-1	GSM462896_sample_table.txt norm	GSM462896_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18624/E-GEOD-18624.processed.1.zip	arp6-10	27	degree_C	2	hours
GSM462895 1	Gene expression data from arp6-10 seedlings at 27 ºC for 2 h	arp6-10 seedlings at 27 ºC for 2 h	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	8	days	arp6-10	seedling	whole organism	P-GSE18624-2	P-GSE18624-3	P-GSE18624-4	GSM462895 extract 1	total RNA	P-GSE18624-5	GSM462895 LE 1	biotin	P-GSE18624-6	GSM462895	A-AFFY-2	P-GSE18624-7	P-GSE18624-8	GSM462895_entr1_2h_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18624/E-GEOD-18624.raw.1.zip	P-GSE18624-1	GSM462895_sample_table.txt norm	GSM462895_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18624/E-GEOD-18624.processed.1.zip	arp6-10	27	degree_C	2	hours
GSM462894 1	Gene expression data from arp6-10 seedlings at 27 ºC for 2 h	arp6-10 seedlings at 27 ºC for 2 h	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	8	days	arp6-10	seedling	whole organism	P-GSE18624-2	P-GSE18624-3	P-GSE18624-4	GSM462894 extract 1	total RNA	P-GSE18624-5	GSM462894 LE 1	biotin	P-GSE18624-6	GSM462894	A-AFFY-2	P-GSE18624-7	P-GSE18624-8	GSM462894_entr1_2h_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18624/E-GEOD-18624.raw.1.zip	P-GSE18624-1	GSM462894_sample_table.txt norm	GSM462894_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18624/E-GEOD-18624.processed.1.zip	arp6-10	27	degree_C	2	hours
GSM462893 1	gene expression data from arp6-10 seedlings at 12 ºC	arp6-10 seedlings at 12 ºC	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	8	days	arp6-10	seedling	whole organism	P-GSE18624-2	P-GSE18624-3	P-GSE18624-4	GSM462893 extract 1	total RNA	P-GSE18624-5	GSM462893 LE 1	biotin	P-GSE18624-6	GSM462893	A-AFFY-2	P-GSE18624-7	P-GSE18624-8	GSM462893_entr1_0h_rep4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18624/E-GEOD-18624.raw.1.zip	P-GSE18624-1	GSM462893_sample_table.txt norm	GSM462893_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18624/E-GEOD-18624.processed.1.zip	arp6-10	12	degree_C	n/a	hours
GSM462892 1	gene expression data from arp6-10 seedlings at 12 ºC	arp6-10 seedlings at 12 ºC	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	8	days	arp6-10	seedling	whole organism	P-GSE18624-2	P-GSE18624-3	P-GSE18624-4	GSM462892 extract 1	total RNA	P-GSE18624-5	GSM462892 LE 1	biotin	P-GSE18624-6	GSM462892	A-AFFY-2	P-GSE18624-7	P-GSE18624-8	GSM462892_entr1_0h_rep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18624/E-GEOD-18624.raw.1.zip	P-GSE18624-1	GSM462892_sample_table.txt norm	GSM462892_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18624/E-GEOD-18624.processed.1.zip	arp6-10	12	degree_C	n/a	hours
