Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[organism part]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [growth condition]	FactorValue [time]	Unit[time unit]
GSM952987 1	O4h_3	seedling culture_9 days_Long Day 16/8_1 day_dark treated	seedling culture at 4 h_oligo_biol rep 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling culture	P-GSE38965-3	P-GSE38965-2	P-GSE38965-4	GSM952987 extract 1	total RNA	P-GSE38965-5	GSM952987 LE 1	biotin	P-GSE38965-6	GSM952987	A-AFFY-2	  	P-GSE38965-7	P-GSE38965-8	GSM952987_Geisler_O4h_3_20100602.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38965/E-GEOD-38965.raw.1.zip	P-GSE38965-1	GSM952987_sample_table.txt norm	GSM952987_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38965/E-GEOD-38965.processed.1.zip	oligomycin	4	hour
GSM952986 1	O4h_2	seedling culture_9 days_Long Day 16/8_1 day_dark treated	seedling culture at 4 h_oligo_biol rep 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling culture	P-GSE38965-3	P-GSE38965-2	P-GSE38965-4	GSM952986 extract 1	total RNA	P-GSE38965-5	GSM952986 LE 1	biotin	P-GSE38965-6	GSM952986	A-AFFY-2	  	P-GSE38965-7	P-GSE38965-8	GSM952986_Geisler_O4h_2_20100602.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38965/E-GEOD-38965.raw.1.zip	P-GSE38965-1	GSM952986_sample_table.txt norm	GSM952986_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38965/E-GEOD-38965.processed.1.zip	oligomycin	4	hour
GSM952985 1	O4h_1	seedling culture_9 days_Long Day 16/8_1 day_dark treated	seedling culture at 4 h_oligo_biol rep 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling culture	P-GSE38965-3	P-GSE38965-2	P-GSE38965-4	GSM952985 extract 1	total RNA	P-GSE38965-5	GSM952985 LE 1	biotin	P-GSE38965-6	GSM952985	A-AFFY-2	  	P-GSE38965-7	P-GSE38965-8	GSM952985_Geisler_O4h_1_20100602.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38965/E-GEOD-38965.raw.1.zip	P-GSE38965-1	GSM952985_sample_table.txt norm	GSM952985_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38965/E-GEOD-38965.processed.1.zip	oligomycin	4	hour
GSM952984 1	O1h_3	seedling culture_9 days_Long Day 16/8_1 day_dark treated	seedling culture at 1 h_oligo_biol rep 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling culture	P-GSE38965-3	P-GSE38965-2	P-GSE38965-4	GSM952984 extract 1	total RNA	P-GSE38965-5	GSM952984 LE 1	biotin	P-GSE38965-6	GSM952984	A-AFFY-2	  	P-GSE38965-7	P-GSE38965-8	GSM952984_Geisler_O1h_3_20100602.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38965/E-GEOD-38965.raw.1.zip	P-GSE38965-1	GSM952984_sample_table.txt norm	GSM952984_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38965/E-GEOD-38965.processed.1.zip	oligomycin	1	hour
GSM952983 1	O1h_2	seedling culture_9 days_Long Day 16/8_1 day_dark treated	seedling culture at 1 h_oligo_biol rep 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling culture	P-GSE38965-3	P-GSE38965-2	P-GSE38965-4	GSM952983 extract 1	total RNA	P-GSE38965-5	GSM952983 LE 1	biotin	P-GSE38965-6	GSM952983	A-AFFY-2	  	P-GSE38965-7	P-GSE38965-8	GSM952983_Geisler_O1h_2_20100602.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38965/E-GEOD-38965.raw.1.zip	P-GSE38965-1	GSM952983_sample_table.txt norm	GSM952983_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38965/E-GEOD-38965.processed.1.zip	oligomycin	1	hour
GSM952982 1	O1h_1	seedling culture_9 days_Long Day 16/8_1 day_dark treated	seedling culture at 1 h_oligo_biol rep 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling culture	P-GSE38965-3	P-GSE38965-2	P-GSE38965-4	GSM952982 extract 1	total RNA	P-GSE38965-5	GSM952982 LE 1	biotin	P-GSE38965-6	GSM952982	A-AFFY-2	  	P-GSE38965-7	P-GSE38965-8	GSM952982_Geisler_O1h_1_20100602.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38965/E-GEOD-38965.raw.1.zip	P-GSE38965-1	GSM952982_sample_table.txt norm	GSM952982_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38965/E-GEOD-38965.processed.1.zip	oligomycin	1	hour
GSM952981 1	K4h_3	seedling culture_9 days_Long Day 16/8_1 day_dark treated	seedling culture at 4 h_EtOH_biol rep 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling culture	P-GSE38965-3	P-GSE38965-2	P-GSE38965-4	GSM952981 extract 1	total RNA	P-GSE38965-5	GSM952981 LE 1	biotin	P-GSE38965-6	GSM952981	A-AFFY-2	  	P-GSE38965-7	P-GSE38965-8	GSM952981_Geisler_K4h_3_20100602.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38965/E-GEOD-38965.raw.1.zip	P-GSE38965-1	GSM952981_sample_table.txt norm	GSM952981_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38965/E-GEOD-38965.processed.1.zip	control	4	hour
GSM952980 1	K4h_2	seedling culture_9 days_Long Day 16/8_1 day_dark treated	seedling culture at 4 h_EtOH_biol rep 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling culture	P-GSE38965-3	P-GSE38965-2	P-GSE38965-4	GSM952980 extract 1	total RNA	P-GSE38965-5	GSM952980 LE 1	biotin	P-GSE38965-6	GSM952980	A-AFFY-2	  	P-GSE38965-7	P-GSE38965-8	GSM952980_Geisler_K4h_2_20100602.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38965/E-GEOD-38965.raw.1.zip	P-GSE38965-1	GSM952980_sample_table.txt norm	GSM952980_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38965/E-GEOD-38965.processed.1.zip	control	4	hour
GSM952979 1	K4h_1	seedling culture_9 days_Long Day 16/8_1 day_dark treated	seedling culture at 4 h_EtOH_biol rep 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling culture	P-GSE38965-3	P-GSE38965-2	P-GSE38965-4	GSM952979 extract 1	total RNA	P-GSE38965-5	GSM952979 LE 1	biotin	P-GSE38965-6	GSM952979	A-AFFY-2	  	P-GSE38965-7	P-GSE38965-8	GSM952979_Geisler_K4h_1_20100602.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38965/E-GEOD-38965.raw.1.zip	P-GSE38965-1	GSM952979_sample_table.txt norm	GSM952979_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38965/E-GEOD-38965.processed.1.zip	control	4	hour
GSM952978 1	K1h_3	seedling culture_9 days_Long Day 16/8_1 day_dark treated	seedling culture at 1 h_EtOH_biol rep 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling culture	P-GSE38965-3	P-GSE38965-2	P-GSE38965-4	GSM952978 extract 1	total RNA	P-GSE38965-5	GSM952978 LE 1	biotin	P-GSE38965-6	GSM952978	A-AFFY-2	  	P-GSE38965-7	P-GSE38965-8	GSM952978_Geisler_K1h_3_20100602.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38965/E-GEOD-38965.raw.1.zip	P-GSE38965-1	GSM952978_sample_table.txt norm	GSM952978_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38965/E-GEOD-38965.processed.1.zip	control	1	hour
