Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [ecotype]	Characteristics[organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [ecotype]	FactorValue[organism part]	FactorValue [growth condition]	FactorValue [time]	Unit[time unit]
GSM959138 1	gene expression data from Kas roots on complete media for 24h	Kas roots on complete media for 24h	Kas_+Fe_24h_Roots_r3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Kas-1	root	P-GSE39268-2	ArrayExpress	P-GSE39268-3	ArrayExpress	P-GSE39268-4	ArrayExpress	GSM959138 extract 1	total RNA	P-GSE39268-5	ArrayExpress	GSM959138 LE 1	biotin	P-GSE39268-6	ArrayExpress	GSM959138	A-AFFY-2	ArrayExpress	P-GSE39268-7	ArrayExpress	P-GSE39268-8	ArrayExpress	GSM959138_BrW_ATH1_121410_15_KpR24.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.raw.1.zip	P-GSE39268-1	ArrayExpress	GSM959138_sample_table.txt norm	GSM959138_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.processed.1.zip	Kas-1	root	control	24	hour
GSM959137 1	gene expression data from Kas roots on complete media for 24h	Kas roots on complete media for 24h	Kas_+Fe_24h_Roots_r2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Kas-1	root	P-GSE39268-2	ArrayExpress	P-GSE39268-3	ArrayExpress	P-GSE39268-4	ArrayExpress	GSM959137 extract 1	total RNA	P-GSE39268-5	ArrayExpress	GSM959137 LE 1	biotin	P-GSE39268-6	ArrayExpress	GSM959137	A-AFFY-2	ArrayExpress	P-GSE39268-7	ArrayExpress	P-GSE39268-8	ArrayExpress	GSM959137_BrW_ATH1_121410_14_KpR24.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.raw.1.zip	P-GSE39268-1	ArrayExpress	GSM959137_sample_table.txt norm	GSM959137_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.processed.1.zip	Kas-1	root	control	24	hour
GSM959136 1	gene expression data from Kas roots on complete media for 24h	Kas roots on complete media for 24h	Kas_+Fe_24h_Roots_r1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Kas-1	root	P-GSE39268-2	ArrayExpress	P-GSE39268-3	ArrayExpress	P-GSE39268-4	ArrayExpress	GSM959136 extract 1	total RNA	P-GSE39268-5	ArrayExpress	GSM959136 LE 1	biotin	P-GSE39268-6	ArrayExpress	GSM959136	A-AFFY-2	ArrayExpress	P-GSE39268-7	ArrayExpress	P-GSE39268-8	ArrayExpress	GSM959136_BrW_ATH1_121410_13_KpR24.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.raw.1.zip	P-GSE39268-1	ArrayExpress	GSM959136_sample_table.txt norm	GSM959136_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.processed.1.zip	Kas-1	root	control	24	hour
GSM959141 1	gene expression data from Kas roots on minus iron media for 24h	Kas roots on minus iron media for 24h	Kas_-Fe_24h_Roots_r3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Kas-1	root	P-GSE39268-2	ArrayExpress	P-GSE39268-3	ArrayExpress	P-GSE39268-4	ArrayExpress	GSM959141 extract 1	total RNA	P-GSE39268-5	ArrayExpress	GSM959141 LE 1	biotin	P-GSE39268-6	ArrayExpress	GSM959141	A-AFFY-2	ArrayExpress	P-GSE39268-7	ArrayExpress	P-GSE39268-8	ArrayExpress	GSM959141_BrW_ATH1_121410_18_KmR24.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.raw.1.zip	P-GSE39268-1	ArrayExpress	GSM959141_sample_table.txt norm	GSM959141_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.processed.1.zip	Kas-1	root	iron deprivation	24	hour
GSM959140 1	gene expression data from Kas roots on minus iron media for 24h	Kas roots on minus iron media for 24h	Kas_-Fe_24h_Roots_r2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Kas-1	root	P-GSE39268-2	ArrayExpress	P-GSE39268-3	ArrayExpress	P-GSE39268-4	ArrayExpress	GSM959140 extract 1	total RNA	P-GSE39268-5	ArrayExpress	GSM959140 LE 1	biotin	P-GSE39268-6	ArrayExpress	GSM959140	A-AFFY-2	ArrayExpress	P-GSE39268-7	ArrayExpress	P-GSE39268-8	ArrayExpress	GSM959140_BrW_ATH1_121410_17_KmR24.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.raw.1.zip	P-GSE39268-1	ArrayExpress	GSM959140_sample_table.txt norm	GSM959140_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.processed.1.zip	Kas-1	root	iron deprivation	24	hour
GSM959139 1	gene expression data from Kas roots on minus iron media for 24h	Kas roots on minus iron media for 24h	Kas_-Fe_24h_Roots_r1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Kas-1	root	P-GSE39268-2	ArrayExpress	P-GSE39268-3	ArrayExpress	P-GSE39268-4	ArrayExpress	GSM959139 extract 1	total RNA	P-GSE39268-5	ArrayExpress	GSM959139 LE 1	biotin	P-GSE39268-6	ArrayExpress	GSM959139	A-AFFY-2	ArrayExpress	P-GSE39268-7	ArrayExpress	P-GSE39268-8	ArrayExpress	GSM959139_BrW_ATH1_121410_16_KmR24.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.raw.1.zip	P-GSE39268-1	ArrayExpress	GSM959139_sample_table.txt norm	GSM959139_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.processed.1.zip	Kas-1	root	iron deprivation	24	hour
GSM959144 1	gene expression data from Kas roots on minus iron media for 48h	Kas roots on minus iron media for 48h	Kas_-Fe_48h_Roots_r3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Kas-1	root	P-GSE39268-2	ArrayExpress	P-GSE39268-3	ArrayExpress	P-GSE39268-4	ArrayExpress	GSM959144 extract 1	total RNA	P-GSE39268-5	ArrayExpress	GSM959144 LE 1	biotin	P-GSE39268-6	ArrayExpress	GSM959144	A-AFFY-2	ArrayExpress	P-GSE39268-7	ArrayExpress	P-GSE39268-8	ArrayExpress	GSM959144_BrW_ATH1_121410_24_KmR48.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.raw.1.zip	P-GSE39268-1	ArrayExpress	GSM959144_sample_table.txt norm	GSM959144_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.processed.1.zip	Kas-1	root	iron deprivation	48	hour
GSM959143 1	gene expression data from Kas roots on minus iron media for 48h	Kas roots on minus iron media for 48h	Kas_-Fe_48h_Roots_r2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Kas-1	root	P-GSE39268-2	ArrayExpress	P-GSE39268-3	ArrayExpress	P-GSE39268-4	ArrayExpress	GSM959143 extract 1	total RNA	P-GSE39268-5	ArrayExpress	GSM959143 LE 1	biotin	P-GSE39268-6	ArrayExpress	GSM959143	A-AFFY-2	ArrayExpress	P-GSE39268-7	ArrayExpress	P-GSE39268-8	ArrayExpress	GSM959143_BrW_ATH1_121410_23_KmR48.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.raw.1.zip	P-GSE39268-1	ArrayExpress	GSM959143_sample_table.txt norm	GSM959143_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.processed.1.zip	Kas-1	root	iron deprivation	48	hour
GSM959142 1	gene expression data from Kas roots on minus iron media for 48h	Kas roots on minus iron media for 48h	Kas_-Fe_48h_Roots_r1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Kas-1	root	P-GSE39268-2	ArrayExpress	P-GSE39268-3	ArrayExpress	P-GSE39268-4	ArrayExpress	GSM959142 extract 1	total RNA	P-GSE39268-5	ArrayExpress	GSM959142 LE 1	biotin	P-GSE39268-6	ArrayExpress	GSM959142	A-AFFY-2	ArrayExpress	P-GSE39268-7	ArrayExpress	P-GSE39268-8	ArrayExpress	GSM959142_BrW_ATH1_121410_22_KmR48.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.raw.1.zip	P-GSE39268-1	ArrayExpress	GSM959142_sample_table.txt norm	GSM959142_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.processed.1.zip	Kas-1	root	iron deprivation	48	hour
GSM959156 1	gene expression data from Kas shoots on complete media for 24h	Kas shoots on complete media for 24h	Kas_+Fe_24h_Shoots_r3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Kas-1	shoot	P-GSE39268-2	ArrayExpress	P-GSE39268-3	ArrayExpress	P-GSE39268-4	ArrayExpress	GSM959156 extract 1	total RNA	P-GSE39268-5	ArrayExpress	GSM959156 LE 1	biotin	P-GSE39268-6	ArrayExpress	GSM959156	A-AFFY-2	ArrayExpress	P-GSE39268-7	ArrayExpress	P-GSE39268-8	ArrayExpress	GSM959156_BrW_ATH1_121410_39_KpS24.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.raw.1.zip	P-GSE39268-1	ArrayExpress	GSM959156_sample_table.txt norm	GSM959156_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.processed.1.zip	Kas-1	shoot	control	24	hour
GSM959155 1	gene expression data from Kas shoots on complete media for 24h	Kas shoots on complete media for 24h	Kas_+Fe_24h_Shoots_r2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Kas-1	shoot	P-GSE39268-2	ArrayExpress	P-GSE39268-3	ArrayExpress	P-GSE39268-4	ArrayExpress	GSM959155 extract 1	total RNA	P-GSE39268-5	ArrayExpress	GSM959155 LE 1	biotin	P-GSE39268-6	ArrayExpress	GSM959155	A-AFFY-2	ArrayExpress	P-GSE39268-7	ArrayExpress	P-GSE39268-8	ArrayExpress	GSM959155_BrW_ATH1_121410_38_KpS24.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.raw.1.zip	P-GSE39268-1	ArrayExpress	GSM959155_sample_table.txt norm	GSM959155_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.processed.1.zip	Kas-1	shoot	control	24	hour
GSM959154 1	gene expression data from Kas shoots on complete media for 24h	Kas shoots on complete media for 24h	Kas_+Fe_24h_Shoots_r1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Kas-1	shoot	P-GSE39268-2	ArrayExpress	P-GSE39268-3	ArrayExpress	P-GSE39268-4	ArrayExpress	GSM959154 extract 1	total RNA	P-GSE39268-5	ArrayExpress	GSM959154 LE 1	biotin	P-GSE39268-6	ArrayExpress	GSM959154	A-AFFY-2	ArrayExpress	P-GSE39268-7	ArrayExpress	P-GSE39268-8	ArrayExpress	GSM959154_BrW_ATH1_121410_37_KpS24.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.raw.1.zip	P-GSE39268-1	ArrayExpress	GSM959154_sample_table.txt norm	GSM959154_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.processed.1.zip	Kas-1	shoot	control	24	hour
