Source Name	Comment [Sample_description_1]	Comment [Sample_description_2]	Comment [Sample_description_3]	Comment [Sample_description_4]	Comment [Sample_source_name]	Comment[height]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[age]	Unit[time unit]	Characteristics[genotype]	Characteristics[organism part]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [organism part]
GSM610385 1	wox4-stem_Rep3	Gene expression data from stem tissue from the first internode of wox4 stems.	Stem sections of 49 to 58 days old plants, harvested when the plant reached a height of 15 to 20 cm.	Pool of 13-17 stem samples.	wox4 stem, first internode	15-20 cm	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	49 to 58	day	wox4-1 mutant	first internode of stem	P-GSE24781-2	P-GSE24781-3	P-GSE24781-4	GSM610385 extract 1	total RNA	P-GSE24781-5	GSM610385 LE 1	biotin	P-GSE24781-6	GSM610385	A-AFFY-2	P-GSE24781-7	P-GSE24781-8	GSM610385.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24781/E-GEOD-24781.raw.1.zip	P-GSE24781-1	GSM610385_sample_table.txt norm	GSM610385_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24781/E-GEOD-24781.processed.1.zip	wox4-1 mutant	first internode of stem
GSM610384 1	wox4-stem_Rep2	Gene expression data from stem tissue from the first internode of wox4 stems.	Stem sections of 49 to 58 days old plants, harvested when the plant reached a height of 15 to 20 cm.	Pool of 13-17 stem samples.	wox4 stem, first internode	15-20 cm	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	49 to 58	day	wox4-1 mutant	first internode of stem	P-GSE24781-2	P-GSE24781-3	P-GSE24781-4	GSM610384 extract 1	total RNA	P-GSE24781-5	GSM610384 LE 1	biotin	P-GSE24781-6	GSM610384	A-AFFY-2	P-GSE24781-7	P-GSE24781-8	GSM610384.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24781/E-GEOD-24781.raw.1.zip	P-GSE24781-1	GSM610384_sample_table.txt norm	GSM610384_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24781/E-GEOD-24781.processed.1.zip	wox4-1 mutant	first internode of stem
GSM610383 1	wox4-stem_Rep1	Gene expression data from stem tissue from the first internode of wox4 stems.	Stem sections of 49 to 58 days old plants, harvested when the plant reached a height of 15 to 20 cm.	Pool of 13-17 stem samples.	wox4 stem, first internode	15-20 cm	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	49 to 58	day	wox4-1 mutant	first internode of stem	P-GSE24781-2	P-GSE24781-3	P-GSE24781-4	GSM610383 extract 1	total RNA	P-GSE24781-5	GSM610383 LE 1	biotin	P-GSE24781-6	GSM610383	A-AFFY-2	P-GSE24781-7	P-GSE24781-8	GSM610383.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24781/E-GEOD-24781.raw.1.zip	P-GSE24781-1	GSM610383_sample_table.txt norm	GSM610383_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24781/E-GEOD-24781.processed.1.zip	wox4-1 mutant	first internode of stem
GSM610382 1	Col-stem_Rep3	Gene expression data from stem tissue from the first internode of wildtype stems.	Stem sections of 49 to 58 days old plants, harvested when the plant reached a height of 15 to 20 cm.	Pool of 13-17 stem samples.	wildtype stem, first internode	15-20 cm	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	49 to 58	day	wild type	first internode of stem	P-GSE24781-2	P-GSE24781-3	P-GSE24781-4	GSM610382 extract 1	total RNA	P-GSE24781-5	GSM610382 LE 1	biotin	P-GSE24781-6	GSM610382	A-AFFY-2	P-GSE24781-7	P-GSE24781-8	GSM610382.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24781/E-GEOD-24781.raw.1.zip	P-GSE24781-1	GSM610382_sample_table.txt norm	GSM610382_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24781/E-GEOD-24781.processed.1.zip	wild type	first internode of stem
GSM610381 1	Col-stem_Rep2	Gene expression data from stem tissue from the first internode of wildtype stems.	Stem sections of 49 to 58 days old plants, harvested when the plant reached a height of 15 to 20 cm.	Pool of 13-17 stem samples.	wildtype stem, first internode	15-20 cm	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	49 to 58	day	wild type	first internode of stem	P-GSE24781-2	P-GSE24781-3	P-GSE24781-4	GSM610381 extract 1	total RNA	P-GSE24781-5	GSM610381 LE 1	biotin	P-GSE24781-6	GSM610381	A-AFFY-2	P-GSE24781-7	P-GSE24781-8	GSM610381.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24781/E-GEOD-24781.raw.1.zip	P-GSE24781-1	GSM610381_sample_table.txt norm	GSM610381_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24781/E-GEOD-24781.processed.1.zip	wild type	first internode of stem
GSM610380 1	Col-stem_Rep1	Gene expression data from stem tissue from the first internode of wildtype stems.	Stem sections of 49 to 58 days old plants, harvested when the plant reached a height of 15 to 20 cm.	Pool of 13-17 stem samples.	wildtype stem, first internode	15-20 cm	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	49 to 58	day	wild type	first internode of stem	P-GSE24781-2	P-GSE24781-3	P-GSE24781-4	GSM610380 extract 1	total RNA	P-GSE24781-5	GSM610380 LE 1	biotin	P-GSE24781-6	GSM610380	A-AFFY-2	P-GSE24781-7	P-GSE24781-8	GSM610380.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24781/E-GEOD-24781.raw.1.zip	P-GSE24781-1	GSM610380_sample_table.txt norm	GSM610380_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24781/E-GEOD-24781.processed.1.zip	wild type	first internode of stem
GSM610379 1	wox4-base_Rep3	Gene expression data from stem tissue at the base of wox4-1 stems.	Stem sections of 49 to 58 days old plants, harvested when the plant reached a height of 15 to 20 cm.	Pool of 13-17 stem samples.	wox4 stem base	15-20 cm	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	49 to 58	day	wox4-1 mutant	base of stem	P-GSE24781-2	P-GSE24781-3	P-GSE24781-4	GSM610379 extract 1	total RNA	P-GSE24781-5	GSM610379 LE 1	biotin	P-GSE24781-6	GSM610379	A-AFFY-2	P-GSE24781-7	P-GSE24781-8	GSM610379.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24781/E-GEOD-24781.raw.1.zip	P-GSE24781-1	GSM610379_sample_table.txt norm	GSM610379_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24781/E-GEOD-24781.processed.1.zip	wox4-1 mutant	base of stem
GSM610378 1	wox4-base_Rep2	Gene expression data from stem tissue at the base of wox4-1 stems.	Stem sections of 49 to 58 days old plants, harvested when the plant reached a height of 15 to 20 cm.	Pool of 13-17 stem samples.	wox4 stem base	15-20 cm	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	49 to 58	day	wox4-1 mutant	base of stem	P-GSE24781-2	P-GSE24781-3	P-GSE24781-4	GSM610378 extract 1	total RNA	P-GSE24781-5	GSM610378 LE 1	biotin	P-GSE24781-6	GSM610378	A-AFFY-2	P-GSE24781-7	P-GSE24781-8	GSM610378.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24781/E-GEOD-24781.raw.1.zip	P-GSE24781-1	GSM610378_sample_table.txt norm	GSM610378_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24781/E-GEOD-24781.processed.1.zip	wox4-1 mutant	base of stem
GSM610377 1	wox4-base_Rep1	Gene expression data from stem tissue at the base of wox4-1 stems.	Stem sections of 49 to 58 days old plants, harvested when the plant reached a height of 15 to 20 cm.	Pool of 13-17 stem samples.	wox4 stem base	15-20 cm	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	49 to 58	day	wox4-1 mutant	base of stem	P-GSE24781-2	P-GSE24781-3	P-GSE24781-4	GSM610377 extract 1	total RNA	P-GSE24781-5	GSM610377 LE 1	biotin	P-GSE24781-6	GSM610377	A-AFFY-2	P-GSE24781-7	P-GSE24781-8	GSM610377.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24781/E-GEOD-24781.raw.1.zip	P-GSE24781-1	GSM610377_sample_table.txt norm	GSM610377_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24781/E-GEOD-24781.processed.1.zip	wox4-1 mutant	base of stem
GSM610376 1	Col-base_Rep3	Gene expression data from stem tissue at the base of wildtype stems.	Stem sections of 49 to 58 days old plants, harvested when the plant reached a height of 15 to 20 cm.	Pool of 13-17 stem samples.	wildtype stem base	15-20 cm	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	49 to 58	day	wild type	base of stem	P-GSE24781-2	P-GSE24781-3	P-GSE24781-4	GSM610376 extract 1	total RNA	P-GSE24781-5	GSM610376 LE 1	biotin	P-GSE24781-6	GSM610376	A-AFFY-2	P-GSE24781-7	P-GSE24781-8	GSM610376.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24781/E-GEOD-24781.raw.1.zip	P-GSE24781-1	GSM610376_sample_table.txt norm	GSM610376_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24781/E-GEOD-24781.processed.1.zip	wild type	base of stem
