Source Name	Comment [Sample_characteristics]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[Organism]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]
GSM78343 1	rop10-1 in Ws background, young seedlings	rop10-1 seedlings treated by 1µM ABA (dissolved in DMSO) for 4 hours in liquid medium (MS) after 7 days of growth liquid medium (MS + 3% sucrose) at 150rpm shaking.	rop10-1, 1µM ABA treatment	rop10-1 mutant, 1µM ABA treatment, replicate 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE3454-2	  	GSM78343 extract 1	total RNA	P-GSE3454-3	  	GSM78343 LE 1	biotin	P-GSE3454-4	  	GSM78343	A-AFFY-2	  	P-GSE3454-1	  	P-GSE3454-5	  	P-GSE3454-6	  	GSM78343_sample_table.txt norm	GSM78343_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3454/E-GEOD-3454.processed.1.zip
GSM78342 1	rop10-1 in Ws background, young seedlings	rop10-1 seedlings treated by 1µM ABA (dissolved in DMSO) for 4 hours in liquid medium (MS) after 7 days of growth liquid medium (MS + 3% sucrose) at 150rpm shaking.	rop10-1, 1µM ABA treatment	rop10-1 mutant, 1µM ABA treatment, replicate 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE3454-2	  	GSM78342 extract 1	total RNA	P-GSE3454-3	  	GSM78342 LE 1	biotin	P-GSE3454-4	  	GSM78342	A-AFFY-2	  	P-GSE3454-1	  	P-GSE3454-5	  	P-GSE3454-6	  	GSM78342_sample_table.txt norm	GSM78342_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3454/E-GEOD-3454.processed.1.zip
GSM78341 1	rop10-1 in Ws background, young seedlings	rop10-1 seedlings treated by 1µM ABA (dissolved in DMSO) for 4 hours in liquid medium (MS) after 7 days of growth liquid medium (MS + 3% sucrose) at 150rpm shaking.	rop10-1, 1µM ABA treatment	rop10-1 mutant, 1µM ABA treatment, replicate 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE3454-2	  	GSM78341 extract 1	total RNA	P-GSE3454-3	  	GSM78341 LE 1	biotin	P-GSE3454-4	  	GSM78341	A-AFFY-2	  	P-GSE3454-1	  	P-GSE3454-5	  	P-GSE3454-6	  	GSM78341_sample_table.txt norm	GSM78341_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3454/E-GEOD-3454.processed.1.zip
GSM78340 1	Wild type ecotype Wassilewskija (Ws), young seedlings	Wild type (Ws), seedlings treated by 1µM ABA (dissolved in DMSO) for 4 hours in liquid medium (MS) after 7 days of growth liquid medium (MS + 3% sucrose) at 150rpm shaking.	Ws, 1µM ABA treatment	Ws wild-type, 1µM ABA treatment, replicate 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE3454-2	  	GSM78340 extract 1	total RNA	P-GSE3454-3	  	GSM78340 LE 1	biotin	P-GSE3454-4	  	GSM78340	A-AFFY-2	  	P-GSE3454-1	  	P-GSE3454-5	  	P-GSE3454-6	  	GSM78340_sample_table.txt norm	GSM78340_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3454/E-GEOD-3454.processed.1.zip
GSM78339 1	Wild type ecotype Wassilewskija (Ws), young seedlings	Wild type (Ws) seedlings treated by 1µM ABA (dissolved in DMSO) for 4 hours in liquid medium (MS) after 7 days of growth liquid medium (MS + 3% sucrose) at 150rpm shaking.	Ws, 1µM ABA treatment	Ws wild-type, 1µM ABA treatment, replicate 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE3454-2	  	GSM78339 extract 1	total RNA	P-GSE3454-3	  	GSM78339 LE 1	biotin	P-GSE3454-4	  	GSM78339	A-AFFY-2	  	P-GSE3454-1	  	P-GSE3454-5	  	P-GSE3454-6	  	GSM78339_sample_table.txt norm	GSM78339_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3454/E-GEOD-3454.processed.1.zip
GSM78338 1	Wild type ecotype Wassilewskija (Ws), young seedlings	Wild type (Ws) seedlings treated by 1µM ABA (dissolved in DMSO) for 4 hours in liquid medium (MS) after 7 days of growth in liquid medium (MS + 3% sucrose) at 150rpm shaking.	Ws, 1µM ABA treatment	Ws wild-type, 1µM ABA treatment, replicate 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE3454-2	  	GSM78338 extract 1	total RNA	P-GSE3454-3	  	GSM78338 LE 1	biotin	P-GSE3454-4	  	GSM78338	A-AFFY-2	  	P-GSE3454-1	  	P-GSE3454-5	  	P-GSE3454-6	  	GSM78338_sample_table.txt norm	GSM78338_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3454/E-GEOD-3454.processed.1.zip
GSM78337 1	rop10-1 in Ws background, young seedlings	rop10-1 seedlings mock-treated by DMSO for 4 hours in liquid medium (MS) after 7 days of growth in liquid medium (MS + 3% sucrose) at 150rpm shaking.	rop10-1, no ABA control	rop10-1 mutant, no ABA control, replicate 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE3454-2	  	GSM78337 extract 1	total RNA	P-GSE3454-3	  	GSM78337 LE 1	biotin	P-GSE3454-4	  	GSM78337	A-AFFY-2	  	P-GSE3454-1	  	P-GSE3454-5	  	P-GSE3454-6	  	GSM78337_sample_table.txt norm	GSM78337_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3454/E-GEOD-3454.processed.1.zip
GSM78336 1	rop10-1 in Ws background, young seedlings	rop10-1 seedlings mock-treated by DMSO for 4 hours in liquid medium (MS) after 7 days of growth in liquid medium (MS + 3% sucrose) at 150rpm shaking.	rop10-1, no ABA control	rop10-1 mutant, no ABA control, replicate 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE3454-2	  	GSM78336 extract 1	total RNA	P-GSE3454-3	  	GSM78336 LE 1	biotin	P-GSE3454-4	  	GSM78336	A-AFFY-2	  	P-GSE3454-1	  	P-GSE3454-5	  	P-GSE3454-6	  	GSM78336_sample_table.txt norm	GSM78336_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3454/E-GEOD-3454.processed.1.zip
GSM78335 1	rop10-1 in Ws background, young seedlings	rop10-1 seedlings mock-treated by DMSO for 4 hours in liquid medium (MS) after 7 days of growth in liquid medium (MS + 3% sucrose) at 150rpm shaking.	rop10-1, no ABA control	rop10-1 mutant, no ABA control, replicate 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE3454-2	  	GSM78335 extract 1	total RNA	P-GSE3454-3	  	GSM78335 LE 1	biotin	P-GSE3454-4	  	GSM78335	A-AFFY-2	  	P-GSE3454-1	  	P-GSE3454-5	  	P-GSE3454-6	  	GSM78335_sample_table.txt norm	GSM78335_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3454/E-GEOD-3454.processed.1.zip
GSM78334 1	Wild type ecotype Wassilewskija (Ws), young seedlings	Wild type (Ws) seedlings mock-treated by DMSO for 4 hours in liquid medium (MS) after 7 days of growth liquid medium (MS + 3% sucrose) at 150rpm shaking.	Ws, no ABA control	Ws wild-type, no ABA control, replicate 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE3454-2	  	GSM78334 extract 1	total RNA	P-GSE3454-3	  	GSM78334 LE 1	biotin	P-GSE3454-4	  	GSM78334	A-AFFY-2	  	P-GSE3454-1	  	P-GSE3454-5	  	P-GSE3454-6	  	GSM78334_sample_table.txt norm	GSM78334_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3454/E-GEOD-3454.processed.1.zip
