Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[Ecotype]	Characteristics[OrganismPart]	Description	Protocol REF	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[ORGANISM PART]
GSE3056GSM67084	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	pistil	pistil:  Ovary tissues were isolated from pistils after emasculating stage 8 buds (Bowman, 1994) of Landsberg erecta (Ler) flowers. After one day of growth, pistils were harvested. Stigma was seperated from ovaries using superfine tip scissors and flash frozen in liquid nitrogen until  RNA harvesting.. Landsberg erecta (Ler)	P-G3056-1	GSE3056GSM67084 sample	GSE3056GSM67084 extract	total_RNA	GSE3056GSM67084 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	Arabidopsis_Stigma01	A-AFFY-2	P-AFFY-6	Arabidopsis_Stigma01	GSM67084.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3056/E-GEOD-3056.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-3056-processed-data-1626872792.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3056/E-GEOD-3056.processed.1.zip	pistil
GSE3056GSM67078	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	ovary	plant ovary:  Ovary tissues were isolated from pistils after emasculating stage 8 buds (Bowman, 1994) of Landsberg erecta (Ler) flowers. After one day of growth, pistils were harvested. Stigma was seperated from ovaries using superfine tip scissors and flash frozen in liquid nitrogen until  RNA harvesting.. Arabidosis thaliana ovaries	P-G3056-1	GSE3056GSM67078 sample	GSE3056GSM67078 extract	total_RNA	GSE3056GSM67078 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	Arabidopsis_Ovary01	A-AFFY-2	P-AFFY-6	Arabidopsis_Ovary01	GSM67078.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3056/E-GEOD-3056.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-3056-processed-data-1626872792.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3056/E-GEOD-3056.processed.1.zip	ovary
GSE3056GSM67110	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	whole organism	plant:  Seedling tissue was collected by growing Ler seedlings on Murashige and Skoog media plates for 10 days, and whole seedlings were harvested for RNA. . Landsberg erecta (Ler)	P-G3056-2	GSE3056GSM67110 sample	GSE3056GSM67110 extract	total_RNA	GSE3056GSM67110 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	Arabidopsis_Seedling03	A-AFFY-2	P-AFFY-6	Arabidopsis_Seedling03	GSM67110.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3056/E-GEOD-3056.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-3056-processed-data-1626872792.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3056/E-GEOD-3056.processed.1.zip	whole organism
GSE3056GSM67080	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	ovary	plant ovary:  Ovary tissues were isolated from pistils after emasculating stage 8 buds (Bowman, 1994) of Landsberg erecta (Ler) flowers. After one day of growth, pistils were harvested. Stigma was seperated from ovaries using superfine tip scissors and flash frozen in liquid nitrogen until  RNA harvesting.. Arabidosis thaliana ovaries	P-G3056-1	GSE3056GSM67080 sample	GSE3056GSM67080 extract	total_RNA	GSE3056GSM67080 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	Arabidopsis_Ovary03	A-AFFY-2	P-AFFY-6	Arabidopsis_Ovary03	GSM67080.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3056/E-GEOD-3056.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-3056-processed-data-1626872792.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3056/E-GEOD-3056.processed.1.zip	ovary
GSE3056GSM67086	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	pistil	pistil:  Ovary tissues were isolated from pistils after emasculating stage 8 buds (Bowman, 1994) of Landsberg erecta (Ler) flowers. After one day of growth, pistils were harvested. Stigma was seperated from ovaries using superfine tip scissors and flash frozen in liquid nitrogen until  RNA harvesting.. Landsberg erecta (Ler)	P-G3056-1	GSE3056GSM67086 sample	GSE3056GSM67086 extract	total_RNA	GSE3056GSM67086 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	Arabidopsis_Stigma02	A-AFFY-2	P-AFFY-6	Arabidopsis_Stigma02	GSM67086.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3056/E-GEOD-3056.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-3056-processed-data-1626872792.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3056/E-GEOD-3056.processed.1.zip	pistil
GSE3056GSM67081	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	ovary	plant ovaries:  Ovary tissues were isolated from pistils after emasculating stage 8 buds (Bowman, 1994) of Landsberg erecta (Ler) flowers. After one day of growth, pistils were harvested. Stigma was seperated from ovaries using superfine tip scissors and flash frozen in liquid nitrogen until  RNA harvesting.. Landsberg erecta (Ler) flowers	P-G3056-1	GSE3056GSM67081 sample	GSE3056GSM67081 extract	total_RNA	GSE3056GSM67081 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	Arabidopsis_Ovary04	A-AFFY-2	P-AFFY-6	Arabidopsis_Ovary04	GSM67081.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3056/E-GEOD-3056.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-3056-processed-data-1626872792.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3056/E-GEOD-3056.processed.1.zip	ovary
GSE3056GSM67112	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	whole organism	plant:  Seedling tissue was collected by growing Ler seedlings on Murashige and Skoog media plates for 10 days, and whole seedlings were harvested for RNA. . Landsberg erecta (Ler)	P-G3056-2	GSE3056GSM67112 sample	GSE3056GSM67112 extract	total_RNA	GSE3056GSM67112 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	Arabidopsis_Seedling04	A-AFFY-2	P-AFFY-6	Arabidopsis_Seedling04	GSM67112.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3056/E-GEOD-3056.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-3056-processed-data-1626872792.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3056/E-GEOD-3056.processed.1.zip	whole organism
GSE3056GSM67083	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	whole organism	seedling:  Seedling tissue was collected by growing Ler seedlings on Murashige and Skoog media plates for 10 days, and whole seedlings were harvested for RNA. . Landsberg erecta (Ler)	P-G3056-2	GSE3056GSM67083 sample	GSE3056GSM67083 extract	total_RNA	GSE3056GSM67083 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	Arabidopsis_Seedling02	A-AFFY-2	P-AFFY-6	Arabidopsis_Seedling02	GSM67083.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3056/E-GEOD-3056.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-3056-processed-data-1626872792.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3056/E-GEOD-3056.processed.1.zip	whole organism
GSE3056GSM67079	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	ovary	plant ovary:  Ovary tissues were isolated from pistils after emasculating stage 8 buds (Bowman, 1994) of Landsberg erecta (Ler) flowers. After one day of growth, pistils were harvested. Stigma was seperated from ovaries using superfine tip scissors and flash frozen in liquid nitrogen until  RNA harvesting.. Arabidosis thaliana ovaries	P-G3056-1	GSE3056GSM67079 sample	GSE3056GSM67079 extract	total_RNA	GSE3056GSM67079 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	Arabidopsis_Ovary02	A-AFFY-2	P-AFFY-6	Arabidopsis_Ovary02	GSM67079.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3056/E-GEOD-3056.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-3056-processed-data-1626872792.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3056/E-GEOD-3056.processed.1.zip	ovary
GSE3056GSM67082	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	whole organism	seedling:  Seedling tissue was collected by growing Ler seedlings on Murashige and Skoog media plates for 10 days, and whole seedlings were harvested for RNA. . Landsberg erecta (Ler)	P-G3056-2	GSE3056GSM67082 sample	GSE3056GSM67082 extract	total_RNA	GSE3056GSM67082 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	Arabidopsis_Seedling01	A-AFFY-2	P-AFFY-6	Arabidopsis_Seedling01	GSM67082.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3056/E-GEOD-3056.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-3056-processed-data-1626872792.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3056/E-GEOD-3056.processed.1.zip	whole organism
