Source Name	Characteristics [Organism]	Description	Characteristics[Ecotype]	Characteristics[DevelopmentalStage]	Characteristics[Genotype]	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[DEVELOPMENTAL STAGE]	FactorValue[GENOTYPE]
GSE1051GSM17007	Arabidopsis thaliana	Genotype: Ws-0, Wild Type; Stage: 24-Hr fertilized seed; Technical Replica: 1 of 2:  Microarray Methods: Total RNA was extracted using the Hot Borate Method (ref.).  Fifteen micrograms of biotinylated complementary RNA (cRNA) was prepared as described (Le et. al., 2004, PNAS).  cRNA was subsequently hybridized to Affymetrix ATH1 Arabidopsis GeneChips.  The scanned array images were analyzed using Affymetrix Microarray Suite 4.0 (MAS 4.0) with a global scaling intensity set at 2500..	Ws-0	seed 24 hours post fertilization	wild_type	  	GSE1051GSM17007 sample	  	GSE1051GSM17007 extract	total_RNA	  	GSE1051GSM17007 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	WT 24-Hr Seed 1 (AtGenome1)	A-AFFY-16	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-16	P-AFFY-6	WT 24-Hr Seed 1 (AtGenome1)	GSM17007.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1051/E-GEOD-1051.raw.1.zip	E-GEOD-1051-processed-data-1626156013.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1051/E-GEOD-1051.processed.1.zip	seed 24 hours post fertilization	wild_type
GSE1051GSM147965	Arabidopsis thaliana	lec1-1 globular stage seed biological replica 1:  lec1-1 seed containing globular stage embryo.  Two biological replicas were generated.. Genotype: Ws-O, lec1-1; Stage: Globular Stage Seed; Biological Replica: 1 of 2	Ws-0	globular stage seed	lec1-1	P-G1051-1	GSE1051GSM147965 sample	P-G1051-3	GSE1051GSM147965 extract	total_RNA	P-G1051-2	GSE1051GSM147965 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	lec1-1 Globular Stage Seed 1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	lec1-1 Globular Stage Seed 1	GSM147965.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1051/E-GEOD-1051.raw.1.zip	E-GEOD-1051-processed-data-1626155229.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1051/E-GEOD-1051.processed.1.zip	globular stage seed	lec1-1
GSE1051GSM17001	Arabidopsis thaliana	Genotype: Ws-0, lec1; Stage: 24-Hr fertilized seed; Technical Replica: 2 of 2:  Microarray Methods: Total RNA was extracted using the Hot Borate Method (ref.).  Fifteen micrograms of biotinylated complementary RNA (cRNA) was prepared as described (Le et. al., 2004, PNAS).  cRNA was subsequently hybridized to Affymetrix ATH1 Arabidopsis GeneChips.  The scanned array images were analyzed using Affymetrix Microarray Suite 4.0 (MAS 4.0) with a global scaling intensity set at 2500..	Ws-0	seed 24 hours post fertilization	lec1-1	  	GSE1051GSM17001 sample	  	GSE1051GSM17001 extract	total_RNA	  	GSE1051GSM17001 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	lec1 24-Hr Seed 2 (AtGenome1)	A-AFFY-16	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-16	P-AFFY-6	lec1 24-Hr Seed 2 (AtGenome1)	GSM17001.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1051/E-GEOD-1051.raw.1.zip	E-GEOD-1051-processed-data-1626156013.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1051/E-GEOD-1051.processed.1.zip	seed 24 hours post fertilization	lec1-1
GSE1051GSM10453	Arabidopsis thaliana	Genotype: Ws-0, Wild Type; Stage: Mature Green Seed; Biological Replica: 2 of 2:  Growth Condition: Plants were grown in a Conviron chamber under continuous light with fluorescent lamps at 20oC and 50% - 70% relative humidity. Experiments were performed as described (Le et. al., 2003, PNAS). Microarray Methods: Total RNA was extracted using the Hot Borate Method (ref.). Fifteen micrograms of biotinylated complementary RNA (cRNA) was prepared as described (Le et. al., 2003, PNAS). cRNA was subsequently hybridized to Affymetrix ATH1 Arabidopsis GeneChips. The scanned array images were analyzed using Affymetrix Microarray Suite 5.0 (MAS 5.0) with a global scaling intensity set at 500. Keywords = Arabidopsis Keywords = seed development Lot batch = 2003282.	Ws-0	mature green seed	wild_type	  	GSE1051GSM10453 sample	  	GSE1051GSM10453 extract	total_RNA	  	GSE1051GSM10453 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	WT Mature Green Seed 2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	WT Mature Green Seed 2	GSM10453.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1051/E-GEOD-1051.raw.1.zip	E-GEOD-1051-processed-data-1626155229.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1051/E-GEOD-1051.processed.1.zip	mature green seed	wild_type
GSE1051GSM10446	Arabidopsis thaliana	Genotype: Ws-0, Wild Type; Stage: 24-Hr Fertilized Seed; Biological Replica: 2 of 2:  Growth Condition: Plants were grown in a Conviron chamber under continuous light with fluorescent lamps at 20oC and 50% - 70% relative humidity. Experiments were performed as described (Le et. al., 2003, PNAS). Microarray Methods: Total RNA was extracted using the Hot Borate Method (ref.). Fifteen micrograms of biotinylated complementary RNA (cRNA) was prepared as described (Le et. al., 2003, PNAS). cRNA was subsequently hybridized to Affymetrix ATH1 Arabidopsis GeneChips. The scanned array images were analyzed using Affymetrix Microarray Suite 5.0 (MAS 5.0) with a global scaling intensity set at 500. Keywords = Arabidopsis Keywords = seed development Lot batch = 2003282.	Ws-0	seed 24 hours post fertilization	wild_type	  	GSE1051GSM10446 sample	  	GSE1051GSM10446 extract	total_RNA	  	GSE1051GSM10446 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	WT 24-Hr Seed 2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	WT 24-Hr Seed 2	GSM10446.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1051/E-GEOD-1051.raw.1.zip	E-GEOD-1051-processed-data-1626155229.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1051/E-GEOD-1051.processed.1.zip	seed 24 hours post fertilization	wild_type
GSE1051GSM10478	Arabidopsis thaliana	Genotype: Ws-0, lec1-1; Stage: 24-Hr Fertilized Seed; Biological Replica: 2 of 2:  Growth Condition: Plants were grown in a Conviron chamber under continuous light with fluorescent lamps at 20oC and 50% - 70% relative humidity. Experiments were performed as described (Le et. al., 2003, PNAS). Microarray Methods: Total RNA was extracted using the Hot Borate Method (ref.). Fifteen micrograms of biotinylated complementary RNA (cRNA) was prepared as described (Le et. al., 2003, PNAS). cRNA was subsequently hybridized to Affymetrix ATH1 Arabidopsis GeneChips. The scanned array images were analyzed using Affymetrix Microarray Suite 5.0 (MAS 5.0) with a global scaling intensity set at 500. Keywords = Arabidopsis Keywords = seed development.	Ws-0	seed 24 hours post fertilization	lec1-1	  	GSE1051GSM10478 sample	  	GSE1051GSM10478 extract	total_RNA	  	GSE1051GSM10478 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	lec1-1 24-Hr Seed 2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	lec1-1 24-Hr Seed 2	GSM10478.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1051/E-GEOD-1051.raw.1.zip	E-GEOD-1051-processed-data-1626156643.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1051/E-GEOD-1051.processed.1.zip	seed 24 hours post fertilization	lec1-1
GSE1051GSM10456	Arabidopsis thaliana	Genotype: Ws-0, Wild Type; Stage: Post-Mature Green Seed; Biological Replica: 2 of 2:  Growth Condition: Plants were grown in a Conviron chamber under continuous light with fluorescent lamps at 20oC and 50% - 70% relative humidity. Experiments were performed as described (Le et. al., 2003, PNAS). Microarray Methods: Total RNA was extracted using the Hot Borate Method (ref.). Fifteen micrograms of biotinylated complementary RNA (cRNA) was prepared as described (Le et. al., 2003, PNAS). cRNA was subsequently hybridized to Affymetrix ATH1 Arabidopsis GeneChips. The scanned array images were analyzed using Affymetrix Microarray Suite 5.0 (MAS 5.0) with a global scaling intensity set at 500. Keywords = Arabidopsis Keywords = seed development.	Ws-0	post-mature green seed	wild_type	  	GSE1051GSM10456 sample	  	GSE1051GSM10456 extract	total_RNA	  	GSE1051GSM10456 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	WT Post-Mature Green Seed 2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	WT Post-Mature Green Seed 2	GSM10456.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1051/E-GEOD-1051.raw.1.zip	E-GEOD-1051-processed-data-1626155229.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1051/E-GEOD-1051.processed.1.zip	post-mature green seed	wild_type
GSE1051GSM10458	Arabidopsis thaliana	Genotype: Ws-0, Wild Type; Stage: 3-Day-After-Imbibition Seedling; Biological Replica: 2 of 2:  Growth Condition: Plants were grown in a Conviron chamber under continuous light with fluorescent lamps at 20oC and 50% - 70% relative humidity. Experiments were performed as described (Le et. al., 2003, PNAS). Microarray Methods: Total RNA was extracted using the Hot Borate Method (ref.). Fifteen micrograms of biotinylated complementary RNA (cRNA) was prepared as described (Le et. al., 2003, PNAS). cRNA was subsequently hybridized to Affymetrix ATH1 Arabidopsis GeneChips. The scanned array images were analyzed using Affymetrix Microarray Suite 5.0 (MAS 5.0) with a global scaling intensity set at 500. Keywords = Arabidopsis Keywords = seed development.	Ws-0	seed 3 days post imbibition	wild_type	  	GSE1051GSM10458 sample	  	GSE1051GSM10458 extract	total_RNA	  	GSE1051GSM10458 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	WT Seedling 2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	WT Seedling 2	GSM10458.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1051/E-GEOD-1051.raw.1.zip	E-GEOD-1051-processed-data-1626155229.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1051/E-GEOD-1051.processed.1.zip	seed 3 days post imbibition	wild_type
GSE1051GSM10481	Arabidopsis thaliana	Genotype: Ws-0, lec1-1; Stage: Mature Green Seed; Biological Replica: 1 of 2:  Growth Condition: Plants were grown in a Conviron chamber under continuous light with fluorescent lamps at 20oC and 50% - 70% relative humidity. Experiments were performed as described (Le et. al., 2003, PNAS). Microarray Methods: Total RNA was extracted using the Hot Borate Method (ref.). Fifteen micrograms of biotinylated complementary RNA (cRNA) was prepared as described (Le et. al., 2003, PNAS). cRNA was subsequently hybridized to Affymetrix ATH1 Arabidopsis GeneChips. The scanned array images were analyzed using Affymetrix Microarray Suite 5.0 (MAS 5.0) with a global scaling intensity set at 500. Keywords = Arabidopsis Keywords = seed development.	Ws-0	mature green seed	lec1-1	  	GSE1051GSM10481 sample	  	GSE1051GSM10481 extract	total_RNA	  	GSE1051GSM10481 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	lec1-1 Mature Green Seed 1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	lec1-1 Mature Green Seed 1	GSM10481.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1051/E-GEOD-1051.raw.1.zip	E-GEOD-1051-processed-data-1626156643.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1051/E-GEOD-1051.processed.1.zip	mature green seed	lec1-1
GSE1051GSM147966	Arabidopsis thaliana	lec1-1 globular stage seed biological replica 2:  lec1-1 seed containing globular stage embryo.  Two biological replicas were generated.. Genotype: Ws-O, lec1-1; Stage: Globular Stage Seed; Biological Replica: 2 of 2	Ws-0	globular stage seed	lec1-1	P-G1051-1	GSE1051GSM147966 sample	P-G1051-3	GSE1051GSM147966 extract	total_RNA	P-G1051-2	GSE1051GSM147966 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	lec1-1 Globular Stage Seed 2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	lec1-1 Globular Stage Seed 2	GSM147966.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1051/E-GEOD-1051.raw.1.zip	E-GEOD-1051-processed-data-1626155229.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1051/E-GEOD-1051.processed.1.zip	globular stage seed	lec1-1
