Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[developmental stage]	Characteristics[ecotype]	Characteristics[treatment]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [TREATMENT]
GSM744799 1	Expression profile of whole root exposed to pH 4.6 for 48H	whole roots transferred to low pH, 48H	Whole root - low pH 48H_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole root	Columbia	pH 4.6 for 48 hr	P-GSE30097-2	  	P-GSE30097-3	  	P-GSE30097-4	  	GSM744799 extract 1	total RNA	P-GSE30097-5	  	GSM744799 LE 1	biotin	P-GSE30097-6	  	GSM744799	A-AFFY-2	  	P-GSE30097-7	  	P-GSE30097-8	  	GSM744799.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.raw.1.zip	P-GSE30097-1	  	GSM744799_sample_table.txt norm	GSM744799_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.processed.1.zip	pH 4.6 for 48 hr
GSM744798 1	Expression profile of whole root exposed to pH 4.6 for 48H	whole roots transferred to low pH, 48H	Whole root - low pH 48H_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole root	Columbia	pH 4.6 for 48 hr	P-GSE30097-2	  	P-GSE30097-3	  	P-GSE30097-4	  	GSM744798 extract 1	total RNA	P-GSE30097-5	  	GSM744798 LE 1	biotin	P-GSE30097-6	  	GSM744798	A-AFFY-2	  	P-GSE30097-7	  	P-GSE30097-8	  	GSM744798.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.raw.1.zip	P-GSE30097-1	  	GSM744798_sample_table.txt norm	GSM744798_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.processed.1.zip	pH 4.6 for 48 hr
GSM744797 1	Expression profile of whole root exposed to pH 4.6 for 24H	whole roots transferred to low pH, 24H	Whole root - low pH_24H_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole root	Columbia	pH 4.6 for 24 hr	P-GSE30097-2	  	P-GSE30097-3	  	P-GSE30097-4	  	GSM744797 extract 1	total RNA	P-GSE30097-5	  	GSM744797 LE 1	biotin	P-GSE30097-6	  	GSM744797	A-AFFY-2	  	P-GSE30097-7	  	P-GSE30097-8	  	GSM744797.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.raw.1.zip	P-GSE30097-1	  	GSM744797_sample_table.txt norm	GSM744797_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.processed.1.zip	pH 4.6 for 24 hr
GSM744796 1	Expression profile of whole root exposed to pH 4.6 for 24H	whole roots transferred to low pH, 24H	Whole root - low pH_24H_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole root	Columbia	pH 4.6 for 24 hr	P-GSE30097-2	  	P-GSE30097-3	  	P-GSE30097-4	  	GSM744796 extract 1	total RNA	P-GSE30097-5	  	GSM744796 LE 1	biotin	P-GSE30097-6	  	GSM744796	A-AFFY-2	  	P-GSE30097-7	  	P-GSE30097-8	  	GSM744796.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.raw.1.zip	P-GSE30097-1	  	GSM744796_sample_table.txt norm	GSM744796_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.processed.1.zip	pH 4.6 for 24 hr
GSM744795 1	Expression profile of whole root exposed to pH 4.6 for 12H	whole roots transferred to low pH, 12H	Whole root - low pH 12H_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole root	Columbia	pH 4.6 for 12 hr	P-GSE30097-2	  	P-GSE30097-3	  	P-GSE30097-4	  	GSM744795 extract 1	total RNA	P-GSE30097-5	  	GSM744795 LE 1	biotin	P-GSE30097-6	  	GSM744795	A-AFFY-2	  	P-GSE30097-7	  	P-GSE30097-8	  	GSM744795.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.raw.1.zip	P-GSE30097-1	  	GSM744795_sample_table.txt norm	GSM744795_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.processed.1.zip	pH 4.6 for 12 hr
GSM744794 1	Expression profile of whole root exposed to pH 4.6 for 12H	whole roots transferred to low pH, 12H	Whole root - low pH 12H_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole root	Columbia	pH 4.6 for 12 hr	P-GSE30097-2	  	P-GSE30097-3	  	P-GSE30097-4	  	GSM744794 extract 1	total RNA	P-GSE30097-5	  	GSM744794 LE 1	biotin	P-GSE30097-6	  	GSM744794	A-AFFY-2	  	P-GSE30097-7	  	P-GSE30097-8	  	GSM744794.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.raw.1.zip	P-GSE30097-1	  	GSM744794_sample_table.txt norm	GSM744794_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.processed.1.zip	pH 4.6 for 12 hr
GSM744793 1	Expression profile of whole root exposed to pH 4.6 for 6H	whole roots transferred to low pH, 6H	Whole root - low pH 6H_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole root	Columbia	pH 4.6 for 6 hr	P-GSE30097-2	  	P-GSE30097-3	  	P-GSE30097-4	  	GSM744793 extract 1	total RNA	P-GSE30097-5	  	GSM744793 LE 1	biotin	P-GSE30097-6	  	GSM744793	A-AFFY-2	  	P-GSE30097-7	  	P-GSE30097-8	  	GSM744793.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.raw.1.zip	P-GSE30097-1	  	GSM744793_sample_table.txt norm	GSM744793_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.processed.1.zip	pH 4.6 for 6 hr
GSM744792 1	Expression profile of whole root exposed to pH 4.6 for 6H	whole roots transferred to low pH, 6H	Whole root - low pH 6H_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole root	Columbia	pH 4.6 for 6 hr	P-GSE30097-2	  	P-GSE30097-3	  	P-GSE30097-4	  	GSM744792 extract 1	total RNA	P-GSE30097-5	  	GSM744792 LE 1	biotin	P-GSE30097-6	  	GSM744792	A-AFFY-2	  	P-GSE30097-7	  	P-GSE30097-8	  	GSM744792.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.raw.1.zip	P-GSE30097-1	  	GSM744792_sample_table.txt norm	GSM744792_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.processed.1.zip	pH 4.6 for 6 hr
GSM744791 1	Expression profile of whole root exposed to pH 4.6 for 3H	whole roots transferred to low pH, 3H	Whole root - low pH 3H_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole root	Columbia	pH 4.6 for 3 hr	P-GSE30097-2	  	P-GSE30097-3	  	P-GSE30097-4	  	GSM744791 extract 1	total RNA	P-GSE30097-5	  	GSM744791 LE 1	biotin	P-GSE30097-6	  	GSM744791	A-AFFY-2	  	P-GSE30097-7	  	P-GSE30097-8	  	GSM744791.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.raw.1.zip	P-GSE30097-1	  	GSM744791_sample_table.txt norm	GSM744791_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.processed.1.zip	pH 4.6 for 3 hr
GSM744790 1	Expression profile of whole root exposed to pH 4.6 for 3H	whole roots transferred to low pH, 3H	Whole root - low pH 3H_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole root	Columbia	pH 4.6 for 3 hr	P-GSE30097-2	  	P-GSE30097-3	  	P-GSE30097-4	  	GSM744790 extract 1	total RNA	P-GSE30097-5	  	GSM744790 LE 1	biotin	P-GSE30097-6	  	GSM744790	A-AFFY-2	  	P-GSE30097-7	  	P-GSE30097-8	  	GSM744790.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.raw.1.zip	P-GSE30097-1	  	GSM744790_sample_table.txt norm	GSM744790_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.processed.1.zip	pH 4.6 for 3 hr
