Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [ecotype]	Characteristics [organism part]	Term Source REF	Term Accession Number	Characteristics [developmental stage]	Term Source REF	Term Accession Number	Characteristics [genotype]	Provider	Material Type	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	Factor Value [genotype]	FactorValue [infect]	FactorValue [time]	Unit[time unit]
K18_40 0h Untreated A	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	EFO	EFO_0000993	adult	EFO	EFO_0001272	wrky18, wrky40 double mutant	Max Planck Institute for Plant Breeding Research, Cologne	fresh sample	P-MTAB-5486	E_K18_40 0h Untreated A	total RNA	P-AFFY-2	L_K18_40 0h Untreated A	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	H_K18_40 0h Untreated A	A-AFFY-2	P-AFFY-6	CO34_Sample4_K-01_Mutant-unioculated_rep1_20080811.CEL	CO34_Sample4_K-01_Mutant-unioculated_rep1_20080811.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2371/E-MEXP-2371.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	FGEM_loess.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2371/E-MEXP-2371.processed.1.zip	wrky18, wrky40 double mutant	none	0	hour
K18_40 0h Untreated B	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	EFO	EFO_0000993	adult	EFO	EFO_0001272	wrky18, wrky40 double mutant	Max Planck Institute for Plant Breeding Research, Cologne	fresh sample	P-MTAB-5486	E_K18_40 0h Untreated B	total RNA	P-AFFY-2	L_K18_40 0h Untreated B	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	H_K18_40 0h Untreated B	A-AFFY-2	P-AFFY-6	CO34_Sample5_K-02_Mutant-unioculated_rep2_20080811.CEL	CO34_Sample5_K-02_Mutant-unioculated_rep2_20080811.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2371/E-MEXP-2371.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	FGEM_loess.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2371/E-MEXP-2371.processed.1.zip	wrky18, wrky40 double mutant	none	0	hour
K18_40 0h Untreated C	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	EFO	EFO_0000993	adult	EFO	EFO_0001272	wrky18, wrky40 double mutant	Max Planck Institute for Plant Breeding Research, Cologne	fresh sample	P-MTAB-5486	E_K18_40 0h Untreated C	total RNA	P-AFFY-2	L_K18_40 0h Untreated C	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	H_K18_40 0h Untreated C	A-AFFY-2	P-AFFY-6	CO34_Sample6_K-03_Mutant-unioculated_rep3_20080811.CEL	CO34_Sample6_K-03_Mutant-unioculated_rep3_20080811.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2371/E-MEXP-2371.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	FGEM_loess.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2371/E-MEXP-2371.processed.1.zip	wrky18, wrky40 double mutant	none	0	hour
K18_40 8h treated A	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	EFO	EFO_0000993	adult	EFO	EFO_0001272	wrky18, wrky40 double mutant	Max Planck Institute for Plant Breeding Research, Cologne	fresh sample	P-MTAB-5486	E_K18_40 8h treated A	total RNA	P-AFFY-2	L_K18_40 8h treated A	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	H_K18_40 8h treated A	A-AFFY-2	P-AFFY-6	CO34_Sample10_K-81_Mutant-8hpi_rep1_20080811.CEL	CO34_Sample10_K-81_Mutant-8hpi_rep1_20080811.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2371/E-MEXP-2371.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	FGEM_loess.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2371/E-MEXP-2371.processed.1.zip	wrky18, wrky40 double mutant	Golovinomyces orontii	8	hour
K18_40 8h treated B	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	EFO	EFO_0000993	adult	EFO	EFO_0001272	wrky18, wrky40 double mutant	Max Planck Institute for Plant Breeding Research, Cologne	fresh sample	P-MTAB-5486	E_K18_40 8h treated B	total RNA	P-AFFY-2	L_K18_40 8h treated B	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	H_K18_40 8h treated B	A-AFFY-2	P-AFFY-6	CO34_Sample11_K-82_Mutant-8hpi_rep2_20080811.CEL	CO34_Sample11_K-82_Mutant-8hpi_rep2_20080811.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2371/E-MEXP-2371.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	FGEM_loess.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2371/E-MEXP-2371.processed.1.zip	wrky18, wrky40 double mutant	Golovinomyces orontii	8	hour
K18_40 8h treated C	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	EFO	EFO_0000993	adult	EFO	EFO_0001272	wrky18, wrky40 double mutant	Max Planck Institute for Plant Breeding Research, Cologne	fresh sample	P-MTAB-5486	E_K18_40 8h treated C	total RNA	P-AFFY-2	L_K18_40 8h treated C	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	H_K18_40 8h treated C	A-AFFY-2	P-AFFY-6	CO34_Sample12_K-83_Mutant-8hpi_rep3_20080811.CEL	CO34_Sample12_K-83_Mutant-8hpi_rep3_20080811.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2371/E-MEXP-2371.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	FGEM_loess.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2371/E-MEXP-2371.processed.1.zip	wrky18, wrky40 double mutant	Golovinomyces orontii	8	hour
WT 0h Untreated A	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	EFO	EFO_0000993	adult	EFO	EFO_0001272	wild type	Max Planck Institute for Plant Breeding Research, Cologne	fresh sample	P-MTAB-5486	E_WT 0h Untreated A	total RNA	P-AFFY-2	L_WT 0h Untreated A	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	H_WT 0h Untreated A	A-AFFY-2	P-AFFY-6	CO34_Sample1_C-01_Columbia-unioculated_rep1_20080811.CEL	CO34_Sample1_C-01_Columbia-unioculated_rep1_20080811.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2371/E-MEXP-2371.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	FGEM_loess.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2371/E-MEXP-2371.processed.1.zip	wild type	none	0	hour
WT 0h Untreated B	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	EFO	EFO_0000993	adult	EFO	EFO_0001272	wild type	Max Planck Institute for Plant Breeding Research, Cologne	fresh sample	P-MTAB-5486	E_WT 0h Untreated B	total RNA	P-AFFY-2	L_WT 0h Untreated B	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	H_WT 0h Untreated B	A-AFFY-2	P-AFFY-6	CO34_Sample2_C-02_Columbia-unioculated_rep2_20080811.CEL	CO34_Sample2_C-02_Columbia-unioculated_rep2_20080811.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2371/E-MEXP-2371.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	FGEM_loess.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2371/E-MEXP-2371.processed.1.zip	wild type	none	0	hour
WT 0h Untreated C	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	EFO	EFO_0000993	adult	EFO	EFO_0001272	wild type	Max Planck Institute for Plant Breeding Research, Cologne	fresh sample	P-MTAB-5486	E_WT 0h Untreated C	total RNA	P-AFFY-2	L_WT 0h Untreated C	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	H_WT 0h Untreated C	A-AFFY-2	P-AFFY-6	CO34_Sample3_C-03_Columbia-unioculated_rep3_20080811.CEL	CO34_Sample3_C-03_Columbia-unioculated_rep3_20080811.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2371/E-MEXP-2371.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	FGEM_loess.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2371/E-MEXP-2371.processed.1.zip	wild type	none	0	hour
WT 8h treated A	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	EFO	EFO_0000993	adult	EFO	EFO_0001272	wild type	Max Planck Institute for Plant Breeding Research, Cologne	fresh sample	P-MTAB-5486	E_WT 8h treated A	total RNA	P-AFFY-2	L_WT 8h treated A	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	H_WT 8h treated A	A-AFFY-2	P-AFFY-6	CO34_Sample7_C-81_columbia-8hpi_rep1_20080811.CEL	CO34_Sample7_C-81_columbia-8hpi_rep1_20080811.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2371/E-MEXP-2371.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	FGEM_loess.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2371/E-MEXP-2371.processed.1.zip	wild type	Golovinomyces orontii	8	hour
