Source Name	Characteristics [Organism]	Characteristics [OrganismPart]	Characteristics [DevelopmentalStage]	Characteristics [StrainOrLine]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value [LANDSCAPE FRAGMENTATION]	Factor Value [STRAIN]	Factor Value [LANDSCAPE DISTURBANCE]	FactorValue[ORGANISM PART]
parental Ler 4th replicate	Arabidopsis thaliana	leaf	adult	Ler	P-MTAB-4190	  	Ler4	P-MTAB-4192	Ler4	genomic_DNA	P-MTAB-4193	Ler4labelled	biotin	unknown	P-MTAB-4194	Ler4	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Ler4.CEL	Ler4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-107/E-MTAB-107.raw.1.zip	  	    	  	none	Ler	none	leaf
dynamic 16-patch 1st replicate	Arabidopsis thaliana	flower	adult	mixed population	P-MTAB-4190	P-MTAB-4191	d_D1_16patch	P-MTAB-4192	d_D1_16patch	genomic_DNA	P-MTAB-4193	d_D1_16patch_labelled	biotin	unknown	P-MTAB-4194	d_D1_16patch	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	d_D1_16patch.CEL	d_D1_16patch.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-107/E-MTAB-107.raw.1.zip	  	    	  	16-patch	mixed population	dynamic	flower
dynamic 4-patch 1st replicate	Arabidopsis thaliana	flower	adult	mixed population	P-MTAB-4190	P-MTAB-4191	d_B1_4patch	P-MTAB-4192	d_B1_4patch	genomic_DNA	P-MTAB-4193	d_B1_4patch_labelled	biotin	unknown	P-MTAB-4194	d_B1_4patch	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	d_B1_4patch.CEL	d_B1_4patch.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-107/E-MTAB-107.raw.1.zip	  	    	  	4-patch	mixed population	dynamic	flower
static 4-patch 2nd replicate	Arabidopsis thaliana	flower	adult	mixed population	P-MTAB-4190	P-MTAB-4191	s_B3_4patch	P-MTAB-4192	s_B3_4patch	genomic_DNA	P-MTAB-4193	s_B3_4patch_labelled	biotin	unknown	P-MTAB-4194	s_B3_4patch	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	s_B3_4patch.CEL	s_B3_4patch.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-107/E-MTAB-107.raw.1.zip	  	    	  	4-patch	mixed population	static	flower
Originals 3rd replicate	Arabidopsis thaliana	flower	adult	17xRILs, 1xLer, 1xCvi	P-MTAB-4190	P-MTAB-4191	Originals3	P-MTAB-4192	Originals3	genomic_DNA	P-MTAB-4193	Originals3labelled	biotin	unknown	P-MTAB-4194	Originals3	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Originals3.CEL	Originals3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-107/E-MTAB-107.raw.1.zip	  	    	  	none	17xRILs, 1xLer, 1xCvi	none	flower
parental Ler 2nd replicate	Arabidopsis thaliana	leaf	adult	Ler	P-MTAB-4190	  	Ler2	P-MTAB-4192	Ler2	genomic_DNA	P-MTAB-4193	Ler2labelled	biotin	unknown	P-MTAB-4194	Ler2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Ler2.CEL	Ler2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-107/E-MTAB-107.raw.1.zip	  	    	  	none	Ler	none	leaf
Originals 1st replicate	Arabidopsis thaliana	flower	adult	17xRILs, 1xLer, 1xCvi	P-MTAB-4190	P-MTAB-4191	Originals1	P-MTAB-4192	Originals1	genomic_DNA	P-MTAB-4193	Originals1labelled	biotin	unknown	P-MTAB-4194	Originals1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Originals1.CEL	Originals1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-107/E-MTAB-107.raw.1.zip	  	    	  	none	17xRILs, 1xLer, 1xCvi	none	flower
static 16-patch 2nd replicate	Arabidopsis thaliana	flower	adult	mixed population	P-MTAB-4190	P-MTAB-4191	s_D3_16patch	P-MTAB-4192	s_D3_16patch	genomic_DNA	P-MTAB-4193	s_D3_16patch_labelled	biotin	unknown	P-MTAB-4194	s_D3_16patch	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	s_D3_16patch.CEL	s_D3_16patch.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-107/E-MTAB-107.raw.1.zip	  	    	  	16-patch	mixed population	static	flower
static 8-patch 1st replicate	Arabidopsis thaliana	flower	adult	mixed population	P-MTAB-4190	P-MTAB-4191	s_C2_8patch	P-MTAB-4192	s_C2_8patch	genomic_DNA	P-MTAB-4193	s_C2_8patch_labelled	biotin	unknown	P-MTAB-4194	s_C2_8patch	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	s_C2_8patch.CEL	s_C2_8patch.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-107/E-MTAB-107.raw.1.zip	  	    	  	8-patch	mixed population	static	flower
dynamic 2-patch 1st replicate	Arabidopsis thaliana	flower	adult	mixed population	P-MTAB-4190	P-MTAB-4191	d_A2_2patch	P-MTAB-4192	d_A2_2patch	genomic_DNA	P-MTAB-4193	d_A2_2patch_labelled	biotin	unknown	P-MTAB-4194	d_A2_2patch	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	d_A2_2patch.CEL	d_A2_2patch.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-107/E-MTAB-107.raw.1.zip	  	    	  	2-patch	mixed population	dynamic	flower
