Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Comment [Sample_source_name]	Comment [Sample_characteristics]	Characteristics[OrganismPart]	Characteristics[DevelopmentalStage]	Characteristics[Ecotype]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[ORGANISM PART]
GSE15160GSM378656	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis heart stage chalazal seed coat captured by LCM:  Chalazal seed coat collected from seeds containing a heart-shaped embryo proper measuring 52-85 microns in length as determined by median section using the LEICA LMD6000 system for microdissection.. development stage: heart stage; tissue: chalazal seed coat captured by LCM; genotype: Ws-0	Arabidopsis heart stage chalazal seed coat captured by LCM	development stage: heart stage; tissue: chalazal seed coat captured by LCM; genotype: Ws-0	chalazal seed coat	heart stage	Ws-0	P-G15160-2	P-G15160-1	GSE15160GSM378656 sample	P-G15160-4	GSE15160GSM378656 extract	total_RNA	P-G15160-3	GSE15160GSM378656 LE biotin	biotin	synthetic_RNA	Laser capture microdissected (LCM) chalazal seed coat at the heart stage, biological replicate 3	A-AFFY-2	P-AFFY-6	GSM378656.CEL	GSM378656.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15160/E-GEOD-15160.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-15160-processed-data-1746258830.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15160/E-GEOD-15160.processed.1.zip	chalazal seed coat
GSE15160GSM378659	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis heart whole seeds captured by LCM:  Serial sections of whole seeds collected from seeds containing a heart-shaped embryo proper measuring 52-85 microns in length as determined by median section using the LEICA LMD6000 system for microdissection.. development stage: heart stage; tissue: whole seeds captured by LCM; genotype: Ws-0	Arabidopsis heart whole seeds captured by LCM	development stage: heart stage; tissue: whole seeds captured by LCM; genotype: Ws-0	seed	heart stage	Ws-0	P-G15160-2	P-G15160-1	GSE15160GSM378659 sample	P-G15160-4	GSE15160GSM378659 extract	total_RNA	P-G15160-3	GSE15160GSM378659 LE biotin	biotin	synthetic_RNA	Laser capture microdissected (LCM) whole seeds at the heart stage, biological replicate 1	A-AFFY-2	P-AFFY-6	GSM378659.CEL	GSM378659.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15160/E-GEOD-15160.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-15160-processed-data-1746258830.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15160/E-GEOD-15160.processed.1.zip	seed
GSE15160GSM378646	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis heart stage embryo proper captured by LCM:  Embryo proper collected from seeds containing a heart-shaped embryo proper measuring 52-85 microns in length as determined by median section using the LEICA LMD6000 system for microdissection.. development stage: heart stage; tissue: embryo proper captured by LCM; genotype: Ws-0	Arabidopsis heart stage embryo proper captured by LCM	development stage: heart stage; tissue: embryo proper captured by LCM; genotype: Ws-0	embryo proper	heart stage	Ws-0	P-G15160-2	P-G15160-1	GSE15160GSM378646 sample	P-G15160-4	GSE15160GSM378646 extract	total_RNA	P-G15160-3	GSE15160GSM378646 LE biotin	biotin	synthetic_RNA	Laser capture microdissected (LCM) embryo proper at the heart stage, biological replicate 2	A-AFFY-2	P-AFFY-6	GSM378646.CEL	GSM378646.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15160/E-GEOD-15160.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-15160-processed-data-1746258830.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15160/E-GEOD-15160.processed.1.zip	embryo proper
GSE15160GSM378657	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis heart stage seed coat captured by LCM:  Seed coat collected from seeds containing a heart-shaped embryo proper measuring 52-85 microns in length as determined by median section using the LEICA LMD6000 system for microdissection.. development stage: heart stage; tissue: seed coat captured by LCM; genotype: Ws-0	Arabidopsis heart stage seed coat captured by LCM	development stage: heart stage; tissue: seed coat captured by LCM; genotype: Ws-0	seed coat	heart stage	Ws-0	P-G15160-2	P-G15160-1	GSE15160GSM378657 sample	P-G15160-4	GSE15160GSM378657 extract	total_RNA	P-G15160-3	GSE15160GSM378657 LE biotin	biotin	synthetic_RNA	Laser capture microdissected (LCM) seed coat at the heart stage, biological replicate 1	A-AFFY-2	P-AFFY-6	GSM378657.CEL	GSM378657.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15160/E-GEOD-15160.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-15160-processed-data-1746258830.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15160/E-GEOD-15160.processed.1.zip	seed coat
GSE15160GSM378650	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis heart stage peripheral endosperm captured by LCM:  Peripheral endosperm collected from seeds containing a heart-shaped embryo proper measuring 52-85 microns in length as determined by median section using the LEICA LMD6000 system for microdissection.. development stage: heart stage; tissue: peripheral endosperm captured by LCM; genotype: Ws-0	Arabidopsis heart stage peripheral endosperm captured by LCM	development stage: heart stage; tissue: peripheral endosperm captured by LCM; genotype: Ws-0	peripheral endosperm	heart stage	Ws-0	P-G15160-2	P-G15160-1	GSE15160GSM378650 sample	P-G15160-4	GSE15160GSM378650 extract	total_RNA	P-G15160-3	GSE15160GSM378650 LE biotin	biotin	synthetic_RNA	Laser capture microdissected (LCM) peripheral endosperm at the heart stage, biological replicate 2	A-AFFY-2	P-AFFY-6	GSM378650.CEL	GSM378650.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15160/E-GEOD-15160.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-15160-processed-data-1746258830.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15160/E-GEOD-15160.processed.1.zip	peripheral endosperm
GSE15160GSM378647	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis heart stage micropylar endosperm captured by LCM:  Micropylar endosperm collected from seeds containing a heart-shaped embryo proper measuring 52-85 microns in length as determined by median section using the LEICA LMD6000 system for microdissection.. development stage: heart stage; tissue: micropylar endosperm captured by LCM; genotype: Ws-0	Arabidopsis heart stage micropylar endosperm captured by LCM	development stage: heart stage; tissue: micropylar endosperm captured by LCM; genotype: Ws-0	micropylar endosperm	heart stage	Ws-0	P-G15160-2	P-G15160-1	GSE15160GSM378647 sample	P-G15160-4	GSE15160GSM378647 extract	total_RNA	P-G15160-3	GSE15160GSM378647 LE biotin	biotin	synthetic_RNA	Laser capture microdissected (LCM) micropylar endosperm at the heart stage, biological replicate 1	A-AFFY-2	P-AFFY-6	GSM378647.CEL	GSM378647.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15160/E-GEOD-15160.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-15160-processed-data-1746258830.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15160/E-GEOD-15160.processed.1.zip	micropylar endosperm
GSE15160GSM378658	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis heart stage seed coat captured by LCM:  Seed coat collected from seeds containing a heart-shaped embryo proper measuring 52-85 microns in length as determined by median section using the LEICA LMD6000 system for microdissection.. development stage: heart stage; tissue: seed coat captured by LCM; genotype: Ws-0	Arabidopsis heart stage seed coat captured by LCM	development stage: heart stage; tissue: seed coat captured by LCM; genotype: Ws-0	seed coat	heart stage	Ws-0	P-G15160-2	P-G15160-1	GSE15160GSM378658 sample	P-G15160-4	GSE15160GSM378658 extract	total_RNA	P-G15160-3	GSE15160GSM378658 LE biotin	biotin	synthetic_RNA	Laser capture microdissected (LCM) seed coat at the heart stage, biological replicate 2	A-AFFY-2	P-AFFY-6	GSM378658.CEL	GSM378658.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15160/E-GEOD-15160.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-15160-processed-data-1746258830.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15160/E-GEOD-15160.processed.1.zip	seed coat
GSE15160GSM378651	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis heart stage chalazal endosperm captured by LCM:  Chalazal endosperm collected from seeds containing a heart-shaped embryo proper measuring 52-85 microns in length as determined by median section using the LEICA LMD6000 system for microdissection.. development stage: heart stage; tissue: chalazal endosperm captured by LCM; genotype: Ws-0	Arabidopsis heart stage chalazal endosperm captured by LCM	development stage: heart stage; tissue: chalazal endosperm captured by LCM; genotype: Ws-0	chalazal endosperm	heart stage	Ws-0	P-G15160-2	P-G15160-1	GSE15160GSM378651 sample	P-G15160-4	GSE15160GSM378651 extract	total_RNA	P-G15160-3	GSE15160GSM378651 LE biotin	biotin	synthetic_RNA	Laser capture microdissected (LCM) chalazal endosperm at the heart stage, biological replicate 1	A-AFFY-2	P-AFFY-6	GSM378651.CEL	GSM378651.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15160/E-GEOD-15160.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-15160-processed-data-1746258830.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15160/E-GEOD-15160.processed.1.zip	chalazal endosperm
GSE15160GSM378648	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis heart stage micropylar endosperm captured by LCM:  Micropylar endosperm collected from seeds containing a heart-shaped embryo proper measuring 52-85 microns in length as determined by median section using the LEICA LMD6000 system for microdissection.. development stage: heart stage; tissue: micropylar endosperm captured by LCM; genotype: Ws-0	Arabidopsis heart stage micropylar endosperm captured by LCM	development stage: heart stage; tissue: micropylar endosperm captured by LCM; genotype: Ws-0	micropylar endosperm	heart stage	Ws-0	P-G15160-2	P-G15160-1	GSE15160GSM378648 sample	P-G15160-4	GSE15160GSM378648 extract	total_RNA	P-G15160-3	GSE15160GSM378648 LE biotin	biotin	synthetic_RNA	Laser capture microdissected (LCM) micropylar endosperm at the heart stage, biological replicate 2	A-AFFY-2	P-AFFY-6	GSM378648.CEL	GSM378648.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15160/E-GEOD-15160.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-15160-processed-data-1746258830.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15160/E-GEOD-15160.processed.1.zip	micropylar endosperm
GSE15160GSM378645	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis heart stage embryo proper captured by LCM:  Embryo proper collected from seeds containing a heart-shaped embryo proper measuring 52-85 microns in length as determined by median section using the LEICA LMD6000 system for microdissection.. development stage: heart stage; tissue: embryo proper captured by LCM; genotype: Ws-0	Arabidopsis heart stage embryo proper captured by LCM	development stage: heart stage; tissue: embryo proper captured by LCM; genotype: Ws-0	embryo proper	heart stage	Ws-0	P-G15160-2	P-G15160-1	GSE15160GSM378645 sample	P-G15160-4	GSE15160GSM378645 extract	total_RNA	P-G15160-3	GSE15160GSM378645 LE biotin	biotin	synthetic_RNA	Laser capture microdissected (LCM) embryo proper at the heart stage, biological replicate 1	A-AFFY-2	P-AFFY-6	GSM378645.CEL	GSM378645.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15160/E-GEOD-15160.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-15160-processed-data-1746258830.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15160/E-GEOD-15160.processed.1.zip	embryo proper
