Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [ecotype]	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]
GSM1820356 1	Gene expression of bri1-5/brs1-1D, repeat 1	bri1-5/brs1-1D light-grown 5-days seedling	brs1-1D#3	Ws-2	bri1-5/brs1-1D	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedling	P-GSE70843-2	ArrayExpress	P-GSE70843-3	ArrayExpress	P-GSE70843-4	ArrayExpress	GSM1820356 extract 1	total RNA	P-GSE70843-5	ArrayExpress	GSM1820356 LE 1	biotin	P-GSE70843-6	ArrayExpress	GSM1820356	A-AFFY-2	ArrayExpress	array assay	P-GSE70843-7	ArrayExpress	GSM1820356_Ara_S__15.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-70843/E-GEOD-70843.raw.1.zip	P-GSE70843-1	ArrayExpress	GSM1820356_sample_table.txt norm	GSM1820356_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-70843/E-GEOD-70843.processed.1.zip	bri1-5/brs1-1D
GSM1820355 1	Gene expression of bri1-5/brs1-1D, repeat 1	bri1-5/brs1-1D light-grown 5-days seedling	brs1-1D#2	Ws-2	bri1-5/brs1-1D	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedling	P-GSE70843-2	ArrayExpress	P-GSE70843-3	ArrayExpress	P-GSE70843-4	ArrayExpress	GSM1820355 extract 1	total RNA	P-GSE70843-5	ArrayExpress	GSM1820355 LE 1	biotin	P-GSE70843-6	ArrayExpress	GSM1820355	A-AFFY-2	ArrayExpress	array assay	P-GSE70843-7	ArrayExpress	GSM1820355_Ara_S__14.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-70843/E-GEOD-70843.raw.1.zip	P-GSE70843-1	ArrayExpress	GSM1820355_sample_table.txt norm	GSM1820355_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-70843/E-GEOD-70843.processed.1.zip	bri1-5/brs1-1D
GSM1820354 1	Gene expression of bri1-5/brs1-1D, repeat 1	bri1-5/brs1-1D light-grown 5-days seedling	brs1-1D#1	Ws-2	bri1-5/brs1-1D	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedling	P-GSE70843-2	ArrayExpress	P-GSE70843-3	ArrayExpress	P-GSE70843-4	ArrayExpress	GSM1820354 extract 1	total RNA	P-GSE70843-5	ArrayExpress	GSM1820354 LE 1	biotin	P-GSE70843-6	ArrayExpress	GSM1820354	A-AFFY-2	ArrayExpress	array assay	P-GSE70843-7	ArrayExpress	GSM1820354_Ara_S__13.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-70843/E-GEOD-70843.raw.1.zip	P-GSE70843-1	ArrayExpress	GSM1820354_sample_table.txt norm	GSM1820354_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-70843/E-GEOD-70843.processed.1.zip	bri1-5/brs1-1D
GSM1820353 1	Gene expression of bri1-5/bak1-1D, repeat 1	bri1-5/bak1-1D light-grown 5-days seedling	bak1-1D#3	Ws-2	bri1-5/bak1-1D	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedling	P-GSE70843-2	ArrayExpress	P-GSE70843-3	ArrayExpress	P-GSE70843-4	ArrayExpress	GSM1820353 extract 1	total RNA	P-GSE70843-5	ArrayExpress	GSM1820353 LE 1	biotin	P-GSE70843-6	ArrayExpress	GSM1820353	A-AFFY-2	ArrayExpress	array assay	P-GSE70843-7	ArrayExpress	GSM1820353_Ara_S__12R.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-70843/E-GEOD-70843.raw.1.zip	P-GSE70843-1	ArrayExpress	GSM1820353_sample_table.txt norm	GSM1820353_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-70843/E-GEOD-70843.processed.1.zip	bri1-5/bak1-1D
GSM1820352 1	Gene expression of bri1-5/bak1-1D, repeat 1	bri1-5/bak1-1D light-grown 5-days seedling	bak1-1D#2	Ws-2	bri1-5/bak1-1D	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedling	P-GSE70843-2	ArrayExpress	P-GSE70843-3	ArrayExpress	P-GSE70843-4	ArrayExpress	GSM1820352 extract 1	total RNA	P-GSE70843-5	ArrayExpress	GSM1820352 LE 1	biotin	P-GSE70843-6	ArrayExpress	GSM1820352	A-AFFY-2	ArrayExpress	array assay	P-GSE70843-7	ArrayExpress	GSM1820352_Ara_S__11.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-70843/E-GEOD-70843.raw.1.zip	P-GSE70843-1	ArrayExpress	GSM1820352_sample_table.txt norm	GSM1820352_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-70843/E-GEOD-70843.processed.1.zip	bri1-5/bak1-1D
GSM1820351 1	Gene expression of bri1-5/bak1-1D, repeat 1	bri1-5/bak1-1D light-grown 5-days seedling	bak1-1D#1	Ws-2	bri1-5/bak1-1D	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedling	P-GSE70843-2	ArrayExpress	P-GSE70843-3	ArrayExpress	P-GSE70843-4	ArrayExpress	GSM1820351 extract 1	total RNA	P-GSE70843-5	ArrayExpress	GSM1820351 LE 1	biotin	P-GSE70843-6	ArrayExpress	GSM1820351	A-AFFY-2	ArrayExpress	array assay	P-GSE70843-7	ArrayExpress	GSM1820351_Ara_S__10.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-70843/E-GEOD-70843.raw.1.zip	P-GSE70843-1	ArrayExpress	GSM1820351_sample_table.txt norm	GSM1820351_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-70843/E-GEOD-70843.processed.1.zip	bri1-5/bak1-1D
GSM1820350 1	Gene expression of bri1-5/bri1-1D, repeat 3	bri1-5/bri1-1D light-grown 5-days seedling	bri1-1D#3	Ws-2	bri1-5/bri1-1D	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedling	P-GSE70843-2	ArrayExpress	P-GSE70843-3	ArrayExpress	P-GSE70843-4	ArrayExpress	GSM1820350 extract 1	total RNA	P-GSE70843-5	ArrayExpress	GSM1820350 LE 1	biotin	P-GSE70843-6	ArrayExpress	GSM1820350	A-AFFY-2	ArrayExpress	array assay	P-GSE70843-7	ArrayExpress	GSM1820350_Ara_S__09.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-70843/E-GEOD-70843.raw.1.zip	P-GSE70843-1	ArrayExpress	GSM1820350_sample_table.txt norm	GSM1820350_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-70843/E-GEOD-70843.processed.1.zip	bri1-5/bri1-1D
GSM1820349 1	Gene expression of bri1-5/bri1-1D, repeat 2	bri1-5/bri1-1D light-grown 5-days seedling	bri1-1D#2	Ws-2	bri1-5/bri1-1D	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedling	P-GSE70843-2	ArrayExpress	P-GSE70843-3	ArrayExpress	P-GSE70843-4	ArrayExpress	GSM1820349 extract 1	total RNA	P-GSE70843-5	ArrayExpress	GSM1820349 LE 1	biotin	P-GSE70843-6	ArrayExpress	GSM1820349	A-AFFY-2	ArrayExpress	array assay	P-GSE70843-7	ArrayExpress	GSM1820349_Ara_S__08.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-70843/E-GEOD-70843.raw.1.zip	P-GSE70843-1	ArrayExpress	GSM1820349_sample_table.txt norm	GSM1820349_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-70843/E-GEOD-70843.processed.1.zip	bri1-5/bri1-1D
GSM1820348 1	Gene expression of bri1-5/bri1-1D, repeat 1	bri1-5/bri1-1D light-grown 5-days seedling	bri1-1D#1	Ws-2	bri1-5/bri1-1D	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedling	P-GSE70843-2	ArrayExpress	P-GSE70843-3	ArrayExpress	P-GSE70843-4	ArrayExpress	GSM1820348 extract 1	total RNA	P-GSE70843-5	ArrayExpress	GSM1820348 LE 1	biotin	P-GSE70843-6	ArrayExpress	GSM1820348	A-AFFY-2	ArrayExpress	array assay	P-GSE70843-7	ArrayExpress	GSM1820348_Ara_S__07.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-70843/E-GEOD-70843.raw.1.zip	P-GSE70843-1	ArrayExpress	GSM1820348_sample_table.txt norm	GSM1820348_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-70843/E-GEOD-70843.processed.1.zip	bri1-5/bri1-1D
GSM1820347 1	Gene expression of bri1-5, repeat 3	bri1-5 light-grown 5-days seedling	bri1-5#3	Ws-2	bri1-5	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedling	P-GSE70843-2	ArrayExpress	P-GSE70843-3	ArrayExpress	P-GSE70843-4	ArrayExpress	GSM1820347 extract 1	total RNA	P-GSE70843-5	ArrayExpress	GSM1820347 LE 1	biotin	P-GSE70843-6	ArrayExpress	GSM1820347	A-AFFY-2	ArrayExpress	array assay	P-GSE70843-7	ArrayExpress	GSM1820347_Ara_S__06.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-70843/E-GEOD-70843.raw.1.zip	P-GSE70843-1	ArrayExpress	GSM1820347_sample_table.txt norm	GSM1820347_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-70843/E-GEOD-70843.processed.1.zip	bri1-5
