Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [cultivar]	Characteristics [organism part]	Characteristics [variation]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [TREATMENT]	FactorValue [VARIATION]
GSM951348 1	2 week-old transgenic plants (Arabidopsis Col-0 background, inducible empty vector) estradiol-induced plants for 6 days Gene expression data from empty inducible vector	2 week-old transgenic plants; 6 days estradiol-induced plants,EV	EV_6d_E	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis Col-0 background, inducible artificial micro RNA	seedlings	WT (Empty Vector)	P-GSE38878-2	ArrayExpress	P-GSE38878-3	ArrayExpress	P-GSE38878-4	ArrayExpress	GSM951348 extract 1	total RNA	P-GSE38878-5	ArrayExpress	GSM951348 LE 1	biotin	P-GSE38878-6	ArrayExpress	GSM951348	A-AFFY-2	ArrayExpress	array assay	P-GSE38878-7	ArrayExpress	P-GSE38878-8	ArrayExpress	GSM951348_camilacaldana_EV_6d_E.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38878/E-GEOD-38878.raw.1.zip	P-GSE38878-1	ArrayExpress	GSM951348_sample_table.txt norm	GSM951348_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38878/E-GEOD-38878.processed.1.zip	6 days estradiol-treated	WT (Empty Vector)
GSM951347 1	2 week-old transgenic plants (Arabidopsis Col-0 background, inducible empty vector) non-induced plants for 6 days Gene expression data from empty inducible vector	2 week-old transgenic plants; 6 days non-induced plants, EV	EV_6d_C	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis Col-0 background, inducible artificial micro RNA	seedlings	WT (Empty Vector)	P-GSE38878-2	ArrayExpress	P-GSE38878-3	ArrayExpress	P-GSE38878-4	ArrayExpress	GSM951347 extract 1	total RNA	P-GSE38878-5	ArrayExpress	GSM951347 LE 1	biotin	P-GSE38878-6	ArrayExpress	GSM951347	A-AFFY-2	ArrayExpress	array assay	P-GSE38878-7	ArrayExpress	P-GSE38878-8	ArrayExpress	GSM951347_camilacaldana_EV_6d_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38878/E-GEOD-38878.raw.1.zip	P-GSE38878-1	ArrayExpress	GSM951347_sample_table.txt norm	GSM951347_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38878/E-GEOD-38878.processed.1.zip	6 days non-treated	WT (Empty Vector)
GSM951346 1	2 week-old transgenic plants (Arabidopsis Col-0 background, inducible artificial micro RNA) estradiol-induced plants for 6 days Gene expression data from empty inducible vector	2 week-old transgenic plants; 6 days estradiol-induced plants, amiR-tor 20	amiR-tor20_6d_E	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis Col-0 background, inducible artificial micro RNA	seedlings	amiR-tor 20	P-GSE38878-2	ArrayExpress	P-GSE38878-3	ArrayExpress	P-GSE38878-4	ArrayExpress	GSM951346 extract 1	total RNA	P-GSE38878-5	ArrayExpress	GSM951346 LE 1	biotin	P-GSE38878-6	ArrayExpress	GSM951346	A-AFFY-2	ArrayExpress	array assay	P-GSE38878-7	ArrayExpress	P-GSE38878-8	ArrayExpress	GSM951346_camilacaldana_amiR_tor20_6d_E.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38878/E-GEOD-38878.raw.1.zip	P-GSE38878-1	ArrayExpress	GSM951346_sample_table.txt norm	GSM951346_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38878/E-GEOD-38878.processed.1.zip	6 days estradiol-treated	amiR-tor 20
GSM951345 1	2 week-old transgenic plants (Arabidopsis Col-0 background, inducible artificial micro RNA) non-induced plants for 6 days Gene expression data from empty inducible vector	2 week-old transgenic plants; 6 days non-induced plants, amiR-tor 20	amiR-tor20_6d_C	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis Col-0 background, inducible artificial micro RNA	seedlings	amiR-tor 20	P-GSE38878-2	ArrayExpress	P-GSE38878-3	ArrayExpress	P-GSE38878-4	ArrayExpress	GSM951345 extract 1	total RNA	P-GSE38878-5	ArrayExpress	GSM951345 LE 1	biotin	P-GSE38878-6	ArrayExpress	GSM951345	A-AFFY-2	ArrayExpress	array assay	P-GSE38878-7	ArrayExpress	P-GSE38878-8	ArrayExpress	GSM951345_camilacaldana_amiR_tor20_6d_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38878/E-GEOD-38878.raw.1.zip	P-GSE38878-1	ArrayExpress	GSM951345_sample_table.txt norm	GSM951345_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38878/E-GEOD-38878.processed.1.zip	6 days non-treated	amiR-tor 20
GSM951344 1	2 week-old transgenic plants (Arabidopsis Col-0 background, inducible artificial micro RNA) estradiol-induced plants for 6 days Gene expression data from empty inducible vector	2 week-old transgenic plants; 6 days estradiol-induced plants, amiR-tor 17	amiR-tor17_6d_E	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis Col-0 background, inducible artificial micro RNA	seedlings	amiR-tor 17	P-GSE38878-2	ArrayExpress	P-GSE38878-3	ArrayExpress	P-GSE38878-4	ArrayExpress	GSM951344 extract 1	total RNA	P-GSE38878-5	ArrayExpress	GSM951344 LE 1	biotin	P-GSE38878-6	ArrayExpress	GSM951344	A-AFFY-2	ArrayExpress	array assay	P-GSE38878-7	ArrayExpress	P-GSE38878-8	ArrayExpress	GSM951344_camilacaldana_amiR_tor17_6d_E.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38878/E-GEOD-38878.raw.1.zip	P-GSE38878-1	ArrayExpress	GSM951344_sample_table.txt norm	GSM951344_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38878/E-GEOD-38878.processed.1.zip	6 days estradiol-treated	amiR-tor 17
GSM951343 1	2 week-old transgenic plants (Arabidopsis Col-0 background, inducible artificial micro RNA) non-induced plants for 6 days Gene expression data from empty inducible vector	2 week-old transgenic plants; 6 days non-induced plants, amiR-tor 17	amiR-tor17_6d_C	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis Col-0 background, inducible artificial micro RNA	seedlings	amiR-tor 17	P-GSE38878-2	ArrayExpress	P-GSE38878-3	ArrayExpress	P-GSE38878-4	ArrayExpress	GSM951343 extract 1	total RNA	P-GSE38878-5	ArrayExpress	GSM951343 LE 1	biotin	P-GSE38878-6	ArrayExpress	GSM951343	A-AFFY-2	ArrayExpress	array assay	P-GSE38878-7	ArrayExpress	P-GSE38878-8	ArrayExpress	GSM951343_camilacaldana_amiR_tor17_6d_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38878/E-GEOD-38878.raw.1.zip	P-GSE38878-1	ArrayExpress	GSM951343_sample_table.txt norm	GSM951343_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38878/E-GEOD-38878.processed.1.zip	6 days non-treated	amiR-tor 17
GSM951342 1	2 week-old transgenic plants (Arabidopsis Col-0 background, inducible artificial micro RNA) estradiol-induced plants for 6 days Gene expression data from empty inducible vector	2 week-old transgenic plants; 6 days estradiol-induced plants, amiR-tor 9	amiR-tor9_6d_E	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis Col-0 background, inducible artificial micro RNA	seedlings	amiR-tor 9	P-GSE38878-2	ArrayExpress	P-GSE38878-3	ArrayExpress	P-GSE38878-4	ArrayExpress	GSM951342 extract 1	total RNA	P-GSE38878-5	ArrayExpress	GSM951342 LE 1	biotin	P-GSE38878-6	ArrayExpress	GSM951342	A-AFFY-2	ArrayExpress	array assay	P-GSE38878-7	ArrayExpress	P-GSE38878-8	ArrayExpress	GSM951342_camilacaldana_amiR_tor9_6d_E.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38878/E-GEOD-38878.raw.1.zip	P-GSE38878-1	ArrayExpress	GSM951342_sample_table.txt norm	GSM951342_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38878/E-GEOD-38878.processed.1.zip	6 days estradiol-treated	amiR-tor 9
GSM951341 1	2 week-old transgenic plants (Arabidopsis Col-0 background, inducible artificial micro RNA) non-induced plants for 6 days Gene expression data from empty inducible vector	2 week-old transgenic plants; 6 days non-induced plants, amiR-tor 9	amiR-tor9_6d_C	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis Col-0 background, inducible artificial micro RNA	seedlings	amiR-tor 9	P-GSE38878-2	ArrayExpress	P-GSE38878-3	ArrayExpress	P-GSE38878-4	ArrayExpress	GSM951341 extract 1	total RNA	P-GSE38878-5	ArrayExpress	GSM951341 LE 1	biotin	P-GSE38878-6	ArrayExpress	GSM951341	A-AFFY-2	ArrayExpress	array assay	P-GSE38878-7	ArrayExpress	P-GSE38878-8	ArrayExpress	GSM951341_camilacaldana_amiR_tor9_6d_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38878/E-GEOD-38878.raw.1.zip	P-GSE38878-1	ArrayExpress	GSM951341_sample_table.txt norm	GSM951341_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38878/E-GEOD-38878.processed.1.zip	6 days non-treated	amiR-tor 9
GSM951340 1	2 week-old transgenic plants (Arabidopsis Col-0 background, inducible empty vector) estradiol-induced plants for 3 days Gene expression data from empty inducible vector	2 week-old transgenic plants; 3 days estradiol-induced plants,EV	EV_3d_E	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis Col-0 background, inducible artificial micro RNA	seedlings	WT (Empty Vector)	P-GSE38878-2	ArrayExpress	P-GSE38878-3	ArrayExpress	P-GSE38878-4	ArrayExpress	GSM951340 extract 1	total RNA	P-GSE38878-5	ArrayExpress	GSM951340 LE 1	biotin	P-GSE38878-6	ArrayExpress	GSM951340	A-AFFY-2	ArrayExpress	array assay	P-GSE38878-7	ArrayExpress	P-GSE38878-8	ArrayExpress	GSM951340_camilacaldana_EV_3d_E.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38878/E-GEOD-38878.raw.1.zip	P-GSE38878-1	ArrayExpress	GSM951340_sample_table.txt norm	GSM951340_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38878/E-GEOD-38878.processed.1.zip	3 days estradiol-treated	WT (Empty Vector)
GSM951339 1	2 week-old transgenic plants (Arabidopsis Col-0 background, inducible empty vector) non-induced plants for 3 days Gene expression data from empty inducible vector	2 week-old transgenic plants; 3 days non-induced plants, EV	EV_3d_C	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis Col-0 background, inducible artificial micro RNA	seedlings	WT (Empty Vector)	P-GSE38878-2	ArrayExpress	P-GSE38878-3	ArrayExpress	P-GSE38878-4	ArrayExpress	GSM951339 extract 1	total RNA	P-GSE38878-5	ArrayExpress	GSM951339 LE 1	biotin	P-GSE38878-6	ArrayExpress	GSM951339	A-AFFY-2	ArrayExpress	array assay	P-GSE38878-7	ArrayExpress	P-GSE38878-8	ArrayExpress	GSM951339_camilacaldana_EV_3d_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38878/E-GEOD-38878.raw.1.zip	P-GSE38878-1	ArrayExpress	GSM951339_sample_table.txt norm	GSM951339_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38878/E-GEOD-38878.processed.1.zip	3 days non-treated	WT (Empty Vector)
