Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Scan Name	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
GSE1512GSM26234	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	flk:  16-day-old continuous-light-grown flk..	GSE1512GSM26234 sample	GSE1512GSM26234 extract	total_RNA	GSE1512GSM26234 LE	biotin	synthetic_RNA	flk_ath1_exp2_f2	A-AFFY-2	flk_ath1_exp2_f2	E-GEOD-1512-processed-data-1626225186.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1512/E-GEOD-1512.processed.1.zip
GSE1512GSM26228	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	flk:  16-day-old long-day grown flk. Tissues were collected at 16hrs after dawn..	GSE1512GSM26228 sample	GSE1512GSM26228 extract	total_RNA	GSE1512GSM26228 LE	biotin	synthetic_RNA	flk_ath1_exp1_f2	A-AFFY-2	flk_ath1_exp1_f2	E-GEOD-1512-processed-data-1626225186.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1512/E-GEOD-1512.processed.1.zip
GSE1512GSM26230	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  16-day-old continuous-light-grown Col-0..	GSE1512GSM26230 sample	GSE1512GSM26230 extract	total_RNA	GSE1512GSM26230 LE	biotin	synthetic_RNA	flk_ath1_exp2_c1	A-AFFY-2	flk_ath1_exp2_c1	E-GEOD-1512-processed-data-1626225186.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1512/E-GEOD-1512.processed.1.zip
GSE1512GSM26232	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  16-day-old continuous-light-grown Col-0..	GSE1512GSM26232 sample	GSE1512GSM26232 extract	total_RNA	GSE1512GSM26232 LE	biotin	synthetic_RNA	flk_ath1_exp2_c3	A-AFFY-2	flk_ath1_exp2_c3	E-GEOD-1512-processed-data-1626225186.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1512/E-GEOD-1512.processed.1.zip
GSE1512GSM26236	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  7-day-old long-day grown Col-0. Tissues collected at 1hr after dawn..	GSE1512GSM26236 sample	GSE1512GSM26236 extract	total_RNA	GSE1512GSM26236 LE	biotin	synthetic_RNA	flk_ath1_exp3_c1	A-AFFY-2	flk_ath1_exp3_c1	E-GEOD-1512-processed-data-1626225186.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1512/E-GEOD-1512.processed.1.zip
GSE1512GSM26229	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	flk:  16-day-old long-day grown flk. Tissues were collected at 16hrs after dawn..	GSE1512GSM26229 sample	GSE1512GSM26229 extract	total_RNA	GSE1512GSM26229 LE	biotin	synthetic_RNA	flk_ath1_exp1_f3	A-AFFY-2	flk_ath1_exp1_f3	E-GEOD-1512-processed-data-1626225186.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1512/E-GEOD-1512.processed.1.zip
GSE1512GSM26239	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	flk:  7-day-old long-day grown flk. Tissues collected at 1hr after dawn..	GSE1512GSM26239 sample	GSE1512GSM26239 extract	total_RNA	GSE1512GSM26239 LE	biotin	synthetic_RNA	flk_ath1_exp3_f1	A-AFFY-2	flk_ath1_exp3_f1	E-GEOD-1512-processed-data-1626225186.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1512/E-GEOD-1512.processed.1.zip
GSE1512GSM26224	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  16-day-old long-day grown Col-0. Tissues were collected at 16hrs after dawn..	GSE1512GSM26224 sample	GSE1512GSM26224 extract	total_RNA	GSE1512GSM26224 LE	biotin	synthetic_RNA	flk_ath1_exp1_c1	A-AFFY-2	flk_ath1_exp1_c1	E-GEOD-1512-processed-data-1626225186.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1512/E-GEOD-1512.processed.1.zip
GSE1512GSM26225	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  16-day-old long-day grown Col-0. Tissues were collected at 16hrs after dawn..	GSE1512GSM26225 sample	GSE1512GSM26225 extract	total_RNA	GSE1512GSM26225 LE	biotin	synthetic_RNA	flk_ath1_exp1_c2	A-AFFY-2	flk_ath1_exp1_c2	E-GEOD-1512-processed-data-1626225186.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1512/E-GEOD-1512.processed.1.zip
GSE1512GSM26231	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  16-day-old continuous-light-grown Col-0..	GSE1512GSM26231 sample	GSE1512GSM26231 extract	total_RNA	GSE1512GSM26231 LE	biotin	synthetic_RNA	flk_ath1_exp2_c2	A-AFFY-2	flk_ath1_exp2_c2	E-GEOD-1512-processed-data-1626225186.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1512/E-GEOD-1512.processed.1.zip
