Source Name	Characteristics [Age]	Characteristics [TimeUnit]	Characteristics [InitialTimePoint]	Characteristics [StrainOrLine]	Characteristics [GeneticModification]	Characteristics [OrganismPart]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [BioSourceType]	Characteristics [Genotype]	Characteristics [DevelopmentalStage]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value [media]	Parameter Value [min temperature]	Parameter Value [stop time]	Protocol REF	Sample Name	Protocol REF	Parameter Value [Amplification]	Parameter Value [Extracted product]	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [time]	Unit [TimeUnit]	Factor Value [GrowthCondition]	Factor Value [genotype]	Factor Value [strain]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
phyB9_SD_08_32	7	days	dark to light transition 8th day	col	induced_mutation	whole seedling	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	phyB9	seedling	EFO	EFO_0001992	P-MEXP-101651	½ LS media with 0.8% agar at pH 5.8	22	7	P-MEXP-101654	phyB9_SD_08_32	P-MEXP-101652	none	total RNA	phyB9_SD_08_32	total_RNA	P-AFFY-2	phyB9_SD_08_32	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	phyB9_SD_08_32	A-AFFY-2	P-AFFY-6	8	h	8hr light: 16hr dark	phyB9	col	phyB9_SD_08_32	phyB9_SD_08.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.processed.1.zip
col_SD_20_29	7	days	dark to light transition 8th day	col	  	whole seedling	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	wild_type	seedling	EFO	EFO_0001992	P-MEXP-101651	½ LS media with 0.8% agar at pH 5.8	22	7	P-MEXP-101654	col_SD_20_29	P-MEXP-101652	none	total RNA	col_SD_20_29	total_RNA	P-AFFY-2	col_SD_20_29	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	col_SD_20_29	A-AFFY-2	P-AFFY-6	20	h	8hr light: 16hr dark	wild_type	col	col_SD_20_29	col_SD_20.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.processed.1.zip
ler_SD_04_13	7	days	dark to light transition 8th day	ler	  	whole seedling	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	wild_type	seedling	EFO	EFO_0001992	P-MEXP-101651	½ LS media with 0.8% agar at pH 5.8	22	7	P-MEXP-101654	ler_SD_04_13	P-MEXP-101652	none	total RNA	ler_SD_04_13	total_RNA	P-AFFY-2	ler_SD_04_13	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	ler_SD_04_13	A-AFFY-2	P-AFFY-6	4	h	8hr light: 16hr dark	wild_type	ler	ler_SD_04_13	ler_SD_04.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.processed.1.zip
lux2_ID_00_6	7	days	dark to light transition 8th day	col	induced_mutation	whole seedling	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	lux-2	seedling	EFO	EFO_0001992	P-MEXP-101651	½ LS media with 0.8% agar at pH 5.8	22	7	P-MEXP-101654	lux2_ID_00_6	P-MEXP-101652	none	total RNA	lux2_ID_00_6	total_RNA	P-AFFY-2	lux2_ID_00_6	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	lux2_ID_00_6	A-AFFY-2	P-AFFY-6	0	h	12hr light: 12hr dark	lux-2	col	lux2_ID_00_6	lux2_ID_00.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.processed.1.zip
lhy_SD_08_20	7	days	dark to light transition 8th day	ler	induced_mutation	whole seedling	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	lhy	seedling	EFO	EFO_0001992	P-MEXP-101651	½ LS media with 0.8% agar at pH 5.8	22	7	P-MEXP-101654	lhy_SD_08_20	P-MEXP-101652	none	total RNA	lhy_SD_08_20	total_RNA	P-AFFY-2	lhy_SD_08_20	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	lhy_SD_08_20	A-AFFY-2	P-AFFY-6	8	h	8hr light: 16hr dark	lhy	ler	lhy_SD_08_20	lhy_SD_08.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.processed.1.zip
col_ID_20_5	7	days	dark to light transition 8th day	col	  	whole seedling	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	wild_type	seedling	EFO	EFO_0001992	P-MEXP-101651	½ LS media with 0.8% agar at pH 5.8	22	7	P-MEXP-101654	col_ID_20_5	P-MEXP-101652	none	total RNA	col_ID_20_5	total_RNA	P-AFFY-2	col_ID_20_5	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	col_ID_20_5	A-AFFY-2	P-AFFY-6	20	h	12hr light: 12hr dark	wild_type	col	col_ID_20_5	col_ID_20.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.processed.1.zip
phyB9_SD_12_33	7	days	dark to light transition 8th day	col	induced_mutation	whole seedling	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	phyB9	seedling	EFO	EFO_0001992	P-MEXP-101651	½ LS media with 0.8% agar at pH 5.8	22	7	P-MEXP-101654	phyB9_SD_12_33	P-MEXP-101652	none	total RNA	phyB9_SD_12_33	total_RNA	P-AFFY-2	phyB9_SD_12_33	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	phyB9_SD_12_33	A-AFFY-2	P-AFFY-6	12	h	8hr light: 16hr dark	phyB9	col	phyB9_SD_12_33	phyB9_SD_12.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.processed.1.zip
lux2_ID_20_11	7	days	dark to light transition 8th day	col	induced_mutation	whole seedling	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	lux-2	seedling	EFO	EFO_0001992	P-MEXP-101651	½ LS media with 0.8% agar at pH 5.8	22	7	P-MEXP-101654	lux2_ID_20_11	P-MEXP-101652	none	total RNA	lux2_ID_20_11	total_RNA	P-AFFY-2	lux2_ID_20_11	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	lux2_ID_20_11	A-AFFY-2	P-AFFY-6	20	h	12hr light: 12hr dark	lux-2	col	lux2_ID_20_11	lux2_ID_20.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.processed.1.zip
ler_SD_16_16	7	days	dark to light transition 8th day	ler	  	whole seedling	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	wild_type	seedling	EFO	EFO_0001992	P-MEXP-101651	½ LS media with 0.8% agar at pH 5.8	22	7	P-MEXP-101654	ler_SD_16_16	P-MEXP-101652	none	total RNA	ler_SD_16_16	total_RNA	P-AFFY-2	ler_SD_16_16	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	ler_SD_16_16	A-AFFY-2	P-AFFY-6	16	h	8hr light: 16hr dark	wild_type	ler	ler_SD_16_16	ler_SD_16.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.processed.1.zip
col_SD_12_27	7	days	dark to light transition 8th day	col	  	whole seedling	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	wild_type	seedling	EFO	EFO_0001992	P-MEXP-101651	½ LS media with 0.8% agar at pH 5.8	22	7	P-MEXP-101654	col_SD_12_27	P-MEXP-101652	none	total RNA	col_SD_12_27	total_RNA	P-AFFY-2	col_SD_12_27	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	col_SD_12_27	A-AFFY-2	P-AFFY-6	12	h	8hr light: 16hr dark	wild_type	col	col_SD_12_27	col_SD_12.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.processed.1.zip
