Source Name	Characteristics [age]	Unit [time unit]	Characteristics [genotype]	Characteristics [organism part]	Characteristics [organism]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	Factor Value [genotype]	Factor Value [age]	Unit [time unit]
CHIP_211_B	25	day	fri flc double mutant	shoot apex	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-36	P-TABM-34	CHIP_211_B	P-TABM-35	CHIP_211_B	total_RNA	P-TABM-37	CHIP_211_B biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: CHIP_211_B	A-AFFY-2	P-AFFY-6	MBA: CHIP_211_B	CHIP_211_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-19-processed-data-1342978377.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.processed.1.zip	fri flc double mutant	25	day
CHIP_211_C	25	day	fri flc double mutant	shoot apex	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-36	P-TABM-34	CHIP_211_C	P-TABM-35	CHIP_211_C	total_RNA	P-TABM-37	CHIP_211_C biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: CHIP_211_C	A-AFFY-2	P-AFFY-6	MBA: CHIP_211_C	CHIP_211_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-19-processed-data-1342978377.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.processed.1.zip	fri flc double mutant	25	day
CHIP_211_A	25	day	fri flc double mutant	shoot apex	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-36	P-TABM-34	CHIP_211_A	P-TABM-35	CHIP_211_A	total_RNA	P-TABM-37	CHIP_211_A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: CHIP_211_A	A-AFFY-2	P-AFFY-6	MBA: CHIP_211_A	CHIP_211_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-19-processed-data-1342978377.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.processed.1.zip	fri flc double mutant	25	day
CHIP_212_A	28	day	fri flc double mutant	shoot apex	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-36	P-TABM-34	CHIP_212_A	P-TABM-35	CHIP_212_A	total_RNA	P-TABM-37	CHIP_212_A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: CHIP_212_A	A-AFFY-2	P-AFFY-6	MBA: CHIP_212_A	CHIP_212_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-19-processed-data-1342978377.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.processed.1.zip	fri flc double mutant	28	day
CHIP_212_C	28	day	fri flc double mutant	shoot apex	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-36	P-TABM-34	CHIP_212_C	P-TABM-35	CHIP_212_C	total_RNA	P-TABM-37	CHIP_212_C biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: CHIP_212_C	A-AFFY-2	P-AFFY-6	MBA: CHIP_212_C	CHIP_212_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-19-processed-data-1342978377.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.processed.1.zip	fri flc double mutant	28	day
CHIP_212_B	28	day	fri flc double mutant	shoot apex	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-36	P-TABM-34	CHIP_212_B	P-TABM-35	CHIP_212_B	total_RNA	P-TABM-37	CHIP_212_B biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: CHIP_212_B	A-AFFY-2	P-AFFY-6	MBA: CHIP_212_B	CHIP_212_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-19-processed-data-1342978377.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.processed.1.zip	fri flc double mutant	28	day
CHIP_213_A	30	day	fri flc double mutant	shoot apex	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-36	P-TABM-34	CHIP_213_A	P-TABM-35	CHIP_213_A	total_RNA	P-TABM-37	CHIP_213_A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: CHIP_213_A	A-AFFY-2	P-AFFY-6	MBA: CHIP_213_A	CHIP_213_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-19-processed-data-1342978377.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.processed.1.zip	fri flc double mutant	30	day
CHIP_213_C	30	day	fri flc double mutant	shoot apex	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-36	P-TABM-34	CHIP_213_C	P-TABM-35	CHIP_213_C	total_RNA	P-TABM-37	CHIP_213_C biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: CHIP_213_C	A-AFFY-2	P-AFFY-6	MBA: CHIP_213_C	CHIP_213_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-19-processed-data-1342978377.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.processed.1.zip	fri flc double mutant	30	day
CHIP_213_B	30	day	fri flc double mutant	shoot apex	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-36	P-TABM-34	CHIP_213_B	P-TABM-35	CHIP_213_B	total_RNA	P-TABM-37	CHIP_213_B biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: CHIP_213_B	A-AFFY-2	P-AFFY-6	MBA: CHIP_213_B	CHIP_213_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-19-processed-data-1342978377.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.processed.1.zip	fri flc double mutant	30	day
CHIP_214_A	32	day	fri flc double mutant	shoot apex	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-36	P-TABM-34	CHIP_214_A	P-TABM-35	CHIP_214_A	total_RNA	P-TABM-37	CHIP_214_A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: CHIP_214_A	A-AFFY-2	P-AFFY-6	MBA: CHIP_214_A	CHIP_214_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-19-processed-data-1342978377.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.processed.1.zip	fri flc double mutant	32	day
