Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[Genotype]	Characteristics[DevelopmentalStage]	Characteristics[Ecotype]	Description	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[COMPOUND]	FactorValue[GENOTYPE]
GSE7432GSM179972	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	seedling	Col-0	Arabidopsis roots. Control for the IAA treatment.:  Wild-type Col-0 seeds were surface-sterilized and deposited onto a Nylon membrane (Sefar filtration, 03-100/47) that had been previously autoclave-sterilized and laid on the surface of sterile AT plates. Seeds were stratified for three days at 4ÂºC in the dark, and then exposed to light for one hour at room temperature. Plates with seeds were placed in a vertical orientation and incubated for three days in the dark at 22ÂºC.  Seedlings were then sprayed with a 0.01% EtOH solution (mock treatment) under safe green light and incubated in the dark for four hours. 50 ml of RNAlater solution were then poured into the plates and the membranes with the seedlings were transferred to new plates containing 50 ml of fresh RNAlater solution. Using a razorblade, the roots were dissected from the hypocotyls while still submerged into the RNAlater solution, transferred to a microfuge tube and frozen at â80ÂºC.. Wild-type Arabidopsis seeds (Col-0) were germinated in the dark for 72 hours in sterile vertical plates. Seedlings were sprayed with 0.01% EtOH (mock treatment) under safe green light and incubated for 4 additional hours in the dark.	GSE7432GSM179972 sample	P-G7432-2	GSE7432GSM179972 extract	total_RNA	P-G7432-1	GSE7432GSM179972 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis roots, mock treatment, replica 2	A-AFFY-2	P-AFFY-6	Arabidopsis roots, mock treatment, replica 2	GSM179972.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7432/E-GEOD-7432.raw.1.zip	E-GEOD-7432-processed-data-1630145231.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7432/E-GEOD-7432.processed.1.zip	none	wild_type
GSE7432GSM179975	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	ein2 mutant	seedling	Col-0	Arabidopsis ein2 mutant roots. Control for the IAA treatment.:  ein2-5 mutant seeds were surface-sterilized and deposited onto a Nylon membrane (Sefar filtration, 03-100/47) that had been previously autoclave-sterilized and laid on the surface of sterile AT plates. Seeds were stratified for three days at 4ÂºC in the dark, and then exposed to light for one hour at room temperature. Plates with seeds were placed in a vertical orientation and incubated for three days in the dark at 22ÂºC. Seedlings were then sprayed with a 0.01% EtOH solution (mock treatment) under safe green light and incubated in the dark for four hours. 50 ml of RNAlater solution were then poured into the plates and the membranes with the seedlings were transferred to new plates containing 50 ml of fresh RNAlater solution. Using a razorblade, the roots were dissected from the hypocotyls while still submerged into the RNAlater solution, transferred to a microfuge tube and frozen at â80ÂºC.. Arabidopsis ein2 mutant seeds (ein2-5) were germinated in the dark for 72 hours in sterile vertical plates. Seedlings were sprayed with 0.01% EtOH (mock treatment) under safe green light four hours and incubated for 4 hours in the dark.	GSE7432GSM179975 sample	P-G7432-2	GSE7432GSM179975 extract	total_RNA	P-G7432-1	GSE7432GSM179975 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis ein2 mutant roots, mock treatment, replica 1	A-AFFY-2	P-AFFY-6	Arabidopsis ein2 mutant roots, mock treatment, replica 1	GSM179975.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7432/E-GEOD-7432.raw.1.zip	E-GEOD-7432-processed-data-1630145231.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7432/E-GEOD-7432.processed.1.zip	none	ein2 mutant
GSE7432GSM179961	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	seedling	Col-0	Arabidopsis roots. Ethylene treatment.:  Wild-type Col-0 seeds were surface-sterilized and deposited onto a Nylon membrane (Sefar filtration, 03-100/47) that had been previously autoclave-sterilized and laid on the surface of sterile AT plates. Seeds were stratified for three days at 4ÂºC in the dark, and then exposed to light for one hour at room temperature. Plates with seeds were placed in a vertical orientation and incubated for three days in the dark at 22ÂºC.  Hydrocarbon-free air supplemented with 10ppm of ethylene was flushed through the plates with seedlings for four hours. 50 ml of RNAlater solution was poured into the plates and the membranes with the seedlings were transferred to new plates containing 50 ml of fresh RNAlater solution. Using a razorblade, the roots were dissected from the hypocotyls while still submerged into the RNAlater solution, transferred to a microfuge tube and frozen at â80ÂºC.. Wild-type Arabidopsis seeds (Col-0) were germinated in the dark for 72 hours in sterile vertical plates. Hydrocarbone-free air supplemented with 10 ppm of ethylene was flushed through the plates with seedlings for four additional hours.	GSE7432GSM179961 sample	P-G7432-2	GSE7432GSM179961 extract	total_RNA	P-G7432-1	GSE7432GSM179961 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis roots, ethylene treatment, replica 2	A-AFFY-2	P-AFFY-6	Arabidopsis roots, ethylene treatment, replica 2	GSM179961.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7432/E-GEOD-7432.raw.1.zip	E-GEOD-7432-processed-data-1630145231.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7432/E-GEOD-7432.processed.1.zip	ethylene	wild_type
GSE7432GSM179959	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	seedling	Col-0	Arabidopsis roots. Air treatment control.:  Wild-type Col-0 seeds were surface-sterilized and deposited onto a Nylon membrane (Sefar filtration, 03-100/47) that had been previously autoclave-sterilized and laid on the surface of sterile AT plates. Seeds were stratified for three days at 4ÂºC in the dark, and then exposed to light for one hour at room temperature. Plates with seeds were placed in a vertical orientation and incubated for three days in the dark at 22ÂºC.  Hydrocarbon-free air was flushed through the plates with seedlings for four hours. 50 ml of RNAlater solution was poured into the plates and the membranes with the seedlings were transferred to new plates containing 50 ml of fresh RNAlater solution. Using a razorblade, the roots were dissected from the hypocotyls while still submerged into the RNAlater solution, transferred to a microfuge tube and frozen at â80ÂºC.. Wild-type Arabidopsis seeds (Col-0) were germinated in the dark for 72 hours in sterile vertical plates. Hydrocarbon-free air was flushed through the plates with seedlings for four additional hours.	GSE7432GSM179959 sample	P-G7432-2	GSE7432GSM179959 extract	total_RNA	P-G7432-1	GSE7432GSM179959 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis roots, air treatment, replica 2	A-AFFY-2	P-AFFY-6	Arabidopsis roots, air treatment, replica 2	GSM179959.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7432/E-GEOD-7432.raw.1.zip	E-GEOD-7432-processed-data-1630145231.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7432/E-GEOD-7432.processed.1.zip	none	wild_type
GSE7432GSM179973	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	seedling	Col-0	Arabidopsis roots. IAA treatment.:  Wild-type Col-0 seeds were surface-sterilized and deposited onto a Nylon membrane (Sefar filtration, 03-100/47) that had been previously autoclave-sterilized and laid on the surface of sterile AT plates. Seeds were stratified for three days at 4ÂºC in the dark, and then exposed to light for one hour at room temperature. Plates with seeds were placed in a vertical orientation and incubated for three days in the dark at 22ÂºC.  Seedlings were then sprayed with 1 microMolar IAA in a 0.01% EtOH solution under safe green light and incubated in the dark for four hours. 50 ml of RNAlater solution were then poured into the plates and the membranes with the seedlings were transferred to new plates containing 50 ml of fresh RNAlater solution. Using a razorblade, the roots were dissected from the hypocotyls while still submerged into the RNAlater solution, transferred to a microfuge tube and frozen at â80ÂºC.. Wild-type Arabidopsis seeds (Col-0) were germinated in the dark for 72 hours. Seedlings were grown in sterile vertical plates. Seedlings were sprayed with 1 microMolar IAA in a 0.01% EtOH solution under safe green light and incubated for 4 additional hours in the dark.	GSE7432GSM179973 sample	P-G7432-2	GSE7432GSM179973 extract	total_RNA	P-G7432-1	GSE7432GSM179973 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis roots, IAA treatment, replica 1	A-AFFY-2	P-AFFY-6	Arabidopsis roots, IAA treatment, replica 1	GSM179973.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7432/E-GEOD-7432.raw.1.zip	E-GEOD-7432-processed-data-1630145231.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7432/E-GEOD-7432.processed.1.zip	indole-3-acetic acid	wild_type
GSE7432GSM179976	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	ein2 mutant	seedling	Col-0	Arabidopsis ein2 mutant roots. Control for the IAA treatment.:  ein2-5 mutant seeds were surface-sterilized and deposited onto a Nylon membrane (Sefar filtration, 03-100/47) that had been previously autoclave-sterilized and laid on the surface of sterile AT plates. Seeds were stratified for three days at 4ÂºC in the dark, and then exposed to light for one hour at room temperature. Plates with seeds were placed in a vertical orientation and incubated for three days in the dark at 22ÂºC. Seedlings were then sprayed with a 0.01% EtOH solution (mock treatment) under safe green light and incubated in the dark for four hours. 50 ml of RNAlater solution were then poured into the plates and the membranes with the seedlings were transferred to new plates containing 50 ml of fresh RNAlater solution. Using a razorblade, the roots were dissected from the hypocotyls while still submerged into the RNAlater solution, transferred to a microfuge tube and frozen at â80ÂºC.. Arabidopsis ein2 mutant seeds (ein2-5) were germinated in the dark for 72 hours in sterile vertical plates. Seedlings were sprayed with 0.01% EtOH (mock treatment) under safe green light and incubated for 4 additional hours in the dark.	GSE7432GSM179976 sample	P-G7432-2	GSE7432GSM179976 extract	total_RNA	P-G7432-1	GSE7432GSM179976 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis ein2 mutant roots, mock treatment, replica 2	A-AFFY-2	P-AFFY-6	Arabidopsis ein2 mutant roots, mock treatment, replica 2	GSM179976.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7432/E-GEOD-7432.raw.1.zip	E-GEOD-7432-processed-data-1630145231.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7432/E-GEOD-7432.processed.1.zip	none	ein2 mutant
GSE7432GSM179974	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	seedling	Col-0	Arabidopsis roots. IAA treatment.:  Wild-type Col-0 seeds were surface-sterilized and deposited onto a Nylon membrane (Sefar filtration, 03-100/47) that had been previously autoclave-sterilized and laid on the surface of sterile AT plates. Seeds were stratified for three days at 4ÂºC in the dark, and then exposed to light for one hour at room temperature. Plates with seeds were placed in a vertical orientation and incubated for three days in the dark at 22ÂºC.  Seedlings were then sprayed with 1 microMolar IAA in a 0.01% EtOH solution under safe green light and incubated in the dark for four hours. 50 ml of RNAlater solution were then poured into the plates and the membranes with the seedlings were transferred to new plates containing 50 ml of fresh RNAlater solution. Using a razorblade, the roots were dissected from the hypocotyls while still submerged into the RNAlater solution, transferred to a microfuge tube and frozen at â80ÂºC.. Wild-type Arabidopsis seeds (Col-0) were germinated in the dark for 72 hours in sterile vertical plates. Seedlings were sprayed with 1 microMolar IAA in a 0.01% EtOH solution under safe green light and incubated for 4 additional hours in the dark.	GSE7432GSM179974 sample	P-G7432-2	GSE7432GSM179974 extract	total_RNA	P-G7432-1	GSE7432GSM179974 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis roots, IAA treatment, replica 2	A-AFFY-2	P-AFFY-6	Arabidopsis roots, IAA treatment, replica 2	GSM179974.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7432/E-GEOD-7432.raw.1.zip	E-GEOD-7432-processed-data-1630145231.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7432/E-GEOD-7432.processed.1.zip	indole-3-acetic acid	wild_type
GSE7432GSM179960	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	seedling	Col-0	Arabidopsis roots. Ethylene treatment.:  Wild-type Col-0 seeds were surface-sterilized and deposited onto a Nylon membrane (Sefar filtration, 03-100/47) that had been previously autoclave-sterilized and laid on the surface of sterile AT plates. Seeds were stratified for three days at 4ÂºC in the dark, and then exposed to light for one hour at room temperature. Plates with seeds were placed in a vertical orientation and incubated for three days in the dark at 22ÂºC.  Hydrocarbon-free air supplemented with 10ppm of ethylene was flushed through the plates with seedlings for four hours. 50 ml of RNAlater solution was poured into the plates and the membranes with the seedlings were transferred to new plates containing 50 ml of fresh RNAlater solution. Using a razorblade, the roots were dissected from the hypocotyls while still submerged into the RNAlater solution, transferred to a microfuge tube and frozen at â80ÂºC.. Wild-type Arabidopsis seeds (Col-0) were germinated in the dark for 72 hours in sterile vertical plates. Hydrocarbone-free air supplementeed with 10 ppm of ethylene was flushed through the plates with seedlings for four additional hours.	GSE7432GSM179960 sample	P-G7432-2	GSE7432GSM179960 extract	total_RNA	P-G7432-1	GSE7432GSM179960 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis roots, ethylene treatment, replica 1	A-AFFY-2	P-AFFY-6	Arabidopsis roots, ethylene treatment, replica 1	GSM179960.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7432/E-GEOD-7432.raw.1.zip	E-GEOD-7432-processed-data-1630145231.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7432/E-GEOD-7432.processed.1.zip	ethylene	wild_type
GSE7432GSM179977	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	ein2 mutant	seedling	Col-0	Arabidopsis ein2 mutant roots. IAA treatment.:  ein2-5 mutant seeds were surface-sterilized and deposited onto a Nylon membrane (Sefar filtration, 03-100/47) that had been previously autoclave-sterilized and laid on the surface of sterile AT plates. Seeds were stratified for three days at 4ÂºC in the dark, and then exposed to light for one hour at room temperature. Plates with seeds were placed in a vertical orientation and incubated for three days in the dark at 22ÂºC. Seedlings were then sprayed with 1 microMolar IAA in a 0.01% EtOH solution under safe green light and incubated in the dark for four hours. 50 ml of RNAlater solution were then poured into the plates and the membranes with the seedlings were transferred to new plates containing 50 ml of fresh RNAlater solution. Using a razorblade, the roots were dissected from the hypocotyls while still submerged into the RNAlater solution, transferred to a microfuge tube and frozen at â80ÂºC.. Arabidopsis ein2 mutant seeds (ein2-5) were germinated in the dark for 72 hours. Seedlings were grown in sterile vertical plates. Seedlings were sprayed with 1 microMolar IAA in a 0.01% EtOH solution under safe green light and incibated for 4 additional hours in the dark.	GSE7432GSM179977 sample	P-G7432-2	GSE7432GSM179977 extract	total_RNA	P-G7432-1	GSE7432GSM179977 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis ein2 mutant roots, IAA treatment, replica 1	A-AFFY-2	P-AFFY-6	Arabidopsis ein2 mutant roots, IAA treatment, replica 1	GSM179977.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7432/E-GEOD-7432.raw.1.zip	E-GEOD-7432-processed-data-1630145231.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7432/E-GEOD-7432.processed.1.zip	indole-3-acetic acid	ein2 mutant
GSE7432GSM179963	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	aux1 mutant	seedling	Col-0	Arabidopsis aux1 mutant roots. Air treatment control.:  aux1 mutant seeds were surface-sterilized and deposited onto a Nylon membrane (Sefar filtration, 03-100/47) that had been previously autoclave-sterilized and laid on the surface of sterile AT plates. Seeds were stratified for three days at 4ÂºC in the dark, and then exposed to light for one hour at room temperature. Plates with seeds were placed in a vertical orientation and incubated for three days in the dark at 22ÂºC.  Hydrocarbon-free air was flushed through the plates with seedlings for four hours. 50 ml of RNAlater solution were then poured into the plates and the membranes with the seedlings were transferred to new plates containing 50 ml of fresh RNAlater solution. Using a razorblade, the roots were dissected from the hypocotyls while still submerged into the RNAlater solution, transferred to a microfuge tube and frozen at â80ÂºC.. Arabidopsis aux1 mutant seeds (aux1-7) were germinated in the dark for 72 hours. Seedlings were grown in sterile vertical plates. Hydrocarbon-free air was flushed through the plates with seedlings for four additional hours.	GSE7432GSM179963 sample	P-G7432-2	GSE7432GSM179963 extract	total_RNA	P-G7432-1	GSE7432GSM179963 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis aux1 mutant roots, air treatment, replica 1	A-AFFY-2	P-AFFY-6	Arabidopsis aux1 mutant roots, air treatment, replica 1	GSM179963.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7432/E-GEOD-7432.raw.1.zip	E-GEOD-7432-processed-data-1630145231.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7432/E-GEOD-7432.processed.1.zip	none	aux1 mutant
