Source Name	Characteristics [Age]	Characteristics [TimeUnit]	Characteristics [InitialTimePoint]	Characteristics [Ecotype]	Characteristics [Genotype]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [DevelopmentalStage]	Term Source REF	Term Accession Number	Characteristics [BioSourceType]	Provider	Protocol REF	Parameter Value [max temperature]	Parameter Value [min temperature]	Sample Name	Protocol REF	Parameter Value [Amplification]	Parameter Value [Extracted product]	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [ecotype]	Factor Value [genotype]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
Col_B	12	days	germination	Columbia	wild_type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	frozen_sample	ETH Zurich	P-MEXP-22992	C	21	Col_B	P-MEXP-16111	none	total RNA	P-MEXP-16147	E_Col_B	total_RNA	P-AFFY-2	L_Col_B	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v3	H_Col_B	A-AFFY-2	P-AFFY-6	Columbia	wild_type	H_Col_B	Col_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-694/E-MEXP-694.raw.1.zip	P-MEXP-16148	Schonrock_gcrma._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-694/E-MEXP-694.processed.1.zip
Ler_A	12	days	germination	Landsberg erecta	wild_type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	frozen_sample	ETH Zurich	P-MEXP-22992	C	21	Ler_A	P-MEXP-16111	none	total RNA	P-MEXP-16147	E_Ler_A	total_RNA	P-AFFY-2	L_Ler_A	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v3	H_Ler_A	A-AFFY-2	P-AFFY-6	Landsberg erecta	wild_type	H_Ler_A	Ler_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-694/E-MEXP-694.raw.1.zip	P-MEXP-16148	Schonrock_gcrma._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-694/E-MEXP-694.processed.1.zip
msi1-as_B	12	days	germination	Columbia	msi1-as	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	frozen_sample	ETH Zurich	P-MEXP-22992	C	21	msi1-as_B	P-MEXP-16111	none	total RNA	P-MEXP-16147	E_msi1-as_B	total_RNA	P-AFFY-2	L_msi1-as_B	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v3	H_msi1-as_B	A-AFFY-2	P-AFFY-6	Columbia	msi1-as	H_msi1-as_B	msi1-AS_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-694/E-MEXP-694.raw.1.zip	P-MEXP-16148	Schonrock_gcrma._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-694/E-MEXP-694.processed.1.zip
fas2_A	12	days	germination	Landsberg erecta	fas2-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	frozen_sample	ETH Zurich	P-MEXP-22992	C	21	fas2_A	P-MEXP-16111	none	total RNA	P-MEXP-16147	E_fas2_A	total_RNA	P-AFFY-2	L_fas2_A	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v3	H_fas2_A	A-AFFY-2	P-AFFY-6	Landsberg erecta	fas2-1	H_fas2_A	fas2_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-694/E-MEXP-694.raw.1.zip	P-MEXP-16148	Schonrock_gcrma._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-694/E-MEXP-694.processed.1.zip
Enk_A	12	days	germination	Enkheim	wild_type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	frozen_sample	ETH Zurich	P-MEXP-22992	C	21	Enk_A	P-MEXP-16111	none	total RNA	P-MEXP-16147	E_Enk_A	total_RNA	P-AFFY-2	L_Enk_A	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v3	H_Enk_A	A-AFFY-2	P-AFFY-6	Enkheim	wild_type	H_Enk_A	Enk_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-694/E-MEXP-694.raw.1.zip	P-MEXP-16148	Schonrock_gcrma._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-694/E-MEXP-694.processed.1.zip
fas1_B	12	days	germination	Enkheim	fas1-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	frozen_sample	ETH Zurich	P-MEXP-22992	C	21	fas1_B	P-MEXP-16111	none	total RNA	P-MEXP-16147	E_fas1_B	total_RNA	P-AFFY-2	L_fas1_B	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v3	H_fas1_B	A-AFFY-2	P-AFFY-6	Enkheim	fas1-1	H_fas1_B	fas1_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-694/E-MEXP-694.raw.1.zip	P-MEXP-16148	Schonrock_gcrma._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-694/E-MEXP-694.processed.1.zip
fas1_A	12	days	germination	Enkheim	fas1-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	frozen_sample	ETH Zurich	P-MEXP-22992	C	21	fas1_A	P-MEXP-16111	none	total RNA	P-MEXP-16147	E_fas1_A	total_RNA	P-AFFY-2	L_fas1_A	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v3	H_fas1_A	A-AFFY-2	P-AFFY-6	Enkheim	fas1-1	H_fas1_A	fas1_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-694/E-MEXP-694.raw.1.zip	P-MEXP-16148	Schonrock_gcrma._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-694/E-MEXP-694.processed.1.zip
Col_A	12	days	germination	Columbia	wild_type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	frozen_sample	ETH Zurich	P-MEXP-22992	C	21	Col_A	P-MEXP-16111	none	total RNA	P-MEXP-16147	E_Col_A	total_RNA	P-AFFY-2	L_Col_A	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v3	H_Col_A	A-AFFY-2	P-AFFY-6	Columbia	wild_type	H_Col_A	Col_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-694/E-MEXP-694.raw.1.zip	P-MEXP-16148	Schonrock_gcrma._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-694/E-MEXP-694.processed.1.zip
fas2_B	12	days	germination	Landsberg erecta	fas2-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	frozen_sample	ETH Zurich	P-MEXP-22992	C	21	fas2_B	P-MEXP-16111	none	total RNA	P-MEXP-16147	E_fas2_B	total_RNA	P-AFFY-2	L_fas2_B	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v3	H_fas2_B	A-AFFY-2	P-AFFY-6	Landsberg erecta	fas2-1	H_fas2_B	fas2_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-694/E-MEXP-694.raw.1.zip	P-MEXP-16148	Schonrock_gcrma._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-694/E-MEXP-694.processed.1.zip
Enk_B	12	days	germination	Enkheim	wild_type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	frozen_sample	ETH Zurich	P-MEXP-22992	C	21	Enk_B	P-MEXP-16111	none	total RNA	P-MEXP-16147	E_Enk_B	total_RNA	P-AFFY-2	L_Enk_B	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v3	H_Enk_B	A-AFFY-2	P-AFFY-6	Enkheim	wild_type	H_Enk_B	Enk_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-694/E-MEXP-694.raw.1.zip	P-MEXP-16148	Schonrock_gcrma._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-694/E-MEXP-694.processed.1.zip
