Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[OrganismPart]	Characteristics[Age]	Unit[TimeUnit]	Characteristics[Genotype]	Description	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[GENOTYPE]
GSE5745GSM133902	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	aerial parts	2	weeks	cpr5npr1	cpr5npr1:  average daily humidity: 70% light source: fluorescent photoperiod: 16 hr average daily temperature: 23 C. Developmental stage: 2 weeks old; Tissue: aerial parts of plant; Genetic variation: double mutant completely resistant to P. parasitica	GSE5745GSM133902 sample	GSE5745GSM133902 extract	total_RNA	GSE5745GSM133902 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Yang_1-7_CPR5NPR1-1_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Yang_1-7_CPR5NPR1-1_Rep1_ATH1	GSM133902.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5745/E-GEOD-5745.raw.1.zip	E-GEOD-5745-processed-data-1628587493.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5745/E-GEOD-5745.processed.1.zip	cpr5npr1
GSE5745GSM133896	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	aerial parts	2	weeks	Col-0	Col-0:  average daily humidity: 70% light source: fluorescent photoperiod: 16 hr average daily temperature: 23 C. Stock Code: N1092; Developmental stage: 2 weeks old; Tissue: aerial parts of plant	GSE5745GSM133896 sample	GSE5745GSM133896 extract	total_RNA	GSE5745GSM133896 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Yang_1-1_WT(COL)-1_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Yang_1-1_WT(COL)-1_Rep1_ATH1	GSM133896.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5745/E-GEOD-5745.raw.1.zip	E-GEOD-5745-processed-data-1628587493.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5745/E-GEOD-5745.processed.1.zip	Col-0
GSE5745GSM133900	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	aerial parts	2	weeks	npr1	npr1:  average daily humidity: 70% light source: fluorescent photoperiod: 16 hr average daily temperature: 23 C. Stock Code: N3726; Developmental stage: 2 weeks old; Tissue: aerial parts of plant	GSE5745GSM133900 sample	GSE5745GSM133900 extract	total_RNA	GSE5745GSM133900 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Yang_1-5_NPR1-1_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Yang_1-5_NPR1-1_Rep1_ATH1	GSM133900.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5745/E-GEOD-5745.raw.1.zip	E-GEOD-5745-processed-data-1628587493.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5745/E-GEOD-5745.processed.1.zip	npr1
GSE5745GSM133901	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	aerial parts	2	weeks	npr1	npr1:  average daily humidity: 70% light source: fluorescent photoperiod: 16 hr average daily temperature: 23 C. Stock Code: N3726; Developmental stage: 2 weeks old; Tissue: aerial parts of plant	GSE5745GSM133901 sample	GSE5745GSM133901 extract	total_RNA	GSE5745GSM133901 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Yang_1-6_NPR1-2_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Yang_1-6_NPR1-2_Rep2_ATH1	GSM133901.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5745/E-GEOD-5745.raw.1.zip	E-GEOD-5745-processed-data-1628587493.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5745/E-GEOD-5745.processed.1.zip	npr1
GSE5745GSM133904	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	aerial parts	2	weeks	cpr5scv1	cpr5scv1:  average daily humidity: 70% light source: fluorescent photoperiod: 16 hr average daily temperature: 23 C. Developmental stage: 2 weeks old; Tissue: aerial parts of plant; Genetic variation: Suppressor of cprV double mutant has wild-type susceptibility to P. parasitica, slightly enhanced susceptibility to P. syringae and resistance to B. cinerea.	GSE5745GSM133904 sample	GSE5745GSM133904 extract	total_RNA	GSE5745GSM133904 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Yang_1-9_CPR5SCV1-1_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Yang_1-9_CPR5SCV1-1_Rep1_ATH1	GSM133904.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5745/E-GEOD-5745.raw.1.zip	E-GEOD-5745-processed-data-1628587493.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5745/E-GEOD-5745.processed.1.zip	cpr5scv1
GSE5745GSM133903	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	aerial parts	2	weeks	cpr5npr1	cpr5npr1:  average daily humidity: 70% light source: fluorescent photoperiod: 16 hr average daily temperature: 23 C. Developmental stage: 2 weeks old; Tissue: aerial parts of plant; Genetic variation: double mutant completely resistant to P. parasitica	GSE5745GSM133903 sample	GSE5745GSM133903 extract	total_RNA	GSE5745GSM133903 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Yang_1-8_CPR5NPR1-2_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Yang_1-8_CPR5NPR1-2_Rep2_ATH1	GSM133903.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5745/E-GEOD-5745.raw.1.zip	E-GEOD-5745-processed-data-1628587493.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5745/E-GEOD-5745.processed.1.zip	cpr5npr1
GSE5745GSM133907	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	aerial parts	2	weeks	cpr5npr1svi1	cpr5npr1svi1:  average daily humidity: 70% light source: fluorescent photoperiod: 16 hr average daily temperature: 23 C. Developmental stage: 2 weeks old; Tissue: aerial parts of plant; Genetic variation: triple mutant	GSE5745GSM133907 sample	GSE5745GSM133907 extract	total_RNA	GSE5745GSM133907 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Yang_1-12_CPR5NPR1SVI1-2_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Yang_1-12_CPR5NPR1SVI1-2_Rep2_ATH1	GSM133907.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5745/E-GEOD-5745.raw.1.zip	E-GEOD-5745-processed-data-1628587493.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5745/E-GEOD-5745.processed.1.zip	cpr5npr1svi1
GSE5745GSM133897	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	aerial parts	2	weeks	Col-0	Col-0:  average daily humidity: 70% light source: fluorescent photoperiod: 16 hr average daily temperature: 23 C. Stock Code: N1092; Developmental stage: 2 weeks old; Tissue: aerial parts of plant	GSE5745GSM133897 sample	GSE5745GSM133897 extract	total_RNA	GSE5745GSM133897 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Yang_1-2_WT(COL)-2_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Yang_1-2_WT(COL)-2_Rep2_ATH1	GSM133897.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5745/E-GEOD-5745.raw.1.zip	E-GEOD-5745-processed-data-1628587493.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5745/E-GEOD-5745.processed.1.zip	Col-0
GSE5745GSM133905	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	aerial parts	2	weeks	cpr5scv1	cpr5scv1:  average daily humidity: 70% light source: fluorescent photoperiod: 16 hr average daily temperature: 23 C. Developmental stage: 2 weeks old; Tissue: aerial parts of plant; Genetic variation: Suppressor of cprV double mutant has wild-type susceptibility to P. parasitica, slightly enhanced susceptibility to P. syringae and resistance to B. cinerea.	GSE5745GSM133905 sample	GSE5745GSM133905 extract	total_RNA	GSE5745GSM133905 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Yang_1-10_CPR5SCV1-2_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Yang_1-10_CPR5SCV1-2_Rep2_ATH1	GSM133905.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5745/E-GEOD-5745.raw.1.zip	E-GEOD-5745-processed-data-1628587493.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5745/E-GEOD-5745.processed.1.zip	cpr5scv1
GSE5745GSM133898	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	aerial parts	2	weeks	cpr5	cpr5:  average daily humidity: 70% light source: fluorescent photoperiod: 16 hr average daily temperature: 23 C. Stock Code: N3770; Developmental stage: 2 weeks old; Tissue: aerial parts of plant	GSE5745GSM133898 sample	GSE5745GSM133898 extract	total_RNA	GSE5745GSM133898 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Yang_1-3_CPR5-1_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Yang_1-3_CPR5-1_Rep1_ATH1	GSM133898.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5745/E-GEOD-5745.raw.1.zip	E-GEOD-5745-processed-data-1628587493.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5745/E-GEOD-5745.processed.1.zip	cpr5
