Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[age]	Unit[time unit]	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[genotype]	Description	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Comment[technical replicate group]	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[genotype]
GSE7796GSM189116	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	14	day	seedling	aerial part	wild type	14 day old seedling grown in long days on GM medium, aerial tissue only:  See Sangster et al. "Phenotypic Diversity and Altered Environmental Plasticity in Arabidopsis thaliana with Reduced HSP90 Levels" for experimental rationale. Accession: Col-0; Age: 14 days; Tissue:  All aerial tissue; Transgenic:  Control for HSP90 reduced	GSE7796GSM189116 sample	P-G7796-2	GSE7796GSM189116 extract	total RNA	P-G7796-1	GSE7796GSM189116 LE	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	HSP90_Reduced_Col-0_CS60000_Biological_Replicate_1	  	A-AFFY-2	P-AFFY-6	HSP90_Reduced_Col-0_CS60000_Biological_Replicate_1	GSM189116.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7796/E-GEOD-7796.raw.1.zip	E-GEOD-7796-processed-data-1630578355.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7796/E-GEOD-7796.processed.1.zip	wild type
GSE7796GSM189117	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	14	day	seedling	aerial part	wild type	14 day old seedling grown in long days on GM medium, aerial tissue only:  See Sangster et al. "Phenotypic Diversity and Altered Environmental Plasticity in Arabidopsis thaliana with Reduced HSP90 Levels" for experimental rationale. Accession: Col-0; Age: 14 days; Tissue:  All aerial tissue; Transgenic:  Control for HSP90 reduced	GSE7796GSM189117 sample	P-G7796-2	GSE7796GSM189117 extract	total RNA	P-G7796-1	GSE7796GSM189117 LE	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	HSP90_Reduced_Col-0_CS60000_Biological_Replicate_2	  	A-AFFY-2	P-AFFY-6	HSP90_Reduced_Col-0_CS60000_Biological_Replicate_2	GSM189117.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7796/E-GEOD-7796.raw.1.zip	E-GEOD-7796-processed-data-1630578355.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7796/E-GEOD-7796.processed.1.zip	wild type
GSE7796GSM189118	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	14	day	seedling	aerial part	wild type	14 day old seedling grown in long days on GM medium, aerial tissue only:  See Sangster et al. "Phenotypic Diversity and Altered Environmental Plasticity in Arabidopsis thaliana with Reduced HSP90 Levels" for experimental rationale. Accession: Col-0; Age: 14 days; Tissue:  All aerial tissue; Transgenic:  Control for HSP90 reduced	GSE7796GSM189118 sample	P-G7796-2	GSE7796GSM189118 extract	total RNA	P-G7796-1	GSE7796GSM189118 LE	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	HSP90_Reduced_Col-0_CS60000_Biological_Replicate_3	  	A-AFFY-2	P-AFFY-6	HSP90_Reduced_Col-0_CS60000_Biological_Replicate_3	GSM189118.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7796/E-GEOD-7796.raw.1.zip	E-GEOD-7796-processed-data-1630578355.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7796/E-GEOD-7796.processed.1.zip	wild type
GSE7796GSM189119	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	14	day	seedling	aerial part	control 1	14 day old seedling grown in long days on GM medium, aerial tissue only:  See Sangster et al. "Phenotypic Diversity and Altered Environmental Plasticity in Arabidopsis thaliana with Reduced HSP90 Levels" for experimental rationale. Accession: Col-0; Age: 14 days; Tissue:  All aerial tissue; Transgenic:  Control for HSP90 reduced	GSE7796GSM189119 sample	P-G7796-2	GSE7796GSM189119 extract	total RNA	P-G7796-1	GSE7796GSM189119 LE	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	HSP90_Reduced_Control-1_Biological_Replicate_1	  	A-AFFY-2	P-AFFY-6	HSP90_Reduced_Control-1_Biological_Replicate_1	GSM189119.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7796/E-GEOD-7796.raw.1.zip	E-GEOD-7796-processed-data-1630578355.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7796/E-GEOD-7796.processed.1.zip	control 1
GSE7796GSM189120	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	14	day	seedling	aerial part	control 1	14 day old seedling grown in long days on GM medium, aerial tissue only:  See Sangster et al. "Phenotypic Diversity and Altered Environmental Plasticity in Arabidopsis thaliana with Reduced HSP90 Levels" for experimental rationale. Accession: Col-0; Age: 14 days; Tissue:  All aerial tissue; Transgenic:  Control for HSP90 reduced	GSE7796GSM189120 sample	P-G7796-2	GSE7796GSM189120 extract	total RNA	P-G7796-1	GSE7796GSM189120 LE	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	HSP90_Reduced_Control-1_Biological_Replicate_2	  	A-AFFY-2	P-AFFY-6	HSP90_Reduced_Control-1_Biological_Replicate_2	GSM189120.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7796/E-GEOD-7796.raw.1.zip	E-GEOD-7796-processed-data-1630578355.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7796/E-GEOD-7796.processed.1.zip	control 1
GSE7796GSM189121	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	14	day	seedling	aerial part	control 1	14 day old seedling grown in long days on GM medium, aerial tissue only:  See Sangster et al. "Phenotypic Diversity and Altered Environmental Plasticity in Arabidopsis thaliana with Reduced HSP90 Levels" for experimental rationale. Accession: Col-0; Age: 14 days; Tissue:  All aerial tissue; Transgenic:  Control for HSP90 reduced	GSE7796GSM189121 sample	P-G7796-2	GSE7796GSM189121 extract	total RNA	P-G7796-1	GSE7796GSM189121 LE	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	HSP90_Reduced_Control-1_Biological_Replicate_3	  	A-AFFY-2	P-AFFY-6	HSP90_Reduced_Control-1_Biological_Replicate_3	GSM189121.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7796/E-GEOD-7796.raw.1.zip	E-GEOD-7796-processed-data-1630578355.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7796/E-GEOD-7796.processed.1.zip	control 1
GSE7796GSM189105	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	14	day	seedling	aerial part	control 2	14 day old seedling grown in long days on GM medium, aerial tissue only:  See Sangster et al. "Phenotypic Diversity and Altered Environmental Plasticity in Arabidopsis thaliana with Reduced HSP90 Levels" for experimental rationale. Accession: Col-0; Age: 14 days; Tissue:  All aerial tissue; Transgenic:  Control for HSP90 reduced	GSE7796GSM189105 sample	P-G7796-2	GSE7796GSM189105 extract	total RNA	P-G7796-1	GSE7796GSM189105 LE	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	HSP90_Reduced_Control-2_Biological_Replicate_1	  	A-AFFY-2	P-AFFY-6	HSP90_Reduced_Control-2_Biological_Replicate_1	GSM189105.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7796/E-GEOD-7796.raw.1.zip	E-GEOD-7796-processed-data-1630578355.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7796/E-GEOD-7796.processed.1.zip	control 2
GSE7796GSM189106	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	14	day	seedling	aerial part	control 2	14 day old seedling grown in long days on GM medium, aerial tissue only:  See Sangster et al. "Phenotypic Diversity and Altered Environmental Plasticity in Arabidopsis thaliana with Reduced HSP90 Levels" for experimental rationale. Accession: Col-0; Age: 14 days; Tissue:  All aerial tissue; Transgenic:  Control for HSP90 reduced	GSE7796GSM189106 sample	P-G7796-2	GSE7796GSM189106 extract	total RNA	P-G7796-1	GSE7796GSM189106 LE	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	HSP90_Reduced_Control-2_Biological_Replicate_2_Technical_Replicate_1	group1	A-AFFY-2	P-AFFY-6	HSP90_Reduced_Control-2_Biological_Replicate_2_Technical_Replicate_1	GSM189106.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7796/E-GEOD-7796.raw.1.zip	E-GEOD-7796-processed-data-1630578355.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7796/E-GEOD-7796.processed.1.zip	control 2
GSE7796GSM189107	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	14	day	seedling	aerial part	control 2	14 day old seedling grown in long days on GM medium, aerial tissue only:  See Sangster et al. "Phenotypic Diversity and Altered Environmental Plasticity in Arabidopsis thaliana with Reduced HSP90 Levels" for experimental rationale. Accession: Col-0; Age: 14 days; Tissue:  All aerial tissue; Transgenic:  Control for HSP90 reduced	GSE7796GSM189107 sample	P-G7796-2	GSE7796GSM189107 extract	total RNA	P-G7796-1	GSE7796GSM189107 LE	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	HSP90_Reduced_Control-2_Biological_Replicate_2_Technical_Replicate_2	group1	A-AFFY-2	P-AFFY-6	HSP90_Reduced_Control-2_Biological_Replicate_2_Technical_Replicate_2	GSM189107.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7796/E-GEOD-7796.raw.1.zip	E-GEOD-7796-processed-data-1630578355.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7796/E-GEOD-7796.processed.1.zip	control 2
GSE7796GSM189122	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	14	day	seedling	aerial part	control 3	14 day old seedling grown in long days on GM medium, aerial tissue only:  See Sangster et al. "Phenotypic Diversity and Altered Environmental Plasticity in Arabidopsis thaliana with Reduced HSP90 Levels" for experimental rationale. Accession: Col-0; Age: 14 days; Tissue:  All aerial tissue; Transgenic:  Control for HSP90 reduced	GSE7796GSM189122 sample	P-G7796-2	GSE7796GSM189122 extract	total RNA	P-G7796-1	GSE7796GSM189122 LE	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	HSP90_Reduced_Control-3_Biological_Replicate_1	  	A-AFFY-2	P-AFFY-6	HSP90_Reduced_Control-3_Biological_Replicate_1	GSM189122.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7796/E-GEOD-7796.raw.1.zip	E-GEOD-7796-processed-data-1630578355.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7796/E-GEOD-7796.processed.1.zip	control 3
