Source Name	Characteristics [Ecotype]	Characteristics [Genotype]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [OrganismPart]	Term Source REF	Term Accession Number	Characteristics [DevelopmentalStage]	Protocol REF	Sample Name	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Factor Value [GENOTYPE]	FactorValue[ORGANISM PART]	Term Source REF	Term Accession Number	FactorValue[DEVELOPMENTAL STAGE]
CHIP_335	Columbia-0	wild_type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	inflorescence	EFO	EFO_0001029	6 Boyes key	P-TABM-122	CHIP_335	P-TABM-125	P-TABM-124	CHIP_335_B	total_RNA	P-TABM-127	CHIP_335_B biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	CHIP_335_B	A-AFFY-2	P-AFFY-6	CHIP_335_B	CHIP_335_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-63/E-TABM-63.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-63-processed-data-1343522512.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-63/E-TABM-63.processed.1.zip	wild_type	inflorescence	EFO	EFO_0001029	6 Boyes key
CHIP_338	Columbia-0	35S::amiR-mads-1(MIR172a)_pRS370	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	inflorescence	EFO	EFO_0001029	6 Boyes key	P-TABM-122	CHIP_338	P-TABM-125	P-TABM-124	CHIP_338_B	total_RNA	P-TABM-127	CHIP_338_B biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	CHIP_338_B	A-AFFY-2	P-AFFY-6	CHIP_338_B	CHIP_338_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-63/E-TABM-63.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-63-processed-data-1343522512.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-63/E-TABM-63.processed.1.zip	35S::amiR-mads-1(MIR172a)_pRS370	inflorescence	EFO	EFO_0001029	6 Boyes key
CHIP_342	Columbia-0	gun4-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	1.01 Boyes key	P-TABM-123	CHIP_342	P-TABM-126	P-TABM-124	CHIP_342_B	total_RNA	P-TABM-127	CHIP_342_B biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	CHIP_342_B	A-AFFY-2	P-AFFY-6	CHIP_342_B	CHIP_342_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-63/E-TABM-63.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-63-processed-data-1343522512.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-63/E-TABM-63.processed.1.zip	gun4-1	seedling	EFO	EFO_0001992	1.01 Boyes key
CHIP_336	Columbia-0	lfy-12	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	inflorescence	EFO	EFO_0001029	6 Boyes key	P-TABM-122	CHIP_336	P-TABM-125	P-TABM-124	CHIP_336_B	total_RNA	P-TABM-127	CHIP_336_B biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	CHIP_336_B	A-AFFY-2	P-AFFY-6	CHIP_336_B	CHIP_336_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-63/E-TABM-63.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-63-processed-data-1343522512.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-63/E-TABM-63.processed.1.zip	lfy-12	inflorescence	EFO	EFO_0001029	6 Boyes key
CHIP_340	Columbia-0	35S::amiR-mads-2(MIR319a)_strong_pRS373	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	inflorescence	EFO	EFO_0001029	6 Boyes key	P-TABM-122	CHIP_340	P-TABM-125	P-TABM-124	CHIP_340_A	total_RNA	P-TABM-127	CHIP_340_A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	CHIP_340_A	A-AFFY-2	P-AFFY-6	CHIP_340_A	CHIP_340_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-63/E-TABM-63.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-63-processed-data-1343522512.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-63/E-TABM-63.processed.1.zip	35S::amiR-mads-2(MIR319a)_strong_pRS373	inflorescence	EFO	EFO_0001029	6 Boyes key
CHIP_335	Columbia-0	wild_type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	inflorescence	EFO	EFO_0001029	6 Boyes key	P-TABM-122	CHIP_335	P-TABM-125	P-TABM-124	CHIP_335_A	total_RNA	P-TABM-127	CHIP_335_A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	CHIP_335_A	A-AFFY-2	P-AFFY-6	CHIP_335_A	CHIP_335_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-63/E-TABM-63.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-63-processed-data-1343522512.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-63/E-TABM-63.processed.1.zip	wild_type	inflorescence	EFO	EFO_0001029	6 Boyes key
CHIP_340	Columbia-0	35S::amiR-mads-2(MIR319a)_strong_pRS373	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	inflorescence	EFO	EFO_0001029	6 Boyes key	P-TABM-122	CHIP_340	P-TABM-125	P-TABM-124	CHIP_340_B	total_RNA	P-TABM-127	CHIP_340_B biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	CHIP_340_B	A-AFFY-2	P-AFFY-6	CHIP_340_B	CHIP_340_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-63/E-TABM-63.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-63-processed-data-1343522512.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-63/E-TABM-63.processed.1.zip	35S::amiR-mads-2(MIR319a)_strong_pRS373	inflorescence	EFO	EFO_0001029	6 Boyes key
CHIP_344	Columbia-0	35S::amiR-white-2(MIR172a)_pRS387	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	1.01 Boyes key	P-TABM-123	CHIP_344	P-TABM-126	P-TABM-124	CHIP_344_B	total_RNA	P-TABM-127	CHIP_344_B biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	CHIP_344_B	A-AFFY-2	P-AFFY-6	CHIP_344_B	CHIP_344_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-63/E-TABM-63.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-63-processed-data-1343522512.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-63/E-TABM-63.processed.1.zip	35S::amiR-white-2(MIR172a)_pRS387	seedling	EFO	EFO_0001992	1.01 Boyes key
CHIP_343	Columbia-0	35S::amiR-white-1(MIR172a)_pRS385	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	1.01 Boyes key	P-TABM-123	CHIP_343	P-TABM-126	P-TABM-124	CHIP_343_B	total_RNA	P-TABM-127	CHIP_343_B biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	CHIP_343_B	A-AFFY-2	P-AFFY-6	CHIP_343_B	CHIP_343_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-63/E-TABM-63.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-63-processed-data-1343522512.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-63/E-TABM-63.processed.1.zip	35S::amiR-white-1(MIR172a)_pRS385	seedling	EFO	EFO_0001992	1.01 Boyes key
CHIP_339	Columbia-0	35S::amiR-mads-2(MIR319a)_weak_pRS373	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	inflorescence	EFO	EFO_0001029	6 Boyes key	P-TABM-122	CHIP_339	P-TABM-125	P-TABM-124	CHIP_339_A	total_RNA	P-TABM-127	CHIP_339_A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	CHIP_339_A	A-AFFY-2	P-AFFY-6	CHIP_339_A	CHIP_339_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-63/E-TABM-63.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-63-processed-data-1343522512.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-63/E-TABM-63.processed.1.zip	35S::amiR-mads-2(MIR319a)_weak_pRS373	inflorescence	EFO	EFO_0001029	6 Boyes key
